"symbol","report_date","speaker","title","msg","source_url"
"HLT","2024-10-23",NA,NA,"Good morning, and welcome to the Hilton Third Quarter 2024 Earnings Conference Call. All participants will be in listen-only mode. Should you need assistance, please signal a conference specialist by pressing the star key followed by zero. After today's presentation, there will be an opportunity to ask questions. To ask a question, you may press star, then one on your touchtone phone. To withdraw your question, please press star, then two. Please note, this event is being recorded. I would now like to turn the conference over to Jill Chapman, Senior Vice President, Head of Development, Operations, and Investor Relations. You may begin.","https://www.marketbeat.com/earnings/reports/2024-10-23-hilton-worldwide-holdings-inc-stock/"
"HLT","2024-10-23","Jill Chapman","SVP and Head of Investor Relations at Hilton","Thank you, Chad. Welcome to Hilton's Third Quarter 2024 Earnings Call. Before we begin, we would like to remind you that our discussions this morning will include forward-looking statements. Actual results could differ materially from those indicated in the forward-looking statements, and forward-looking statements made today speak only to our expectations as of today. We undertake no obligation to update or revise these statements. For a discussion of some of the factors that could cause actual results to differ, please see the Risk Factors section of our most recently filed Form 10-K. In addition, we will refer to certain non-GAAP financial measures on this call. You can find reconciliations of non-GAAP to GAAP financial measures discussed in today's call in our earnings press release and on our website at ir.hilton.com.","https://www.marketbeat.com/earnings/reports/2024-10-23-hilton-worldwide-holdings-inc-stock/"
"HLT","2024-10-23","Jill Chapman","SVP and Head of Investor Relations at Hilton","This morning, Chris Nassetta, our President and Chief Executive Officer, will provide an overview of the current operating environment and the company's outlook. Kevin Jacobs, our Chief Financial Officer and President, Global Development, will then review our third quarter results and discuss our expectations for the year. Following their remarks, we'll be happy to take your questions, and with that, I'm pleased to turn the call over to Chris.","https://www.marketbeat.com/earnings/reports/2024-10-23-hilton-worldwide-holdings-inc-stock/"
"HLT","2024-10-23","Christopher J. Nassetta","President, CEO and Director at Hilton","Thank you, Jill. Good morning, everyone, and thanks for joining us today. Our third quarter results continued to demonstrate the strength of our business model, as strong net unit growth helped drive solid bottom-line performance. Adjusted EBITDA and adjusted EPS both exceeded the high end of our guidance, despite softer than expected RevPAR performance. We opened more hotel rooms than any other quarter in the history of our company and surpassed 8,000 hotels in our system. We also reached a milestone 200 million Hilton Honors members in the quarter, as our award-winning program, industry-leading brands, and exceptional service continued to increase guest loyalty.","https://www.marketbeat.com/earnings/reports/2024-10-23-hilton-worldwide-holdings-inc-stock/"
"HLT","2024-10-23","Christopher J. Nassetta","President, CEO and Director at Hilton","Turning to results, third quarter system-wide RevPAR increased 1.4% year over year, below our guidance range due to slower ramp in September following Labor Day, weather impacts, unfavorable calendar shifts, and ongoing labor disputes in the U.S. Business transient RevPAR increased 2%, with growth across both large corporates and small and medium-sized businesses. Leisure trends continued to normalize, with RevPAR declining modestly from post-pandemic peaks. Group RevPAR rose more than 5% year over year, led by strong demand for both corporate and social meetings and events. For the full year, group position is up 10%, with group position in 2025 and 2026 up low double digits to mid-teens. Adjusting for holiday and calendar shifts, we estimate system-wide RevPAR grew at 2.3% in the quarter, just slightly softer than the second quarter, and with all segments increasing.","https://www.marketbeat.com/earnings/reports/2024-10-23-hilton-worldwide-holdings-inc-stock/"
"HLT","2024-10-23","Christopher J. Nassetta","President, CEO and Director at Hilton","On an adjusted basis, leisure transient RevPAR increased nearly 2%, driven largely by solid trends across Continental Europe. In the fourth quarter, we expect RevPAR growth largely in line with third quarter, driven by strong group bookings, continued business transient recovery, and favorable calendar shifts, partially offset by the election and ongoing labor disputes in the U.S. Weekday pace for October is tracking up more than 300 basis points versus September's weekday pace, driven by solid business transient performance and group strength. Company meetings and convention business continue to grow as a percentage of mix, driving longer booking windows.","https://www.marketbeat.com/earnings/reports/2024-10-23-hilton-worldwide-holdings-inc-stock/"
"HLT","2024-10-23","Christopher J. Nassetta","President, CEO and Director at Hilton","Given year-to-date performance and fourth quarter expectations, we expect forecast full-year RevPAR growth of 2%-2.5%, and full-year Adjusted EBITDA growth of approximately 10%, demonstrating the continued resiliency of our business model. Turning to development, in the quarter, we opened a record 531 hotels, totaling more than 36,000 rooms, and achieved the highest net unit growth in our history at 7.8%. We marked several milestones in the quarter, including the opening of our 8,000th hotel worldwide, our 900th hotel in Asia Pacific, and our 900th hotel in EMEA. Home2 Suites, which has more than doubled in supply in the last five years, opened its 700th hotel and continues to have the largest new development pipeline in the industry.","https://www.marketbeat.com/earnings/reports/2024-10-23-hilton-worldwide-holdings-inc-stock/"
"HLT","2024-10-23","Christopher J. Nassetta","President, CEO and Director at Hilton","We continued to expand our lifestyle portfolio, opening a number of new hotels in the quarter, including the Graduate Auburn and Graduate Princeton, the first two openings under our newly acquired Graduate brand. We also introduced several brands in new markets around the world, including Spark in Canada, Embassy Suites in the UAE, Canopy in Japan, and Hampton in Switzerland, demonstrating the strong value of our industry-leading brands in delivering for owners. We welcome nearly four hundred luxury properties through our exclusive agreement with Small Luxury Hotels of the World. These properties, spanning seventy different countries, provide Honors members even more opportunities to book unique luxury experiences in sought-after destinations across the globe. Including SLH and our existing luxury properties, we now have one of the largest luxury hotel portfolios in the industry.","https://www.marketbeat.com/earnings/reports/2024-10-23-hilton-worldwide-holdings-inc-stock/"
"HLT","2024-10-23","Christopher J. Nassetta","President, CEO and Director at Hilton","Conversions accounted for 60% of openings in the quarter, driven by the addition of SLH properties and continued momentum from Spark. We opened more than twenty Spark hotels in the quarter and now have over six thousand Spark rooms in supply, just a year after the brand opened its first property. Spark now has open hotels in the U.S., and the U.K., and Canada, and we recently announced plans to open hotels in Germany and Austria before the end of the year. The brand's pipeline is three times larger than its existing supply, and we expect continued launches in international markets to further boost Spark's trajectory, positioning us well for future growth in the premium economy space. In the quarter, we signed twenty-eight thousand rooms, expanding our pipeline to more than four hundred and ninety-two thousand rooms, which is up 8% year-over-year.","https://www.marketbeat.com/earnings/reports/2024-10-23-hilton-worldwide-holdings-inc-stock/"
"HLT","2024-10-23","Christopher J. Nassetta","President, CEO and Director at Hilton","Excluding partnerships, our pipeline also increased from the second quarter. We signed three luxury deals in Greece, Japan, and the UAE, and 35 lifestyle properties, including a record 15 Curios. Conversions accounted for more than 30% of signings in the quarter, driven by the strength of Spark and the continued momentum across Curio, Tapestry, and DoubleTree. Construction starts remained strong, up 21%, excluding acquisitions and partnerships. We remain on track to exceed prior levels of starts by year-end, with meaningful growth across both the U.S. and international markets. Approximately half of our pipeline is under construction, and we continue to have more rooms under construction than any other hotel company, accounting for more than 20% of industry share and nearly four times our existing share of supply.","https://www.marketbeat.com/earnings/reports/2024-10-23-hilton-worldwide-holdings-inc-stock/"
