"symbol","report_date","speaker","title","msg","source_url"
"HPQ","2024-08-28",NA,NA,"Good day, everyone, and welcome to the Third Quarter 2024 HP Inc. Earnings Conference Call. My name is Desiree, and I'll be your conference moderator for today's call. At this time, all participants will be in listen-only mode. We will be facilitating a question-and-answer session towards the end of the conference. Should you need assistance during the call, please signal a conference specialist by pressing the star key followed by zero. As a reminder, this conference is being recorded for replay purposes. I would now like to turn the call over to Orit Keinan-Nahon, Head of Investor Relations. Please go ahead.","https://www.marketbeat.com/earnings/reports/2024-8-28-hp-inc-stock/"
"HPQ","2024-08-28","Orit Keinan-Nahon","Head of Investor Relations at HP Inc.","Good afternoon, everyone, and welcome to HP's Third Quarter 2024 Earnings Conference Call. With me today are Enrique Lores, HP's President and Chief Executive Officer, Karen Parkhill, HP's Chief Financial Officer, and Tim Brown, who is the Interim Chief Financial Officer. Before handing the call over to Enrique, let me remind you that this call is a webcast and a replay will be available on our website shortly after the call for approximately one year. We posted the earnings release and accompanying slide presentation on our investor relations webpage at investor.hp.com. As always, elements of this presentation are forward-looking and are based on our best view of the world and our businesses as we see them today. For more detailed information, please see disclaimers in the earnings materials relating to forward-looking statements that involve risks, uncertainties and assumptions.","https://www.marketbeat.com/earnings/reports/2024-8-28-hp-inc-stock/"
"HPQ","2024-08-28","Orit Keinan-Nahon","Head of Investor Relations at HP Inc.","For a discussion of some of these risks, uncertainties and assumptions, please refer to HP's SEC reports, including our most recent Form 10-K. HP assumes no obligation and does not intend to update any such forward-looking statements. We also note that the financial information discussed on this call reflects estimates based on information available now and could differ materially from the amounts ultimately reported in HP's SEC filings. During this webcast, unless otherwise specifically noted, all comparisons are year-over-year comparisons with the corresponding year-ago period. In addition, unless otherwise noted, references to HP channel inventory refer to Tier 1 channel inventory. For financial information that has been expressed on a non-GAAP basis, we've included reconciliations to the comparable GAAP information. Please refer to the tables and slide presentation accompanying today's earnings release for those reconciliations. With that, I'd now like to turn the call over to Enrique.","https://www.marketbeat.com/earnings/reports/2024-8-28-hp-inc-stock/"
"HPQ","2024-08-28","Enrique Lores","CEO at HP Inc.","Thank you, Orit, and thank you all for joining today's call. Let me start by welcoming our new CFO, Karen Parkhill, who joined HP earlier this month. Her expertise and background are a great addition to our leadership team, and we are delighted to have her on board, and a big thank you to Tim Brown for stepping in as interim CFO over the last three quarters. Today, I will cover our third quarter results, a few of the new innovative experiences we have introduced, how we are tracking against our strategic priorities and our expectations for Q4. Karen will provide additional details on our financials and outlook. Starting with our results, let me first focus on revenue. I am pleased to share we are building solid momentum. The company returned to revenue growth for the first time in nine quarters, up 2% year-over-year.","https://www.marketbeat.com/earnings/reports/2024-8-28-hp-inc-stock/"
"HPQ","2024-08-28","Enrique Lores","CEO at HP Inc.","This was driven by strong performance in Personal Systems and our key growth areas. Commercial PC recovery was strong, in line with our expectations and a signal of ongoing market stabilization. That said, the recovery of the Print market was slower than expected, which impacted Print revenue. Non-GAAP operating profit was down 7% and non-GAAP EPS was within our previously provided outlook range, but below our expectations. We have been taking decisive actions to address this. We see an immediate opportunity to drive additional structural cost savings in Q4 as part of our Future Ready program. We're accelerating our plan, raising our exit goal for fiscal year 2024. We expect to reach 80% of the three-year structural cost run rate target by the end of this year. We will also keep executing our plan to strengthen momentum and drive long-term profitable growth.","https://www.marketbeat.com/earnings/reports/2024-8-28-hp-inc-stock/"
"HPQ","2024-08-28","Enrique Lores","CEO at HP Inc.","This includes investments in support of our growth businesses. And these combined efforts will help us win in the market, drive profitable growth, and build a stronger HP. Turning to new innovations, Q3 was another strong quarter. We continue to deliver industry-leading experiences by putting our customers at the center of everything we do. In the AI PC category, we are charging ahead. Our next gen AI PCs are empowering everyone from knowledge workers to data scientists to unlock the power of AI. In May, we launched our first generation using the latest Qualcomm processor. As the world's thinnest next gen AI PCs with the longest battery life, they are made for mobility. And in July, we introduced a new premium model powered by the latest AMD processor. It is the most powerful AI PC in the industry, with up to 55 TOPS of NPU performance.","https://www.marketbeat.com/earnings/reports/2024-8-28-hp-inc-stock/"
"HPQ","2024-08-28","Enrique Lores","CEO at HP Inc.","It delivers personalized experiences like real-time translation, personal communication coaching, and quick professional video creation. And to help protect against AI-assisted cyberattacks, the new OmniBook Ultra includes the industry-leading protections and capabilities of HP Wolf Security. We are doing even more to raise the bar for data scientists and AI developers. Our HP AI Studio is the world's most comprehensive workstation solution for AI development. In Q3, we made it even stronger by being the first and only to build GenAI trust into our solution. This means developers can more effectively detect, correct, and monitor inaccurate outputs from AI models, making it faster and safer for companies to deploy AI-powered applications. In Workforce Solutions, our proprietary Workforce Experience Platform is exceeding our expectations. Customers are now leveraging our AI capabilities to manage over 250,000 devices, and growing.","https://www.marketbeat.com/earnings/reports/2024-8-28-hp-inc-stock/"
"HPQ","2024-08-28","Enrique Lores","CEO at HP Inc.","We also recently added several managed devices, wins, and deployments, including larger companies like Eaton. Our continued partnership with this global intelligent power management company will help support their IT journey in serving more than 90,000 employees around the world. We set a new standard for industrial printing at Drupa, introducing advanced digital presses and intelligent automation solutions. This included autonomous mobile robots that save up to two hours of production a day per press. We also enhanced our Print OS platform, giving customers the ability to monitor their entire production floor from job submission to delivery. We were honored to take home more Best of awards than any other exhibitor at the show. We also announced a new partnership with Canva. Their 185 million monthly users can now seamlessly design and create online and Print locally.","https://www.marketbeat.com/earnings/reports/2024-8-28-hp-inc-stock/"
"HPQ","2024-08-28","Enrique Lores","CEO at HP Inc.","We also secured major deals with print and digital industry leaders like RR Donnelley, All4Labels, and Cimpress. We are excited about what's ahead. In September, we will host our second annual HP Imagine event. Here, we will unveil even more new experiences that help our customers drive growth and professional fulfillment. In Q3, we further invested in our long-term success. We acquired CyberCore Technologies, a leading provider of secure supply chain management and cyber solutions for the U.S. federal government. The addition of CyberCore to the HP family will help further strengthen our security expertise and enhance our offerings. Just yesterday, we announced we have received a $50 million award from the U.S. Department of Commerce. This funding from the CHIPS and Science Act will help modernize and expand our microfluidics semiconductor fab in Corvallis, Oregon.","https://www.marketbeat.com/earnings/reports/2024-8-28-hp-inc-stock/"
"HPQ","2024-08-28","Enrique Lores","CEO at HP Inc.","It will also help us further explore the potential of our microfluidics technology in new areas such as life sciences. In Q3, we released our annual Sustainable Impact Report, highlighting the important progress we have made. In 2023, our initiatives helped us reach a 27% reduction in value chain greenhouse gas emissions. We continue to roll out easily recyclable packaging created from recycled content. In 2023, we've reached a 62% reduction in single-use plastic packaging, and our digital equity efforts have reached 45 million people since 2021. We know there is always more that can be done, but we are proud of our progress, and we are honored to be ranked first in our industry on TIME magazine's World's Most Sustainable Companies list. Now, let me share more details on the performance of each of our businesses in the third quarter.","https://www.marketbeat.com/earnings/reports/2024-8-28-hp-inc-stock/"
"HPQ","2024-08-28","Enrique Lores","CEO at HP Inc.","In Personal Systems, revenue was up 5% year-over-year, the second consecutive quarter of year-over-year growth. Operating profit was 6.4%, in line with our expectations. Globally, our PC share was flat year-over-year, but up 1.3 points quarter-over-quarter. This was driven by growth in high-value categories, including workstations and consumer premium. We continue to see strong progress in key growth areas, with revenue up year-over-year in Personal Systems Services and in Hybrid Systems, driven by strong demand for video collaboration. And we grew Gaming revenue quarter-over-quarter in line with normal seasonality. We remain very excited about the AI PCs opportunity. Shipments are ramping, and initial reactions are overwhelmingly positive. We have a strong portfolio with an unprecedented level of HP engineering. Our growing ecosystem of developers and AI software providers are a huge competitive advantage.","https://www.marketbeat.com/earnings/reports/2024-8-28-hp-inc-stock/"
"HPQ","2024-08-28","Enrique Lores","CEO at HP Inc.","Forbes declared HP wants the AI PC crown, and they are right. Our focus is on delivering new AI experiences for our customers. Overall, our AI PC expectations across shipments, higher ASPs, and premium mix remains on track with our expectations for the second half. Shifting to Print, net revenue was down 3% year-over-year. We delivered Print operating profit of 17.3%, which was below our expectations. We saw a softer demand, unfavorable geo mix, and a more aggressive pricing environment. Even in this type of challenging environment, I expect us to do better, and as I said earlier, we are taking actions to accelerate our structural cost savings for this year. We have made progress on gaining profitable share, with growth year-over-year and quarter-over-quarter in home and in office, when excluding China.","https://www.marketbeat.com/earnings/reports/2024-8-28-hp-inc-stock/"
"HPQ","2024-08-28","Enrique Lores","CEO at HP Inc.","We gained share in our strategic areas, especially in big banks, A3, and A4 value. Key growth areas in Print continue to make progress. Consumer Services revenue and subscribers grew year-over-year. Industrial Graphics did as well, and we have strong momentum coming out of Drupa, and supplies continue to perform as expected. Overall, we generated strong free cash flow of $1.3 billion in the quarter and returned $0.9 billion to shareholders. We remain committed to our capital allocation strategy. Our board of directors has just increased the total share repurchase authorization to $10 billion. This reaffirms our commitment to deliver strong and sustained capital return to our shareholders. Looking forward to Q4, we expect the demand environment will remain dynamic and that our market will continue to be competitive.","https://www.marketbeat.com/earnings/reports/2024-8-28-hp-inc-stock/"
"HPQ","2024-08-28","Enrique Lores","CEO at HP Inc.","We expect the PC commercial momentum to continue and our key growth areas to make progress. At the same time, the competitive pricing environment will remain in Q4, and the Print market recovery will continue to be slower. As a result, we decided to moderate our expectations for Q4 and the full year. We will maintain investments and progress in high-value and key growth areas and accelerate our cost reduction plans. We are confident in our strategy and well-equipped to drive meaningful progress as we round out fiscal year 2024. Across our entire portfolio, leveraging AI and enabling hybrid work experiences will remain central to creating solutions that deliver growth and fulfillment for all HP customers. I will pause here and turn it over to Karen.","https://www.marketbeat.com/earnings/reports/2024-8-28-hp-inc-stock/"
"HPQ","2024-08-28","Karen Parkhill","CFO at HP Inc.","Thank you, Enrique, for the warm welcome. I'm thrilled to join HP, and I'm eager to meet you, our analysts and investors, in the months ahead. Though I've been here just a few weeks, I'm incredibly impressed by the innovation all around me. HP is an iconic company, and I'm excited to work with Enrique and our leadership team to create an even stronger future ahead. Building upon our market-leading portfolio, attractive growth businesses, and culture keenly focused on delivering value for our shareholders. Now, onto the quarter. Starting high level, we are building on the progress we made in the first half, and as Enrique said, are pleased with our return to revenue growth for the first time in nine quarters. Solid performance in Personal Systems, which grew for the second quarter in a row and in our key growth areas, drove our Q3 revenue growth.","https://www.marketbeat.com/earnings/reports/2024-8-28-hp-inc-stock/"
"HPQ","2024-08-28","Karen Parkhill","CFO at HP Inc.","And double-digit sequential growth in Personal Systems drove strong Free Cash Flow in the quarter. We also returned nearly $870 million to our shareholders through repurchases and dividends, and remain focused on returning approximately 100% of our Free Cash Flow this fiscal year. Looking across the company, the print market was softer than we expected at the beginning of the quarter, and both Print and PS saw a dynamic pricing environment that put some pressure on our margins, as did our focus on continuing to invest for long-term sustainable growth. As a result, and as Enrique mentioned, we are accelerating our Future Ready plan and intend to deliver savings sooner than expected.","https://www.marketbeat.com/earnings/reports/2024-8-28-hp-inc-stock/"
"HPQ","2024-08-28","Karen Parkhill","CFO at HP Inc.","As a reminder, our plan incorporated our goal to deliver gross annualized structural cost savings of $1.6 billion by the end of fiscal year 2025, with approximately 70% or $1.1 billion achieved by the time we exit the fiscal year. Given our focus to mitigate near-term market challenges, and just as importantly, maintain investments to drive longer-term growth, we have accelerated our efforts and now expect our cumulative savings target exiting the fiscal year to be approximately $1.3 billion or 80% of the planned target. Now, let's take a closer look at the details of the quarter. Net revenue was up 2% nominally and up 3% in constant currency. In constant currency, revenue increased in all regions, with Americas, EMEA, and APJ each growing 3%.","https://www.marketbeat.com/earnings/reports/2024-8-28-hp-inc-stock/"
"HPQ","2024-08-28","Karen Parkhill","CFO at HP Inc.","Gross margin at 21.5% in the quarter was up slightly year-over-year. Our cost-saving efforts offset both competitive pricing in the face of rising commodity costs and a mix shift, given the strong PS performance. Non-GAAP operating expenses were up year-over-year from continued investment in key initiatives and our people, and of course, we continued to drive cost reductions, including the Future Ready cost savings. All in, non-GAAP operating profit was $1.1 billion, down 7% year-over-year. Below the op profit line, non-GAAP net OI&E was down year-over-year, benefiting from less short-term financing activity and lower interest expense from the debt tender we completed last year.","https://www.marketbeat.com/earnings/reports/2024-8-28-hp-inc-stock/"
"HPQ","2024-08-28","Karen Parkhill","CFO at HP Inc.","Finally, with a diluted share count of roughly one billion shares, our non-GAAP diluted net earnings per share were $0.83, a year-over-year decrease of $0.03, and GAAP diluted net earnings per share were $0.65. Now, let's turn to segment performance. Personal Systems revenue was up 5%, both nominally and in constant currency, with higher commercial volumes and increased ASPs as we worked to adjust pricing where possible to mitigate increased commodity costs. Total units were up 1% year-over-year, with strength in commercial. And sequentially, revenue was up 11% and units were up 14%, with seasonal strength and overall share gains. Of note, Hybrid Systems revenue grew in the double digits year-over-year, including strong growth in video collaboration.","https://www.marketbeat.com/earnings/reports/2024-8-28-hp-inc-stock/"
"HPQ","2024-08-28","Karen Parkhill","CFO at HP Inc.","Drilling more into the details, consumer revenue was down 1%, with units down 6%, and commercial revenue was up 8% on 6% unit growth. Improved pricing in consumer, along with favorable commercial mix and a shift to premium, consistent with our strategy, drove higher overall ASPs. In fact, we continued to see commercial representing greater than 70% of Personal Systems revenue. And while calendar Q2 market share was flat year-over-year, we gained share sequentially, driving improvements in high-value categories. And of course, we remain focused on driving profitable revenue and share growth in both our consumer and commercial markets. Personal Systems' operating margin of 6.4% was down slightly year-over-year. We had higher commodity costs and purposely continued our strategic investment, offset in part by Future Ready savings.","https://www.marketbeat.com/earnings/reports/2024-8-28-hp-inc-stock/"
"HPQ","2024-08-28","Karen Parkhill","CFO at HP Inc.","In Print, our results reflected the slower pace of market recovery and an incrementally aggressive pricing environment, as our Japanese competitors continued to benefit from the weaker yen. Overall, the market came in below expectations, particularly in China. Total Print revenue was down 3% on a reported basis and 2% in constant currency. While hardware units declined 2% year-over-year, total Print market share increased both year-over-year and sequentially. Momentum in Industrial Graphics continued, with supplies and services driving the fourth straight quarter of year-over-year revenue growth. By customer segment, commercial revenue decreased 5%, with units down 4%. As mentioned, we felt the impact of market declines, most notably in China and competitive pricing. Consumer revenue returned to growth, increasing 2% on flat units, with favorable mix offsetting pricing.","https://www.marketbeat.com/earnings/reports/2024-8-28-hp-inc-stock/"
"HPQ","2024-08-28","Karen Parkhill","CFO at HP Inc.","Of note, hardware units grew 5% sequentially, driven by strength in consumer, and supplies revenue was down 2% nominally and 1% in constant currency, in line with our outlook. Print operating margin of 17.3% was down year-over-year, with headwinds from pricing and increased investments, not fully offset by savings from our Future Ready actions. On our Future Ready transformation plan, we continue to drive greater effectiveness and efficiency across the company. For example, we're using generative AI capabilities to reduce customer call times in Workforce Solutions.","https://www.marketbeat.com/earnings/reports/2024-8-28-hp-inc-stock/"
