"symbol","report_date","speaker","title","msg","source_url"
"IEX","2025-07-30",NA,NA,"Greetings and welcome to the second quarter 2025 IDEX Corporation earnings conference call. At this time, all participants are in a listen-only mode. A question-and-answer session will follow the formal presentation. If anyone should require operator assistance, please press star zero on your telephone keypad. Please note this conference call is being recorded. It is now my pleasure to introduce your host, Jim Giannakouros, Vice President, Investor Relations. Thank you. You may begin.","https://www.marketbeat.com/earnings/reports/2025-7-30-idex-co-stock/"
"IEX","2025-07-30","Jim Giannakouros","VP of Investor Relations at IDEX Corporation","Thank you. Good morning, everyone, and welcome to IDEX's second quarter 2025 earnings conference call. We released our second quarter financial results earlier this morning, and you can find both our press release and earnings call slide presentation in the Investor Relations section of our website, idexcorp.com. On the call with me today are Eric Ashleman, President and Chief Executive Officer of IDEX, and Akhil Mahendra, our Interim Chief Financial Officer and Vice President of Corporate Development. Today's call will begin with Eric providing highlights of our second quarter results and a discussion of our current business outlook and strategies, and Akhil will discuss additional financial details and our updated outlook for 2025. Following our prepared remarks, we will open up the line for questions.","https://www.marketbeat.com/earnings/reports/2025-7-30-idex-co-stock/"
"IEX","2025-07-30","Jim Giannakouros","VP of Investor Relations at IDEX Corporation","Before we begin, please refer to slide two of our presentation, where we note that comments today will include forward-looking statements based on current expectations. Actual results could differ materially from these statements due to a number of risks and uncertainties, which are discussed in our press release and SEC filings. As IDEX provides non-GAAP financial information, we provided reconciliations between GAAP and non-GAAP measures in our press release and in the appendix of our presentation materials, which are available on our website. With that, I will turn the call over to Eric.","https://www.marketbeat.com/earnings/reports/2025-7-30-idex-co-stock/"
"IEX","2025-07-30","Eric Ashleman","President and CEO at IDEX Corporation","Thanks, Jim. Good morning, everyone, and thank you for joining us today. I'm on slide three. The IDEX teams across all three segments delivered better-than-expected results in Q2 despite continued macro uncertainty. I'd like to thank our teams around the world for their hard work and strong execution as they navigated a very fluid environment. Our teams are bound together with a simple value creation equation that adapts quickly to address challenges and deliver on opportunities. We deliver differentiated critical impact from low points in our customers' bill of materials, typically at the component level, allowing us to quickly shift towards advantaged applications and increasingly so with integrated growth opportunities, most often driven by changes in customer demands. I'd like to walk through a real-time growth example of this dynamic tuning at Airtech, a business acquired in 2021 within HST, to illustrate our team's agility in action.","https://www.marketbeat.com/earnings/reports/2025-7-30-idex-co-stock/"
"IEX","2025-07-30","Eric Ashleman","President and CEO at IDEX Corporation","Airtech delivers customer value through pneumatic solutions, most often in the form of specialty blowers or valves. It sits next to our outstanding gas business, with some light integration within channels to market and functional leadership. Four years ago, at the time of acquisition, their product lines were growing within mutually exclusive application sets supported by good operational performance with room for targeted improvements. Today, they are growing much faster as they've helped their customers shift their core businesses towards solutions within data center applications, specifically fuel cell power support and thermal management via liquid cooling. Airtech's two product lines benefit from joint exposure to this fast-growing space, and the leadership team at Airtech is leaning in to help them drive process efficiency to fully leverage profitability to support group performance.","https://www.marketbeat.com/earnings/reports/2025-7-30-idex-co-stock/"
"IEX","2025-07-30","Eric Ashleman","President and CEO at IDEX Corporation","Finally, applying 80/20 has helped them focus and fully resource these applications in a powerful way, which in turn is multiplying their impact. As data center solutions scale, our customers have experienced additional pain points outside the scope of pneumatics. This is where other IDEX capabilities come in, and in this case, Airtech is looking to Mott to address a key technical problem to drive significant system efficiencies. Their solution is currently under review by a key customer. Finally, they are also exploring operational opportunities that leverage IDEX's infrastructure and world-class capabilities in India. This is a great story that advanced in the second quarter. It demonstrates the power of our dynamic business model, our commitment to 80/20, and the leverage of IDEX's global capabilities with proprietary capital deployment via M&A as the key catalyst.","https://www.marketbeat.com/earnings/reports/2025-7-30-idex-co-stock/"
"IEX","2025-07-30","Eric Ashleman","President and CEO at IDEX Corporation","We're confident in the pneumatics team's plans to drive even more growth and value creation in the quarters and years to come. Turning to an overview of business conditions, we saw some impactful patterns play out in Q2 in July that helped us think about our likely path to close out the year. First, we have some areas of healthy demand, including food and pharma applications within IH&S and MPT, space and defense applications at MOT and Optical Technologies, North American Fire, downstream energy custody transfer, intelligent water, and data center thermal management within pneumatics. Weaker areas include chemicals, auto, semiconductor lithography, and ag. The rest of the portfolio was pretty steady. Within Q2, there were some strong demand influence in the form of trade policy positioning statements that were unpredictable, shocking the system and setting up sine waves of up-and-down order patterns.","https://www.marketbeat.com/earnings/reports/2025-7-30-idex-co-stock/"
"IEX","2025-07-30","Eric Ashleman","President and CEO at IDEX Corporation","Daily demand levels moved dynamically between policy announcements and negotiation deadlines as customers attempted to de-risk tariff and pricing exposure. In the end, we see two implications. First, the patterns are moving around a relatively stable baseline that did not line up well with the quarter endpoint. However, in July, we saw a modest order recovery build through the month. Second, and most important for us, the sudden and unpredictable shifts in policy are slowing down decision-making and conviction for larger orders. This has the highest go-forward impact for us in some more recently acquired areas of IDEX, where strong growth funnels supported earlier expectations of accelerating back half revenue and margins. As a result, we are lowering our back half financial projections to better reflect this dynamic. We are very confident in the quality of our businesses.","https://www.marketbeat.com/earnings/reports/2025-7-30-idex-co-stock/"
"IEX","2025-07-30","Eric Ashleman","President and CEO at IDEX Corporation","They are set up to solve some of the most complex challenges in advantaged markets. Coupling this with our long-established operational capabilities, we believe we are very well positioned to drive attractive growth and value for all of our stakeholders. I'm now on slide four. Before Akhil covers the financial details of both our Q2 performance and our updated guidance, I'd like to step back and help you understand our journey and the progress we are making towards long-term revenue and margin acceleration through growth platforms. Our goal is simple: extend IDEX's growth potential through variable levels of integration to win in advantaged markets where customers are demanding more solutions impact than any one single business unit can provide alone. Here are two examples. First is HST's IDEX Health & Science platform that we built through thoughtful capital deployment over the last 20 years.","https://www.marketbeat.com/earnings/reports/2025-7-30-idex-co-stock/"
"IEX","2025-07-30","Eric Ashleman","President and CEO at IDEX Corporation","Health & Science is an integrated global platform of world-class technologies that has added thin film optics, system integration, and microfluidic capabilities to its core fluidics portfolio. We have divested some small non-core businesses along the way, consolidated like businesses together in a state-of-the-art Greenfield site in Rochester, New York, and integrated commercial and technical teams across the platform. This work has driven strong value for customers and shareholders over the years and is well positioned to meaningfully do so in the years to come. An example of this work in action today involves a key win for integrated sample prep within a cutting-edge protein analysis instrument. Our team designed a metal-free ceramic valve for cutting-edge core performance. A cross-business development team enhanced overall systems performance by incorporating a suite of our platform's fluidic connection technologies. They even pulled on nano-filtration technologies from Mott Corporation to take everything one step further.","https://www.marketbeat.com/earnings/reports/2025-7-30-idex-co-stock/"
