"symbol","report_date","speaker","title","msg","source_url"
"INCY","2024-07-30",NA,NA,"Hello, and welcome to the Incyte second quarter 2024 earnings conference call. If anyone should require operator assistance, please press star zero on your telephone keypad. A question-and-answer session will follow the formal presentation. In the interest of time, we ask that you please limit yourselves to one question. You may be placed into question queue at any time by pressing star one on your telephone keypad. As a reminder, this conference is being recorded. It's now my pleasure to turn the conference over to Ben Strain, Associate Vice President, Investor Relations. Please go ahead, Ben.","https://www.marketbeat.com/earnings/reports/2024-7-30-incyte-co-stock/"
"INCY","2024-07-30","Ben Strain","VP of Investor Relations at Incyte Corp.","Thank you, Kevin. Good morning and welcome to Incyte second quarter 2024 earnings conference call. Before we begin, I encourage everyone to go to the investor section of our website, find the press release, related financial tables, and slides that follow today's discussion. On today's call, I'm joined by HervÃ©, Pablo, and Christiana, who will deliver our prepared remarks. Barry, Steven, and Barry will also be available for Q&A. I would like to point out that we'll be making forward-looking statements which are based on our current expectations and beliefs. These statements are subject to certain risks and uncertainties, and our actual results may differ materially. I encourage you to consult the risk factors discussed in our SEC filings for additional detail. I will now turn the call over to HervÃ©.","https://www.marketbeat.com/earnings/reports/2024-7-30-incyte-co-stock/"
"INCY","2024-07-30","HervÃ© Hoppenot","CEO at Incyte Corp.","Thank you, Ben, and good morning, everyone. During the second quarter of 2024, we made significant progress across the business with strong performance on the commercial side driven by Jakafi and Opzelura, transformation of our pipeline where we made important decisions on our clinical programs, and capital allocation where we closed the Escient acquisition and completed the large share repurchase. Looking at Q2 revenue, total revenue grew 9% year-over-year, exceeding $1 billion, while net product revenue grew 10% driven by the continued success of Jakafi and Opzelura, which I will detail in the following slides. We continue to make strategic decisions that are transforming our clinical pipeline, and during the second quarter, we closed the acquisition of Escient Pharmaceuticals, which added two first-in-class medicines to our IAI portfolio.","https://www.marketbeat.com/earnings/reports/2024-7-30-incyte-co-stock/"
"INCY","2024-07-30","HervÃ© Hoppenot","CEO at Incyte Corp.","Additionally, we are intensifying our focus and concentrating resources on those high-potential programs which have the largest impact for patients and for Incyte. We also recently completed a large $2 billion share repurchase, further highlighting our excitement and conviction in our clinical pipeline and commercial business while retaining a strong balance sheet for potential further business development activities. Over the last 12 months, our clinical pipeline has significantly advanced, and we are on track to deliver a number of best-in-class and/or first-in-class differentiated medicines in areas where there are no or limited treatment options. When comparing our pipeline today on slide 6 to where we were just seven months ago, we have added potentially transformative clinical programs including KRAS G12D, TGF-Î², PD-1, mRGPRX2, and X4, and we have deprioritized some of the immuno-oncology programs including TIM-3 and LAG-3 antibodies, LAG-3 PD-1 bispecific, and the oral PD-L1 program.","https://www.marketbeat.com/earnings/reports/2024-7-30-incyte-co-stock/"
"INCY","2024-07-30","HervÃ© Hoppenot","CEO at Incyte Corp.","Pablo will describe this pipeline transformation in some details and will provide clarity on the potential timing of data availability. Moving to slide 7, Jakafi's net product revenues were $706 million, up 3% year-over-year. Paid demand increased 9%. As a reminder, the second quarter of 2023 benefited by approximately $37 million from channel inventory, which explains the 3% growth of net sales versus the 9% growth of actual demand. Based on the strength in demand seen during the first half of the year and anticipated growth for the balance of the year, we are raising the bottom end of our full year 2024 Jakafi net revenue guidance to a new range of $2.71 billion-$2.75 billion. Turning to slide 8 and looking at Jakafi total paid demand by indication during the first quarter of 2022, 23, and 24.","https://www.marketbeat.com/earnings/reports/2024-7-30-incyte-co-stock/"
"INCY","2024-07-30","HervÃ© Hoppenot","CEO at Incyte Corp.","As you can see, unit growth continued to be strong. MF is stable year-over-year, with modest growth seen this quarter, and the largest growth coming from both PV and GVHD. Jakafi continues to maintain its leadership in MF. Based on market research, discontinuation rates have remained stable in the first-line setting over the past several months, with minimal impact from competitors. These trends have been consistent with our expectations. Moving to Opzelura on slide 9, total Opzelura net product revenue in the second quarter was $122 million, up 52% when compared to the same quarter last year. The weekly prescription trend, as shown on the right of slide 9, reflects continued growth of Opzelura in both atopic dermatitis and vitiligo, and U.S. total prescriptions for Opzelura grew 34% year-over-year, while refills grew 50% year-over-year.","https://www.marketbeat.com/earnings/reports/2024-7-30-incyte-co-stock/"
"INCY","2024-07-30","HervÃ© Hoppenot","CEO at Incyte Corp.","From an access perspective, we continue to see encouraging results since Opzelura moved to earlier positions in certain commercial plans, demonstrating a positive impact on net sales following the improved access. Moving to slide 10, during the second quarter, we made continued progress on the reimbursement of Opzelura in Europe. Opzelura is now reimbursed in Germany, France, Italy, and Spain, and the $11 million in net sales during the second quarter were mostly driven by Germany and France. We expect Spain and Italy to start contributing to revenue beginning in Q3. As shown on slide 11, Opzelura was the first therapy to gain full reimbursement in France through a new process called AccÃ¨s Direct. This process has accelerated patients' ability to obtain Opzelura while pricing negotiations were ongoing and were reflected in the increase in revenues seen in Q2. I will now turn the call over to Pablo.","https://www.marketbeat.com/earnings/reports/2024-7-30-incyte-co-stock/"
"INCY","2024-07-30","Pablo Cagnoni","EVP at Incyte Corp.","Thank you, HervÃ©, and good morning, everyone. Since joining Incyte one year ago, the R&D organization and I have been centered on accelerating the transformation of our pipeline to expand our leadership in treating patients with inflammatory diseases, MPNs, cancer, and graft-versus-host disease. By harnessing a culture of rigorous decision-making, intense focus, and excellence in execution, we have made considerable progress in advancing our goal of delivering best-in-class and/or first-in-class differentiated medicines in areas where there are no or limited treatment options. As a result, we anticipate delivering more than 10 high-impact launches by 2030, several of which are new molecular entities. As HervÃ© mentioned, we recently completed a strategic review of our pipeline to focus resources on programs with novel biology that hold the highest potential impact for patients.","https://www.marketbeat.com/earnings/reports/2024-7-30-incyte-co-stock/"
"INCY","2024-07-30","Pablo Cagnoni","EVP at Incyte Corp.","Based on available data, the evolving treatment landscape, and the evolution of our internal pipeline, we have decided to discontinue a number of programs, including our oral PD-L1 programs, our LAG-3 monoclonal antibody program, our TIM-3 monoclonal antibody program, and our LAG-3 by PD-1 bispecific program. These data-driven decisions will enable us to fully realize the potential of our pipeline by delivering significant value to patients and our shareholders. With a strong sense of urgency, we plan to achieve a number of important clinical milestones in the coming months. We will advance the development of 12 new molecular entities, and we will achieve up to seven pivotal readouts, as well as eight readouts that will provide proof of concept and new indications for existing programs or for new molecular entities. In the next few slides, I will highlight a number of these programs.","https://www.marketbeat.com/earnings/reports/2024-7-30-incyte-co-stock/"
"INCY","2024-07-30","Pablo Cagnoni","EVP at Incyte Corp.","In inflammation and autoimmunity, we continue to expand the breadth and novelty of our pipeline and expect to deliver multiple data sets beginning this year and beyond. We continue to evaluate the potential of ruxolitinib cream and povorcitinib across several new indications, including pediatric atopic dermatitis, prurigo nodularis, hidradenitis suppurativa, chronic spontaneous urticaria, and asthma. With a recent acquisition of Escient Pharmaceuticals, we have added two potential first-in-class medicines that aim to address a number of debilitating conditions, including chronic spontaneous urticaria, chronic inducible urticaria, atopic dermatitis, and cholestatic pruritus. We believe that with the introduction of these new medicines for these conditions, we will see a greater number of patients seeking treatment who are currently underserved with available therapies or who are currently not receiving treatment.","https://www.marketbeat.com/earnings/reports/2024-7-30-incyte-co-stock/"
