"symbol","report_date","speaker","title","msg","source_url"
"JBHT","2025-10-15",NA,NA,"Good afternoon and welcome to the J.B. Hunt Transport Services third quarter 2025 earnings conference call. All participants will be in listen-only mode. Should you need assistance, please signal a conference specialist by pressing the star key followed by zero. After today's presentation, there will be an opportunity to ask questions. To ask a question, you may press star, then one on your telephone keypad. To withdraw your question, please press star, then two. Please note this event is being recorded. I would now like to turn the conference over to Andrew Hall, Senior Director of Finance. Please go ahead.","https://www.marketbeat.com/earnings/reports/2025-10-15-jb-hunt-transport-services-inc-stock/"
"JBHT","2025-10-15","Andrew Hall","Senior Director of Finance at J.B. Hunt Transport Services","Good afternoon. Before I introduce the speakers, I would like to provide some disclosures regarding forward-looking statements. This call may contain forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995. Words such as expects, anticipates, intends, estimates, or similar expressions are intended to identify these forward-looking statements. These statements are based on J.B. Hunt current plans and expectations and involve risks and uncertainties that could cause future activities and results to be materially different from those set forth in the forward-looking statements. For more information regarding risk factors, please refer to J.B. Hunt annual report on Form 10-K and other reports and filings with the Securities and Exchange Commission. Now, I would like to introduce the speakers on today's call.","https://www.marketbeat.com/earnings/reports/2025-10-15-jb-hunt-transport-services-inc-stock/"
"JBHT","2025-10-15","Andrew Hall","Senior Director of Finance at J.B. Hunt Transport Services","This afternoon, I'm joined by our President and CEO, Shelley Simpson, our CFO, Brad Delco, Spencer Frazier, EVP of Sales and Marketing, our COO and President of Highway Services and Final Mile, Nick Hobbs, Brad Hicks, President of Dedicated Contract Services, and Darren Field, President of Intermodal. I'd now like to turn the call over to our CEO, Shelley Simpson, for some opening comments.","https://www.marketbeat.com/earnings/reports/2025-10-15-jb-hunt-transport-services-inc-stock/"
"JBHT","2025-10-15","Shelley Simpson","CEO and President at J.B. Hunt Transport Services","Thank you, Andrew, and good afternoon. Throughout the year, our focus has been on three clear priorities: operational excellence, scaling into our investments, and continuing to repair our margins to drive stronger financial performance. We are executing these priorities with discipline and determination, guided by a strategy designed to strengthen our competitive position and unlock long-term value for our shareholders. I am highly confident that our approach is building a stronger company, one that is fully equipped to capitalize on meaningful growth opportunities ahead while driving stronger financial performance. Across our businesses, service levels remain excellent. We have systemically elevated our service standards to drive disciplined, profitable growth with both new and existing customers. Even as overall freight demand softened during the quarter, our unwavering commitment to service enabled our intermodal and highway businesses to capture additional volume and outperform the market. Operational excellence is now synonymous with J.B. Hunt, and we are leveraging this reputation to drive strategic growth and maximize returns on our investments to match the unique value and strong service levels we provide for customers. We remain focused on controlling what we can, optimizing costs in the near term without sacrificing our future earnings' power potential. In addition, we are placing a heightened emphasis on operational efficiency throughout the organization. By streamlining processes, adopting best practices, and leveraging technology, we aim to utilize every resource as effectively as possible to maximize productivity and performance. Our initiative to lower our cost to serve, announced last quarter, is focused on removing structural costs from our business. The organization's collaborative efforts continue to gain momentum, and Brad will share more details on our progress.","https://www.marketbeat.com/earnings/reports/2025-10-15-jb-hunt-transport-services-inc-stock/"
"JBHT","2025-10-15","Shelley Simpson","CEO and President at J.B. Hunt Transport Services","This initiative marks our latest evolution in expense discipline, and we are making good progress towards reaching our $100 million savings goal and advancing towards our long-term margin target. Now, let me address the elephant in the room: rail consolidation. J.B. Hunt's position is rooted in our commitment to delivering exceptional intermodal service and creating long-term value for our customers and shareholders. We recognize both the opportunities and risks that consolidation presents, but our decades of experience, including navigating seven prior Class 1 railroad mergers and our thoughtfully developed long-term agreements and strong relationships with NS, CSX, and BNSF, should provide the basis for us to adapt to any changes in the industry. As the largest domestic intermodal provider, our scale and influence allow us to coordinate complex intermodal moves and deliver unique solutions for our customers.","https://www.marketbeat.com/earnings/reports/2025-10-15-jb-hunt-transport-services-inc-stock/"
"JBHT","2025-10-15","Shelley Simpson","CEO and President at J.B. Hunt Transport Services","We are consistently rated best in class by third-party industry surveys of intermodal customers, and our ability to deliver seamless, differentiated service across the entire North American intermodal network is a key competitive advantage. Our focus remains on providing reliable, efficient, and innovative service that benefits our customers now and into the future. As the rail industry evolves, we expect our proven adaptability and unwavering dedication to service will not only safeguard our leadership position but should also continuously set higher standards of excellence for our customers. I want to close by recognizing the entire organization for their hard work and progress across many areas of focus. The third quarter is extra special at J.B. Hunt as it includes National Truck Driver and National Technician Appreciation Weeks.","https://www.marketbeat.com/earnings/reports/2025-10-15-jb-hunt-transport-services-inc-stock/"
"JBHT","2025-10-15","Shelley Simpson","CEO and President at J.B. Hunt Transport Services","Our professional drivers and maintenance teams are the backbone of our success, and their record-breaking safety performance is a testament to their skill, dedication, and attention to safety every day. We appreciate all they do to keep our company, our customers, and our community safe. With that, I'd like to turn the call over to our newly appointed CFO, Brad Delco. Brad.","https://www.marketbeat.com/earnings/reports/2025-10-15-jb-hunt-transport-services-inc-stock/"
"JBHT","2025-10-15","Brad Delco","CFO at J.B. Hunt Transport Services","Thanks, Shelley, and good afternoon. I will hit on some highlights of the quarter, review our capital allocation plan, and give an update on the lowering our cost to serve initiative. Let me start with the quarter. As you have already seen from our release, revenue was roughly flat year-over-year, while operating income improved 8% and diluted earnings per share improved 18% vs the prior year period. While inflation in insurance, wages and employee benefits, and equipment costs were all up, our productivity and cost management efforts more than offset those headwinds to drive our improved results. Over the years, you have heard us talk about investing in our long-term growth, maintaining cost discipline without jeopardizing our future earnings power, and creating operating leverage when the market returns.","https://www.marketbeat.com/earnings/reports/2025-10-15-jb-hunt-transport-services-inc-stock/"
"JBHT","2025-10-15","Brad Delco","CFO at J.B. Hunt Transport Services","It is no secret the market hasn't returned yet, but the notable improvement in our financial performance this quarter should serve as a true testament to the talent and capabilities of the people throughout our organization and the execution of our strategy towards operational excellence in safety, service, and lowering our cost to serve. On capital allocation, our balance sheet remains healthy, maintaining leverage around our target of one-time trailing 12-month EBITDA while purchasing over $780 million, or 5.4 million shares of our stock year to date. This aligns with our messaging around pre-funding our long-term future growth during the downturn and having the flexibility with the strong cash flow generation of the business to be opportunistic with share repurchases as a way to return value to our shareholders.","https://www.marketbeat.com/earnings/reports/2025-10-15-jb-hunt-transport-services-inc-stock/"
"JBHT","2025-10-15","Brad Delco","CFO at J.B. Hunt Transport Services","We will be disciplined in our capital allocation approach with investing in the business as priority number one, sustaining our investment-grade balance sheet, supporting future dividend growth, and finally continuing our opportunistic repurchases. Last quarter, we outlined our lowering our cost to serve initiative to remove $100 million of structural costs from the business. I'm happy to share we are off to a good start, having eliminated greater than $20 million in the quarter. Examples of our success are in service efficiencies, balancing our networks, dynamically serving customers to meet their needs, focusing even more on discretionary spending, and driving greater asset utilization. We remain committed to updating you on our progress going forward, but our intent is to demonstrate our progress in our reported results rather than just speak to them.","https://www.marketbeat.com/earnings/reports/2025-10-15-jb-hunt-transport-services-inc-stock/"
