"symbol","report_date","speaker","title","msg","source_url"
"KLAC","2024-10-30",NA,NA,"Good afternoon, everyone. My name is Bo, and I will be your conference operator today. At this time, I would like to welcome everyone to the KLA Corporation's September Quarter 2024 Earnings Conference Call and webcast. All participant lines have been placed in listen-only mode to prevent any background noise. After the speaker's remarks, there will be a question-and-answer session. If you would like to ask a question at that time, please press star one on your telephone keypad. If you wish to remove yourself from the queue, please press star two. Please limit yourself to one question and one follow-up. Lastly, if you should need operator assistance during the call today, please press star zero. I will now turn the call over to Kevin Kessel, Vice President of Investor Relations and Market Analytics. Please go ahead, sir.","https://www.marketbeat.com/earnings/reports/2024-10-30-kla-co-stock/"
"KLAC","2024-10-30","Kevin Kessel","VP of Investor Relations and Market Analytics at KLA Corporation","Welcome to our earnings call to discuss the September 2024 Results and the December Quarter Outlook. I'm joined by our CEO, Rick Wallace, and our CFO, Bren Higgins. We will discuss today's results released after the market closed and available on ir.kla.com, along with the supplemental materials. Today's discussion and metrics are presented on a non-GAAP basis unless otherwise specified. All full-year references we make are to calendar years. The earnings materials contain a detailed reconciliation of GAAP to non-GAAP results. KLA's IR website also contains features investor events, presentations, corporate governance information, and links to our SEC filings, including the most recent annual report and quarterly reports on Forms 10-K and 10-Q. Our comments today are subject to risks and uncertainties reflected in the disclosure of risk factors in our SEC filings.","https://www.marketbeat.com/earnings/reports/2024-10-30-kla-co-stock/"
"KLAC","2024-10-30","Kevin Kessel","VP of Investor Relations and Market Analytics at KLA Corporation","Any forward-looking statements, including those we make on our call today, are also subject to those risks, and KLA cannot guarantee those forward-looking statements will come true. Our actual results may differ significantly from those projected in our forward-looking statements. Rick will start with some introductory comments, followed by Bren with financial highlights and our outlook. Before I turn the call over to our CEO, Rick Wallace, I wanted to provide a save-the-date for our 2025 Investor Day. It will be held on the morning of June 18th, 2025, in New York City at the NASDAQ MarketSite. We will provide more details closer to the event. Now over to Rick.","https://www.marketbeat.com/earnings/reports/2024-10-30-kla-co-stock/"
"KLAC","2024-10-30","Rick Wallace","CEO at KLA Corporation","Thank you, Kevin. KLA's September quarter exhibited strengthening customer demand and solid execution by our global team. Results exceeded expectations and delivered continued relative outperformance with revenue of $2.84 billion, non-GAAP-diluted EPS of $7.33, and GAAP-diluted EPS of $7.01. All results came in at the upper end of their guidance ranges. As expected, we are encouraged by the signs of a strengthening leading-edge logic and memory environment for our top customers, and we remain confident in our plan for steady improvement and continued growth in 2025. The quarter saw a number of highlights, including strong double-digit sequential and year-over-year revenue growth. In Foundry/Logic, the continuation of scaling and incorporation of new technologies and slowly rising capital intensity continue to be a long-term secular tailwind.","https://www.marketbeat.com/earnings/reports/2024-10-30-kla-co-stock/"
"KLAC","2024-10-30","Rick Wallace","CEO at KLA Corporation","In memory, technology development investments supporting AI and High-Bandwidth Memory and an improving supply-demand environment are positioning memory makers for a return to growth for the wafer fab equipment industry in 2025. This quarter continued to demonstrate growing customer adoption for KLA's advanced packaging portfolio, and we remain confident that revenue in this category will exceed $500 million in CY2024 and continue to grow in CY2025. We also continue to see AI as an important driver and enabler of our business. Growth in demand for AI chips supports rising process control intensity, which benefits KLA meaningfully. Additionally, KLA was an early adopter in using and incorporating AI into our products and designing our computer architectures to leverage GPUs. KLA's future product enhancements will leverage AI to improve the performance and customer cost of ownership of our leading-edge systems.","https://www.marketbeat.com/earnings/reports/2024-10-30-kla-co-stock/"
"KLAC","2024-10-30","Rick Wallace","CEO at KLA Corporation","KLA's service business grew to $644 million in the September quarter, up 5% sequentially and 15% year-over-year, making this the 49th consecutive quarter of growth on a year-over-year basis. Finally, the September quarter was strong from a cash flow and capital returns perspective. Quarterly Free Cash Flow was $935 million. Over the last 12 months, Free Cash Flow was $3.2 billion, with Free Cash Flow margin of 31% over the same period. Total capital return in the September quarter was $765 million, comprised of $567 million in share repurchases and $198 million in dividends. Total capital return over the past 12 months was $2.6 billion. We are confident the KLA operating model positions the company well for sustainable outperformance relative to the industry over the long run. I will now pass the call over to Bren to cover financial highlights and our outlook.","https://www.marketbeat.com/earnings/reports/2024-10-30-kla-co-stock/"
"KLAC","2024-10-30","Bren Higgins","CFO at KLA Corporation","Thanks, Rick.","https://www.marketbeat.com/earnings/reports/2024-10-30-kla-co-stock/"
"KLAC","2024-10-30","Bren Higgins","CFO at KLA Corporation","KLA's September quarter results demonstrate market leadership combined with the consistent execution and dedication of our global team. Quarterly revenue was $2.84 billion, above the guidance midpoint of $2.75 billion. Non-GAAP-diluted EPS was $7.33, and GAAP-diluted EPS was $7.01, both above their respective guidance midpoints. Gross margin was 61.2%, slightly below the midpoint of the guidance range as the system's product mix was modestly weaker than expected. Operating expenses were $560 million. Operating expenses were comprised of $322 million in R&D and $238 million in SG&A. Operating margin was 41.5%. Other income and expense net was a $41 million expense, with the downside from guidance attributed to the mark-to-market effect of a strategic supply investment. The quarterly effective tax rate was 13.2%. Quarterly non-GAAP net income was $988 million. GAAP net income was $946 million. Cash flow from operations was $995 million, and Free Cash Flow was $935 million.","https://www.marketbeat.com/earnings/reports/2024-10-30-kla-co-stock/"
"KLAC","2024-10-30","Bren Higgins","CFO at KLA Corporation","The breakdown of revenue by reportable segments and then markets and major products and regions can be found within the shareholder letter and slides. Moving to the balance sheet, KLA ended the quarter with $4.6 billion in total cash, debt of $6.7 billion, and a flexible and attractive bond maturity profile supported by strong investment-grade ratings from all three major rating agencies. Our debt levels are expected to decline in the December quarter as the company retires its November 2024 bonds at maturity. Moving to our outlook, in the near term, the industry outlook remains positive for our business. Our quarter-to-quarter performance is also consistent with the views we articulated at the beginning of the year.","https://www.marketbeat.com/earnings/reports/2024-10-30-kla-co-stock/"
"KLAC","2024-10-30","Bren Higgins","CFO at KLA Corporation","For calendar 2024, supported by recent customer announcements, our expectation is for the WFE market to increase modestly from the mid to the high $90 billion range for the calendar year, based on our internal analysis of reported results and guidance across our peers and customers. Our perspective on calendar 2025 expectations is mostly unchanged from what we articulated last quarter. While we will not be overly specific on expectations for next calendar year until we report in January, we do continue to expect another year of growth, fueled principally by growth and investment in both leading-edge Foundry/Logic and memory, mostly DRAM, offset by lower China demand as customers absorb the equipment investments made over the past couple of years.","https://www.marketbeat.com/earnings/reports/2024-10-30-kla-co-stock/"
"KLAC","2024-10-30","Bren Higgins","CFO at KLA Corporation","Given KLA's business momentum, market share opportunities, and higher expected process control intensity at the leading edge across all segments, we are confident we can maintain our relative WFE market outperformance in calendar 2025. KLA's December quarter guidance is as follows: total revenue is expected to be $2.95 billion, plus or minus $150 million. Foundry/Logic revenue from semiconductor customers is forecasted to be approximately 76%, and memory is expected to be approximately 24% of Semi Process Control systems revenue to semiconductor customers. Within memory, DRAM is expected to be about 76% of the segment mix, and NAND the remaining 24%. Non-GAAP gross margin is forecasted to be 61.5%, Â± one percentage point, or up 30 basis points sequentially at the midpoint on slightly higher revenue and more favorable product mix expectations.","https://www.marketbeat.com/earnings/reports/2024-10-30-kla-co-stock/"
"KLAC","2024-10-30","Bren Higgins","CFO at KLA Corporation","Non-GAAP operating expenses are forecasted in the December quarter to be approximately $580 million as we continue to make important R&D and scaling investments to support expected revenue growth. Looking ahead, we expect approximately $15 million in incremental quarterly spend and operating expenses over the next several quarters, supported by our product development roadmap requirements, revenue growth expectations, and further balanced against our 40%-50% incremental operating margin leverage business model over the long run. Other model assumptions for the December quarter include non-GAAP other income and expense net of approximately a $33 million expense. GAAP-diluted EPS is expected to be $7.45, Â± $0.60, and non-GAAP-diluted EPS of $7.75, Â±$0.60. EPS guidance is based on a fully diluted share count of approximately 134 million shares.","https://www.marketbeat.com/earnings/reports/2024-10-30-kla-co-stock/"
"KLAC","2024-10-30","Bren Higgins","CFO at KLA Corporation","In conclusion, we are guiding to our third consecutive quarter of sequential revenue growth on improving market demand at the leading edge and expect annual growth to continue in calendar 2025. KLA remains focused on delivering a differentiated product portfolio that addresses customers' technology roadmap requirements and drives our longer-term relevancy and growth expectations. KLA is focused on customer success, delivering innovative and differentiated solutions and operational excellence for what drives industry-leading financial and Free Cash Flow performance and allows us to return capital consistently. The return of semiconductor scaling leads to an increasing complexity and new technologies that have strengthened our confidence in the rising importance of process control for enabling new technology advancements. This is not just in improving time-to-results and process integration and fab ramp, but also in optimizing yield across high-volume manufacturing environments with high semiconductor device design mix.","https://www.marketbeat.com/earnings/reports/2024-10-30-kla-co-stock/"
"KLAC","2024-10-30","Bren Higgins","CFO at KLA Corporation","In addition, our service business continues to increase its relevance as system lifetime increases, and customer expectations for increased tool availability and performance is a growing long-term tailwind. This bodes well for KLA's long-term growth outlook, and industry demand trends favoring KLA are continuing to improve. In alignment with this, KLA's business is well-positioned, and the long-term secular trends driving semiconductor industry demand and investments in WFE are very promising. That concludes the prepared remarks. Let's begin the Q&A.","https://www.marketbeat.com/earnings/reports/2024-10-30-kla-co-stock/"
"KLAC","2024-10-30",NA,NA,"Thank you. Ladies and gentlemen.","https://www.marketbeat.com/earnings/reports/2024-10-30-kla-co-stock/"
