"symbol","report_date","speaker","title","msg","source_url"
"KMI","2025-01-22",NA,NA,"Please unmute your phones and state your first and last name when prompted. Today's conference is being recorded. If you have any objections, you may disconnect at this time. It is now my pleasure to turn the call over to Mr. Rich Kinder, Executive Chairman of Kinder Morgan. Sir, you may begin.","https://www.marketbeat.com/earnings/reports/2025-1-22-kinder-morgan-inc-stock/"
"KMI","2025-01-22","Rich Kinder","Executive Chairman at Kinder Morgan","Okay. Thank you, Michelle. And before we begin, as we always do, I'd like to remind you that KMI's earnings release today, and this call includes forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995 and the Securities and Exchange Act of 1934, as well as certain non-GAAP financial measures. Before making any investment decisions, we strongly encourage you to read our full disclosure on forward-looking statements and use of non-GAAP financial measures set forth at the end of our earnings release, as well as review our latest filings with the SEC for important material assumptions, expectations, and risk factors that may cause actual results to differ materially from those anticipated and described in such forward-looking statements.","https://www.marketbeat.com/earnings/reports/2025-1-22-kinder-morgan-inc-stock/"
"KMI","2025-01-22","Rich Kinder","Executive Chairman at Kinder Morgan","I usually kick off these earnings calls with an overview of developments present and future in the midstream energy space, with special emphasis on the various growth drivers for natural gas demand. These drivers are creating enormous opportunities for expansion of the natural gas pipeline and storage system across America, and especially in the Gulf Coast and Southeast regions. At the beginning of this new calendar year, I thought it might be appropriate to be a little more specific about Kinder Morgan's response to those opportunities.","https://www.marketbeat.com/earnings/reports/2025-1-22-kinder-morgan-inc-stock/"
"KMI","2025-01-22","Rich Kinder","Executive Chairman at Kinder Morgan","In the last few months, we have announced the FID of four new major projects: the expansion of our GCX system out of the Permian Basin, our SS4 expansion on our Southern Natural Gas System, our Mississippi Crossing Line, which will serve SS4 and other increased demand in the Southeast, and our Trident Line, which we announced today, which will serve growing demand in the Southeast Texas region, including the new Golden Pass LNG facility. Altogether, these new projects will entail capital expenditures net to us in excess of $5 billion and will have the capacity to transport over 5 BCF a day of natural gas, and all of these projects, I would point out, are supported by long-term contracts with creditworthy customers, almost entirely on the demand side.","https://www.marketbeat.com/earnings/reports/2025-1-22-kinder-morgan-inc-stock/"
"KMI","2025-01-22","Rich Kinder","Executive Chairman at Kinder Morgan","Now, while for obvious reasons we're not disclosing specific IRR targets for these projects, I know you realize our board would not have approved without returns that are significantly above our cost of capital. In addition to these projects, we're seeing other sizable opportunities to grow our business, as exemplified by our recently announced Outrigger's transaction, which will expand our position in the Bakken. In fact, this is the most exciting time to be in the midstream natural gas market that I've seen in my long decades in this business. We believe that our investments, as they come online, will drive growth in EBITDA and EPS for years to come. With that, I'll turn it over to Kim.","https://www.marketbeat.com/earnings/reports/2025-1-22-kinder-morgan-inc-stock/"
"KMI","2025-01-22","Kimberly Dang","CEO at Kinder Morgan","Okay. Thanks, Rich. 2024 was a very good year in terms of our financial performance. We grew EBITDA and EPS, and we improved our leverage metrics, and we set the company up for future success, securing commercial contracts to underpin $6.3 billion in new expansion projects that will add growth for the future. Today, we announced we're proceeding with the $1.7 billion Trident project, as Rich just said, and we also announced today that we successfully secured contracts to upsize our previously announced MSX project by 300 million cubic feet a day to 1.8 BCF a day. For the quarter, we added $3.5 billion in expansion projects to the backlog, which is primarily comprised of Trident and MSX.","https://www.marketbeat.com/earnings/reports/2025-1-22-kinder-morgan-inc-stock/"
"KMI","2025-01-22","Kimberly Dang","CEO at Kinder Morgan","For the year, we have added $6.3 billion in projects to the backlog and placed $1.2 billion of projects in service, growing the backlog from $3 billion at the end of last year to $8.1 billion today. These projects will pay benefits for many years to come. As a result of the projects added to the backlog, we now expect to spend approximately $2.5 billion per year in expansion CapEx for the next several years, up from our prior estimate of approximately $2 billion per year. During the quarter, we also agreed to purchase a natural gas gathering and processing system in the Bakken, which is complementary to our existing Bakken assets for $640 million. The system is backed by long-term contracts from creditworthy counterparties.","https://www.marketbeat.com/earnings/reports/2025-1-22-kinder-morgan-inc-stock/"
"KMI","2025-01-22","Kimberly Dang","CEO at Kinder Morgan","On a GAAP basis, the purchase price translates into an eight-times multiple, but based on the cash we receive in 2025, the multiple is approximately six times. In addition, in the future, we expect the acquisition to reduce CapEx that we would have otherwise had to spend to expand for our customers. As we look to the future, we continue to see additional growth opportunities in natural gas between LNG exports to Mexico, power, and industrial growth. Our internal number for growth in the overall natural gas business is roughly 28 BCF a day of growth between now and 2030. Our assets are well-positioned to serve this growth. We currently serve approximately 45% of the export LNG demand, 50% of the exports to Mexico, and 45% of the power demand in the combined region of the Desert Southwest, Texas, and the Southeast.","https://www.marketbeat.com/earnings/reports/2025-1-22-kinder-morgan-inc-stock/"
"KMI","2025-01-22","Kimberly Dang","CEO at Kinder Morgan","2024 was a successful year that brought numerous opportunities and nice growth, and we're looking forward to further growth and capitalizing on additional opportunities in 2025. And with that, I'll turn it over to Tom to give you more details on the business performance.","https://www.marketbeat.com/earnings/reports/2025-1-22-kinder-morgan-inc-stock/"
"KMI","2025-01-22","Tom Martin","President at Kinder Morgan","Thanks, Kim. Starting with the natural gas business unit, transport volumes were essentially unchanged in the quarter versus the fourth quarter of 2023. Natural gas gathering volumes were down 7% in the quarter compared to the fourth quarter of 2023, driven by lower Haynesville and Bakken volumes, partially offset by higher Eagle Ford volumes. Sequentially, gathering volumes were flat quarter over quarter. For the year, our gathering volumes averaged 8% below our 2024 plan, 6% over 2023. We have budgeted for a 5% increase in gathering volumes in 2025 versus 2024 actuals. We view the slight pullback in gathering volumes due to lower prices as temporary, given that higher production volumes will be necessary to meet the demand growth from LNG expected in the second half of 2025.","https://www.marketbeat.com/earnings/reports/2025-1-22-kinder-morgan-inc-stock/"
"KMI","2025-01-22","Tom Martin","President at Kinder Morgan","Looking forward, we continue to see significant incremental project opportunities across our natural gas pipeline network to expand our transportation and storage capabilities in support of the growing natural gas market. On our Products Pipeline segment, refined products volumes were up 2%, including condensate volumes were down 5% in the quarter compared to the fourth quarter of 2023. For the full year, refined products volumes were down 3% below our plan, but 1% over 2023. We have budgeted for a 1% increase in refined products volumes in 2025 versus 2024 actuals. In December 2024, BP North America exercises unilateral right to extend their contract for five years at existing rates for all of the petroleum condensate processing capacity at our facility on the Houston Ship Channel.","https://www.marketbeat.com/earnings/reports/2025-1-22-kinder-morgan-inc-stock/"
"KMI","2025-01-22","Tom Martin","President at Kinder Morgan","The extension is recognition of the strategic value of Kinder Morgan's 100,000 barrels per day processing capability at our facility and the locational value of Kinder Morgan's footprint in the area. In our terminals business segment, our liquids lease capacity remains high at 95%. Though refining cracks and blending margins have softened, they remain constructive and supportive of strong rates and utilization at our key hubs at the Houston Ship Channel and New York Harbor. Our Jones Act tanker fleet is fully leased today, 97% leased through 2025, 94% leased through 2026, assuming likely options are exercised. We have opportunistically chartered a significant percentage of the fleet at higher market rates and extended the average length of firm contract commitments to four years. The CO2 segment experienced 3% lower oil production volumes, 4% lower NGL volumes, and 3% lower CO2 volumes in the quarter versus the fourth quarter of 2023.","https://www.marketbeat.com/earnings/reports/2025-1-22-kinder-morgan-inc-stock/"
"KMI","2025-01-22","Tom Martin","President at Kinder Morgan","For the full year, oil volumes were down 6% versus 2023, but within 1% of our budget. With that, I'll turn it over to David Michels.","https://www.marketbeat.com/earnings/reports/2025-1-22-kinder-morgan-inc-stock/"
"KMI","2025-01-22","David Michels","VP and CFO at Kinder Morgan","All right. Thanks, Tom. So for the quarter, we're declaring a dividend of $0.2875 per share, which is $1.15 per share annualized and up 2% from 2023. During the quarter, during the fourth quarter, we generated net income attributable to KMI of $667 million, or up 12% from the fourth quarter of 2023. We generated EPS of $0.30, up 11% from last year. And on an adjusted net income basis, which excludes our certain items, we generated $708 million of net income and adjusted EPS of $0.32. Those two items are 12% and 14% up from last year, respectively.","https://www.marketbeat.com/earnings/reports/2025-1-22-kinder-morgan-inc-stock/"
"KMI","2025-01-22","David Michels","VP and CFO at Kinder Morgan","This year-over-year growth was driven by greater contributions from our natural gas products and terminals businesses, with the main growth drivers being contributions from our acquired South Texas midstream assets, which we acquired at the end of 2023, greater contributions from our Texas Intrastate Natural Gas System, as well as from natural gas projects that were placed in service. For the full year, we generated EPS of $1.17, which was up 10% over last year, and our adjusted EPS was up 7% from last year. As we've messaged for the last two quarters, we finished 2024 a little bit below our budget, mainly driven by commodity prices lower than what we had budgeted and lower production from our RNG plants. But despite those headwinds, we still experienced nice growth from 2023.","https://www.marketbeat.com/earnings/reports/2025-1-22-kinder-morgan-inc-stock/"
"KMI","2025-01-22","David Michels","VP and CFO at Kinder Morgan","Moving to our balance sheet, we ended the year with $31.7 billion of net debt and a 4.0 times net debt to adjusted EBITDA ratio, which is right in the middle of our leverage target range of 3.5-4.5 times. Our net debt decreased $112 million from the beginning of 2024, and here's a high-level reconciliation of that change. We generated $5.6 billion of cash flow from operations. We spent $2.6 billion in dividends. We spent $2.7 billion of capital, and that's growth sustaining and our contributions to our joint ventures, and then we had about $200 million of other uses, and that gets you pretty close to the $112 million decrease in net debt for the year. For 2025, as we previewed in December, we expect another good year of growth.","https://www.marketbeat.com/earnings/reports/2025-1-22-kinder-morgan-inc-stock/"
"KMI","2025-01-22","David Michels","VP and CFO at Kinder Morgan","We expect net income growth of 8% from 2024, EBITDA growth of 4%, and adjusted EPS growth of 10%. We also expect to see our balance sheet improve further, ending the year at 3.8 times. As we say in the press release, we'll be publishing our budget materials on February 5th, and that'll provide more detail behind the summary budget that we provided in December. Our budget does not include the recently announced Outrigger acquisition, which we expect to close in the first quarter. We expect that acquisition to be immediately accretive. And we expect our year-end leverage will remain at 3.8 times even after taking into account that transaction. With that, I'll turn it back to Kim.","https://www.marketbeat.com/earnings/reports/2025-1-22-kinder-morgan-inc-stock/"
"KMI","2025-01-22","Kimberly Dang","CEO at Kinder Morgan","Okay. Michelle, if you'll come on and we'll take questions. And if everyone can ask one question and one follow-up, and then if you have further questions, please get back in line.","https://www.marketbeat.com/earnings/reports/2025-1-22-kinder-morgan-inc-stock/"
