"symbol","report_date","speaker","title","msg","source_url"
"KMX","2024-09-26",NA,NA,"Ladies and gentlemen, thank you for standing by. Welcome to the second quarter fiscal year twenty twenty-five CarMax Earnings Release Conference Call. At this time, all participants are in a listen-only mode. After the speaker's presentation, there will be a question-and-answer session. Please be advised that today's conference is being recorded. I would now like to hand the conference over to your speaker today, David Lowenstein, AVP, Investor Relations. Please go ahead.","https://www.marketbeat.com/earnings/reports/2024-9-26-carmax-inc-stock/"
"KMX","2024-09-26","David Lowenstein","VP of Investor Relations at CarMax","Thank you, Todd. Good morning, everyone. Thank you for joining our fiscal twenty twenty-five second quarter earnings conference call. I'm here today with Bill Nash, our President and CEO, Enrique Mayorga, our Executive Vice President and CFO, and Jon Daniels, our Senior Vice President, CarMax Auto Finance Operations. Let me remind you, our statements today that are not statements of historical fact, including statements regarding the company's future business plans, prospects, and financial performance, are forward-looking statements we make pursuant to the Safe Harbor Provisions of the Private Securities Litigation Reform Act of nineteen ninety-five. These statements are based on our current knowledge, expectations, and assumptions and are subject to substantial risks and uncertainties that could cause actual results to differ materially from our expectations. In providing projections and other forward-looking statements, we disclaim any intent or obligation to update them.","https://www.marketbeat.com/earnings/reports/2024-9-26-carmax-inc-stock/"
"KMX","2024-09-26","David Lowenstein","VP of Investor Relations at CarMax","For additional information on important factors and risks that could affect these expectations, please see our Form 8-K filed with the SEC this morning, our annual report on Form 10-K for fiscal year 2024, and our quarterly results on Form 10-Q, previously filed with the SEC. Should you have any follow-up questions after the call, please feel free to contact our Investor Relations Department at 804-747-0422, extension 7865. Lastly, let me thank you in advance for asking only one question and getting back in the queue for more follow-ups. Bill?","https://www.marketbeat.com/earnings/reports/2024-9-26-carmax-inc-stock/"
"KMX","2024-09-26","Bill Nash","CEO at CarMax","Great. Thank you, David. Good morning, everyone, and thanks for joining us. We're pleased with our team's execution in the second quarter as we achieved positive sales trends, strong margins, cost efficiencies, and EPS growth while managing through industry-wide auto loan loss pressure. Beyond great execution, our results also reflect the positive impact of delivering associate and customer experience enhancements, alongside declining prices and a more stable environment for vehicle valuations. In the second quarter, we grew our retail unit volume year over year. We delivered strong retail and wholesale GPUs and expanded EPP and service gross profit. We bought more vehicles from dealers, achieving a second quarter record. We maintained stable cash net interest margin and began to test our new full spectrum underwriting model. We materially levered SG&A as a percent of gross profit, and we achieved double-digit EPS growth.","https://www.marketbeat.com/earnings/reports/2024-9-26-carmax-inc-stock/"
"KMX","2024-09-26","Bill Nash","CEO at CarMax","For the second quarter of FY 2025, our diversified business model delivered total sales of $7 billion, down 1% compared to last year, reflecting lower retail and wholesale prices, partially offset by higher retail volume. In our retail business, total unit sales increased 5.1% and used unit comps were up 4.3%. Average selling price declined approximately $1,250 per unit or 5% year over year. Second quarter retail gross profit per used unit was $2,269, consistent with last year's $2,251. Wholesale unit sales are down 0.3% versus the second quarter last year, and improved sequentially from being down 8.3% in the first quarter of this year.","https://www.marketbeat.com/earnings/reports/2024-9-26-carmax-inc-stock/"
"KMX","2024-09-26","Bill Nash","CEO at CarMax","Average selling prices declined approximately $1,150 per unit or 13% year over year. Second quarter wholesale gross profit per unit was $975, in line with $963 a year ago. We bought approximately 300,000 vehicles during the quarter, up 3% from last year. We purchased approximately 269,000 vehicles from consumers, with more than half of those buyers coming through our online Instant Appraisal experience. With the support of our Edmunds sales team, we sourced the remaining approximately 31,000 vehicles through dealers, up 60% from last year. We continue to see increased adoption of our omnichannel retail experience. For our second quarter online metrics, approximately 15% of retail unit sales were online, up from 14% last year.","https://www.marketbeat.com/earnings/reports/2024-9-26-carmax-inc-stock/"
"KMX","2024-09-26","Bill Nash","CEO at CarMax","Approximately 57% of retail unit sales were omni sales this quarter, up from 55% in the prior year. Total revenue from online transactions was approximately 29%, slightly down from last year due to wholesale pricing coming down. All of our second-quarter wholesale auctions and sales were virtual and are considered online transactions, which represented 17% of total revenue for the quarter. CarMax Auto Finance, CAF, delivered income of $116 million, down 14% from the same period last year. CAF results were pressured by an uptick in losses that are being experienced industry-wide. In a few minutes, John will provide more detail on customer financing, the loan loss provision, CAF contribution, and our progress on becoming a full credit spectrum lender.","https://www.marketbeat.com/earnings/reports/2024-9-26-carmax-inc-stock/"
"KMX","2024-09-26","Bill Nash","CEO at CarMax","At this point, I'd like to turn the call over to Enrique, who will share more information on our second quarter financial performance. Enrique?","https://www.marketbeat.com/earnings/reports/2024-9-26-carmax-inc-stock/"
"KMX","2024-09-26","Enrique Mayor-Mora","EVP and CFO at CarMax","Thanks, Bill, and good morning, everyone. As Bill noted, we delivered on multiple fronts in the quarter. Positive retail unit comps, robust vehicle margins, material growth and other gross profit per retail unit, maintaining cash net interest margin, and strong flow-through to the bottom line. Second quarter net earnings per diluted share was $0.85, up 13% versus a year ago.","https://www.marketbeat.com/earnings/reports/2024-9-26-carmax-inc-stock/"
"KMX","2024-09-26","Enrique Mayor-Mora","EVP and CFO at CarMax","...This was despite the increase in our loan loss provisions. Total gross profit was $760 million, up 9% from last year's second quarter. Used retail margin of $479 million increased by 6%, with higher volume and relatively flat per unit margins. Wholesale vehicle margin of $138 million grew by 1%, with margins offsetting a slight decrease in volume. Other gross profit was $144 million, up 33% from a year ago. This was driven primarily by a combination of EPP and service. EPP increased by $20 million as we continued to benefit from the higher MaxCare margins per contract that we previously rolled out. Service delivered $3 million in margin, up $17 million from last year's second quarter.","https://www.marketbeat.com/earnings/reports/2024-9-26-carmax-inc-stock/"
"KMX","2024-09-26","Enrique Mayor-Mora","EVP and CFO at CarMax","This performance reflected the combined impact of successful efficiency and cost coverage measures and positive sales growth. We expect continued year-over-year improvement for the balance of the year as governed by sales performance, given the leverage, deleverage nature of service. On the SG&A front, expenses for the second quarter were $611 million, up 4% or $25 million from the prior year's quarter, but leveraged four percentage points, supported by our continued discipline in spend and investment levels. This SG&A leverage would have been even stronger if not for two main factors that impacted the second quarter. First, total compensation and benefits increased by $16 million. This was primarily driven by our corporate bonus accrual, which was lowered in last year's second quarter.","https://www.marketbeat.com/earnings/reports/2024-9-26-carmax-inc-stock/"
"KMX","2024-09-26","Enrique Mayor-Mora","EVP and CFO at CarMax","Second, occupancy costs rose by $7 million, a higher increase than recent trends, driven by the timing of store maintenance-related spend. I also want to point out two noteworthy items. First, our omni-channel selling model, which includes commissions plus the cost of operating our CECs, continues to be more efficient as we further strengthen our digital progression tools and the optimal use of CEC labor. This quarter, we were more efficient year over year and versus pre-omni in the three key metrics: per retail unit, per total unit, and per gross margin dollar. Second, as Bill will discuss further, we continue to evaluate all aspects of our logistics operations to drive efficiencies. This includes equipment and leasing arrangements. As part of this evaluation, we may incur charges that we estimate will be less than $10 million in the near term that would likely hit other income expense line.","https://www.marketbeat.com/earnings/reports/2024-9-26-carmax-inc-stock/"
"KMX","2024-09-26","Enrique Mayor-Mora","EVP and CFO at CarMax","These charges will be more than offset by the efficiencies gained in our logistics operations over time. Regarding capital allocation, during the second quarter, we repurchased approximately 1.4 million shares for a total spend of $106 million. As of the end of the quarter, we had approximately $2.15 billion of repurchased authorization remaining. Now I'd like to turn the call over to John.","https://www.marketbeat.com/earnings/reports/2024-9-26-carmax-inc-stock/"
"KMX","2024-09-26","John M Stuckey","EVP, General Counsel and Corporate Secretary at CarMax","Thanks, Enrique, and good morning, everyone. During the second quarter, CarMax Auto Finance originated approximately $2.2 billion, resulting in sales penetration of 42% net of three-day payoffs, as compared to 42.8% during last year's second quarter. The weighted average contract rate charged to new customers was 11.5%, an increase of forty basis points from a year ago. Third-party Tier 2 penetration in the quarter was 17.7%, down slightly from 18.1% a year ago, and third-party Tier three volume accounted for 6.7% of sales, compared to the 6.4% seen in last year's second quarter. The combined third-party penetration of 24.4% remains in line with Q2 FY 2024.","https://www.marketbeat.com/earnings/reports/2024-9-26-carmax-inc-stock/"
"KMX","2024-09-26","John M Stuckey","EVP, General Counsel and Corporate Secretary at CarMax","CAF income for the quarter was $116 million, down $19 million from the same period last year, predominantly impacted by a year-over-year provision increase of $23 million. Net interest margin for the quarter was 6.1%, in line with last year. The provision for loan losses for the quarter was $113 million and resulted in a reserve balance of $501 million. This compares to a provision of $90 million in last year's second quarter. Included in the $113 million provision is a $52 million, roughly 11% increase in our estimate of lifetime losses on existing loans, which we believe reflects industry-wide credit challenges. Also included in the provision is $61 million for expected losses on current quarter originations.","https://www.marketbeat.com/earnings/reports/2024-9-26-carmax-inc-stock/"
