"symbol","report_date","speaker","title","msg","source_url"
"KR","2025-09-11",NA,NA,"Good morning and welcome to The Kroger Co second quarter 2025 earnings conference call. If you'd like to ask a question at the end of the presentation, please press star followed by one on your telephone keypad. Please note this event is being recorded. I'd now like to turn the conference over to Rob Quast, Vice President, Investor Relations. Please go ahead.","https://www.marketbeat.com/earnings/reports/2025-9-11-the-kroger-co-stock/"
"KR","2025-09-11","Rob Quast","VP of Investor Relations at The Kroger Co","Good morning. Thank you for joining us for Kroger's second quarter 2025 earnings call. I am joined today by Kroger's Chairman and Chief Executive Officer, Ron Sargent, and Chief Financial Officer, David Kennerley. Before we begin, I want to remind you that today's discussions will include forward-looking statements. We want to caution you that such statements are predictions, and actual events or results can differ materially. A detailed discussion of the many factors that we believe may have a material effect on our business on an ongoing basis is contained in our SEC filings. The Kroger Company assumes no obligation to update that information. After our prepared remarks, we look forward to taking your questions. In order to cover a broad range of topics from as many of you as we can, we ask that you please limit yourself to one question and one follow-up question if necessary.","https://www.marketbeat.com/earnings/reports/2025-9-11-the-kroger-co-stock/"
"KR","2025-09-11","Rob Quast","VP of Investor Relations at The Kroger Co","I will now turn the call over to Ron.","https://www.marketbeat.com/earnings/reports/2025-9-11-the-kroger-co-stock/"
"KR","2025-09-11","Ron Sargent","Chairman and CEO at The Kroger Co","Thank you, Rob. Good morning, everyone. Thank you for joining our call today. We're happy to report another quarter of strong results, which demonstrates the clear and measurable progress we're making on our key priorities: to simplify the organization, to improve the customer experience, and to focus on work that creates the most value. Today, I want to talk about what we've accomplished, the proof points we see in our quarterly results, and how our priorities are positioning Kroger for sustained long-term growth. Over the last several months, we've made good progress to position the company for future success. A key part of that success is a strong leadership team, and during the quarter, we continue to upgrade our team. We promoted a top division president to lead our brands, one of our key growth initiatives.","https://www.marketbeat.com/earnings/reports/2025-9-11-the-kroger-co-stock/"
"KR","2025-09-11","Ron Sargent","Chairman and CEO at The Kroger Co","We hired a new head of product sourcing who will help cost of goods sold and close the gap with the industry's best in class. We welcomed a new general counsel, and we continue to elevate strong retail leaders across the company, including several new division presidents. As we continue to build our leadership team, we're also looking at our costs, especially those expenses that don't directly support our priorities or deliver value to our shareholders. As we shared last quarter, we've begun closing approximately 60 unprofitable stores. Last month, we also reduced our corporate administrative team by nearly 1,000 associates. While these decisions are difficult, they're also necessary for the company's long-term success. Additionally, in order to create greater focus and simplify our business, we're reviewing all non-core assets to determine their ongoing contribution and role within the company.","https://www.marketbeat.com/earnings/reports/2025-9-11-the-kroger-co-stock/"
"KR","2025-09-11","Ron Sargent","Chairman and CEO at The Kroger Co","And finally, we recently put an issue behind us by reaching a legal settlement with C&S Wholesale Grocers. We are pleased to resolve the claim so that we can remain focused on serving our customers and running great stores. Our efforts to create greater focus are showing up in today's second quarter results. Identical Sales Without Fuel grew 3.4%, which was ahead of our expectations. This is our sixth consecutive quarter of Identical Sales Without Fuel improvement. Sales growth was led by pharmacy, e-commerce, and fresh categories. We know that fresh products are important to our customers, specifically in meat and produce. These categories continue to outpace center store sales and reflect the growing demand for healthier options. Our sales growth in fresh categories shows that we're making strong progress in the categories our customers care most about. Improving grocery volume is also important to us.","https://www.marketbeat.com/earnings/reports/2025-9-11-the-kroger-co-stock/"
"KR","2025-09-11","Ron Sargent","Chairman and CEO at The Kroger Co","We're making strategic price investments, which led to another quarter of sequential improvement. In fact, since the beginning of the year, we've lowered prices on more than 3,500 incremental products across our stores, which is improving our price spreads against our major competitors. As we lower prices for our customers, we're committed to doing so in a way that keeps our gross margins stable. We're making our promotions simpler and have continued to reduce complex promotional offers. Additionally, we are making it easier for non-digital customers to take advantage of all the value Kroger offers by reintroducing paper coupons in every store. Our customers are recognizing these changes, and they're giving us credit for them. We know this because customer price perception improved in nearly every division this quarter, and we saw another quarter of sequential improvement in share.","https://www.marketbeat.com/earnings/reports/2025-9-11-the-kroger-co-stock/"
"KR","2025-09-11","Ron Sargent","Chairman and CEO at The Kroger Co","Beyond the price at the shelf, families are also looking for quality and value. Our brand's products had another strong quarter with sales growth again outpacing national brands. Our brands offer unique products with high quality and represent a point of differentiation for Kroger. Simple Truth and Private Selection brands again led our growth. Looking ahead, we see our brands as a critical strategic asset, helping us grow sales and build loyalty with customers. E-commerce. E-commerce also continues to be an important and growing part of our business. Sales were strong in the second quarter with 16% growth, led by good performance and delivery. We continue to make progress on improving profitability, and we saw improvements in both pickup and delivery profitability on a quarter-over-quarter basis. E-com remains a top priority for us.","https://www.marketbeat.com/earnings/reports/2025-9-11-the-kroger-co-stock/"
"KR","2025-09-11","Ron Sargent","Chairman and CEO at The Kroger Co","Running great stores is also critical to our future, and our store teams are delivering on the basics: being in stock, showing clean and uncluttered aisles, and making shopping easier for our customers. Our internal composite scores, which track key metrics like in-stock levels, fresh product quality, and customer service, are showing consistent quarter-over-quarter improvement. And as we are improving our store and e-commerce shopping experiences, we're also taking meaningful steps to reduce our cost structure. In the second quarter, we were pleased with our OG&A rate improvement and will continue to aggressively look for ways to reduce costs throughout the company. We believe that many opportunity costs remain. So, to summarize, we've made strong progress so far this year, and we also know that we have a lot more work to do. Looking ahead, we're focused on investments that will grow our core business.","https://www.marketbeat.com/earnings/reports/2025-9-11-the-kroger-co-stock/"
"KR","2025-09-11","Ron Sargent","Chairman and CEO at The Kroger Co","The first of these is new stores. We're on track to deliver 30 major store projects in 2025, and we're accelerating new store projects with more efficient layouts and faster construction timelines. In 2026, we expect to increase store openings by 30%, helping us grow both in-store and online sales faster. While we are growing our physical footprint, we're also modernizing our business to operate more efficiently and serve customers better. Artificial intelligence is one of the key tools to help us get there. Accelerating our AI efforts is a natural step for Kroger, given our long history of leadership in data and machine learning. Where we've implemented AI in different parts of the organization, we're seeing results with more competitive pricing, shrink improvements, and faster fulfillment, which enables two-hour pickup for customers.","https://www.marketbeat.com/earnings/reports/2025-9-11-the-kroger-co-stock/"
