"symbol","report_date","speaker","title","msg","source_url"
"LKQ","2026-04-30",NA,NA,"Good day, welcome to the LKQ Corporation's first quarter 2026 earnings conference call. All line have been placed on mute to prevent any background noise. After speakers remarks there will be a questions and answers session. If you would like to ask a question during this time, simply press star followed by number one on your telephone keypad. If you would like to withdraw your question please press star one again.","https://www.marketbeat.com/earnings/reports/2026-4-30-lkq-co-stock/"
"LKQ","2026-04-30",NA,NA,"We asked to limit your question to one and one follow-up to able us to take as many questions as possible. For [inaudible] assistance during a call please press star zero. And finally I would like to advise all participants that this call is recorded. Thank you. I'd now like to welcome Joe Boutross, Vice President, Investor Relations, to begin the conference. Joe, over to you.","https://www.marketbeat.com/earnings/reports/2026-4-30-lkq-co-stock/"
"LKQ","2026-04-30","Joe Boutross","VP of Investor Relations at LKQ Corporation","Thank you, operator. Good morning, everyone, and welcome to LKQ's first quarter 2026 earnings conference call. With us today are Justin Jude, LKQ's President and Chief Executive Officer, and Rick Galloway, our Senior Vice President and Chief Financial Officer. Please refer to the LKQ website at lkqcorp.com for our earnings re-release issued this morning, as well as the accompanying slide presentation for this call.","https://www.marketbeat.com/earnings/reports/2026-4-30-lkq-co-stock/"
"LKQ","2026-04-30","Joe Boutross","VP of Investor Relations at LKQ Corporation","Now let me quickly cover the Safe Harbor. Some of the statements that we make today may be considered forward-looking. These include statements regarding our expectations, beliefs, hopes, intentions, or strategies. Actual events or results may differ materially from those expressed or implied in the forward-looking statements as a result of various factors. We assume no obligation to update any forward-looking statements.","https://www.marketbeat.com/earnings/reports/2026-4-30-lkq-co-stock/"
"LKQ","2026-04-30","Joe Boutross","VP of Investor Relations at LKQ Corporation","For more information, please refer to the risk factors discussed in our Form 10-K and subsequent reports filed with the SEC. During this call, we will present both GAAP and non-GAAP financial measures. A reconciliation of GAAP to non-GAAP measures is included in today's earnings press release and slide presentation. Hopefully, everyone has had a chance to look at our 8-K, which we filed with the SEC earlier today, as normal, we are planning to file our 10-Q in the coming days. With that, I am happy to turn the call over to our CEO, Justin Jude.","https://www.marketbeat.com/earnings/reports/2026-4-30-lkq-co-stock/"
"LKQ","2026-04-30","Justin Jude","President and CEO at LKQ Corporation","Thank you, Joe. Good morning, everyone. We appreciate you joining us today. Q1 was another quarter of solid progress across our operating segments, and we're increasingly confident in our positioning as North America continues to recover. This quarter reflected the team's operating discipline and relentless focus on the things within our control, taking market share, protecting margins, and improving productivity.","https://www.marketbeat.com/earnings/reports/2026-4-30-lkq-co-stock/"
"LKQ","2026-04-30","Justin Jude","President and CEO at LKQ Corporation","LKQ has started 2026 with a strong foundation, featuring a more focused organization, disciplined execution, and an unwavering commitment to long-term value creation. Now we'll provide a brief update on each segment, highlighting demand trends, commercial execution, and the actions we're taking to expand profitability. North America organic revenue declined 0.5% on a per-day basis, an improvement over last year's Q1 decline of 4.1% and a sequential improvement from Q4's decline of 1%.","https://www.marketbeat.com/earnings/reports/2026-4-30-lkq-co-stock/"
"LKQ","2026-04-30","Justin Jude","President and CEO at LKQ Corporation","These results highlight a gradual recovery and reinforce our confidence in the direction of our North American operations. Repairable claims are down approximately 2%-4%, demonstrating steady recovery from the levels we saw throughout 2025. Importantly, we achieved strong performance in our aftermarket collision product line, surpassing the growth levels of the segment. This positive momentum was partly driven by an increase in the utilization of alternative parts, which reached a record high of nearly 40% through February, and we anticipate that this favorable trend continues in March as well.","https://www.marketbeat.com/earnings/reports/2026-4-30-lkq-co-stock/"
"LKQ","2026-04-30","Justin Jude","President and CEO at LKQ Corporation","We also renewed several MSO agreements and further integrating ordering capabilities with our key partners. These integrations are designed to increase the ease and velocity of ordering, improve procurement workflows, and position us to capture more share of wallet. Elitek, our calibrations and diagnostic business, delivered strong organic growth and healthy EBITDA margins in the quarter.","https://www.marketbeat.com/earnings/reports/2026-4-30-lkq-co-stock/"
"LKQ","2026-04-30","Justin Jude","President and CEO at LKQ Corporation","For context, an increasing share of collision repairs require calibration and diagnostics, and we estimate that requirement has risen to roughly 75% today from about 62% three years ago. We view this as a durable, long-term tailwind and a compelling opportunity to extend our service offering. Our bumper-to-bumper hard parts business in Canada again delivered positive growth, and as I mentioned in the past, we plan to methodically expand this business further, given the still fragmented do-it-for-me hard parts market across North America. We're seeing promising signs of stabilization in North America that reinforce our optimism for the business.","https://www.marketbeat.com/earnings/reports/2026-4-30-lkq-co-stock/"
