"symbol","report_date","speaker","title","msg","source_url"
"LNT","2024-08-01",NA,NA,"Thank you for holding, and welcome to Alliant Energy's Q2 2024 Earnings Conference Call. At this time, all lines are in a listen-only mode. Today's conference call is being recorded. I would now like to turn the call over to your host, Susan Gille, Investor Relations Manager at Alliant Energy. Please go ahead.","https://www.marketbeat.com/earnings/reports/2024-8-1-alliant-energy-co-stock/"
"LNT","2024-08-01",NA,NA,"Good morning.","https://www.marketbeat.com/earnings/reports/2024-8-1-alliant-energy-co-stock/"
"LNT","2024-08-01","Susan Gille","Head of Investor Relations at Alliant Energy","Good morning. I would like to thank all of you on the call and the webcast for joining us today. We appreciate your participation. With me here today are John Larsen, Executive Chairman; Lisa Barton, President and CEO; and Robert Durian, Executive Vice President and CFO. Following prepared remarks by John, Lisa, and Robert, we will have time to take questions from the investment community. We issued a news release last night announcing Alliant Energy's Q2 financial results.","https://www.marketbeat.com/earnings/reports/2024-8-1-alliant-energy-co-stock/"
"LNT","2024-08-01","Susan Gille","Head of Investor Relations at Alliant Energy","This release, as well as the earnings presentation, which will be referenced during today's call, are available on the investor page of our website at www.alliantenergy.com. Before we begin, I need to remind you the remarks we make on this call and our answers to your questions include forward-looking statements. These forward-looking statements are subject to risks that could cause actual results to be materially different.","https://www.marketbeat.com/earnings/reports/2024-8-1-alliant-energy-co-stock/"
"LNT","2024-08-01","Susan Gille","Head of Investor Relations at Alliant Energy","Those risks include, among others, matters discussed in Alliant Energy's news release issued last night and in our filings with the Securities and Exchange Commission. We disclaim any obligation to update these forward-looking statements. In addition, this presentation contains references to ongoing earnings per share, which is a Non-GAAP financial measure. The reconciliation between Non-GAAP and GAAP measures is provided in the earnings release, which is available on our website. References to ongoing earnings exclude material charges or income that are not normally associated with ongoing operations. At this point, I'll turn the call over to John.","https://www.marketbeat.com/earnings/reports/2024-8-1-alliant-energy-co-stock/"
"LNT","2024-08-01","John Larsen","Executive Chairman at Alliant Energy","Thank you, Sue. Good morning, everyone, and thank you for joining us. As we pass the midpoint of 2024, I'm pleased to report that we are on track to achieve our strategic objectives and maintain our long track record of solid operational and financial execution. We remain fully committed to our purpose: serving customers and building stronger communities. Before I highlight some of the recent achievements, I want to briefly address the recent announcement of my retirement plans. Over the past 36 years, I've witnessed significant changes within our industry, positive changes that have led to improved service quality for our customers, along with an incredible transformation, transformation of how we produce and deliver energy. One thing, however, that has not changed is the incredible talent and dedicated service from our employees.","https://www.marketbeat.com/earnings/reports/2024-8-1-alliant-energy-co-stock/"
"LNT","2024-08-01","John Larsen","Executive Chairman at Alliant Energy","It has been an honor to be part of this company and to work alongside the Alliant Energy team. From my early days as an engineer in Iowa through the merger that created Alliant Energy more than 25 years ago, and all the experiences in between, including our expansive and industry-leading investments for the benefit of our customers. Serving customers across Iowa and Wisconsin and working alongside my colleagues has been a privilege. With that, I want to say thank you to everyone I've worked with during my tenure at Alliant Energy. Additionally, I'd like to reiterate my previous comments about Lisa. She's an exceptional leader with a well-established track record of success. With her leadership and the talented team at Alliant Energy, we are well-positioned to deliver long-term value to our customers, our communities, and our shareowners.","https://www.marketbeat.com/earnings/reports/2024-8-1-alliant-energy-co-stock/"
"LNT","2024-08-01","John Larsen","Executive Chairman at Alliant Energy","With customer value in mind, I'm pleased with our efforts in reaching partial settlement in our Iowa rate review. In collaboration with several intervening groups, we remain focused on what's best for our customers, shareowners, and the communities we proudly serve, providing stability and opportunities for continued economic development and growth. I'll now turn the call over to Lisa.","https://www.marketbeat.com/earnings/reports/2024-8-1-alliant-energy-co-stock/"
"LNT","2024-08-01","Nathan Richardson","Equity Research Associate at Barclays","Thank you, John. I'd like to take a moment to recognize John's outstanding leadership. John's vision, dedication, and passion for our customers and the communities we serve has laid a strong foundation for our continued success, a focus which will continue to guide us into the future. John's foresight and commitment to advancing clean energy solutions, coupled with an acute focus on our customers, has left an indelible mark on our organization and communities. Congratulations, John, on your upcoming retirement. I look forward to working with you in your continued role as board chair. Building on John's remarks, and before we get into additional updates, we are committed to our long-term 5%-7% earnings growth target, and we are reaffirming our 2024 ongoing EPS guidance range of $2.99-$3.13.","https://www.marketbeat.com/earnings/reports/2024-8-1-alliant-energy-co-stock/"
"LNT","2024-08-01","Nathan Richardson","Equity Research Associate at Barclays","Our confidence in reaffirming the range assumes the following: normal weather for the remainder of the year, execution of cost controls, and receipt of a timely order from the Iowa Utilities Commission, with rates effective October 1. I want to highlight the extraordinary focus the organization has on maintaining the financial discipline needed to deliver on investor and customer expectations. We continue to focus on making capital investments to serve the needs of our customers and communities, while also focusing on operational excellence to drive efficiencies within the business.... Our team is focused on prioritizing reliability, supporting economic growth in our communities, and driving affordability, which gives me confidence in our ability to execute on our plan. Pivoting now to our strategic priorities of driving consistent growth and building stronger communities, our Iowa Rate Review settlement provides continued regulatory progress.","https://www.marketbeat.com/earnings/reports/2024-8-1-alliant-energy-co-stock/"
