"symbol","report_date","speaker","title","msg","source_url"
"LVS","2025-04-23",NA,NA,"Good day, ladies and gentlemen, and welcome to the Sands First Quarter 2025 earnings call. At this time, all participants have been placed on a listen-only mode. We will open the floor for your questions and comments following the presentation. It is now my pleasure to turn the floor over to Mr. Daniel Briggs, Senior Vice President of Investor Relations at Sands. Sir, the floor is yours.","https://www.marketbeat.com/earnings/reports/2025-4-23-las-vegas-sands-corp-stock/"
"LVS","2025-04-23","Daniel Briggs","SVP of Investor Relations at Las Vegas Sands","Thank you, Paul. Joining the call today are Rob Goldstein, our Chairman and CEO; Patrick Dumont, our President and Chief Operating Officer; Dr. Wilfred Wong, Executive Vice Chairman of Sands China; and Grant Chum, CEO and President of Sands China and EVP of Asia Operations. Today's conference call will contain forward-looking statements. We will be making those statements under the safe harbor provision of Federal Securities Laws. The language on the forward-looking statements, included in our press release and 8-K filings, also applies to our comments made on the call today. The company's actual results will be differ materially from the results reflected in those forward-looking statements. In addition, we will discuss non-GAAP measures. Reconciliations to the most comparable GAAP financial measure are included in our press release. We have posted an earnings presentation on our website. We will refer to that presentation during the call.","https://www.marketbeat.com/earnings/reports/2025-4-23-las-vegas-sands-corp-stock/"
"LVS","2025-04-23","Daniel Briggs","SVP of Investor Relations at Las Vegas Sands","Finally, for the Q&A session, we ask those with interest to please pose one question and one follow-up question so we might, Paul, pardon me, so we might allow everyone with interest the opportunity to participate. This presentation is being recorded. I'll now turn the call over to Rob.","https://www.marketbeat.com/earnings/reports/2025-4-23-las-vegas-sands-corp-stock/"
"LVS","2025-04-23","Rob Goldstein","Chairman and CEO at Las Vegas Sands","Okay, thank you, Dan. Let's begin with Macao. This is a competitive market that has not improved as we anticipated. However, we have the strongest assets in the market, and we can perform better despite the challenging macro environment. The Londoner is now fully open this time, 2,405 study rooms and suites as we prepare for Golden Week in May. Now that we've completed the development projects, we expect this asset to elevate our performance. Our focus is on improving our revenue and cash flow across the portfolio. There is opportunity in every segment to show stronger results. Our business strategy remains unchanged. We have designed our capital investment programs to ensure we will lead in both Macao and Singapore. We delivered $535 million of EBITDA for the quarter in Macao. SCL still continues to lead the market in gaming and non-gaming revenue and EBITDA.","https://www.marketbeat.com/earnings/reports/2025-4-23-las-vegas-sands-corp-stock/"
"LVS","2025-04-23","Rob Goldstein","Chairman and CEO at Las Vegas Sands","We have meaningful opportunities to grow in every segment. Our objective is to grow our share of EBITDA in Macao markets. We have a unique product advantage in terms of scale, quality, and diversity of product offerings. Turning to Marina Bay Sands in Singapore, we delivered a record quarter with $605 million of adjusted property EBITDA, an extraordinary achievement by any standard. I assume this is a record EBITDA quarter for any gaming property in the world. Pretty extraordinary performance. Mass gaming is thought we had reached $778 million, reflecting 73% growth from the first quarter of 2019 and 13% growth from one quarter a year ago. The results at MBS reflect the positive impact of our gaming investment program and the growth of high-value tourism. The growing appeal of Singapore as a destination is enhanced by the robust entertainment and lifestyle calendar.","https://www.marketbeat.com/earnings/reports/2025-4-23-las-vegas-sands-corp-stock/"
"LVS","2025-04-23","Rob Goldstein","Chairman and CEO at Las Vegas Sands","We believe there is considerable runway for growth there as well. Again, thanks for joining the call. Let me turn the call over to Patrick before we go to Q&A. Patrick.","https://www.marketbeat.com/earnings/reports/2025-4-23-las-vegas-sands-corp-stock/"
"LVS","2025-04-23","Patrick Dumont","President and COO at Las Vegas Sands","Thanks, Rob. Macao EBITDA was $535 million. If we had held as expected in our rolling program, our EBITDA would have been higher by $10 million. When adjusted for lower-than-expected hold in the rolling segment, our EBITDA margin for the Macao portfolio of properties would have been 31.6%, down 280 basis points compared to the first quarter of 2024. All 2,405 rooms and suites at the Londoner Grand are now available for the upcoming May Golden Week. Now that the refurbishment process is completed, we are focused on delivering revenue and cash flow growth at the Londoner. Margin at the Venetian was 35.3%, while margin at the Plaza and Four Seasons was 35.6%. We expect margin improvement as revenue grows, and we use our scale and product advantages to better address every market segment.","https://www.marketbeat.com/earnings/reports/2025-4-23-las-vegas-sands-corp-stock/"
"LVS","2025-04-23","Patrick Dumont","President and COO at Las Vegas Sands","As The Londoner ramps up and is integrated into our Cotai offerings, our competitive position will be stronger than ever. We look forward to utilizing our entire portfolio to grow revenue and EBITDA. Now turning to Singapore, MBS's EBITDA was $605 million at a margin of 52%. Given the mix of games and demonstrated player preferences over the last two years, we have updated our expectation for hold on rolling play at Marina Bay Sands to 3.7%. There will naturally be fluctuations in any specific quarter given by game mix and player preference. We will continue to provide the illustrative impact of hold on our rolling play in Singapore. The record financial results at Marina Bay Sands reflect the impact of high-quality investment in market-leading product and growth in high-value tourism.","https://www.marketbeat.com/earnings/reports/2025-4-23-las-vegas-sands-corp-stock/"
"LVS","2025-04-23","Patrick Dumont","President and COO at Las Vegas Sands","We believe we are still in the early stages of realizing the benefits of our investments in Marina Bay Sands. Turning to our program to return capital to shareholders, we repurchased $450 million of LVS stock during the quarter. We also paid our recurring quarterly dividend of $0.25 per share. Before going on to Q&A, I would like to provide an update on the New York development opportunity. We strongly believe in the development opportunity for land-based downstate casino license in New York. We also continue to believe that the Nassau Coliseum site is the best location for that development opportunity and should be highly competitive in the New York casino licensing process. However, as we have previously stated, the company remains concerned about the impact of potential legalization of iGaming on the overall market opportunity and project returns.","https://www.marketbeat.com/earnings/reports/2025-4-23-las-vegas-sands-corp-stock/"
"LVS","2025-04-23","Patrick Dumont","President and COO at Las Vegas Sands","We are in the process of attempting to secure an agreement with a third party to whom we can transact the opportunity to bid for a casino license on the Nassau Coliseum site. This would include those that may be able to address both land-based and digital markets in New York. For Las Vegas Sands, we believe the highest and best use of our capital in the near term is to purchase LVS and SEL shares. Accordingly, LVS has decided not to bid for a casino license in New York. We believe repurchases of LVS equity through our share repurchase program will be meaningfully accretive to the company and its shareholders over the long term. Our board has increased our share repurchase authorization to $2 billion. We look forward to continuing to utilize the company's share repurchase program to increase returns to shareholders in the future.","https://www.marketbeat.com/earnings/reports/2025-4-23-las-vegas-sands-corp-stock/"
