"symbol","report_date","speaker","title","msg","source_url"
"LYB","2024-11-01",NA,NA,"Hello, and welcome to the LyondellBasell teleconference. At the request of LyondellBasell, this conference is being recorded for instant replay purposes. Following today's presentation, we will conduct a question-and-answer session. I would now like to turn the conference over to Mr. David Kinney, Head of Investor Relations. Sir, you may begin.","https://www.marketbeat.com/earnings/reports/2024-11-1-lyondellbasell-industries-stock/"
"LYB","2024-11-01","David Kinney","Head of Investor Relations at LyondellBasell","Thank you, Operator, and welcome everyone to today's call. Before we begin the discussion, I would like to point out that a slide presentation accompanies the call and is available on our website at www.lyondellbasell.com/investorrelations. Today, we will be discussing our business results while making reference to some forward-looking statements and non-GAAP financial measures. We believe the forward-looking statements are based upon reasonable assumptions, and the alternative measures are useful to investors. Nonetheless, the forward-looking statements are subject to significant risk and uncertainty. We encourage you to learn more about the factors that could lead our actual results to differ by reviewing the cautionary statements in the presentation slides and our regulatory filings, which are also available on our Investor Relations website. Comments made on this call will be in regard to our underlying business results using non-GAAP financial measures such as EBITDA and earnings per share, excluding identified items.","https://www.marketbeat.com/earnings/reports/2024-11-1-lyondellbasell-industries-stock/"
"LYB","2024-11-01","David Kinney","Head of Investor Relations at LyondellBasell","Additional documents on our investor website provide reconciliations of non-GAAP financial measures to GAAP financial measures, together with other disclosures, including the earnings release and our business results discussion. Joining today's call will be Peter Vanacker, LyondellBasell's Chief Executive Officer, our CFO, Michael McMurray, Kim Foley, our Executive Vice President of Global Olefins and Polyolefins and Refining, Aaron Ledet, our EVP of Intermediates and Derivatives, and Torkel Rhenman, our EVP of Advanced Polymer Solutions. During today's call, we will focus on second-quarter results as well as updates on our long-term strategy. We will also discuss current market dynamics and our near-term outlook. With that being said, I would now like to turn the call over to Peter.","https://www.marketbeat.com/earnings/reports/2024-11-1-lyondellbasell-industries-stock/"
"LYB","2024-11-01","David Kinney","Head of Investor Relations at LyondellBasell","Thank you, Dave, and welcome to all of you. We appreciate you joining us today as we discuss our second-quarter results. Yet again, our people did an excellent job navigating challenging market conditions while being laser-focused on the execution of our strategy. Let's begin with slide three and discuss our continued leadership in safety performance. LYB has a history of excellence in operational performance, with safety being a core part of our success. Going back to 2010, we have consistently delivered industry-leading safety results. But more importantly, we have made significant improvements towards our goal to operate safely each day with zero incidents, injuries, or accidents. LYB's June year-to-date total recordable incident rate for employees and contractors is 0.13. For comparison, in 2010, our incident rate was 0.42, more than three times higher than today. Safety is foundational to what we do.","https://www.marketbeat.com/earnings/reports/2024-11-1-lyondellbasell-industries-stock/"
"LYB","2024-11-01","David Kinney","Head of Investor Relations at LyondellBasell","Getting it right ensures the well-being of our workforce but also benefits our operational excellence performance and financial returns. Our team has demonstrated outstanding focus to reach this point, and we remain committed to further improvements. Today, I'm excited to discuss our actions to deliver resilient results as well as the excellent progress on our long-term strategy for LYB. Please turn to slide four as we briefly review the quarter. Second-quarter underlying business results improved by nearly 30% over the first quarter, driven by increased volumes from our operations. North American demand for polyolefins continues to improve, while feedstock and energy costs remain low. Our European olefins and polyolefins results improved due to our flexibility to increase our utilization of advantaged LPG feedstocks. Within intermediates and derivatives, the benefits from LYB's expanded PO/TBA capacity are clearly seen in our record quarterly oxyfuel sales volumes.","https://www.marketbeat.com/earnings/reports/2024-11-1-lyondellbasell-industries-stock/"
"LYB","2024-11-01","David Kinney","Head of Investor Relations at LyondellBasell","Earnings were $2.24 per share, with EBITDA of $1.4 billion. LYB generated an impressive $1.3 billion in cash from operating activities. Our strong cash generation provided support for the disciplined execution of our strategy. Let's turn to slide five and review the three-pillar strategy that is driving our focus on strategic growth and long-term value creation. As we described during fourth-quarter earnings, we are making good progress on our goal to add $3 billion in incremental normalized EBITDA by 2027, with nearly one-third of that target unlocked during 2023. Last quarter, we took a deeper look into how we are building a profitable circular and low-carbon solutions business. Today, we will describe the work underway to grow and upgrade our core businesses. When we talk about growing and upgrading our core, we are very clear about the criteria we use to define businesses that are core to our portfolio.","https://www.marketbeat.com/earnings/reports/2024-11-1-lyondellbasell-industries-stock/"
"LYB","2024-11-01","David Kinney","Head of Investor Relations at LyondellBasell","Moving to slide six, let's review these criteria. We are working hard to build up a portfolio that is focused on leading market positions and growing end markets that deliver attractive returns well above our cost of capital and leverages on access to advantaged, circular, and renewable feedstocks. You will see that once we have executed this transformation, we will be a much more profitable, focused, and streamlined company. Our decisions on investing in organic growth or disciplined M&A are grounded by our commitment to pursue attractive returns well above our cost of capital. We are leveraging LYB's technology and global market positions to increase our access to advantaged feedstocks typically found in North America and the Middle East. And finally, as we covered last quarter, we're making great progress in building a profitable circular and low-carbon solutions business.","https://www.marketbeat.com/earnings/reports/2024-11-1-lyondellbasell-industries-stock/"
"LYB","2024-11-01","David Kinney","Head of Investor Relations at LyondellBasell","Historically, we've defined advantaged feedstocks as low-cost NGLs in North America and the Middle East. As we grow our CLCS business, we are expanding this definition to include favorable positions for circular and renewable feedstocks. As you know, we have implemented a lot of actions to grow and upgrade our portfolio in parallel with great focus and speed. May was again a busy month for us, with the completion of the sale of our EO&D business and the acquisition of our stake in the NATPET joint venture. Importantly, we also announced a strategic review of some of our European assets that will reposition our footprint for future sustainable success. On slide seven, let me highlight our goals for reshaping LYB by simultaneously growing and upgrading our core businesses.","https://www.marketbeat.com/earnings/reports/2024-11-1-lyondellbasell-industries-stock/"
"LYB","2024-11-01","David Kinney","Head of Investor Relations at LyondellBasell","We are adding value through growth investments in, for example, our PO/TBA capacity and our formation of the NATPET joint venture in Saudi Arabia. We are also continuously evaluating projects and expect to find more opportunities that will be attractive for LYB. Our value enhancement program is also delivering growth through incremental production capacity and improved margins. LYB's VEP is not a one-time cost-cutting initiative. Our VEP is our new way of working, focused on unlocking value and is becoming embedded in LYB's culture. Michael will share some more details on our VEP progress in a few moments. Our motivation for upgrading the portfolio is illustrated on the right side of slide seven. In some cases, upgrades are accomplished by divesting or exiting non-core businesses. One example is the Houston Refinery, a capital-intensive asset that has historically only delivered brief periods of profitability.","https://www.marketbeat.com/earnings/reports/2024-11-1-lyondellbasell-industries-stock/"
"LYB","2024-11-01","David Kinney","Head of Investor Relations at LyondellBasell","After we shut down the refinery by no later than the end of the first quarter of 2025, LYB's average EBITDA margin will actually expand by about four percentage points. Our divested ethylene oxide and derivatives business did not provide LYB with a leading position and did not fit our criteria for growth. Simply put, we were not the best owners. The strategic review of our European assets will position our footprint for a sustainable future. All of these moves aim toward building a stronger, more focused, and more profitable business portfolio for LYB. Let's drill into our European strategic review on slide eight. We are undertaking this review to position LYB's regional footprint for future markets. Our goal is to reshape our European business portfolio in alignment with our long-term strategy for lasting success. Europe remains a core market for LYB.","https://www.marketbeat.com/earnings/reports/2024-11-1-lyondellbasell-industries-stock/"
