"symbol","report_date","speaker","title","msg","source_url"
"MAR","2026-02-10",NA,NA,"Please note that this call is being recorded, and we're standing by should you need any assistance. It is now my pleasure to turn the meeting over to Jackie McConagha, Senior Vice President of Investor Relations. Please go ahead, ma'am.","https://www.marketbeat.com/earnings/reports/2026-2-10-marriott-international-inc-stock/"
"MAR","2026-02-10","Jackie Burka McConagha","SVP of Investor Relations at Marriott International","Good morning, everyone, and welcome to Marriott's fourth quarter 2025 earnings call. On the call with me today are Tony Capuano, our President and Chief Executive Officer, Leeny Oberg, our Chief Financial Officer and Executive Vice President, Development, and Pilar Fernandez, Senior Director of Investor Relations. Before we begin, I would like to remind everyone that many of our comments today are not historical facts and are considered forward-looking statements under federal securities laws. These statements are subject to numerous risks and uncertainties, as described in our SEC filing, which could cause future results to differ materially from those expressed in or implied by our comments. Unless otherwise stated, our RevPAR, occupancy, ADR, and property-level revenues for comments reflect system-wide constant currency results for comparable hotels, and all changes refer to year-over-year changes for the comparable period.","https://www.marketbeat.com/earnings/reports/2026-2-10-marriott-international-inc-stock/"
"MAR","2026-02-10","Jackie Burka McConagha","SVP of Investor Relations at Marriott International","Statements in our comments and the press release we issued earlier today are effective only today and will not be updated as actual events unfold. You can find our earnings release and reconciliations of all non-GAAP financial measures referred to in our remarks today on our investor relations website. As you all know, this is Leeny's last earnings call. There is no doubt that everyone listening has benefited greatly from her leadership, wisdom, and insight. Leeny, thank you for everything. You will be greatly missed by us all. Now we'll turn the call over to Tony.","https://www.marketbeat.com/earnings/reports/2026-2-10-marriott-international-inc-stock/"
"MAR","2026-02-10","Anthony Capuano","CEO at Marriott International","Thanks, Jackie, and good morning, everyone. I'll have some comments about Leeny and her incredible career with Marriott at the end of the call. But for now, let's move on to our prepared remarks. Our team produced excellent results in 2025 as Marriott continued to experience solid momentum in our business around the world. With rooms growth as one of the top company priorities, I'm proud that Marriott's industry-leading global portfolio stood at nearly 1.78 million rooms across more than 9,800 properties in 145 countries and territories at the end of December. Conversions remained a key driver of growth, contributing around a third of our signings and openings during the year. With an incredibly strong fourth quarter for signings, our team inked nearly 1,200 deals, representing 163,000 rooms, excluding M&A, during the year.","https://www.marketbeat.com/earnings/reports/2026-2-10-marriott-international-inc-stock/"
"MAR","2026-02-10","Anthony Capuano","CEO at Marriott International","At the end of December, our pipeline had grown to a record 610,000 rooms, up 2% from the prior quarter and up 6% from the prior year. Nearly 265,000 of the pipeline rooms were under construction, including rooms that are pending conversion, up 15% year-over-year. In 2025, 75% of our conversion rooms joined the system and began contributing to fee growth within 12 months of signing. For full year 2026, net rooms growth is expected to accelerate up to 4.5%-5%. Our intent to recommend scores rose in every region around the world, and we continued to gain market share, with RevPAR index increasing globally year-over-year.","https://www.marketbeat.com/earnings/reports/2026-2-10-marriott-international-inc-stock/"
"MAR","2026-02-10","Anthony Capuano","CEO at Marriott International","Full year global RevPAR rose 2%, with RevPAR in the U.S. and Canada rising 0.7% and international RevPAR increasing over 5%. Leisure and luxury led the way, with leisure RevPAR up 3%, while group RevPAR rose 2% and business transient RevPAR was flat for the full year. Full year luxury RevPAR increased over 6%, while select service RevPAR declined 30 basis points. Our portfolio is well positioned to benefit from continued expected strength at the upper end, as higher-end consumers remain resilient and continue to prioritize spending on experience and travel over goods. 10% of our open rooms globally and 10% of our pipeline rooms are in the luxury segment. Turning to the fourth quarter, we were pleased that worldwide RevPAR ended up at the high end of our guidance range.","https://www.marketbeat.com/earnings/reports/2026-2-10-marriott-international-inc-stock/"
"MAR","2026-02-10","Anthony Capuano","CEO at Marriott International","RevPAR increased 1.9%, thanks to a strong end of the year, with December RevPAR coming in well ahead of our prior expectations. December global RevPAR rose 2.8%, showing the strongest monthly year-over-year growth since February, led by strong leisure demand, particularly for our luxury and resort hotels. By region, fourth quarter RevPAR was again strongest in APAC, which continues to benefit from double-digit rooms growth as well as solid macroeconomic growth in many countries. Fourth quarter RevPAR in APAC increased nearly 9%, with growth broad-based across the region and double-digit RevPAR gains in key markets, including India, Japan, and Australia. Fourth quarter RevPAR in EMEA rose 7%, with strong growth across most of the region, led by 17% growth in the UAE.","https://www.marketbeat.com/earnings/reports/2026-2-10-marriott-international-inc-stock/"
"MAR","2026-02-10","Anthony Capuano","CEO at Marriott International","RevPAR in CALA rose over 2% as resilient leisure demand, especially during the festive season, was partially offset by the impact of comparisons to some citywide events in 2024. City Express hotels across the region are benefiting from being integrated into our ecosystem and are performing very well, contributing to strong signings for this brand in CALA during the year. While the operating environment in Greater China remains challenged by weak macro conditions and soft consumer sentiment, robust leisure trends and continued inbound travel recovery helped RevPAR return to growth in the fourth quarter. RevPAR rose over 3%, driven by ADR. ADR growth was driven by stronger rates in Hong Kong, Taiwan, Hainan, and Tier One markets, offsetting continued softness in tertiary markets within the Chinese mainland. In the US and Canada, fourth quarter RevPAR was around flat.","https://www.marketbeat.com/earnings/reports/2026-2-10-marriott-international-inc-stock/"
"MAR","2026-02-10","Anthony Capuano","CEO at Marriott International","Luxury again saw solid growth, which was offset by declines in the select service tier. Leisure transient RevPAR rose 2% in the quarter, while group RevPAR increased 1%. These gains were offset by a 3% decline in business transient RevPAR, largely due to a meaningful decline in government RevPAR in the quarter. Government RevPAR was down over 30% during the 43-day U.S. government shutdown, though it has since moderated to down around 15%. During the year, we meaningfully expanded the breadth and depth of our portfolio across customer tiers, from luxury to midscale, and across traditional as well as alternative lodging product offerings. We extended our lead in luxury with the opening of several notable hotels, including the St. Regis Aruba, the Lake Como EDITION, and Nekajui, a Ritz-Carlton Reserve in Costa Rica.","https://www.marketbeat.com/earnings/reports/2026-2-10-marriott-international-inc-stock/"
"MAR","2026-02-10","Anthony Capuano","CEO at Marriott International","We also signed a record 114 luxury deals during the year. We continue to have growing owner interest in all of our midscale brands, given their compelling brand design, the power of our revenue engines, and their simple, bundled affiliation costs, which we believe are the lowest in the industry. Since entering the segment less than three years ago, we've experienced incredible growth. At the end of the year, we had over 450 open and pipeline Four Points Flex, StudioRes, and City Express by Marriott properties in 26 countries and territories around the world. We also had 100 open and pipeline Series by Marriott properties. During 2025, we were pleased to add several new brands to our portfolio.","https://www.marketbeat.com/earnings/reports/2026-2-10-marriott-international-inc-stock/"
"MAR","2026-02-10","Anthony Capuano","CEO at Marriott International","Lifestyle brand citizenM, which was fully integrated onto our platforms in November, Series by Marriott, our new global collection brand for the midscale and upscale segments, and the Outdoor Collection by Marriott Bonvoy. Our focus on being in more places with the best brands and experiences helps fuel the growth of our powerful Marriott Bonvoy loyalty program. Last year alone, 43 million new members joined Bonvoy, propelling the membership base to 271 million members worldwide at year-end. We continue to augment the Bonvoy platform with popular collaborations like Uber and Starbucks, and with new bespoke Bonvoy moments and immersive experiences.","https://www.marketbeat.com/earnings/reports/2026-2-10-marriott-international-inc-stock/"
"MAR","2026-02-10","Anthony Capuano","CEO at Marriott International","We recently won The Points Guy Award for the Best Hotel Loyalty Program for the third year in a row, and we're thrilled that Marriott Bonvoy is now the official hotel supporter of the 2026 FIFA World Cup, with our extensive portfolio of hotels across the 16 host cities and curated fan activations, poised to provide incredible, memorable experiences throughout the 104-match tournament. We are actively investing in technology, data, and AI, both internally and with partners, to transform the guest and the associate experience. The multi-year transformation of Marriott's three major tech systems, property management, reservations, and loyalty, is well underway, and we're rolling out the new systems to a meaningful number of our hotels around the world in 2026. We see AI as an opportunity to potentially redefine the customer acquisition paradigm that has governed our industry for the past several decades.","https://www.marketbeat.com/earnings/reports/2026-2-10-marriott-international-inc-stock/"
"MAR","2026-02-10","Anthony Capuano","CEO at Marriott International","We believe our industry-leading scale, the breadth and depth of our global portfolio, our large and engaged customer base, and our strong relationships with partners across the ecosystem, position us well to capitalize on the significant opportunities Gen AI represents. While AI search and commerce models are still emerging, we're excited about AI's ability to further personalize and simplify the travel search and the booking process. We're optimistic about the potential for AI to bring more consumers into the Marriott Bonvoy ecosystem and help strengthen our direct booking channels in a very efficient manner. In the first half of this year, we plan to start deploying natural language search on Marriott.com and on the Bonvoy mobile app. We're also optimizing our content for generative AI technologies, so our properties are well positioned wherever and however consumers are searching.","https://www.marketbeat.com/earnings/reports/2026-2-10-marriott-international-inc-stock/"
"MAR","2026-02-10","Anthony Capuano","CEO at Marriott International","Furthermore, we are actively collaborating with numerous tech companies across the space. For example, we are one of the initial companies working with Google on their forthcoming Google AI Mode travel product and with OpenAI on their Ad Pilot program. Before I end my prepared remarks, I want to thank our team around the world for their hard work and care that they bring to Marriott every day. And, Leeny, for the last time, I'll turn the call over to you to discuss our financial results in more detail.","https://www.marketbeat.com/earnings/reports/2026-2-10-marriott-international-inc-stock/"
"MAR","2026-02-10","Leeny Oberg","CFO at Marriott International","Thank you, Tony. Good morning. I'll start by reviewing our strong financial performance. Fourth quarter total gross fee revenues grew 7% to $1.4 billion, ahead of expectations. Growth was primarily due to higher RevPAR, room additions, and an 8% increase in credit card fees, partially offset by a 20% decline in residential branding fees.... Growth in credit card fees reflected higher spending on our co-brand credit cards, with particularly strong increases in international markets, including Japan and the UAE. Incentive management fees, or IMFs, rose 16% to $239 million, primarily due to strong results in the U.S. and Canada, where IMFs rose over 30%, led by New York City and resorts in Florida. Fourth quarter Adjusted EBITDA rose 9% to $1.4 billion.","https://www.marketbeat.com/earnings/reports/2026-2-10-marriott-international-inc-stock/"
"MAR","2026-02-10","Leeny Oberg","CFO at Marriott International","Our adjusted results for the fourth quarter and the full year exclude the one-time charges related to Sonder exiting our system in November. For full year 2025, gross fee revenues rose 5% to $5.4 billion, with IMFs up 3%. Co-branded credit card fees rose over 8% to $716 million, and residential branding fees declined 10% to $72 million. As noted in our press release, during the fourth quarter, we moved the other costs that had been in our G&A and other line to owned, leased, and other expense. This should help enhance understanding of our G&A costs, as our G&A line now captures only true general and administrative expenses, the above property costs needed to support and operate Marriott's business.","https://www.marketbeat.com/earnings/reports/2026-2-10-marriott-international-inc-stock/"
"MAR","2026-02-10","Leeny Oberg","CFO at Marriott International","The other expenses that were reclassified from general, administrative, and other are certain costs associated with our property-related fee revenues, such as guarantee expense, bad debt expense, and certain brand-related or property-related expenses, as well as costs associated with certain third-party agreements. Unlike G&A expenses like wages, benefits, and rent, these other expenses tend to vary more with RevPAR and system size. In the new presentation format, full-year owned, leased, and other revenue net of owned, leased, and other expense totaled $218 million, including $23 million of Sonder-related charges. Owned, leased, and other revenues net results prior to the reclassification were $378 million, which was ahead of our prior expectations. The year-over-year increase in the amounts prior to the reclassification reflects the inclusion of the Sheraton Grand Chicago Riverwalk and strong property results, more than offsetting the impact of renovating hotels and lower termination fees.","https://www.marketbeat.com/earnings/reports/2026-2-10-marriott-international-inc-stock/"
"MAR","2026-02-10","Leeny Oberg","CFO at Marriott International","In 2025, the company benefited from over $90 million of above-property cost savings related to our enterprise-wide initiative to enhance productivity across the company that is also yielding cost savings to our owners. Full-year G&A declined 8% to $870 million. G&A and other, before the reclassification, totaled $1.03 billion, and excluding the $23 million of Sonder-related charges, totaled just over $1 billion, a decline of 6% year-over-year. G&A expenses were a bit above prior expectations, primarily due to compensation expenses. Full-year adjusted EBITDA rose 8% to $5.38 billion, and adjusted EPS rose 7% to $10.02. We were pleased that with the power of our strong cash-generating, asset-light business model and our disciplined investment approach, we returned over $4 billion to shareholders through dividends and buybacks in 2025.","https://www.marketbeat.com/earnings/reports/2026-2-10-marriott-international-inc-stock/"
"MAR","2026-02-10","Leeny Oberg","CFO at Marriott International","I'll now talk about our 2026 expectations. With our growing pipeline and strong momentum in conversions, we expect net rooms growth between 4.5% and 5%, including our typical assumption of between 1% and 1.5% room deletions. For full year 2026, we expect similar global RevPAR growth to 2025, between 1.5% and 2.5%. This assumes a relatively steady macroeconomic environment. With the exception of Greater China, RevPAR growth in international regions is expected to remain higher than it was in the U.S. and Canada, although we do expect RevPAR growth in the U.S. and Canada to be a bit stronger than in 2025. We currently anticipate RevPAR in Greater China to again be roughly flat year over year.","https://www.marketbeat.com/earnings/reports/2026-2-10-marriott-international-inc-stock/"
"MAR","2026-02-10","Leeny Oberg","CFO at Marriott International","The World Cup is expected to contribute around 30-35 basis points of global RevPAR growth for the full year. The sensitivity of 1% change in full year 2026 RevPAR versus 2025 could be around $55 million-$65 million of RevPAR-related fees. For the full year, gross fee revenues could rise 8%-10% to $5.9 billion-$5.96 billion. IMFs are expected to be flat to up slightly year-over-year. As we have discussed, we're currently in discussions with Visa, Chase, and American Express, and expect to have new deals in the U.S. in place later this year. At this point, our guidance does not include any impact from these new deals. As a reminder, our program is already the largest by far in the industry and has been for some time.","https://www.marketbeat.com/earnings/reports/2026-2-10-marriott-international-inc-stock/"
"MAR","2026-02-10","Leeny Oberg","CFO at Marriott International","If you remember, we combined the Starwood American Express and Marriott Chase Visa program when we acquired Starwood, and these two programs have been the strong power leaders in this industry since then. However, our guidance does include a meaningful expected year-over-year increase of around 35% in co-branded credit card fees going into our franchise fees line. The increase is primarily the result of two factors. The first is continued strong growth in spending across our global card portfolio. The second is an increase in the royalty rate or the share of payments from the card companies that Marriott recognizes in our franchise fees line. We receive money from the credit card companies to pay for points, to permit funding the benefits in our loyalty program, and Marriott receives a royalty for our licensed intellectual property that we recognize in the franchise fee line.","https://www.marketbeat.com/earnings/reports/2026-2-10-marriott-international-inc-stock/"
"MAR","2026-02-10","Leeny Oberg","CFO at Marriott International","Since the launch of Marriott Bonvoy in early 2019, we've dramatically grown our global portfolio of hotels and the number of loyalty program members, and Bonvoy penetration has increased from 58% to 68%. We've added 6 countries to our co-branded credit card program since 2019, and now have 34 cards in 11 countries, and we expect to continue to add cards in new countries around the world. With COVID now in the rearview mirror and a very strong Marriott Bonvoy program, we have increased Marriott's royalty rate. We were able to do this because we recently amended a long-standing contractual limitation affecting the royalty rate. The increase in the royalty rate is supported by GAAP-required valuation analyses that were performed by third parties when the credit card deals were signed.","https://www.marketbeat.com/earnings/reports/2026-2-10-marriott-international-inc-stock/"
"MAR","2026-02-10","Leeny Oberg","CFO at Marriott International","We remain keenly focused on enhancing the value Bonvoy brings to each of its constituencies, our customers, our hotel owners, and the company. Moving on to full-year residential branding fees. These fees could increase around 40% in 2026. As a reminder, this powerful fee stream that reflects our industry-leading position in residential branded properties is very lumpy, depending on the timing of unit sales. Timeshare fees, as usual, are expected to be relatively in line with the prior year at $110 million-$115 million. Owned, leased, and other revenue net of owned, leased, and other expense is expected to total $230 million-$240 million. Results are expected to be impacted by renovations at certain large hotels in the portfolio, including W Barcelona and the Ritz-Carlton Tokyo.","https://www.marketbeat.com/earnings/reports/2026-2-10-marriott-international-inc-stock/"
