"symbol","report_date","speaker","title","msg","source_url"
"MDLZ","2025-04-29",NA,NA,"Please stand by. Your program is about to begin. If you need assistance during your conference today, please press star zero. Good day and welcome to the Mondelez International First Quarter 2025 earnings conference call. Today's conference is scheduled to last about one hour, including remarks by Mondelez management and the Question and Answer session. In order to ask a question, please press the star key followed by the number one on your touch-tone phone at any time during the call. I would now like to turn the call over to Mr. Shep Dunlap, Senior Vice President, Investor Relations for Mondelez. Please go ahead, sir.","https://www.marketbeat.com/earnings/reports/2025-4-29-mondelez-international-inc-stock/"
"MDLZ","2025-04-29","Shep Dunlap","SVP of Investor Relations at MondelÄ“z International","Good afternoon, and thank you for joining us. With me today are Dirk Van de Put, our Chairman and CEO, and Luca Zaramella, our CFO. Earlier today, we sent out our press release and presentation slides, which are available on our website. During this call, we'll make forward-looking statements about the company's performance. These statements are based on how we see things today. Actual results may differ materially due to risks and uncertainties. Please refer to the cautionary statements and risk factors contained in our 10-K, Q, and 8-K filings for more details on our forward-looking statements. As we discuss our results today, unless noted as reported, we'll be referencing our non-GAAP financial measures, which adjust for certain items included in our GAAP results. In addition, we provide our year-over-year growth on a constant currency basis unless otherwise noted.","https://www.marketbeat.com/earnings/reports/2025-4-29-mondelez-international-inc-stock/"
"MDLZ","2025-04-29","Shep Dunlap","SVP of Investor Relations at MondelÄ“z International","You can find the comparable GAAP measures and GAAP to non-GAAP reconciliations within our earnings release and at the back of the slide presentation. Today, Dirk will provide a business and strategy update followed by a review of our financial results and outlook by Luca. We will close with Q&A. I'll now turn the call over to Dirk.","https://www.marketbeat.com/earnings/reports/2025-4-29-mondelez-international-inc-stock/"
"MDLZ","2025-04-29","Dirk Van de Put","Chairman and CEO at MondelÄ“z International","Thanks, Shep, and thanks to everyone for joining the call today. I will start on slide four. I'm pleased to share that we delivered solid results for the first quarter, driven by sound execution despite significant external volatility. Our top line grew 3.1% behind strong pricing execution across our chocolate business due to unprecedented input costs for cocoa. We also delivered strong profit dollar generation and free cash flow. These results, along with solid category growth, reinforce our continued confidence in our full-year outlook. We remain committed to delivering against our strategic agenda, focusing on the controllables, and staying agile in this challenging macro environment. We are continuing to execute with excellence against our chocolate strategy and our cost savings program. Both of these initiatives are on track and will provide additional color throughout today's call. Turning to slide five, you can see that organic net revenue grew 3.1%.","https://www.marketbeat.com/earnings/reports/2025-4-29-mondelez-international-inc-stock/"
"MDLZ","2025-04-29","Dirk Van de Put","Chairman and CEO at MondelÄ“z International","Volume mix was down 3.5 percentage points due to elasticity consistent with our expectations. We also implemented planned activities in our chocolate business. A few one-time factors also affected volume mix, which included Easter phasing and retailer inventory restocking, which Luca will describe in more detail later. Pricing execution related to cocoa inflation was strong. We have now implemented planned pricing across many key markets with minimal disruption. We also saw a successful start to the Easter season. As expected, adjusted gross profit was significantly impacted by record cocoa costs, and consequently, this also affected our EPS. We also generated 800 million in free cash flow in the quarter. On slide six, you can see that consumers' enduring preference for our snacking categories remains solid, despite continuing economic and political concerns in many markets.","https://www.marketbeat.com/earnings/reports/2025-4-29-mondelez-international-inc-stock/"
"MDLZ","2025-04-29","Dirk Van de Put","Chairman and CEO at MondelÄ“z International","In North America, continued frustration with day-to-day pricing and cost of living challenges continues to drive value-seeking behavior. As a result, growth in the biscuit category is soft, but it continues to hold up better than many other snacking categories. Despite overall declining consumer confidence, loyalty to our strong brands like Oreo, Chips Ahoy, and Ritz remains solid, and our investment in price-pack architecture is helping to drive continued share gains. Meanwhile, in Europe, consumer confidence and price elasticities remain stable. We continue to see solid category value growth in both biscuits and chocolate, and our brands continue to resonate with consumers. Elasticity also remains stable in emerging markets. However, consumer confidence is soft in Brazil, Mexico, and China from economic uncertainty, while confidence in India remains solid.","https://www.marketbeat.com/earnings/reports/2025-4-29-mondelez-international-inc-stock/"
"MDLZ","2025-04-29","Dirk Van de Put","Chairman and CEO at MondelÄ“z International","Overall, we are seeing solid category growth in both volume and value across our combined emerging markets, and Mondelez's share is improving in both biscuits and chocolate. Turning to slide seven, it is important to reinforce that we are continuing to make progress against our strategic growth agenda, reinvesting in our brands, expanding distribution, strengthening our marketing and sales capabilities, and scaling our long-standing commitment to sustainability. Here are just a few highlights of our strategy in action. Our iconic global brands, including Oreo and Cadbury Dairy Milk, continue to drive creative, on-trend activations that resonate strongly with consumers and help strengthen our strategic partnerships with retailers. For example, Oreo's collaboration with Post Malone marked the first time a pop culture figure was personally involved in building a recipe for Oreo nearly from scratch, resulting in our first-ever twisted cream.","https://www.marketbeat.com/earnings/reports/2025-4-29-mondelez-international-inc-stock/"
"MDLZ","2025-04-29","Dirk Van de Put","Chairman and CEO at MondelÄ“z International","Meanwhile, in the U.K., we rolled out our first of many chocolate collaborations resulting from the partnership with Lotus Bakeries. The Cadbury Dairy Milk Biscoff Bar, featuring the signature Biscoff taste and crunch, is only the beginning of our innovation platform, with our other chocolate brands rolling out similar Biscoff crumbles and flavors across Europe in the coming months. Along with these creative brand reinvestments, we continue to expand distribution around the world. We added more than 100,000 stores in emerging markets in Q1. We also are making significant progress in strengthening our partnership with retailers around the world. For the first time in our history, we achieved a top-tier ranking on the Global Advantage Survey. Additionally, we continue to make strong progress towards building a more sustainable snacking company and delivered on all our 24 sustainability targets.","https://www.marketbeat.com/earnings/reports/2025-4-29-mondelez-international-inc-stock/"
"MDLZ","2025-04-29","Dirk Van de Put","Chairman and CEO at MondelÄ“z International","Earlier this month, we published our annual Snacking Made Right report, providing stakeholders an in-depth view of our sustainability strategy, goals, and performance data. Among other highlights, we expanded Cocoa Life, our signature sustainability program, to source 91% of cocoa volume for our chocolate business. We also made meaningful strides in combating climate change, reducing end-to-end carbon emissions by 12% versus our 2018 baseline. We continue to believe that helping to drive positive change at scale across the communities our business touches is an integral part of value creation. Simply put, we believe that more sustainable businesses, and always will be, is good business. I encourage you to take a few minutes to review our report in more detail. Before I turn the microphone over to Luca, I'd like to reinforce that our chocolate strategy remains on track, and performance to date is broadly in line with our expectations.","https://www.marketbeat.com/earnings/reports/2025-4-29-mondelez-international-inc-stock/"
"MDLZ","2025-04-29","Dirk Van de Put","Chairman and CEO at MondelÄ“z International","Our teams started planning for the challenges created by record cocoa input cost inflation more than a year ago, and we're confident that the robust, clear strategy we built to navigate these conditions is paying off. We have reconfigured our chocolate portfolio to offer consumers an array of pack sizes appropriate for each snacking occasion, from bite-sized treats offering a delicious taste of me-time to family sizes designed for sharing with family and friends. At the same time, we continue to maintain entry-level pricing to drive consumption. We also have successfully implemented most of our planned pricing in Europe with minimal customer disruption. As a result, elasticity is in line with expectations. We're also growing share in chocolate across markets, up 0.4 percentage points year to date. We continue to innovate with new flavors, formats, and brand activations.","https://www.marketbeat.com/earnings/reports/2025-4-29-mondelez-international-inc-stock/"
