"symbol","report_date","speaker","title","msg","source_url"
"MGM","2025-02-12",NA,NA,"Good afternoon, and welcome to the MGM Resorts International Fourth Quarter and Full Year 2024 Earnings Conference Call. Joining the call from the company today are Bill Hornbuckle, Chief Executive Officer and President, Corey Sanders, Chief Operating Officer, Jonathan Halkyard, Chief Financial Officer and Treasurer, Gary Fritz, President of MGM Interactive, Kenneth Feng, Executive Director and President of MGM China Holdings, Hubert Wang, COO and President of MGM China Holdings, and Howard Wang, Vice President of Investor Relations. All participants are in listen-only mode. After the company's remarks, there will be a question-and-answer session. Please note, this event is being recorded. Now, I would like to turn the call over to Howard Wang. Please go ahead.","https://www.marketbeat.com/earnings/reports/2025-2-12-mgm-resorts-international-stock/"
"MGM","2025-02-12","Howard Wang","VP of Investor Relations at MGM Resorts International","Thanks, Gary. Welcome to the MGM Resorts International Fourth Quarter and Full Year 2024 Earnings Call. This call is being broadcast live on the internet at investors.mgmresorts.com, and we have also furnished our press release on Form 8-K to the SEC. On this call, we will be making forward-looking statements under the safe harbor provisions of the federal securities laws. Actual results may differ materially from those contemplated in these statements. Additional information concerning factors that could cause actual results to differ from these forward-looking statements is contained in today's press release and in our periodic filings with the SEC. Except as required by law, we undertake no obligation to update these statements as a result of new information or otherwise. During the call, we will also discuss non-GAAP financial measures when talking about our performance.","https://www.marketbeat.com/earnings/reports/2025-2-12-mgm-resorts-international-stock/"
"MGM","2025-02-12","Howard Wang","VP of Investor Relations at MGM Resorts International","You can find the reconciliation of GAAP financial measures in our press release and investor presentation, which are available on our website. Finally, this presentation is being recorded. I will now turn it over to Bill Hornbuckle.","https://www.marketbeat.com/earnings/reports/2025-2-12-mgm-resorts-international-stock/"
"MGM","2025-02-12","Bill Hornbuckle","CEO and President at MGM Resorts International","Thank you, Howard, and welcome to the team. We're very excited to have you join us. Let me start by thanking my colleagues at MGM Resorts for delivering yet another exceptional year of record results, including our best ever for consolidated net revenues, as well as an all-time high record annual domestic slot win, hotel revenue, and F&B revenue. Our company is in a solid and enviable position today because of the culture of our employees that built around show and the culture of yes. Our commitment and dedication to guest centricity is reflected in our Net Promoter Scores, which set an all-time record for Gold Plus customers in the fourth quarter and for the year.","https://www.marketbeat.com/earnings/reports/2025-2-12-mgm-resorts-international-stock/"
"MGM","2025-02-12","Bill Hornbuckle","CEO and President at MGM Resorts International","I can't say enough great things about our people here at MGM who drive these great results day in and day out other than simply, ""Thank you."" MGM is an industry leader thanks to the strategic decisions we have executed on over the last few years. Our strategic plan has given us a strong financial foundation, proficient operations, and unparalleled growth opportunities in both digital and brick-and-mortar. And we're off to a great start in 2025. Obviously, the Super Bowl was just played Sunday, and from a casino perspective, it was a strong event for us here in Las Vegas and at BetMGM.","https://www.marketbeat.com/earnings/reports/2025-2-12-mgm-resorts-international-stock/"
"MGM","2025-02-12","Bill Hornbuckle","CEO and President at MGM Resorts International","As we look into the rest of this quarter and the remainder of the year, we are seeing, excuse me, positive indicators with revenues up in our domestic operations in January, as well as ADRs on pace to continue to grow for most of the year. All of this great momentum is backed by a solid balance sheet characterized by low net debt and significant liquidity. Our globally recognized brands, prime locations, development opportunities, and growing digital platform enable us to reach more customers and more markets than any other company in our sector, with over 46 million MGM Rewards members and a total addressable market exceeding $150 billion, including both our physical resorts and online markets. I'm truly excited by the opportunities in front of us in 2025 and beyond, and here's why.","https://www.marketbeat.com/earnings/reports/2025-2-12-mgm-resorts-international-stock/"
"MGM","2025-02-12","Bill Hornbuckle","CEO and President at MGM Resorts International","Our leading position in Las Vegas will be a source of stability and growth in the near term. We are investing in our business and the customer experience. In 2024, we continued a broad improvement throughout Bellagio with the renovation of all of our suites, new food and beverage offerings, as well as a refresh of premium gaming spaces. Additionally, The Cosmopolitan of Las Vegas was transitioned to MGM Rewards, and these regular capital investments into our resort operations drive continued guest visitation and increased spend. Las Vegas December slot handle and slot win were at an all-time record level for any month in our history and contributed to the all-time quarterly record for slot handle and slot win in the fourth quarter. We are bringing to fruition our goal of being the industry leader in groups and meetings with over 2.2 million room nights on the books for 2025.","https://www.marketbeat.com/earnings/reports/2025-2-12-mgm-resorts-international-stock/"
"MGM","2025-02-12","Bill Hornbuckle","CEO and President at MGM Resorts International","Last year, we completed a $100 million investment in Mandalay Bay Convention Center, and we welcome both new and existing convention customers to the space. In December, we closed on the strongest convention booked month of a record for our company. In fact, the bookings in December were 43% higher than our prior record month, a promising trend for our future. We concluded our first year with Marriott in 2024, which outperformed our original expectations with over 660,000 room nights stayed in the year and higher track spend in the leisure package rooms we look to displace. Importantly, we see further runway to grow in 2025 since all of our properties will be live for a full year of bookings.","https://www.marketbeat.com/earnings/reports/2025-2-12-mgm-resorts-international-stock/"
"MGM","2025-02-12","Bill Hornbuckle","CEO and President at MGM Resorts International","During the fourth quarter, we also rebranded the Delano Tower at Mandalay Bay to the W Las Vegas, which has significant brand recognition and will now allow the resort to benefit from the Marriott distribution system and Marriott Bonvoy program. MGM's omnichannel advantage is now a much more meaningful opportunity with the extensive improvement of the functionality and speed of the app and the launch of single app, single wallet in Nevada at BetMGM. During football season, BetMGM's significant presence throughout Las Vegas drove a 60% increase in Nevada-acquired first-time depositors versus the prior season. We also saw a doubling in continued play of actives in their home state post-sign-up in Nevada, a signal that single app, single wallet is driving customer stickiness. These omnichannel players are three times more valuable than the digital-only players.","https://www.marketbeat.com/earnings/reports/2025-2-12-mgm-resorts-international-stock/"
"MGM","2025-02-12","Bill Hornbuckle","CEO and President at MGM Resorts International","Our regional properties are truly best in class, and we expect them to remain a very steady source of free cash flow going forward. In Macau, we achieved the best-ever full-year segment-adjusted EBITDAR in the history of MGM China. We continue to be a high-performing outlier in the market with exceptional execution by the team. Macau 2049, our first residency show at MGM Cotai, and the Poly Art Museum at MGM Macau, which saw over 10,000 people in one day during Chinese New Year's, are both important steps to drive non-gaming revenues and visitation to Macau. We grew market share in December to over 16%, and we concluded the year at similar levels. We remain confident and believe we have proven that we have sustainable market share in the mid-teens driven by our strong product innovation teams and the focus on the premium mass market.","https://www.marketbeat.com/earnings/reports/2025-2-12-mgm-resorts-international-stock/"
