"symbol","report_date","speaker","title","msg","source_url"
"MMM","2024-10-22",NA,NA,"Ladies and gentlemen, thank you for standing by. Welcome to the 3M third quarter earnings conference call. During the presentation, all participants will be in a listen-only mode. Afterwards, we will conduct a question-and-answer session. At that time, if you do have a question, please press star one on your telephone keypad. As a reminder, this call is being recorded Tuesday, October twenty-second, twenty twenty-four. I would now like to turn the call over to Bruce Jermeland, Senior Vice President of Investor Relations at 3M.","https://www.marketbeat.com/earnings/reports/2024-10-22-3m-stock/"
"MMM","2024-10-22","Bruce Jermeland","SVP of Investor Relations at 3M","Thank you, and good morning, everyone, and welcome to our third quarter earnings conference call. With me today are Bill Brown, 3M's Chief Executive Officer, and Anurag Maheshwari, our Chief Financial Officer. Bill and Anurag will make some formal comments, then we'll take your questions. Please note that today's earnings release and slide presentation accompanying this call are posted on the homepage of our investor relations website at 3m.com. Please turn to slide two. Please take a moment to read the forward-looking statement.","https://www.marketbeat.com/earnings/reports/2024-10-22-3m-stock/"
"MMM","2024-10-22","Bruce Jermeland","SVP of Investor Relations at 3M","During today's conference call, we'll be making certain predictive statements that reflect our current views about 3M's future performance and financial results. These statements are based on certain assumptions and expectations of future events that are subject to risks and uncertainties.","https://www.marketbeat.com/earnings/reports/2024-10-22-3m-stock/"
"MMM","2024-10-22","Bruce Jermeland","SVP of Investor Relations at 3M","Item 1A of our most recent Form 10-Q lists some of the most important risk factors that could cause actual results to differ from our predictions. Please note, throughout today's presentation, we'll be making references to certain non-GAAP financial measures. Reconciliations of the non-GAAP measures can be found in the attachments to today's press release. With that, please turn to slide three. I'll hand the call off to Bill. Bill?","https://www.marketbeat.com/earnings/reports/2024-10-22-3m-stock/"
"MMM","2024-10-22","Bill Brown","CEO at 3M","Thank you, Bruce, and good morning, everyone. First, I'd like to take a moment and welcome Anurag to his first 3M earnings call. Anurag recently joined 3M in early September after serving as CFO of Otis. I've had the pleasure of working with Anurag off and on over the past 20 years and look forward to his leadership and partnership as 3M's CFO. Earlier today, we reported strong third-quarter results, with non-GAAP earnings per share of $1.98, up 18% on 1% organic revenue growth.","https://www.marketbeat.com/earnings/reports/2024-10-22-3m-stock/"
"MMM","2024-10-22","Bill Brown","CEO at 3M","Our overall company margins increased 140 basis points to 23%, and free cash flow was $1.5 billion, with a conversion of 141%, and we returned $1.1 billion to shareholders during the quarter via dividends and share repurchases. These results extend our strong 2024 operating performance, with non-GAAP earnings per share over the first three quarters up 30% on 1% organic revenue growth.","https://www.marketbeat.com/earnings/reports/2024-10-22-3m-stock/"
"MMM","2024-10-22","Bill Brown","CEO at 3M","As a result of the team's strong operational performance and disciplined capital deployment, we raised the bottom end of our full-year earnings guidance by $0.20 to a range of $7.20-$7.30, versus a prior range of $7-$7.30 per share. During our Q2 earnings call, I described our top three priorities. Number one, driving sustained top-line organic growth through both reinvigorating innovation and improving commercial excellence. Two, improving operational performance across the enterprise. And three, effectively deploying capital.","https://www.marketbeat.com/earnings/reports/2024-10-22-3m-stock/"
"MMM","2024-10-22","Bill Brown","CEO at 3M","As I mentioned in July, getting more productivity out of our R&D investments is going to take some time, but we're beginning to make progress on both R&D effectiveness and efficiency. A lot of our recent efforts have focused on the basic blocking and tackling and improving the fundamentals of our R&D and commercialization processes. For example, we've taken actions to improve enterprise-wide visibility on specific investments in our product development pipeline, and we're driving a new rigor and discipline into product launch calendars and raising accountability for post-launch sales performance.","https://www.marketbeat.com/earnings/reports/2024-10-22-3m-stock/"
"MMM","2024-10-22","Bill Brown","CEO at 3M","We're fast-tracking projects for low-risk product line extensions, eliminating non-value-added activity from our engineers' workload by offloading or outsourcing administrative tasks, and increasing pipeline velocity through efforts as simple as reducing the time to set up an SKU from 100 days on average last year to about 60 days this year, and to address bottlenecks and drive productivity in the product development process, we're shifting capital spending within our existing budget to fund upgrades of R&D facilities to allow us to scale rapidly from lab to pilot to manufacturing.","https://www.marketbeat.com/earnings/reports/2024-10-22-3m-stock/"
"MMM","2024-10-22","Bill Brown","CEO at 3M","And finally, we're shifting about 100 people within R&D to focus on new product development, including those who are rolling off PFAS-related projects, and adding more than 50 new engineers in the fourth quarter to high-priority focus areas such as specialty materials and films for the automotive, aerospace, electronics, and semiconductor markets. After a decade-long slide in new product introductions, we bottomed out and are starting to turn the corner, with new product launches expected to be up about 10% this year, with a further acceleration next year.","https://www.marketbeat.com/earnings/reports/2024-10-22-3m-stock/"
"MMM","2024-10-22","Bill Brown","CEO at 3M","I recognize these are only initial steps on a long journey toward bending the organic growth curve, and in the meantime, we have to improve how we execute at the customer interface. We're working through the details of how we staff, train, and incentivize our sales force.... price our products, leverage our distribution network, and capture cross-sell opportunities, and we'll share those details as they evolve. But one area where we've seen continued progress is delivering on on-time in full, or OTIF, to our customers.","https://www.marketbeat.com/earnings/reports/2024-10-22-3m-stock/"
"MMM","2024-10-22","Bill Brown","CEO at 3M","I know we've lost business and have paid fines due to poor delivery performance, and I'm encouraged by the steady improvement we're making, ending Q3 at 89% OTIF, up five points since the beginning of the year and ten points above Q4 of 2022. As we push harder on OTIF, we're getting more visibility on the weak links in the value chain, from the performance in our factories, to our suppliers, and to our logistics providers.","https://www.marketbeat.com/earnings/reports/2024-10-22-3m-stock/"
"MMM","2024-10-22","Bill Brown","CEO at 3M","In our factories, we're looking harder at the reliability of our assets and our capacity to surge, and we've now implemented a common metric to measure operating equipment efficiency, or OEE, across the major assets in our thirty-eight largest facilities. Utilization on these machines going back to the beginning of the year averages around 50%, well short of best-in-class companies and pointing to opportunities to free up capacity to better respond to quick turn orders by optimizing changeovers and improving maintenance practices.","https://www.marketbeat.com/earnings/reports/2024-10-22-3m-stock/"
"MMM","2024-10-22","Bill Brown","CEO at 3M","When it comes to our suppliers and contract manufacturers, we're implementing more rigorous standards and expectations for on-time performance, which has been running in the low 60% range for the past few years and is now in the low 70s.","https://www.marketbeat.com/earnings/reports/2024-10-22-3m-stock/"
"MMM","2024-10-22","Bill Brown","CEO at 3M","A common theme in all of these discussions is the need for significantly higher demand visibility and forecast accuracy, which has been running in the mid-60% range, 10-15 points below expectation and well below best-in-class companies.","https://www.marketbeat.com/earnings/reports/2024-10-22-3m-stock/"
"MMM","2024-10-22","Bill Brown","CEO at 3M","We recently kicked off a project to redesign our forecasting process and we're in the early stages of a 15-week sprint to test and tune our demand plan for two large divisions using different analytical tools. Initial results through the new model show a lot of promise in improving forecast accuracy, which will allow us to level load our factories, reduce inventory throughout the value chain, and improve on-time delivery to customers. As I mentioned in July, this is a back-to-basics, focus-on-fundamental approach that lays the groundwork for a more holistic look at network complexity.","https://www.marketbeat.com/earnings/reports/2024-10-22-3m-stock/"
"MMM","2024-10-22","Bill Brown","CEO at 3M","While we've closed facilities in the past and have a few more in flight today, gaining maturity in our OEE metric will allow us to take a fresh look at consolidation opportunities at both the site and the work cell level over time. A critical enabler of our OpEx agenda is the depth and capacity of our operations leadership team, and we continue to onboard new talent, particularly in the areas of quality, materials planning, and continuous improvement. These efforts are all part of a broad operational transformation at 3M, the foundation of which is a safety-first culture.","https://www.marketbeat.com/earnings/reports/2024-10-22-3m-stock/"
"MMM","2024-10-22","Bill Brown","CEO at 3M","While our injury rate has improved versus last year, it's not where we want it to be. Earlier this month, we launched a company-wide campaign called Journey to Zero, that engages every employee in our drive towards an injury-free workplace. Turning to capital deployment, through nine months, we've generated $3.5 billion of adjusted free cash flow, with conversion of 102%, after investing $1.7 billion in R&D and CapEx. We've returned $2.7 billion to shareholders, including share repurchases of $1.1 billion.","https://www.marketbeat.com/earnings/reports/2024-10-22-3m-stock/"
"MMM","2024-10-22","Bill Brown","CEO at 3M","Our balance sheet remains strong, and we're actively reviewing our portfolio with a few small businesses now in the early stages of a sale process. So overall, we're making progress on the three priorities that I've laid out, and I'm encouraged by the energy and desire of our team to win by delivering for our customers and creating value for our shareholders. With that, let me turn it over to Anurag to provide more details on the quarter and our updated guidance. Anurag?","https://www.marketbeat.com/earnings/reports/2024-10-22-3m-stock/"
"MMM","2024-10-22","Anurag Maheshwari","CFO at 3M","Thank you, Bill. Starting with overall company third quarter performance on slide four, total adjusted sales were $6.1 billion, with organic growth up 1% or up 2%, excluding geographic prioritization and product portfolio initiatives. These results reflect end market trends that were largely in line with expectations, including mixed industrial markets, strong growth in electronics, a decline in automotive OEM build rates, and continued softness in consumer retail discretionary spending.","https://www.marketbeat.com/earnings/reports/2024-10-22-3m-stock/"
