"symbol","report_date","speaker","title","msg","source_url"
"MPWR","2025-07-31","Arthur Lee","Finance Manager at Monolithic Power Systems","Welcome everyone to the MPS second quarter 2025 earnings webinar. My name is Arthur Lee and I will be the moderator for this webinar. Joining me today are Michael Hsing, CEO and Founder of MPS, Bernie Blegen, EVP and CFO, and Tony Balow, Vice President of Finance. Earlier today along with our earnings announcement, MPS released a written commentary on the results of our operations. Both documents can be found on our website. Before we begin, I would like to remind everyone that in the course of today's presentation we may make forward-looking statements and projections within the meaning of the Private Securities Litigation Reform Act of 1995 that involve risk and uncertainties.","https://www.marketbeat.com/earnings/reports/2025-7-31-monolithic-power-systems-inc-stock/"
"MPWR","2025-07-31","Arthur Lee","Finance Manager at Monolithic Power Systems","The risks, uncertainties, and other factors that could cause actual results to differ from these forward-looking statements are identified in the Safe Harbor statements contained in the Q2 2025 earnings release, our Q2 2025 earnings commentary, and in our SEC filings, including our Form 10-K which can be found on our website. Our statements are made as of today and we assume no obligation to update this information. Now I would like to turn the call over to Bernie Blegen.","https://www.marketbeat.com/earnings/reports/2025-7-31-monolithic-power-systems-inc-stock/"
"MPWR","2025-07-31","Bernie Blegen","EVP and CFO at Monolithic Power Systems","Thanks Arthur. Good afternoon and welcome to our Q2 2025 earnings call. In Q2, MPS achieved record quarterly revenue of $664.6 million, 4.2% higher than the first quarter of 2025 and 31.0% higher than Q2 2024. This performance reflected the ongoing strength of our diversified market strategy, consistent execution, continued innovation, and strong customer focus. Let me call out a few highlights from the second quarter. We continue to see diversified revenue growth across all of our end markets. We began initial shipments of our power solutions to support our customers. New AI ASIC-based products, storage, and compute revenue grew sequentially off a strong Q1 as we continue to see demand for both memory solutions and notebook power solutions. MPS continues to focus on innovation and solving our customers' most challenging problems.","https://www.marketbeat.com/earnings/reports/2025-7-31-monolithic-power-systems-inc-stock/"
"MPWR","2025-07-31","Bernie Blegen","EVP and CFO at Monolithic Power Systems","We continue to invest in new technology, expand into new markets, and diversify our end market application and global supply chain. This will allow us to capture further future growth opportunities, maintain supply chain stability, and swiftly adapt to market changes as they occur. Our proven long-term growth strategy remains intact as we continue our transformation from being a chip-only semiconductor supplier to a full-service silicon-based solutions provider. I will now open the webinar up for questions.","https://www.marketbeat.com/earnings/reports/2025-7-31-monolithic-power-systems-inc-stock/"
"MPWR","2025-07-31","Arthur Lee","Finance Manager at Monolithic Power Systems","Thank you Bernie and Analyst. I would now like to begin our Q&A session. As a reminder, if you would like to ask a question, please click on the participants icon in the menu bar and then click the raise hand button. Our first question is from Tore Svanberg of Stifel. Tore, your line is now open.","https://www.marketbeat.com/earnings/reports/2025-7-31-monolithic-power-systems-inc-stock/"
"MPWR","2025-07-31","Tore Svanberg","Managing Director at Stifel","Yes, thank you. Congratulations on another record quarter. Michael, Bernie, I was hoping you could talk a little bit more about the September quarter. What the setup is there. You're guiding for 8% sequential growth at the midpoint. I was just hoping you could give us some puts and takes of the six end markets in the September quarter.","https://www.marketbeat.com/earnings/reports/2025-7-31-monolithic-power-systems-inc-stock/"
"MPWR","2025-07-31","Bernie Blegen","EVP and CFO at Monolithic Power Systems","Sure. Happy to, Tore. When we look at Q3, we've got enterprise data growing between 20% and 30% sequentially. We also see a seasonal uplift in consumer, and with the exception of storage and compute, all of our other lines of business are up high single digits. In storage and compute, we just have a little bit of caution primarily because you're coming off of two very strong quarters in Q1 and Q2.","https://www.marketbeat.com/earnings/reports/2025-7-31-monolithic-power-systems-inc-stock/"
"MPWR","2025-07-31","Tore Svanberg","Managing Director at Stifel","That's great, caller. Just as my follow up, you mentioned the AI ASIC-based products programs now starting to ramp up. I was hoping you could add a bit more color there. Are we talking about multiple customers? Are these primarily vertical power architectures? I guess a really important question is back at the Analyst Day, you gave us that $4 billion SAM for your enterprise data market and there's a lot that's happened since then. I was just wondering if that number is starting to move quite a bit upward.","https://www.marketbeat.com/earnings/reports/2025-7-31-monolithic-power-systems-inc-stock/"
"MPWR","2025-07-31","Michael Hsing","CEO and Founder at Monolithic Power Systems","Yeah, you're right. Since the Analyst Day, things are changing fast and everything's good. After a couple of years of these enterprise data segments, and clearly you establish a winner or losers, and the NPSS appear to be winners. We do engage multiple customers, if it's not all large customers or large customers or potential customers. Like Amanda, we have a lot of design weights and design activities, and while their threatens are ramping up in the near terms, and also a lot of small emerging players, and we see the peripheral of not only the, in the data centers but all kind of applications. That's what we very excited in the long terms, the short term ones. I said in year terms it doesn't mean, okay, next six months, the next 12 months. I keep saying, okay, our forecast revenues is always a Â±6-12 months.","https://www.marketbeat.com/earnings/reports/2025-7-31-monolithic-power-systems-inc-stock/"
"MPWR","2025-07-31","Michael Hsing","CEO and Founder at Monolithic Power Systems","You said earlier is a $4 billion. That's what we said. That's where we see it, and we're going to get there.","https://www.marketbeat.com/earnings/reports/2025-7-31-monolithic-power-systems-inc-stock/"
