"symbol","report_date","speaker","title","msg","source_url"
"MSCI","2025-04-22","Jeremy Ulan","Head of Investor Relations at MSCI","Thank you, Gigi. Good day and welcome to the MSCI First Quarter 2025 earnings conference call. Earlier this morning, we issued a press release announcing our results for the first quarter of 2025. This press release, along with an earnings presentation and brief quarterly update, are available on our website, msci.com, under the Investor Relations tab. Let me remind you that this call contains forward-looking statements, which are governed by the language on the second slide of today's presentation. You are cautioned not to place undue reliance on forward-looking statements, which speak only as the date on which they are made, are based on current expectations and current economic conditions, and are subject to risks and uncertainties that may cause actual results to differ materially from the results anticipated in these forward-looking statements.","https://www.marketbeat.com/earnings/reports/2025-4-22-msci-inc-stock/"
"MSCI","2025-04-22","Jeremy Ulan","Head of Investor Relations at MSCI","For discussion of additional risks and uncertainties, please see the risk factors and forward-looking statements disclaimer in our most recent Form 10-K and in our other SEC filings. During today's call, in addition to results presented on the basis of U.S. GAAP, we also refer to non-GAAP measures. You'll find a reconciliation of our non-GAAP measures to the equivalent GAAP measures in the appendix of the earnings presentation. We will also discuss operating metrics such as run rate and retention rate. Important information regarding our use of operating metrics such as run rate and retention rate are available in the earnings presentation. On the call today are Henry Fernandez, our Chairman and CEO; Baer Pettit, our President and COO; and Andy Wiechmann, our Chief Financial Officer. Lastly, we wanted to remind our analysts to ask one question at a time during the Q&A portion of our call.","https://www.marketbeat.com/earnings/reports/2025-4-22-msci-inc-stock/"
"MSCI","2025-04-22","Jeremy Ulan","Head of Investor Relations at MSCI","We do encourage you to ask more questions by adding yourselves back to the queue. With that, let me now turn the call over to Henry Fernandez. Henry?","https://www.marketbeat.com/earnings/reports/2025-4-22-msci-inc-stock/"
"MSCI","2025-04-22","Henry Fernandez","Chairman and CEO at MSCI","Thank you, Jeremy. Good day, everyone, and thank you for joining us. Sorry for the scratchy voice. I suffer from a seasonal allergy at this time of the year. In the first quarter, MSCI delivered strong financial metrics, including organic revenue growth of 10%, adjusted EBITDA growth of 11%, and adjusted earnings per share growth of almost 14%. We also repurchased $275 million worth of MSCI shares during Q1 and through April 21. As always, the share repurchases affirm our belief in the current and future value of our stock and our commitment to a robust capital allocation policy. Our first quarter operating metrics showed durable retention and asset-based fee revenue growth, although new recurring subscription sales were down from Q1 of 2024. More specifically, MSCI delivered a retention rate of over 95%, organic subscription run rate growth of 8%, and asset-based fee revenue growth of 18%.","https://www.marketbeat.com/earnings/reports/2025-4-22-msci-inc-stock/"
"MSCI","2025-04-22","Henry Fernandez","Chairman and CEO at MSCI","This reflected strong growth in both ETF and non-ETF AUM linked to MSCI indices, including the highest Q1 cash flows into ETF products linked to MSCI indices since 2021. Among our client segments, we had a strong quarter with hedge funds, asset owners, banks and broker dealers, and wealth managers. At the product level, we achieved retention rates of over 96% in index and over 95% in analytics. We also drove recurring net new sales growth of over 60% for each of these product lines. MSCI is providing a growing mix of solutions for portfolio customization and personalization. We have built solid momentum in custom indices, which will be further supported by our integration of the Foxberry F9 platform. Meanwhile, net new recurring subscription sales in private capital solutions grew by 24%. We continue building new solutions to help clients diversify into private assets.","https://www.marketbeat.com/earnings/reports/2025-4-22-msci-inc-stock/"
"MSCI","2025-04-22","Henry Fernandez","Chairman and CEO at MSCI","Yesterday, we announced a very exciting partnership with Moody's to develop independent credit risk assessments for private credit. By combining Moody's credit risk modeling solutions with MSCI's private credit investment data, we will drive greater clarity and confidence in this asset class, especially at a period of credit stress in the world. MSCI has the capabilities and the business model to weather periods of global turmoil. Periods of market disruptions have always been when MSCI's clients need us the most. These are the moments when MSCI standards and solutions take on much greater importance for clients across segments, not just our benchmark indices and risk analytics, but also the full range of our integrated interconnected tools and content. 88% of our subscription run rates come from clients who use multiple MSCI product lines.","https://www.marketbeat.com/earnings/reports/2025-4-22-msci-inc-stock/"
"MSCI","2025-04-22","Henry Fernandez","Chairman and CEO at MSCI","We provide mission-critical data, models, and technology that clients need in all environments and all phases of the business cycle, especially in periods of high uncertainty, low clarity, and relative volatility in markets. This enables MSCI's all-weather franchise, robust cash flows, and fortress balance sheet, and all of that makes us confident in our ability to deliver consistent financial results amid the current market turmoil. With that, let me turn the call over to Baer Pettit.","https://www.marketbeat.com/earnings/reports/2025-4-22-msci-inc-stock/"
"MSCI","2025-04-22","Baer Pettit","President and COO at MSCI","Thank you, Henry, and greetings, everyone. In my remarks today, I will discuss our first quarter performance by client segment, including meaningful business wins that give us conviction in our global strategy. We delivered encouraging results among established and newer segments. Among hedge funds, MSCI achieved 14% subscription run rate growth, driven by analytics and index, and covering a wide range of products and capabilities, including customization and the reimagining of risk. For example, our next-gen factor models and analytics are helping a growing number of hedge funds understand the key factors driving risk and return amid high levels of market volatility. We now have more than 60 hedge funds using those models, up from just eight in 2022. We also completed a significant multi-region hedge fund deal for our ETF-linked custom index module.","https://www.marketbeat.com/earnings/reports/2025-4-22-msci-inc-stock/"
"MSCI","2025-04-22","Baer Pettit","President and COO at MSCI","Amongst banks and broker dealers, we delivered over 9% subscription run rate growth with strong Analytics, new recurring subscription sales in Europe and the Americas. In particular, we saw robust demand for our factor models and related solutions, confirming the importance of our risk Analytics tools during periods of market volatility. We also saw strong demand for custom baskets created with MSCI Index Solutions, another sign of the growing push for customization. In addition, we completed a multi-year deal with a large bank in the Americas for a Sustainability and Climate regulatory solution that can support asset liability management. This last win demonstrated that MSCI can generate enormous value across climate risk and sustainable finance. Turning to wealth managers, we achieved subscription run rate growth of 15%, driven by Index across all regions and by Sustainability and Climate in Europe.","https://www.marketbeat.com/earnings/reports/2025-4-22-msci-inc-stock/"
"MSCI","2025-04-22","Baer Pettit","President and COO at MSCI","For example, we landed a large one MSCI win, including index and private capital solutions, with the wealth arm of a prominent global financial institution. This win came part of a seven-figure multi-location renewal deal that spanned seven countries and broadened the scope of an existing client relationship, resulting in a client run rate expansion of almost 38%. In the process, we fully displaced the equity benchmarks of two key competitors. We also secured a large multi-year sustainability and climate win with a European wealth manager to expand their integration of sustainability at both the home office level and in client portfolios. Meanwhile, direct indexing AUM based on MSCI indexes increased by 30% to more than $131 billion. All of this illustrates how MSCI's wealth solutions cut across product lines and meet different use cases for a growing number of clients.","https://www.marketbeat.com/earnings/reports/2025-4-22-msci-inc-stock/"
