"symbol","report_date","speaker","title","msg","source_url"
"MSI","2025-05-01",NA,NA,"Good afternoon, and thank you for holding. Welcome to the Motorola Solutions First Quarter 2025 Earnings Conference call. Today's call is being recorded. If you have any objections, please disconnect at this time. The presentation material and additional financial tables are posted on the Motorola Solutions Investor Relations website. In addition, a webcast replay of this call will be available on our website within three hours after the conclusion of this call. The website address is www.motorolasolutions.com/investor. All participants have been placed in a listen-only mode. You have an opportunity to ask questions after today's presentation. If you would like to ask a question, please press star five on your telephone keypad to be placed into the queue. You may also press star five again to remove yourself from the queue. I would now like to introduce Mr. Tim Yocum, Vice President of Investor Relations.","https://www.marketbeat.com/earnings/reports/2025-5-1-motorola-solutions-inc-stock/"
"MSI","2025-05-01",NA,NA,"Mr. Yocum, you may begin your conference.","https://www.marketbeat.com/earnings/reports/2025-5-1-motorola-solutions-inc-stock/"
"MSI","2025-05-01","Tim Yocum","VP of Investor Relations at Motorola Solutions","Good afternoon. Welcome to our 2025 First Quarter Earnings Call. With me today are Greg Brown, Chairman and CEO; Jason Winkler, Executive Vice President and CFO; Jack Molloy, Executive Vice President and COO; and Mahesh Saptharishi, Executive Vice President and CTO. Greg and Jason will review our results along with commentary, and Jack and Mahesh will join for Q&A. We have posted an earnings presentation and news release at motorolasolutions.com/investor. These materials include GAAP to non-GAAP reconciliations for reference. During the call, we reference non-GAAP financial results, including those in our outlook, unless otherwise noted. A number of forward-looking statements will be made during this presentation and during the Q&A portion of the call. These statements are based on current expectations and assumptions that are subject to a variety of risks and uncertainties. Actual results could differ materially from these forward-looking statements.","https://www.marketbeat.com/earnings/reports/2025-5-1-motorola-solutions-inc-stock/"
"MSI","2025-05-01","Tim Yocum","VP of Investor Relations at Motorola Solutions","Information about factors that could cause such differences can be found in today's earnings news release, in the comments made during this conference call, in the risk factors section of our 2024 annual report on Form 10-K, or any quarterly report on Form 10-Q, and in our other reports and filings with the SEC. We do not undertake any duty to update any forward-looking statements. With that, I will turn it over to Greg.","https://www.marketbeat.com/earnings/reports/2025-5-1-motorola-solutions-inc-stock/"
"MSI","2025-05-01","Greg Brown","Chairman and CEO at Motorola Solutions","Thanks, Tim, and good afternoon. Thanks, everybody, for joining us today. I'll begin with a few thoughts of the business before turning it over to Jason. First, Q1 was an excellent start to the year with record first quarter revenue, record operating earnings, and record cash flow. In software and services, sales were up 9%, driven by continued strong adoption of software applications across our safety and security ecosystem and by our LMR services. In products and SI, sales were up 4%, with significant operating margin expansion driven by growth for our higher-tiered public safety devices, as well as lower material costs. Second, our investments in video and software continue to drive meaningful revenue growth for the company. During the quarter, our command center and video technologies both grew double digits and achieved record Q1 orders and ending backlog.","https://www.marketbeat.com/earnings/reports/2025-5-1-motorola-solutions-inc-stock/"
"MSI","2025-05-01","Greg Brown","Chairman and CEO at Motorola Solutions","We also closed on the acquisitions of RapidDeploy and Theatro, adding to our software offerings for both public safety and enterprise customers. Just last week, we launched SVX and Assist, two groundbreaking technologies that will transform how public safety officers protect and serve. Finally, as we navigate the current environment, I like how we are positioned. Our customers are continuing to prioritize investments in safety and security. Our public safety ecosystem continues to expand with new products and solutions, and we're taking actions to offset cost increases related to tariffs. All of this is driving our continued expectation for strong revenue, earnings, and cash flow growth for the year. With that, I'll now turn the call back over to Jason.","https://www.marketbeat.com/earnings/reports/2025-5-1-motorola-solutions-inc-stock/"
"MSI","2025-05-01","Jason Winkler","EVP and CFO at Motorola Solutions","Thank you, Greg. Revenue for the quarter grew 6% and was above our guidance with growth in all three technologies. FX headwinds during the quarter were $25 million, while acquisitions added $32 million. GAAP operating earnings were $582 million, or 23% of sales, up from 21.7% in the year-ago quarter. Non-GAAP operating earnings were $716 million, up 12% from the year-ago quarter, and non-GAAP operating margin was 28.3%, up 160 basis points, driven by higher sales, favorable mix, and lower direct material costs, partially offset by acquisitions. GAAP earnings per share was $2.53, up from a $0.23 loss in the year-ago quarter, which then included a non-operating loss due to the accounting treatment for the settlement of our Silver Lake convertible debt. Non-GAAP EPS was $3.18, up 13% from $2.81 last year. The growth in EPS was driven by higher sales and margins in the current year.","https://www.marketbeat.com/earnings/reports/2025-5-1-motorola-solutions-inc-stock/"
"MSI","2025-05-01","Jason Winkler","EVP and CFO at Motorola Solutions","OpEx in Q1 was $603 million, up $35 million versus last year, driven by investments in video and acquisitions. Turning to cash flow, Q1 operating cash flow was $510 million, up $128 million versus last year, and free cash flow was $473 million, up $137 million. The increase in cash flow was primarily driven by higher earnings and improvements in working capital. For the full year, our expectations for double-digit operating cash flow growth, or approximately $2.7 billion, are unchanged. Capital allocation for Q1 included $325 million in share repurchases, $182 million in cash dividends, and $37 million of CapEx. During the quarter, we closed two acquisitions for a combined total of $414 million: RapidDeploy, a cloud-native next-generation 911 provider, and Theatro, a maker of AI and voice-powered communication and digital workflow software for frontline workers. Both acquisitions are included in command center within our software and services segment.","https://www.marketbeat.com/earnings/reports/2025-5-1-motorola-solutions-inc-stock/"
"MSI","2025-05-01","Jason Winkler","EVP and CFO at Motorola Solutions","Moving to segment results, in products and SI, sales were up 4% versus last year, driven by growth in LMR. Currency headwinds were $14 million in the quarter. Operating earnings were $434 million, or 28.1% of sales, up from 24.8% in the prior year, driven by higher sales, favorable mix, and lower direct material costs. Some notable Q1s and achievements in this segment include a $19 million TETRA Award for a customer in Germany, a $10 million fixed video order for Duke Energy, a $10 million P25 system order for a customer in North Africa, a $10 million P25 device order for a U.S. state and local customer, and a $7 million P25 device order for Aurora, Colorado. In software and services, revenue was up 9% compared to last year, driven by strong growth across all three technologies.","https://www.marketbeat.com/earnings/reports/2025-5-1-motorola-solutions-inc-stock/"
"MSI","2025-05-01","Jason Winkler","EVP and CFO at Motorola Solutions","Revenue from acquisitions was $32 million, and FX headwinds were $11 million. Operating earnings in the segment were $282 million, or 28.7% of sales, down from 29.8% of sales last year, primarily due to acquisitions. Some notable Q1 highlights in software and services include a $19 million LMR managed services extension for an international customer, an $18 million LMR services renewal for a U.S. utility, a $9 million fixed video services contract renewal for the City of Chicago, a $7 million command center order for a U.S. federal customer, and a $5 million command center order for Denver's public transport. Moving next to our regional results, North America Q1 revenue was $1.9 billion, up 9% on growth in all three technologies.","https://www.marketbeat.com/earnings/reports/2025-5-1-motorola-solutions-inc-stock/"
