"symbol","report_date","speaker","title","msg","source_url"
"MTB","2025-07-16",NA,NA,"Good morning, everyone. Welcome to the M&T Bank Second Quarter 2025 earnings conference call. All lines have been placed on a listen-only mode, and the floor will be open for your questions following the presentation. If you would like to ask a question at that time, please press Star, then the number one on your telephone keypad. If at any point your question has been answered, you may remove yourself from the queue by pressing Star Two. When posing your question, we ask that you please pick up your handset to allow for optimal sound quality. Lastly, if you should require operator assistance today, please press Star Zero. Please be advised that today's conference is being recorded. I would now like to hand the conference over to Mr. Steve Wendelboe, Senior Vice President, Investor Relations. Please go ahead, sir.","https://www.marketbeat.com/earnings/reports/2025-7-16-mt-bank-co-stock/"
"MTB","2025-07-16","Steven Wendelboe","SVP of Investor Relations at M&T Bank","Thank you, Bo, and good morning. I'd like to thank everyone for participating in M&T's Second Quarter 2025 earnings conference call. If you have not read the earnings release we issued this morning, you may access it along with the financial tables and schedules by going to our new and improved Investor Relations website at ir.mtb.com. Also, before we start, I'd like to mention that today's presentation may contain forward-looking information. Cautionary statements about this information are included in today's earnings release materials and in the investor presentation, as well as our SEC filings and other investor materials. The presentation also includes non-GAAP financial measures as identified in the earnings release and investor presentation. The appropriate reconciliations to GAAP are included in the appendix. Joining me on the call this morning is M&T's Senior Executive Vice President and CFO, Daryl Bible.","https://www.marketbeat.com/earnings/reports/2025-7-16-mt-bank-co-stock/"
"MTB","2025-07-16","Steven Wendelboe","SVP of Investor Relations at M&T Bank","Now I'd like to turn the call over to Daryl.","https://www.marketbeat.com/earnings/reports/2025-7-16-mt-bank-co-stock/"
"MTB","2025-07-16","Daryl Bible","Senior EVP and CFO at M&T Bank","Thank you, Steve, and good morning, everyone. Our purpose continues to drive M&T Bank's success. We strive to make a difference in people's lives, serving our communities with dedication and integrity. This quarter, we continue to deliver on our purpose as we supported entrepreneurs with our Small Business Accelerator Labs, invested in our New England and Long Island communities through our third and final round of our Amplify Fund, and announced several high-visibility sponsorships. We remain optimistic about the ability to deliver shareholder value and continue serving our communities with excellence. Turning to slide four, we continue to enjoy notable recognition from our customers and the industry. I want to thank our teams in Commercial, Business Banking, Corporate Trust, and Wealth that made these recognitions possible. Turn to slide six, which shows the results for the second quarter.","https://www.marketbeat.com/earnings/reports/2025-7-16-mt-bank-co-stock/"
"MTB","2025-07-16","Daryl Bible","Senior EVP and CFO at M&T Bank","Our second quarter results reflect M&T's continued momentum with several successes to highlight. First, we are pleased with a recent stress test outcome. Our SCB declined from 3.8% to 2.7%, reflecting the resiliency and strength of our earnings power and continued risk management efforts. We started this effort five years ago to reduce our on-balance sheet CRE exposure and still serve our customers. We are also focused on reducing our criticized loans. I want to thank both our Commercial and Credit teams for a great job they have done to make this happen. We executed $1.1 billion in share repurchases in the second quarter while also growing tangible book value per share by 1%. We grew average residential mortgage and consumer loans by $1.1 billion combined, reflecting our diversified business model. Fee income continues to perform well.","https://www.marketbeat.com/earnings/reports/2025-7-16-mt-bank-co-stock/"
"MTB","2025-07-16","Daryl Bible","Senior EVP and CFO at M&T Bank","Excluding security gains and losses and other notable items, fee income grew 11% since the second quarter of 2024. Our expenses remain well controlled, reflected in our second quarter efficiency ratio of 55.2%. Asset quality continues to improve with a $1 billion, or 11%, reduction in commercial criticized balances. Net charge-offs of 32 basis points also remain below our full-year expectations as we discussed in January. Now let's look at the specifics for the second quarter. Diluted GAAP earnings per share were $4.24, up from $3.32 in the prior quarter. Net income was $116 million compared to $584 million in the linked quarter. M&T's second quarter results produced an ROA and ROCE of 1.37% and 10.39%, respectively. There were three notable items in the second quarter, including $17 million in catch-up premium amortization on tax-exempt bonds obtained from the People's United Acquisition.","https://www.marketbeat.com/earnings/reports/2025-7-16-mt-bank-co-stock/"
"MTB","2025-07-16","Daryl Bible","Senior EVP and CFO at M&T Bank","The corresponding impact of that item on a taxable equivalent basis was $20 million. This item reduced EPS by $0.09. We also had two gains reported within fee income, which included a $15 million pre-tax gain on sale of our out-of-footprint CRE loan portfolio and a $10 million pre-tax gain on the sale of an ICF subsidiary. Those two gains impacted EPS by $0.07 and $0.04, respectively. Slide seven includes supplemental reporting of M&T's results on a net operating or tangible basis. M&T's net operating income was $724 million compared to $594 million in the linked quarter. Diluted net operating earnings per share were $4.28, up from $3.38 in the prior quarter. Net operating income yielded an ROTA and an ROTCE of 1.44% and 15.54%. Next, we'll look a little deeper into the underlying trends that generated our second quarter results. Please turn to slide eight.","https://www.marketbeat.com/earnings/reports/2025-7-16-mt-bank-co-stock/"
"MTB","2025-07-16","Daryl Bible","Senior EVP and CFO at M&T Bank","Taxable equivalent net interest income was $1.72 billion, an increase of $15 million, or 1%, from the link quarter. The net interest margin was 3.62%, a decrease of 4 basis points from the prior quarter. The net interest margin decline was primarily driven by a -4 four basis points related to the premium amortization impact, -5 basis points related to higher costs and interest-bearing deposits, and long-term debt, -2 basis points from lower net free funds contribution. Partially offset by a 7 basis point benefit related to fixed asset repricing, including reduction in negative carry on our interest rate swaps. Excluding the notable premium amortization, the net interest margin would be 3.66%, unchanged from the first quarter. Turn to slide 10 to talk about average loans. Average loans and leases increased $0.6 billion to $135.4 billion.","https://www.marketbeat.com/earnings/reports/2025-7-16-mt-bank-co-stock/"
"MTB","2025-07-16","Daryl Bible","Senior EVP and CFO at M&T Bank","Higher consumer and residential mortgage loans were partially offset by a decline in CRE balances. Commercial loans were unchanged at $61 billion, with continued growth in certain specialty segments such as C&I and mortgage warehouse, offset by a decline in dealer floor plan balances. However, at the end of the period, commercial loans increased $1.1 billion, driven by growth in our specialty segments, including C&I, mortgage warehouse, and fund banking. Similarly, we saw strong growth in total commitments. The CRE loans declined 4% to $25.3 billion, reflecting continued payoffs and paydowns. However, we continue to see our CRE pipeline build. Residential mortgage loans increased 2% to $23.7 billion. Consumer loans grew 4% to $25.4 billion, reflecting increases in recreational finance and indirect auto loans. Combined, average residential mortgage and consumer loans grew $1.5 billion, or 3%, sequentially, representing the strength of our diversified loan portfolio and business model.","https://www.marketbeat.com/earnings/reports/2025-7-16-mt-bank-co-stock/"
"MTB","2025-07-16","Daryl Bible","Senior EVP and CFO at M&T Bank","Loan yields increased 5 basis points to 6.11%, aided by the reduction in negative carry on our interest rate swaps. Regarding commercial loan growth. Earlier this year, we implemented enhancements to our commercial credit and sales processes to improve the ability to serve customers through market cycles, become more responsive to customer needs, scale our risk management, and position ourselves for future growth. We have taken the time to assimilate both our employees and customers to this new process, and we enter the second half of the year in a strong position to support our growing pipeline. Turning to slide 11. Our liquidity remains strong. At the end of the second quarter, investment securities and cash held at the Fed totaled $54.9 billion, representing 26% of total assets. Average investment securities increased $0.9 billion to $35.3 billion. The yield on investment securities decreased 19 basis points to 3.81%.","https://www.marketbeat.com/earnings/reports/2025-7-16-mt-bank-co-stock/"
