"symbol","report_date","speaker","title","msg","source_url"
"NCLH","2024-10-31",NA,NA,"Greetings and welcome to the Norwegian Cruise Line Holdings' third quarter 2024 earnings conference call and webcast. At this time, all participants are in listen-only mode. If anyone should require operator assistance, please press star zero on your telephone keypad. A question-and-answer session will follow the formal presentation. You may be placed into question queue at any time by pressing star one on your telephone keypad. We ask that you please ask one question, one follow-up, then return to the queue. As a reminder, this conference is being recorded. It's now my pleasure to turn the call over to Sarah Inmon, Head of Investor Relations. Please go ahead, Sarah.","https://www.marketbeat.com/earnings/reports/2024-10-31-norwegian-cruise-line-holdings-ltd-stock/"
"NCLH","2024-10-31","Sarah Inmon","Head of Investor Relations at Norwegian Cruise Line Holdings","Thank you and good morning, everyone. Thanks for joining us for our third quarter 2024 earnings and business update call. I'm joined today by Harry Sommer, President and CEO of Norwegian Cruise Line Holdings, and Mark Kempa, Executive Vice President and CFO. As a reminder, this conference call is being simultaneously webcast on the company's Investor Relations website at www.nclhltd.com/investors. Throughout the call, we will refer to a slide presentation that can be found on our website. Both the conference call and presentation will be available for replay for 30 days following today's call. Before we begin, I would like to cover a few items. Our press release with third quarter 2024 results was issued this morning and is available on our website. This call includes forward-looking statements that involve risks and uncertainties that could cause our actual results to differ materially from such statements.","https://www.marketbeat.com/earnings/reports/2024-10-31-norwegian-cruise-line-holdings-ltd-stock/"
"NCLH","2024-10-31","Sarah Inmon","Head of Investor Relations at Norwegian Cruise Line Holdings","These statements should be considered in conjunction with a cautionary statement contained in our earnings release. Our comments may also reference non-GAAP financial measures. A reconciliation to the most directly comparable GAAP financial measure and other associated disclosures are contained in our earnings release and presentation. With that, I'd like to turn the call over to Harry. Harry?","https://www.marketbeat.com/earnings/reports/2024-10-31-norwegian-cruise-line-holdings-ltd-stock/"
"NCLH","2024-10-31","Harry Sommer","CEO at Norwegian Cruise Line Holdings","Thank you, Sarah, and good morning, everyone. Thank you for joining us today for our third quarter 2024 earnings call and happy Halloween. I'm extremely pleased with our results as Norwegian Cruise Line Holdings continues to make steady and meaningful progress, driving and leveraging the strong demand environment while delivering exceptional vacation experiences, all while effectively controlling our costs, thanks to the dedicated efforts of our shipboard and shoreside teams. I am delighted to say, for the third straight quarter, we have achieved results that surpassed our guidance across all key metrics, which has led to an increase in our full-year guidance for a fourth time this year. These results demonstrate how our strategic direction is yielding positive results now and positioning us well for the future, progressing steadily towards our 2026 financial and sustainability targets.","https://www.marketbeat.com/earnings/reports/2024-10-31-norwegian-cruise-line-holdings-ltd-stock/"
"NCLH","2024-10-31","Harry Sommer","CEO at Norwegian Cruise Line Holdings","As you recall from our investor day earlier this year, we unveiled our Charting the Course strategy with the vision to have our guests vacation better and experience more, and which focused on what I refer to as the four P's: People, Product, Growth, Platform, and Performance. I would like to take the opportunity today to share our progress on several fronts of this strategy. I'll begin my remarks by highlighting our performance pillar through both our strong third quarter results and providing an update of our full-year outlook. Next, I'll discuss recent developments in our exciting New Build program, part of our Growth Platform, as well as new initiatives on all three of our award-winning brands, part of our Product Pillar.","https://www.marketbeat.com/earnings/reports/2024-10-31-norwegian-cruise-line-holdings-ltd-stock/"
"NCLH","2024-10-31","Harry Sommer","CEO at Norwegian Cruise Line Holdings","I'll also comment on the strong demand we are seeing and how our onboard offerings and service quality continue to drive improved guest satisfaction while maintaining disciplined cost management, the balancing of return on investment and return on experience that is one of the core tenets of our strategy. And last but not least, I'll cover some of the key advancements in our sustainability efforts, which underpins each pillar of our strategy. I'll then turn the call over to Mark, who will provide more detailed commentary on our results and updated guidance. First, I am pleased to report that our strong momentum for the first half of the year, a combination of the continued focus and execution by our teams on our strategic initiative and successful cost efforts, coupled with sustained robust demand, has continued into the third quarter, resulting in exceptional performance.","https://www.marketbeat.com/earnings/reports/2024-10-31-norwegian-cruise-line-holdings-ltd-stock/"
"NCLH","2024-10-31","Harry Sommer","CEO at Norwegian Cruise Line Holdings","As illustrated on slide four, we not only met but exceeded our guidance across all key metrics for a third straight quarter. We achieved the highest quarterly gross revenue and adjusted EBITDA in our company's history, and the highest trailing 12-month adjusted operational EBITDA margin since returning to regular operations, improving almost 10 full percentage points from the third quarter of last year. Our adjusted EPS increased 31% to $0.99, well ahead of our guidance of $0.92, despite a $0.06 negative impact from foreign exchange rates, and our higher adjusted EBITDA drove net leverage to end the quarter at 5.58 times, an approximate one and three-quarter turn improvement over just the last nine months from year-end 2023. Slide five lays out the effect of our strong third quarter results on our full-year guidance.","https://www.marketbeat.com/earnings/reports/2024-10-31-norwegian-cruise-line-holdings-ltd-stock/"
"NCLH","2024-10-31","Harry Sommer","CEO at Norwegian Cruise Line Holdings","While Mark will provide more detailed commentary shortly, I would like to highlight a few key points on our full-year numbers. We are projecting net yield to increase 9.4% this year, marking a 120 basis points improvement from our previous guidance, as we carry forward strength from the third quarter and raise our fourth quarter guidance. This impressive growth is expected to be a record for the company since going public in 2013 and is truly exceptional. Our adjusted operational EBITDA margin is expected to improve to 35.3%, 4.6 percentage points over 2023, and a significant step towards our goal of approximately 39% in 2026, driven by strong top-line growth and our flat adjusted net cruise costs, excluding fuel and dry dock during the year.","https://www.marketbeat.com/earnings/reports/2024-10-31-norwegian-cruise-line-holdings-ltd-stock/"
"NCLH","2024-10-31","Harry Sommer","CEO at Norwegian Cruise Line Holdings","We expect our adjusted ROIC to close the year in the double digits, an improvement from 8% in 2023, demonstrating we are well on our path to 12% by 2026. And lastly, we expect our net leverage to further decrease to approximately 5.4 times by year-end, a major step towards achieving our 2026 target of mid-four times. Each of these year-end metrics demonstrates that we are on track to achieve our 2026 Charting the Course targets and reinforces our confidence in our strategic direction and ability to execute. Turning to slide six, which I know you are familiar with, I want to once again highlight how our long-term growth platform pillar is set to deliver measured capacity growth and optimize our fleet to drive strong financial returns.","https://www.marketbeat.com/earnings/reports/2024-10-31-norwegian-cruise-line-holdings-ltd-stock/"
"NCLH","2024-10-31","Harry Sommer","CEO at Norwegian Cruise Line Holdings","Historically, measured capacity growth has driven outsized revenue and Adjusted EBITDA growth, and we expect this trend to continue with the additions of new vessels to our fleet. I'll provide more details on these exciting developments as we turn to slide seven. At Norwegian, we recently unveiled what in 2026 will be the 21st ship in our fleet, Norwegian Luna. This exciting addition will launch a variety of fun-and-sun voyages, sailing round-trip from Miami starting in April 2026. As a sister ship to Norwegian Aqua, Luna boasts exciting enhancements over previous Prima-class ships, including a 10% increase in capacity, luxurious new three-bedroom duplex Haven suites, a groundbreaking hybrid roller coaster water slide that will debut next year on Norwegian Aqua, new activities and games for our guests, and a new revitalized service at the Mandara Spa and Salon and Pulse Fitness Centers.","https://www.marketbeat.com/earnings/reports/2024-10-31-norwegian-cruise-line-holdings-ltd-stock/"
