"symbol","report_date","speaker","title","msg","source_url"
"NRG","2026-05-06",NA,NA,"Okay, thank you for standing by. Welcome to the NRG Energy, Inc.'s first quarter 2026 earnings call. I would like to hand the conference over to your first speaker today, Brendan Mulhern, Head of Investor Relations. Please go ahead.","https://www.marketbeat.com/earnings/reports/2026-5-6-nrg-energy-inc-stock/"
"NRG","2026-05-06","Brendan Mulhern","Head of Investor Relations at NRG Energy","Thank you. Good morning. Welcome to NRG Energy's first quarter 2026 earnings call. This morning's call is being broadcast live over the phone and via webcast. The webcast presentation and earnings release can be found in the Investors section of our website at www.nrg.com under Presentations and Webcasts. Please note that today's discussion may contain forward-looking statements, which are based upon assumptions that we believe to be reasonable as of this date. Actual results may differ materially. We urge everyone to review the safe harbor in today's presentation, as well as the risk factors in our SEC filings. We undertake no obligation to update these statements as a result of future events, except as required by law. In addition, we'll refer to both GAAP and non-GAAP financial measures.","https://www.marketbeat.com/earnings/reports/2026-5-6-nrg-energy-inc-stock/"
"NRG","2026-05-06","Brendan Mulhern","Head of Investor Relations at NRG Energy","For information regarding our non-GAAP financial measures and reconciliations to the most directly comparable GAAP measures, please refer to our earnings release and the non-GAAP reconciliations and supplemental data file located in the Investor section of our website. With that, I will now turn the call over to Robert Gaudette, NRG's President and Chief Executive Officer.","https://www.marketbeat.com/earnings/reports/2026-5-6-nrg-energy-inc-stock/"
"NRG","2026-05-06","Robert Gaudette","President and CEO at NRG Energy","Good morning, and thank you for joining us. I'm joined today by Bruce Chung, our CFO, and other members of the management team who are available for questions. Before we get into the quarter, I want to briefly acknowledge the CEO transition. I've been with NRG for over two decades and have worked across the company through multiple market cycles. That experience shapes how I think about and operate this business. I want to thank Larry Coben for his leadership over the past several years and the impact he's had on this company. I also want to acknowledge our employees across the business. The work you do every day is what makes this company run and positions us to deliver for our customers and our shareholders. As I step into this role, I view our responsibility clearly. We are stewards of your capital.","https://www.marketbeat.com/earnings/reports/2026-5-6-nrg-energy-inc-stock/"
"NRG","2026-05-06","Robert Gaudette","President and CEO at NRG Energy","Our job is to allocate it with discipline, operate efficiently, and deliver consistent long-term returns. That's how I'll run this company. I've seen this business at its best and at its most challenging. Over time, outcomes come down to how well we operate and how we put your capital to work. We've positioned the business for where the market is going, and I see a clear opportunity to build on that and drive the next phase of performance. I have a high level of confidence in where we are, and I'm excited about the opportunity in front of us. With that, let me turn to slide four and walk through our key three messages. First, we delivered strong operational performance and are reaffirming our 2026 financial guidance and capital allocation. The business is tracking to plan. Our teams are executing, and the results reflect the underlying conditions this quarter.","https://www.marketbeat.com/earnings/reports/2026-5-6-nrg-energy-inc-stock/"
"NRG","2026-05-06","Robert Gaudette","President and CEO at NRG Energy","Second, we're seeing a sustained shift in power demand outlooks across our markets, with regulatory frameworks continuing to evolve in response. What matters is not just that electricity load is growing, it's the pace, the location, and the duration. Near-term conditions remain variable, that is reflected in current market signals. Third, we're positioned to capture significant value from this environment. We have built a platform for where the market is going, with the flexibility to develop capacity alongside long-term demand as those opportunities evolve. Our base plan stands on its own. It does not require incremental contribution from large load or new development to hit our numbers. Those remain upside. Our job is to execute, allocate capital effectively, and convert the opportunity in front of us into results. Turning to slide five. First quarter results reflect a soft market environment.","https://www.marketbeat.com/earnings/reports/2026-5-6-nrg-energy-inc-stock/"
"NRG","2026-05-06","Robert Gaudette","President and CEO at NRG Energy","Texas was mild, with heating degree days down 30% year-over-year, and the market offered limited opportunity. Where Winter Storm Fern drove significant price spikes across PJM in late January, but we closed the LS Power transaction on January 30th, after most of the storm had passed. Those assets were not part of our fleet during that period. Bruce will take you through the numbers. What I want to be clear about, none of that changes our view of the business or the year. We are reaffirming guidance, and the business is on track. Integration of the LS portfolio is underway and progressing well. The assets are performing as expected, and we're focused on fully incorporating them into our operating and commercial platform. Our first Texas Energy Fund project, T.H.","https://www.marketbeat.com/earnings/reports/2026-5-6-nrg-energy-inc-stock/"
"NRG","2026-05-06","Robert Gaudette","President and CEO at NRG Energy","Wharton, is expected to come online in May, on time, on cost, and on spec, qualifying for the TEF completion bonus. Our remaining TEF projects continue to progress on schedule. At 1.5 GW, these three projects will power roughly 300,000 Texas homes at peak demand, arriving just as the state continues to add nearly 400,000 new residents a year. Very few companies have recent experience developing new natural gas generation. We have, and we're good at it. These projects were developed at well below current new build costs because we identified the opportunity and prepared the sites years before the TEF program existed. When the moment came, we were ready. If we execute on what is in front of us, this capability will be one of the most important competitive advantages in our industry. This is what you should expect from NRG.","https://www.marketbeat.com/earnings/reports/2026-5-6-nrg-energy-inc-stock/"
"NRG","2026-05-06","Robert Gaudette","President and CEO at NRG Energy","We look around the corner, we prepare, and when the opportunity is there, we bring it home on time and on budget. Turning to slide six for an overview of our key markets. Demand expectations continue to increase. This quarter's earnings season reinforced the scale of investment being directed toward AI infrastructure, and the implications for power demand are significant. In ERCOT, the numbers are straightforward. The system's all-time peak demand is more than 85 GW. The preliminary long-term load forecast filed this month shows the pipeline of large load requests reaching over 367 GW by 2033. That is more than four times today's record peak in under a decade. Not all of that materializes, but even if a fraction of what is in that pipeline arrives on those timelines, this market looks fundamentally different from the one we're operating in today.","https://www.marketbeat.com/earnings/reports/2026-5-6-nrg-energy-inc-stock/"
"NRG","2026-05-06","Robert Gaudette","President and CEO at NRG Energy","Senate Bill 6 and the Large Load Batch Process are bringing more structure to how new demand connects to the grid. We support those reforms. I want to specifically thank the PUCT and ERCOT teams for including Bring Your Own Generation support in the initial batch process. That's an important step in aligning new demand with new supply and supporting reliable system growth. In PJM, the Reliability Backstop Procurement is an important step to help bring new capacity forward. We appreciate the coordination across PJM, state policymakers, and the federal government in advancing these efforts. Within our existing fleet, we see up to 2 GW of upgrade and conversion opportunities. This represents an incremental 1 GW above the previously disclosed CT to CCGT conversion opportunity, with the additional capacity coming from more traditional natural gas upgrades.","https://www.marketbeat.com/earnings/reports/2026-5-6-nrg-energy-inc-stock/"
"NRG","2026-05-06","Robert Gaudette","President and CEO at NRG Energy","We will pursue those where structures and returns support it through the procurement process or bilaterally where appropriate. We'll move forward selectively. Each opportunity must compete for capital, meet our return thresholds, and be supported by long-term commitments from high-quality customers. Turning to slide seven. I want to be specific about what makes our position in this market different, because I do not think it's fully appreciated yet. We serve commercial and industrial customers at a scale very few companies in this industry can match. That's not something you acquire. It's built over decades through relationships, credit, operational track record, and the ability to structure complex agreements across multiple markets. We have that foundation, and it's the reasons customers come to us when problems get hard. On flexible load, we acquired CPower because it is the leading commercial and industrial demand response business in the country.","https://www.marketbeat.com/earnings/reports/2026-5-6-nrg-energy-inc-stock/"
"NRG","2026-05-06","Robert Gaudette","President and CEO at NRG Energy","Our Texas residential virtual power plant is targeting 1 GW of capacity, and we can only operate at that scale because we have the retail electricity business and Smart Home technology behind it. No one else has both of those running inside a generation and retail platform at our size. When load needs to move, we can move it. On generation, we operate a large dispatchable natural gas fleet, primarily in ERCOT and PJM. These assets run when the system needs them. They demonstrated that again this quarter, and they provide real earnings leverage as load growth materializes in our markets. On development, our TEF projects are under construction. Our partnership with GEV and Kiewit gives us construction capability, equipment access, and execution readiness that most companies in this space are still trying to establish. As the right opportunities emerge with the right structures, we are ready to move.","https://www.marketbeat.com/earnings/reports/2026-5-6-nrg-energy-inc-stock/"
