"symbol","report_date","speaker","title","msg","source_url"
"NSC","2026-04-24",NA,NA,"Morning, ladies and gentlemen, and welcome to the Norfolk Southern Corporation first quarter 2026 earnings conference call. At this time, note that all participant lines are in a listen-only mode. Following the presentation, we will conduct a question-and-answer session. If at any time during this call you require immediate assistance, please press star zero for the operator. Also note that this call is being recorded on Friday, April 24th, 2026. I would like to turn the conference over to Luke Nichols. Please go ahead, sir.","https://www.marketbeat.com/earnings/reports/2026-4-24-norfolk-southern-co-stock/"
"NSC","2026-04-24","Luke Nichols","Senior Director of Investor Relations at Norfolk Southern","Good morning, everyone. Please note that during today's call, we will make certain forward-looking statements within the meaning of the Safe Harbor provision of the Private Securities Litigation Reform Act of 1995. These statements relate to future events or future performance of Norfolk Southern Corporation, which are subject to risks and uncertainties and may differ materially from actual results. Please refer to our annual and quarterly reports filed with the SEC for a full discussion of those risks and uncertainties we view as most important. Our presentation slides are available at norfolksouthern.com in the Investors section, along with our reconciliation of any non-GAAP measures used today to the comparable GAAP measures, including adjusted or non-GAAP operating ratio. Please note that all references to our prospective operating ratio during today's call are being provided on an adjusted basis. Turning to slide three.","https://www.marketbeat.com/earnings/reports/2026-4-24-norfolk-southern-co-stock/"
"NSC","2026-04-24","Luke Nichols","Senior Director of Investor Relations at Norfolk Southern","I'll now turn the call over to Norfolk Southern's President and Chief Executive Officer, Mark George.","https://www.marketbeat.com/earnings/reports/2026-4-24-norfolk-southern-co-stock/"
"NSC","2026-04-24","Mark George","President and CEO at Norfolk Southern","Good morning, and thanks for joining us. With me today are John Orr, our Chief Operating Officer, Ed Elkins, our Chief Commercial Officer, and Jason Zampi, our Chief Financial Officer. Before we get into details, I wanted to start by recognizing our thoroughbred team. Working together, we successfully navigated another challenging winter, with weather events that affected most of our territory, putting real pressure on the network and our volumes in the month of February. As conditions normalized and our network recovered, we were able to capture the available volume in March and exited the quarter with solid momentum, all while staying focused on what matters most, operating the railroad safely. Our safety performance continues to excel, which remains our most important work. We're seeing the benefits of the investments we've made in technology, training, and standard processes, from digital inspection tools to more rigorous operating standards.","https://www.marketbeat.com/earnings/reports/2026-4-24-norfolk-southern-co-stock/"
"NSC","2026-04-24","Mark George","President and CEO at Norfolk Southern","These efforts are helping us detect and address potential issues earlier and keep our employees, customers, and communities we serve safe. Our FRA reportable accident rate is down yet again, thanks to the systems we have and our leadership. I'm proud of how our people stayed disciplined and committed through all the weather challenges and other distractions. On costs, we remained disciplined. Total adjusted expenses were up just 1% year-over-year, despite inflationary pressures, storm costs, and sharply higher fuel prices. We earned new business, expanded key relationships, and saw customer confidence grow across multiple sectors, reflecting improved execution and trust in our capabilities. We're seeing strength and encouraging results across multiple parts of the business, reflecting focused investments and improved coordination across our teams. Ed will walk through some of our wins and the underlying volume drivers in more detail.","https://www.marketbeat.com/earnings/reports/2026-4-24-norfolk-southern-co-stock/"
"NSC","2026-04-24","Mark George","President and CEO at Norfolk Southern","Lastly, stepping back to the broader environment, the macro remains a mix of puts and takes. Customers continue to manage dynamic and shifting supply chains, but our message is simple: Norfolk Southern is well-positioned to grow alongside of them. The strength of our network, combined with the flexibility we built into our cost structure, gives us confidence to navigate whatever the market brings. With that, I'll turn it over to John to get into the operational details. John?","https://www.marketbeat.com/earnings/reports/2026-4-24-norfolk-southern-co-stock/"
"NSC","2026-04-24","John Orr","COO at Norfolk Southern","Good morning, everyone, and thanks, Mark. Throughout 2025, our Norfolk Southern team was focused on growing our team's capabilities, skills, and speak-up willingness, creating the environment to deeply embed our safety and service maturity and capabilities. Now, with a full quarter behind us in 2026, we are realizing measurable gains from those successive efforts. We are advancing and layering progressive PSR 2.0 structural changes to build more resilience and efficiencies across the railway, develop generational railway leaders, and provide our customers with the best possible service plan. As Mark noted, extreme and network-wide winter weather in the first quarter tested the network. I am very proud of the entire enterprise in the way we anticipated, prepared, and responded to deliver for our customers. The extraordinary commitment of more than 19,000 railroaders across our franchise was clear in the service and volume execution coming out of the system-wide storms.","https://www.marketbeat.com/earnings/reports/2026-4-24-norfolk-southern-co-stock/"
"NSC","2026-04-24","John Orr","COO at Norfolk Southern","Thank you to all my fellow railroaders. The entire team delivered both daily and storm backlog demand and drove post-pandemic daily GTM volume records, made possible by our operations and commercial teams. Turning to slide five. At Norfolk Southern, safety is the core value to which all of our operating decisions are made. Our continued investment in safety is producing results while building a stronger, more durable safety culture. In the quarter, our FRA personal injury ratio was 1.10. This is consistent with full year 2025 performance. Our FRA accident ratio was 1.43. This reflects a 37% improvement year-over-year in the first quarter. Our FRA mainline accident ratio was 0.26. For the second consecutive year, Norfolk Southern continues to lead the way for Class I railroads in mainline incident reliability. This progress is not isolated.","https://www.marketbeat.com/earnings/reports/2026-4-24-norfolk-southern-co-stock/"
"NSC","2026-04-24","John Orr","COO at Norfolk Southern","It is also mirrored in a reduction of non-FRA reportable accidents. These improvements reflect the strategic impact of our intentional coordination of field-level technology, coupled with execution across back-office work scope, process refinement, and field conversion engagement. Combined, we are creating reliable network value by engineering out risk from operations wherever our teams work. This holistic approach to safety improvement is now embedded in how we plan, execute, and manage the railway every day. While we are all proud and encouraged by our safety improvements, we are driven by a relentless drive for continuous improvement. Our enterprise is committed to putting in the work. We know there's more work to do. We are strengthening our stop work authority, reinforcing a speak-up culture, and relentlessly addressing root cause analysis to prevent block crossing and other incidents. Turning to slide six.","https://www.marketbeat.com/earnings/reports/2026-4-24-norfolk-southern-co-stock/"
"NSC","2026-04-24","John Orr","COO at Norfolk Southern","Throughout the first quarter, the network demonstrated resilience in the variable demand environment we faced. Our focus remains on improving our train speed while maintaining balanced discipline around energy management and service levels, a core operational priority. While shipments were modestly lower year-over-year, we moved 1.1% more gross ton miles, reflecting stronger train productivity and better asset utilization across the network. Terminal dwell improved year-over-year, coupled with continuous focus on executions of the plan. This supports gains in car miles per day. We have been intentional about protecting service and operating the network at a lower cost structure. That discipline is reflected in 8.6% fewer recrews, improved locomotive reliability, and continued reductions in unscheduled train stops.","https://www.marketbeat.com/earnings/reports/2026-4-24-norfolk-southern-co-stock/"
"NSC","2026-04-24","John Orr","COO at Norfolk Southern","Improved crew scheduling and greater crew availability are supporting stronger crew productivity across the network and a better aligned, qualified T&E crew base, which is down about 6% year-over-year. We continue to strategically recruit and renew our workforce in markets where we anticipate growth. Reliability drives improved productivity in crews, locomotive, and fuel efficiency. Taken together, these results demonstrate we are controlling what we can control, managing costs, improving efficiencies, and positioning the network to respond to the evolving market conditions. Turning to slide seven. At the core of PSR 2.0 is a self-reinforcing operating system, a flywheel where disciplined execution compounds over time. At Norfolk Southern, we know when we run the plan, reduce recrews, and improve network velocity, we create stability in the operation. Stability matters to our people and to our customers.","https://www.marketbeat.com/earnings/reports/2026-4-24-norfolk-southern-co-stock/"
"NSC","2026-04-24","John Orr","COO at Norfolk Southern","It allows us to deliver our service and utilize assets more effectively, improve locomotive and field productivity, and operate with better energy efficiencies. Operational gains have manifested into the continued evolution of our service plan and its execution. They feed directly back into better schedules, better planning, and more consistent execution. We now have a connected system where every improvement strengthens the next. That compounding effect is how we intentionally build a more resilient railroad steadily over time. Our war rooms continue to translate this discipline into measurable results. The mechanical room has improved detection quality in our wheel integrity systems while delivering confirmed defect identification that directly improves safety and reliability. This is a clear example of technology process and field execution working together at scale. At the same time, our Need for Speed war room is embedding advanced analytics directly into daily operating decision-making.","https://www.marketbeat.com/earnings/reports/2026-4-24-norfolk-southern-co-stock/"
"NSC","2026-04-24","John Orr","COO at Norfolk Southern","By pairing data science with frontline execution, we are improving plan quality, accelerating decisions, and strengthening the performance across our network. Disciplined execution across the organization is delivering results. In the first quarter, we achieved a fuel efficiency record, strengthening our competitive position in a high fuel price environment while protecting margins. More importantly, it reflects the repeatability of this operating system. Taken together, our PSR 2.0 transformation and operating systems position us to continue to outperform our original cost reduction commitments and deliver sustained progress across safety, service, and financial performance. With that, I'll turn it to you, Ed.","https://www.marketbeat.com/earnings/reports/2026-4-24-norfolk-southern-co-stock/"
"NSC","2026-04-24","Ed Elkins","Chief Commercial Officer at Norfolk Southern","Thanks a lot, John, and good morning, everybody. Let's move to slide nine. We closed out the first quarter with significant volume momentum, and this is offsetting a volatile February where severe winter weather impacted our customer car loadings for several weeks. Overall, volume finished down 1%, primarily due to challenging Intermodal market conditions as well as merger-related losses. However, revenue ended the quarter flat year-over-year, and RPU was up 2%, with solid core merchandise pricing and some favorable high-level mix, which were somewhat overshadowed by some puts and takes within the individual business groups, particularly within coal. Within merchandise, volume and revenue increased 1% from a year ago, and this was driven by continued share gains in our chemicals and our automotive markets.","https://www.marketbeat.com/earnings/reports/2026-4-24-norfolk-southern-co-stock/"
"NSC","2026-04-24","Ed Elkins","Chief Commercial Officer at Norfolk Southern","RPU less fuel was flat year-over-year within the segment, as strong core pricing was offset by mix interactions due to sustained growth of lower-rated commodities within our chemicals franchise that we've talked about for a couple of quarters now. In our Intermodal business, volumes decreased 4%, reflecting difficult comparisons related to tariff front-running in 2025, as well as impacts from the winter storms in the quarter and ongoing merger-related losses from prior quarters. Overall, Intermodal revenue declined 1%, and revenue less fuel decreased 2% due to these volume impacts, while improved pricing and positive mix within the segment drove RPU higher by 3% and RPU less fuel higher by 2%. Looking at coal, volume increased substantially as higher electricity demand, stockpile replenishment, and a supportive regulatory environment powered our utility segment. Now, this strength was partially offset by reduced volume in domestic met coal.","https://www.marketbeat.com/earnings/reports/2026-4-24-norfolk-southern-co-stock/"
