"symbol","report_date","speaker","title","msg","source_url"
"NTRS","2025-04-22",NA,NA,"Good day and welcome to the Northern Trust Corporation first quarter 2025 earnings conference call. Today's conference is being recorded. At this time, I would like to turn the conference over to Jennifer Childe, Director of Investor Relations. Please go ahead.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Jennifer Childe","Director of Investor Relations at Northern Trust","Thank you, operator, and good morning, everyone. Welcome to Northern Trust Corporation's first quarter 2025 earnings conference call. Joining me on our call this morning is Mike O'Grady, our Chairman and CEO; Dave Fox, our Chief Financial Officer; John Landers, our Controller; and Trace Stegeman from our investor relations team.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Jennifer Childe","Director of Investor Relations at Northern Trust","Our first quarter earnings press release and financial trends report are both available on our website at northerntrust.com. Also on our website, you will find our quarterly earnings review presentation, which we will use to guide today's conference call. This April 22nd call is being webcast live on northerntrust.com. The only authorized rebroadcast of this call is the replay that will be made available on our website through May 21st. Northern Trust disclaims any continuing accuracy of the information provided in this call after today. Please refer to our safe harbor statement regarding forward-looking statements on page 12 of the accompanying presentation, which will apply to our commentary on this call.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Jennifer Childe","Director of Investor Relations at Northern Trust","During today's question-and-answer session, please limit your initial query to one question and one related follow-up. This will allow us to move through the queue and enable as many people as possible the opportunity to ask questions as time permits. Thank you again for joining us today. Let me turn the call over to Mike O'Grady.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Mike O'Grady","Chairman and CEO at Northern Trust","Thank you, Jennifer. Let me join in welcoming you to our first quarter 2025 earnings call. Our first quarter results demonstrate the strength and resilience of our business model. We generated our third consecutive quarter of positive operating leverage, driven by mid-single-digit growth in both trust fees and net interest income, while managing expenses well. EPS, excluding notables, increased 13%, and we generated a return on common equity of 13%, both while boosting capital levels meaningfully and returning $435 million to shareholders.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Mike O'Grady","Chairman and CEO at Northern Trust","Our results benefited from strong underlying market performance and elevated volatility levels, which drove strong capital markets activity late in the quarter and extended into April. Our performance also reflects continued progress implementing our One Northern Trust strategy, our roadmap for becoming a consistently high-performing company and producing meaningful value for all stakeholders.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Mike O'Grady","Chairman and CEO at Northern Trust","Let me give you an update on our progress. First, optimized growth. We entered 2025 with good momentum, continuing to embed collaboration between our business units, leveraging the capabilities of the entire firm. We advanced our enterprise-wide growth initiatives, which align with key client needs and opportunities, including alternative investment solutions, family office services, and liquidity solutions. We also concentrated on core initiatives within each of our business units.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Mike O'Grady","Chairman and CEO at Northern Trust","As it relates to alternatives, fundraising is particularly strong within our Asset Management segment, and we are on track to nearly double our capital raise versus prior year averages. Within Asset Servicing, new business activity in the first quarter was brisk, particularly within private markets, where our technology and operational expertise have been consistent differentiators. During the quarter, we were selected as the global outsourced private capital administration provider for Igneo Infrastructure Partners, a $20 billion alternatives manager specializing in global infrastructure investments.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Mike O'Grady","Chairman and CEO at Northern Trust","Expanding upon our long-standing relationship with private equity firm Alchemy Partners, we were awarded the asset servicing business for a new $1 billion special opportunities fund launch. Semi-liquid funds and the democratization of private markets globally remain an important area of focus, and we extended our leading market share in the quarter. Northern Trust is currently supporting over half of the approved long-term asset funds, or LTAFs, in the U.K., with an additional 10 in the pipeline.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Mike O'Grady","Chairman and CEO at Northern Trust","Building upon the strength of our upper-tier wealth business, our Wealth Management segment formally rolled out a dedicated ultra-high net worth segment, which we've named Family Office Solutions, focusing on wealthy individuals and families with more than $100 million in net worth. Already, we've seen very good client traction. Performance in our Global Family Office also continues to be strong. New business activity remained robust, particularly within international markets. During the quarter, we onboarded several marquee relationships in EMEA, strengthening our position as one of the leading administrators of private investment office assets in Europe.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Mike O'Grady","Chairman and CEO at Northern Trust","As it relates to liquidity, we have seen a healthy increase in deposit levels as a number of clients have taken a risk-off approach, reallocating portfolios and raising cash. In Asset Management, we generated positive liquidity flows in the first quarter, continuing the trend we have seen over the past nine quarters.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Mike O'Grady","Chairman and CEO at Northern Trust","Beyond liquidity, our suite of actively managed offerings, which skew towards high-quality, low-volatility, and tax-efficient products, tend to perform very well in the current environment, and we are seeing significant client interest. We had $1.7 billion of inflows into our custom tax-optimized SMAs, which are capitalizing on market volatility to deliver increased after-tax value. We are also broadening our ETF platform, having recently filed to launch 11 new fixed-income ETFs later this year.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Mike O'Grady","Chairman and CEO at Northern Trust","Meaningful progress was also made against our other two strategic pillars: strengthening resiliency and managing risk, and driving productivity. We continue on the multi-year effort to uplift our risk and control system. We transitioned from design to implementation of new capabilities that will better enable us to systematically anticipate, identify, manage, and control risks across all areas of our organization.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Mike O'Grady","Chairman and CEO at Northern Trust","We also advanced along our technology journey, driving towards a more stable, scalable, safe, and secure environment for our stakeholders. Productivity initiatives for 2025 are well on track, fueling further critical investments in growth. Within the Office of the COO, we're re-engineering our operating model to enhance efficiency, standardize services, and streamline processes. At the same time, we're making continued headway with workforce initiatives and third-party spend, including pursuing further vendor savings.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Mike O'Grady","Chairman and CEO at Northern Trust","To wrap up, we're off to a solid start to the year. While we face a highly challenging macroeconomic and market backdrop, we enter the current environment well positioned to navigate a wide range of outcomes. Our balance sheet strengths allow us to meet the evolving needs of our clients while pressing ahead with our strategic objectives. With that, I'll turn it over to Dave to review the financials. Dave?","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Dave Fox","CFO at Northern Trust","Thanks, Mike. Let me join Jennifer and Mike in welcoming you to our first quarter 2025 earnings call. Let's discuss the financial results of the quarter starting on page four. This morning, we reported first quarter net income of $392 million, earnings per share of $1.90, and our return on average common equity was 13%. As Mike mentioned, we delivered our third consecutive quarter of positive total operating leverage. We also reported our fourth consecutive quarter of positive trust fee operating leverage, both excluding notables.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Dave Fox","CFO at Northern Trust","Relative to the prior year, currency movements unfavorably impacted our revenue growth by approximately 20 basis points and favorably impacted our expense growth by approximately 50 basis points. Currency movements were immaterial relative to the prior period. As a reminder, year-over-year comparisons reflect one fewer day this year, as last year's first quarter included an extra day in February due to leap year.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Dave Fox","CFO at Northern Trust","Trust, investment, and other servicing fees totaled $1.2 billion, a 1% sequential decline, and a 6% increase compared to last year. Net interest income on an FTE basis was $574 million, essentially flat compared to the prior period and up 7% from a year ago. Our assets under custody and administration were up 1% sequentially and up 3% as compared to the prior year. Our assets under management were flat sequentially and up 7% year-over-year. Overall, our credit quality remains very strong.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Dave Fox","CFO at Northern Trust","Excluding notable items in all periods, other non-interest income was down 9% sequentially and down 4% over the prior year. Revenue was down sequentially 1% and up 6% on a year-over-year basis. Expenses were up 3% sequentially and up 4.8% over the prior year, and earnings per share decreased 16% sequentially but increased 13% compared to the prior year.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Dave Fox","CFO at Northern Trust","Turning to our Asset Servicing results on page five, our Asset Servicing business performed well in the quarter. Transaction volumes were healthy, capital markets activities were up double digits over the prior year, and new business growth continues to be booked at attractive margins. Assets under custody and administration for asset servicing clients were $15.8 trillion at quarter-end, reflecting a 3% year-over-year increase.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Dave Fox","CFO at Northern Trust","Asset servicing fees totaled $672 million. Custody and fund administration fees were $453 million, up 4% year-over-year, largely reflecting the impact from strong underlying equity markets and new business generation. Year-over-year comparisons were dampened by the client exits we discussed in the second quarter of last year. Other fees were $48 million, up 7% year-over-year, largely reflecting growth in our Front Office Solutions product as well as higher seasonal benefit payments.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Dave Fox","CFO at Northern Trust","Assets under management for asset servicing clients were $1.2 trillion, up 7% over the prior year. Investment management fees within Asset Servicing were $153 million, up a strong 9% year-over-year due to favorable markets and new business activities.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Dave Fox","CFO at Northern Trust","Now moving to our Wealth Management business on page six. Wealth Management also had a healthy quarter with continued strength in our Global Family Office business. Assets under management for our wealth management clients were $447 billion at quarter-end, up 6% year-over-year. Trust, investment, and other servicing fees for wealth management clients were $542 million, up 8% year-over-year, primarily due to strong equity markets.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Dave Fox","CFO at Northern Trust","Moving to page seven and our balance sheet and net interest income trends, our average earning assets were up 3% on a linked quarter basis, fueled by higher deposit levels, which drove an increase in cash held at the Fed and other central banks. The duration of our securities portfolio remained at 1.6 years, and the total balance sheet duration continues to be less than one year.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Dave Fox","CFO at Northern Trust","Net interest income on an FTE basis was $574 million, flat with the fourth quarter, and our net interest margin was 1.69%, down two basis points quarter-over-quarter. NII outperformed our expectations largely due to higher-than-expected deposit levels. Average deposits were $116 billion, up 3% compared to fourth quarter levels. Within this, interest-bearing deposits increased by 4% and non-interest-bearing deposits decreased by 3% but remained at 15% of the overall mix. Deposit pricing was largely as expected. Institutional deposit betas remained high, and wealth deposit betas were stable. The quarterly contribution from transactional and other items returned to more normal levels.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Dave Fox","CFO at Northern Trust","Turning to our expenses on page eight, non-interest expense was approximately $1.4 billion in the first quarter, up 3% sequentially and 4% as compared to the prior year. Excluding notable items in the prior period, as listed on the slide, expenses in the first quarter were up 4.8% year-over-year, an improvement from the fourth quarter's 5.5% year-over-year increase.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Dave Fox","CFO at Northern Trust","Let's go back and review our core expenses from the quarter. Compensation expense was up 8% sequentially, largely reflecting the impact of our seasonal equity incentive grants. Comp expense increased 3% over the prior year, resulting from modest levels of hiring associated with our modernization initiative and underlying growth in the business. Outside services expense increased 7% relative to the prior period, largely due to higher levels of spend associated with our modernization and resiliency initiative, but it was down 3% sequentially as this same spend started to flatten out. Equipment and software expense increased 11% year-over-year, mostly related to higher depreciation and amortization expense and costs associated with our cloud journey.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Dave Fox","CFO at Northern Trust","Turning to page nine, our capital levels and regulatory ratios remained strong in the quarter. We continued to operate at levels well above our required regulatory minimums. Our common equity Tier 1 ratio under the standardized approach increased by 50 basis points on a linked quarter basis to 12.9%, driven by capital accretion and a decline in RWA. Our Tier 1 leverage ratio was 8%, down 10 basis points from the prior quarter.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Dave Fox","CFO at Northern Trust","At quarter-end, our unrealized pre-tax loss on available-for-sale securities was $527 million, and we returned $435 million to common shareholders in the quarter through cash dividends of $148 million and common stock repurchases of $287 million, reflecting a payout ratio of 116%.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Dave Fox","CFO at Northern Trust","Turning to our guidance, starting with expenses, we continue to expect our total operating expense growth to be below 5% for the full year, excluding notable items in both periods. Turning to NII, given our first quarter outperformance coupled with recent deposit growth, we're raising our full year guidance from low single-digit growth to low to mid-single-digit growth. This assumes continued strong deposit levels; stable deposit mix, meaning we wouldn't expect absolute levels of NIB to move materially from current levels, but the percentage of overall mix could change; market-implied forward curve as of this week; and relatively stable deposit pricing. With that, operator, please open the line for questions.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22",NA,NA,"Thank you. If you would like to ask a question, please signal by pressing star one on your telephone keypad. If you are using a speakerphone, please make sure your mute function is turned off to allow your signal to reach our equipment. Our first question is going to come from Steven Chubak from Wolfe Research. Please go ahead.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Steven Chubak","Managing Director at Wolfe Research","Hi, good morning, and thanks so much for taking my questions.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Mike O'Grady","Chairman and CEO at Northern Trust","Sure.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Steven Chubak","Managing Director at Wolfe Research","I wanted to start on a question on the deposit beta. Certainly, the NII guidance and the modest upward revision is certainly encouraging. The cumulative beta of 86% so far this easing cycle, it certainly surprised positively, especially relative to the 72% beta we saw during the period of Fed tightening. I was hoping you could speak to what deposit beta assumption is underpinning that guidance, just trying to gauge what sort of deposit betas we can underwrite sustainably if we get four additional cuts consistent with the forward curve.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Dave Fox","CFO at Northern Trust","Yeah, our deposit betas remain relatively stable if you look historically, but I would say that it's obviously going to be higher for the institutional business, closer to 100%, and then lower for wealth, 60%-70% roughly. I will also point out, though, that we have spent a lot of time on our deposit pricing. I mentioned this in the last earnings call, in thinking a little bit about tiering and the size of our deposits, where we get our deposits. I think having spent more time doing that, I think it's really benefited the deposit betas on the positive side.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Steven Chubak","Managing Director at Wolfe Research","That's great. For my follow-up just on the fee outlook and the impact on expenses, just given you're going to have to absorb some of the negative marks related to month and quarter-lag pricing, both in the servicing side as well as in the wealth business. David, it sounds like you were reaffirming the 5% or better expense guide, but wanted to better understand how much flex you have if those fee pressures intensify and we don't necessarily see an inflection or recovery in equity markets over the course of the year.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Dave Fox","CFO at Northern Trust","Yeah. Yeah, we are dedicated to keeping that expense growth rate below 5%. I'd point out that at the beginning of the year, as we were doing our planning, we spent a lot of time identifying discretionary and non-discretionary spending. We know exactly what we have to do to flex.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Dave Fox","CFO at Northern Trust","I think you also heard me say in the previous call that we're trying to build a more flexible business model that can basically adjust itself as market conditions either get better or get worse, right? We know where we have to do it. We know what our levers are. They're going to be obviously in the consulting side, outside services, technology spend, and then potentially even on incentives as well. We've got a management team, I think, that's really driving towards having strong positive operating leverage through all the cycles. That is why I'm willing to say we're going to obviously stay within that below 5%.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Dave Fox","CFO at Northern Trust","Currency creates a bit of a headwind for us. From my perspective, it's neutral in the sense that it helps us on the revenue side and hurts us on the expense side. That is obviously going to be something we have to manage more proactively. At the end of the day, we do not control it. Based on the current exchange rates, we still think we can get to that 5% or below.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
"NTRS","2025-04-22","Steven Chubak","Managing Director at Wolfe Research","Very helpful, caller. Thanks so much for taking my questions.","https://www.marketbeat.com/earnings/reports/2025-4-22-northern-trust-co-stock/"
