"symbol","report_date","speaker","title","msg","source_url"
"ON","2025-02-10",NA,NA,"Good day, and thank you for standing by. Welcome to the ON Semiconductor Fourth Quarter 2024 earnings conference call. At this time, all participants are on a listen-only mode. After the speaker's presentation, there'll be a question-and-answer session. To ask a question during the session, you need to press star 11 on your telephone. You will then hear an automated message advising your hand is raised. To withdraw your question, please press star 11 again. Please be advised today's conference is being recorded. I would now like to hand the call over to your speaker today, Parag Agarwal, Vice President of Corporate Development and Investor Relations. Please go ahead.","https://www.marketbeat.com/earnings/reports/2025-2-10-on-semiconductor-co-stock/"
"ON","2025-02-10","Parag Agarwal","VP of Corporate Development and Investor Relations at ON Semiconductor","Thank you, Kevin. Good morning, and thank you for joining ON Semiconductor Fourth Quarter and Full Year 2024 Results Conference Call. I'm joined today by Hassane El-Khoury, our President and CEO, and Thad Trent, our CFO. This call is being webcast on the Investor Relations section of our website at www.onsemi.com. A replay of this webcast, along with our Fourth Quarter and Full Year 2024 earnings release, will be available on our website approximately one hour following this conference call, and the recorded webcast will be available for approximately 30 days following this conference call. Additional information is posted on the Investor Relations section of our website. Our earnings release and this presentation include certain non-GAAP financial measures.","https://www.marketbeat.com/earnings/reports/2025-2-10-on-semiconductor-co-stock/"
"ON","2025-02-10","Parag Agarwal","VP of Corporate Development and Investor Relations at ON Semiconductor","Reconciliation of these non-GAAP financial measures to the most directly comparable GAAP financial measures and a discussion of certain limitations when using non-GAAP financial measures are included in our earnings release, which is posted separately on our website in the Investor Relations section. During the course of this conference call, we'll make projections or other forward-looking statements regarding future events or the future financial performance of the company. We wish to caution that such statements are subject to risk and uncertainties that could cause actual events or results to differ materially from projections. Important factors that can affect our business, including factors that could cause actual results to differ materially from our forward-looking statements, are described in our most recent Form 10-K, Form 10-Qs, and other filings with the Securities and Exchange Commission, and in our earnings release for the Fourth Quarter and Full Year 2024.","https://www.marketbeat.com/earnings/reports/2025-2-10-on-semiconductor-co-stock/"
"ON","2025-02-10","Parag Agarwal","VP of Corporate Development and Investor Relations at ON Semiconductor","Our estimates or other forward-looking statements might change, and the company assumes no obligation to update forward-looking statements to reflect actual results, change the assumptions, or other events that may occur except as required by law. Now, let me turn it over to Hassane. Hassane.","https://www.marketbeat.com/earnings/reports/2025-2-10-on-semiconductor-co-stock/"
"ON","2025-02-10","Hassane El-Khoury","CEO at ON Semiconductor","Thank you, Parag. Good morning, everyone, and thank you for joining us on the call. 2024 marked the fourth year of our transformation journey, transformation that began by focusing our efforts where we add value: intelligent power and sensing technologies. We've invested in differentiated products to win with disruptive innovation and the high-growth megatrends of automotive, industrial, and AI data centers. We've streamlined manufacturing through our Fab Right strategy, and we've improved operational efficiencies in doing so. Market conditions aside, and I'll get to those, I am proud of the hard work our worldwide teams continue to put in, and I want to thank everyone for their tenacity amid what continues to be a very difficult environment. We remain committed to our winning formula, and we have demonstrated the resilience in our business model, delivering non-GAAP gross margin of 45.5% against revenue of $7.1 billion for the full year.","https://www.marketbeat.com/earnings/reports/2025-2-10-on-semiconductor-co-stock/"
"ON","2025-02-10","Hassane El-Khoury","CEO at ON Semiconductor","As for the market environment, demand declined late in the quarter and continued into January, resulting in Fourth Quarter revenue of $1.72 billion, non-GAAP gross margin of 45.3%, and non-GAAP earnings per share of $0.95. Regional revenue declined sequentially, except North America, which remained flat, with Japan seeing the sharpest decline. quarter-on-quarter declines were driven primarily by our non-core market segments. Amid a backdrop of end-market softness and geopolitical uncertainty, inventory digestion persists across our key end markets. Our stance has not changed. We are prioritizing value, and we will not play in highly volatile, price-sensitive markets. We are maintaining the integrity of our value proposition and positioning ourselves for profitable growth in the future. Our Fourth Quarter automotive revenue increased 8% sequentially, driven by China, followed by North America. Results were driven by share gains and new customer ramps.","https://www.marketbeat.com/earnings/reports/2025-2-10-on-semiconductor-co-stock/"
"ON","2025-02-10","Hassane El-Khoury","CEO at ON Semiconductor","China grew 18% quarter-over-quarter, and while Q4 was up, an early Chinese New Year and extended shutdown period has already impacted January EV deliveries from the top China-based automakers. Demand from all other regions weakened towards the end of the Fourth Quarter, which continued into Q1. In the U.S., Tier 1s have been impacted by lower global auto demand than expected in the Fourth Quarter, along with slower EV ramp than anticipated. Entering Q1, we expect persisting volatility due to the geopolitical uncertainty across all geographies as our customers assess their manufacturing footprints and the impact of tariffs. We are monitoring the demand signals of EV adoption given the uncertainty around EV tax credits and slowing infrastructure deployment. In Europe, EV demand weakened in Q4, with new vehicle registrations dropping 10% month over month in December.","https://www.marketbeat.com/earnings/reports/2025-2-10-on-semiconductor-co-stock/"
"ON","2025-02-10","Hassane El-Khoury","CEO at ON Semiconductor","Our industrial revenue decreased 5% sequentially, with weakness in the traditional parts of the business. The PMI across all major regions remained weak, and the slowdown in manufacturing activity is further compounded by ongoing inventory digestion, and we expect the weakness to persist into 2025. Smaller but growing parts of the business that we don't break out are AI data center and aerospace and defense, where revenue grew more than 40% and 50% respectively in 2024 over 2023. In silicon carbide, our Fourth Quarter revenue increased sequentially, resulting in a 22% increase for the second half over the first half of 2024. For the full year, revenue declined slightly from 2023 as programs did not ramp at the expected levels. We remain focused on executing our strategy. We have delivered on our 200-millimeter technology development and sampled customers.","https://www.marketbeat.com/earnings/reports/2025-2-10-on-semiconductor-co-stock/"
"ON","2025-02-10","Hassane El-Khoury","CEO at ON Semiconductor","We are balancing our internal versus external substrate supply, and we are winning with the market movers by pushing the boundaries of innovation. The performance of our silicon carbide enables us to deliver and optimize system performance while lowering the total cost of ownership to our customers without eroding the value of our solutions. In China, we continue to win based on performance, and we expect to gain share in the silicon carbide TAM as the transition to 800-volt batteries continues. Furthering our strategy of delivering the complete power tree for automotive, industrial, and AI data center, we closed the acquisition of Qorvo silicon carbide junction field effect transistor business. The SiC JFET portfolio complements our EliteSiC power solutions and is the most competitive technology to get the energy efficiency and power density in power supply units for AI data centers.","https://www.marketbeat.com/earnings/reports/2025-2-10-on-semiconductor-co-stock/"
"ON","2025-02-10","Hassane El-Khoury","CEO at ON Semiconductor","It is a high-voltage play in AI data centers, and as power levels in these systems are nearly doubling, AC to DC conversion for UPS and PSUs is transitioning from silicon solutions to silicon carbide. We expect SiC JFET to continue to replace the incumbent superjunction technologies in PSUs as the need for smaller footprint, better performance, and lower costs continues to increase. In terms of silicon carbide, revenue growth and AI design wins for the hyperscalers started to ramp in the Fourth Quarter, and we expect our SiC JFET and SiC MOSFET revenue to continue to grow in 2025. The acquisition of this highly capable team and technology also accelerates our readiness for emerging markets such as EV battery disconnects and solid-state circuit breakers. We expect this portfolio to unlock a $1.3 billion TAM opportunity with a 30% revenue CAGR through 2030.","https://www.marketbeat.com/earnings/reports/2025-2-10-on-semiconductor-co-stock/"
"ON","2025-02-10","Hassane El-Khoury","CEO at ON Semiconductor","Despite the current environment, we remain committed to our long-term strategic goals, and we continue to invest in disruptive innovation to drive profitable growth and to emerge stronger from this downturn. In November, we introduced the most advanced analog and mixed-signal platform for intelligent power and sensing solutions. Our new Treo platform, built on leading-edge BCD 65-nanometer technology for high performance and advanced features, supports the industry's widest voltage range of one to 90 volts for unmatched integration. The Treo platform embodies our strategy of prioritizing high-value products and will accelerate our portfolio proliferation to unlock a $36 billion TAM opportunity at up to 70% gross margins. The modular architecture of the platform is enabling us to sample products faster.","https://www.marketbeat.com/earnings/reports/2025-2-10-on-semiconductor-co-stock/"
"ON","2025-02-10","Hassane El-Khoury","CEO at ON Semiconductor","This year, we will start to reap the benefits of the investments we've already made in the technology and capacity at our East Fishkill Fab as we ramp up revenue and double the number of products available on the market. Customer reaction has been very positive. They are taking advantage of the level of integration and accelerated time-to-market for applications such as Ethernet for automotive zonal architecture, ultrasonic sensing for ADAS Park Assist, and high-efficiency power management for AI data centers, and they are actively designing Treo-based devices into their next-generation platforms. As we look ahead to 2025, visibility is very limited, and customers are taking a wait-and-see approach in a backdrop of geopolitical uncertainty. We will continue to focus on what we can control. We are taking this opportunity to review our portfolio and further rationalize based on the value we bring.","https://www.marketbeat.com/earnings/reports/2025-2-10-on-semiconductor-co-stock/"
