"symbol","report_date","speaker","title","msg","source_url"
"PAYC","2025-05-07",NA,NA,"Good afternoon. My name is Lauren, and I'll be your conference operator today. At this time, I would like to welcome everyone to Paycom's First Quarter 2025 Financial Results Conference Call. All lines have been placed on mute to prevent any background noise. After the speaker's remarks, there'll be a question-and-answer session. If you would like to ask a question during this time, simply press Star by the number one on your telephone keypad. If you would like to withdraw your question, please press Star by the number two. Thank you. I will now turn the call over to James Samford, Head of Investor Relations. You may begin.","https://www.marketbeat.com/earnings/reports/2025-5-7-paycom-software-inc-stock/"
"PAYC","2025-05-07","James Samford","Head of Investor Relations at Paycom","Thank you. Welcome to Paycom's Earnings Conference Call for the First Quarter of 2025. Certain statements made on this call that are not historical facts, including those related to our future plans, objectives, and expected performance, are forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995. These forward-looking statements represent our outlook only as of the date of this conference call. While we believe any forward-looking statements made on this call are reasonable, actual results may differ materially because the statements are based on our current expectations and subject to risks and uncertainties. These risks and uncertainties are discussed in our filings with the SEC, including our most recent annual report on Form 10-K. You should refer to and consider these factors when relying on such forward-looking information.","https://www.marketbeat.com/earnings/reports/2025-5-7-paycom-software-inc-stock/"
"PAYC","2025-05-07","James Samford","Head of Investor Relations at Paycom","Any forward-looking statement made speaks only as of the date on which it is made, and we do not undertake and expressly disclaim any obligation to update or alter our forward-looking statements, whether as a result of new information, future events, or otherwise, except as required by applicable law. Also, during today's call, we will refer to certain Non-GAAP financial measures, including Adjusted EBITDA, Non-GAAP net income, and certain adjusted expenses. We use these Non-GAAP financial measures to review and assess our performance and for planning purposes. A reconciliation schedule showing GAAP versus Non-GAAP results is included in the press release that we issued after the close of the market today and is available on our website at investors.paycom.com. I will now turn the call over to Chad Richison, Paycom CEO and President. Chad.","https://www.marketbeat.com/earnings/reports/2025-5-7-paycom-software-inc-stock/"
"PAYC","2025-05-07","Chad Richison","CEO and President at Paycom","Thanks, James, and thank you to everyone joining our call today. I'll focus my comments on some of our achievements in the first quarter and the progress we've made executing on our 2025 plan. I'll then turn it over to Bob for a review of our first quarter results and an update of our full-year guidance. We will then take questions. With that, let's get started.","https://www.marketbeat.com/earnings/reports/2025-5-7-paycom-software-inc-stock/"
"PAYC","2025-05-07","Chad Richison","CEO and President at Paycom","We are executing very well and delivering strong ROI for our clients as they are experiencing the benefits of our full-solution automation strategy. Recent product enhancements and client-focused initiatives are driving positive trends across our client usage metrics, and our Net Promoter Score increased another 16 points year-over-year. We have the most automated solution in the industry, and our clients routinely attest to this. Our award-winning solution, GONE, is a perfect example of how Paycom simplifies tasks through automation and AI.","https://www.marketbeat.com/earnings/reports/2025-5-7-paycom-software-inc-stock/"
"PAYC","2025-05-07","Chad Richison","CEO and President at Paycom","GONE is the industry's first fully automated time-off solution that decisions all time-off requests based on customizable guidelines set by the company's time-off rules. Before GONE, 10% of an organization's labor costs went substantially unmanaged, creating scheduling errors, increased costs from overpayments, staffing shortages, and employee uncertainty over pending time-off requests. According to a Forrester study, GONE's automation delivers an ROI of up to 800% for clients. GONE continues to receive recognition. Most recently, Fast Company Magazine named Paycom one of the world's most innovative companies for a second time. This honor specifically recognized GONE and is a testament to how Paycom is shaping our industry by setting new standards for automation across the globe. Another example of automation that is changing our industry is Beti.","https://www.marketbeat.com/earnings/reports/2025-5-7-paycom-software-inc-stock/"
"PAYC","2025-05-07","Chad Richison","CEO and President at Paycom","Our award-winning payroll solution continues to be a major selling point for organizations looking to reduce the labor needed to process payroll by up to 90% and also cut the time spent correcting payroll errors by up to 85%. Beti allows clients to focus resources on profit-driving initiatives as it eliminates human involvement in non-revenue-generating tasks like post-payroll adjustments, check reversals, voids, ledger corrections, and more. Thanks to Beti and the importance of perfect payrolls, we are also successfully getting former clients back onto the Paycom platform. We recently brought back a 500-employee healthcare company who quickly realized the pain they brought on themselves by switching to another provider. With this other provider, this client lost the transparency and ability to fix errors before they became problems.","https://www.marketbeat.com/earnings/reports/2025-5-7-paycom-software-inc-stock/"
"PAYC","2025-05-07","Chad Richison","CEO and President at Paycom","In fact, their employees were some of the biggest advocates and encouraged this client to return to Paycom because they missed having control over the accuracy of their pay. Once employees experience Beti, they don't want to go backwards in technology. The client returned to us within nine months and went from processing payroll in four days with their previous vendor to four hours with Beti. Sales continues to break records, including the first quarter where we saw a meaningful increase in book sales. We also saw an increase in the number of units sold for the quarter as compared to the same period last year. One of the new clients we onboarded was a 2,500-employee restaurant group who wanted a single, easy-to-use software solution.","https://www.marketbeat.com/earnings/reports/2025-5-7-paycom-software-inc-stock/"
"PAYC","2025-05-07","Chad Richison","CEO and President at Paycom","Working across nearly 80 locations, this group is now utilizing Beti and the rest of the Paycom suite to automate tasks that were previously performed across numerous systems, which created data inconsistencies. More and more businesses like this one are abandoning disparate decision-making processes for more consistent, scalable, and automated solutions. Organizationally, Paycom was named one of America's best large employers by Forbes, and Newsweek ranked us as one of the most trustworthy companies in America for a fourth consecutive year.","https://www.marketbeat.com/earnings/reports/2025-5-7-paycom-software-inc-stock/"
"PAYC","2025-05-07","Chad Richison","CEO and President at Paycom","Both are testaments to the strategy and execution of our organization. I'd like to thank our employees for their hard work and dedication that they demonstrate every day. We have a strong balance sheet with high-margin organic growth. We are building on strong momentum, and I'm very pleased with how this is setting us up for even stronger results through the rest of 2025 and beyond. With that, let me turn it over to Bob.","https://www.marketbeat.com/earnings/reports/2025-5-7-paycom-software-inc-stock/"
"PAYC","2025-05-07","Bob Foster","CFO at Paycom","Thank you, Chad. Before I review our first quarter 2025 results and our commentary for the remainder of 2025, I'd like to remind everyone that my comments related to certain financial measures will be on a Non-GAAP basis. We delivered solid first-quarter results. Total revenue of $531 million increased 6% over the comparable prior year period, including a milestone quarter for recurring and other revenue at $500 million, up 7% year-over-year. As expected, rate cuts in 2024 represented a headwind to interest on funds held for clients, which declined 10% year-over-year to approximately $31 million in the first quarter of 2025.","https://www.marketbeat.com/earnings/reports/2025-5-7-paycom-software-inc-stock/"
"PAYC","2025-05-07","Bob Foster","CFO at Paycom","GAAP net income in the quarter was $139 million, or $2.48 per diluted share based on approximately 56 million shares. Non-GAAP net income for the first quarter was $158 million, or $2.80 per diluted share. We delivered strong profitability in the first quarter. Adjusted EBITDA of $253 million increased 10% over the prior year period, representing a 48% margin and a 180 basis point increase over the prior year period. Margin strength in the quarter was driven by solid revenues and effective spend in sales and marketing and G&A.","https://www.marketbeat.com/earnings/reports/2025-5-7-paycom-software-inc-stock/"
"PAYC","2025-05-07","Bob Foster","CFO at Paycom","At the same time, we continue to invest in the areas of AI, product, and R&D. Combining these with efficiencies from internal automation initiatives, we are well-positioned to deliver an even stronger full-year adjusted EBITDA margin than last year. Our balance sheet is strong. We ended the first quarter with cash and cash equivalents of $521 million and no debt. The average daily balance on funds held for clients was approximately $2.9 billion in the first quarter of 2025. During the first quarter of 2025, we paid approximately $21 million in cash dividends.","https://www.marketbeat.com/earnings/reports/2025-5-7-paycom-software-inc-stock/"
"PAYC","2025-05-07","Bob Foster","CFO at Paycom","Earlier this week, the board approved our quarterly dividend of $0.37 per share, payable in mid-June. We repurchased $5 million of common stock through net-downs on vested stock during the first quarter of 2025, and we still have $1.47 billion remaining under our stock repurchase plan. As a reminder, our capital allocation strategy includes a disciplined return of capital through our dividend plan and opportunistic repurchases through our buyback authorization. Now, let me turn to guidance for 2025. We continue to have success selling and onboarding new logos. Based on our strong Q1 results and outlook for the remainder of the year, we are raising our full-year revenue and Adjusted EBITDA guidance ranges. We expect total revenue to be between $2.023 and 2.038 billion, up approximately 8% year-over-year at the midpoint of the range.","https://www.marketbeat.com/earnings/reports/2025-5-7-paycom-software-inc-stock/"
"PAYC","2025-05-07","Bob Foster","CFO at Paycom","For the full year 2025, we expect recurring and other revenue to be up over 9% year-over-year, including growth of approximately 10% year-over-year for the remainder of 2025, with the highest growth coming in Q4. Our expectation for interest on funds held for clients remains unchanged at approximately $110 million in 2025, down 12% year-over-year. Automation of HCM and payroll manual tasks is driving our own internal efficiencies. Because of the efficiencies we are realizing throughout our business, we are raising our full-year adjusted EBITDA guidance range to be between $843 and 858 million.","https://www.marketbeat.com/earnings/reports/2025-5-7-paycom-software-inc-stock/"
"PAYC","2025-05-07","Bob Foster","CFO at Paycom","This represents an expansion of adjusted EBITDA margin to approximately 42% at the midpoint of the range, up 70 basis points compared to 2024. Other forward-looking items include full-year GAAP and non-GAAP tax rates of 28% and 27%, respectively, and stock compensation of approximately 8% of revenues. We are pleased to see our teams executing well against our full-year plan and the positive response from the market. We will continue to invest in our strategic initiatives focused on world-class service, full-solution automation, and high client ROI. With that, we will open the line for questions. Operator.","https://www.marketbeat.com/earnings/reports/2025-5-7-paycom-software-inc-stock/"
"PAYC","2025-05-07",NA,NA,"Thank you. At this time, I would like to remind everyone in order to ask a question, press Star then the number one on your telephone keypad. In the interest of time, we ask that you please limit yourself to one question and one follow-up. We'll pause for a moment to compile the Q&A roster. Your first question comes from the line of Raimo Lenschow from Barclays. Your line is open.","https://www.marketbeat.com/earnings/reports/2025-5-7-paycom-software-inc-stock/"
