"symbol","report_date","speaker","title","msg","source_url"
"PAYX","2024-12-19",NA,NA,"As a reminder, this conference is being recorded, and your participation implies consent to our recording of this call. If you do not agree with these terms, please disconnect at this time. I would now like to turn the call over to Bob Schrader, Chief Financial Officer. Please go ahead.","https://www.marketbeat.com/earnings/reports/2024-12-19-paychex-inc-stock/"
"PAYX","2024-12-19","Bob Schrader","CFO at Paychex","Thank you for joining us for our review of the Paychex second quarter 2025 financial results. Joining me today is John Gibson, our Chief Executive Officer. This morning, before the market opened, we released our financial results for the quarter ended November 30th, 2024. You can access our earnings release and investor presentation on the SEC's website, as well as on our investor relations website. Our Form 10-Q will be filed with the SEC within the next couple of days. This teleconference is being broadcast over the internet and will be archived and available on our website for approximately 90 days. Today's call will contain forward-looking statements that refer to future events and involve some risk. We encourage you to review our filings with the SEC for additional information on factors that could cause actual results to differ from our current expectations. We will also reference some non-GAAP financial measures.","https://www.marketbeat.com/earnings/reports/2024-12-19-paychex-inc-stock/"
"PAYX","2024-12-19","Bob Schrader","CFO at Paychex","A description of these items, along with the reconciliation of the non-GAAP measures, can be found in our earnings release. I will now turn the call over to John.","https://www.marketbeat.com/earnings/reports/2024-12-19-paychex-inc-stock/"
"PAYX","2024-12-19","John Gibson","CEO at Paychex","Thanks, Bob. I will start today's call with an update on the business highlights for the second quarter, and then I'll turn it back to Bob for a financial update, and then, of course, we'll open it up for your questions. We delivered solid results in the second quarter and the first half of the fiscal year. Excluding the impact of the expiration of the ERTC program, revenue growth was 7% in the second quarter as we continued to deliver a comprehensive suite of HCM solutions that help businesses solve real problems. Diluted earnings per share growth was 6% as we continually find ways to operate the company more efficiently while also enhancing the value proposition that we offer our customers. The demand for our HR technology and advisory solutions remains healthy as we head into the key selling season.","https://www.marketbeat.com/earnings/reports/2024-12-19-paychex-inc-stock/"
"PAYX","2024-12-19","John Gibson","CEO at Paychex","A challenging labor market and rising healthcare and benefits costs are forcing many small businesses to reevaluate their HR strategies and technology needs, and they can rely on Paychex to help them succeed. Our sales activities and pipelines are strong, most notably in our PEO and middle market HCM businesses, where we have invested, as you know, to take advantage of the growth opportunities we see in these attractive markets and where we believe our breadth of solutions provide us with a competitive advantage. We are fully staffed across our sales and service teams for this critical time of year. We are also investing in advertising to drive improved awareness and adoption of our expanded product offerings.","https://www.marketbeat.com/earnings/reports/2024-12-19-paychex-inc-stock/"
"PAYX","2024-12-19","John Gibson","CEO at Paychex","Our PEO business continues to perform exceptionally well, driven by our robust value proposition, as evidenced by solid worksite employee growth due to strong sales performance, record levels of retention, and higher overall insurance enrollment. While the underlying business is strong and our attachment and participation levels in our health plans across the country increased mid-single digits, enrollment in our Florida at-risk medical plan was flat year over year. We also saw more employees opting for lower-cost health plans in light of rising healthcare costs. These factors create a headwind to our pass-through revenue but have no impact on our earnings or the strength of our PEO value proposition. Our revenue retention improved during the past year and remains above pre-pandemic levels as we continue to remain disciplined on acquiring and retaining high-value clients.","https://www.marketbeat.com/earnings/reports/2024-12-19-paychex-inc-stock/"
"PAYX","2024-12-19","John Gibson","CEO at Paychex","Client retention has improved since last year, and retention in our HR outsourcing solutions remains near record levels. Client losses are down over the past year, with improvements across all our employee-side segments. Our continued strong retention in a highly competitive marketplace speaks to the hard work and execution of our service teams and the strength of our value proposition. The pace of U.S. job growth has moderated over the past year, and overall customer employment levels have remained consistent with our expectations. Small and mid-sized businesses remain resilient and are generally optimistic as we head into a new year, with hiring intentions in November rebounding to the highest level since last November. We continue to make investment in our product suite to help our customers solve their biggest problems.","https://www.marketbeat.com/earnings/reports/2024-12-19-paychex-inc-stock/"
"PAYX","2024-12-19","John Gibson","CEO at Paychex","In October, we announced the Paychex Recruiting Copilot, a digital AI-powered solution designed to help clients proactively find talent in a challenging labor market. Although it's still early, we are seeing momentum building for the product as we head into the busiest time of year for hiring. According to a recent NFIB survey, 55% of small businesses reported hiring or trying to hire in November, and 48% reported few or no qualified applicants for the positions that they're trying to fill. This is something we're actively trying to address. We recently expanded our HR analytics offering to provide our customers with deeper and more meaningful insights. With the addition of the Premium Plus offering that we announced last month, businesses of all sizes now have access to real current market data for compensation benchmarks to enable them to more effectively recruit, manage talent, and develop growth strategies.","https://www.marketbeat.com/earnings/reports/2024-12-19-paychex-inc-stock/"
"PAYX","2024-12-19","John Gibson","CEO at Paychex","Premium Plus also has a generative AI assistant and a chat interface. We're pleased to report strong early adoption of our HR analytics solution, which we are planning to launch broadly to our PEO clients this month. Through AI insights, we are using generative AI to provide our customers with access to robust data and meaningful insights through simple, easy-to-use interactions. Since launching the product in September, we've seen a significant increase in customer engagement. Over 80% of the early adopters have actively engaged with the platform, and we've seen AI-focused usage increase significantly in the past three months. As a reminder, Paychex has used AI technology for many years, and we believe GenAI offers a new set of opportunities for value creation, especially when paired with a large and high-quality data set.","https://www.marketbeat.com/earnings/reports/2024-12-19-paychex-inc-stock/"
"PAYX","2024-12-19","John Gibson","CEO at Paychex","Paychex captures 14 billion data elements last year, and we pay one in 12 private sector workers in the U.S., giving us one of the largest workforce data sets in the industry. Our vast and growing data set provides us with the ability to deliver actionable insights to customers and strengthens our competitive moat. Our clients can now leverage Paychex Flex Perks to compete for scarce talent more effectively. Perks is an award-winning digital marketplace that offers our clients' employees access to affordable benefits and discounted products and services from third-party providers. Perks is available at no cost to employers, and payments are processed automatically through payroll deductions. Since we launched the product in September, over 100,000 client employees have purchased at least one product offered in the marketplace. The value proposition of our new product innovation is resonating with our customers and also with industry experts.","https://www.marketbeat.com/earnings/reports/2024-12-19-paychex-inc-stock/"
"PAYX","2024-12-19","John Gibson","CEO at Paychex","The Paychex Flex Perks was awarded the Top HR Product of the Year award by HR Executive and also recently received a Brandon Hall Excellence in HR Technology Silver award. Paychex was also recently named a leader in payroll services by NelsonHall for the eighth consecutive year. We were evaluated and placed in the leader quadrant for our ability to deliver immediate client benefit and meet future client requirements. To sum it up, we remain focused on our North Star, and that simply is helping small and mid-sized businesses succeed by offering the most comprehensive suite of HCM solutions, best-in-class advisory support, and actionable insights gleaned from our large proprietary data based upon our long history of helping businesses. I will now turn it over to Bob to give us a brief update on our financial results for the second quarter. Bob?","https://www.marketbeat.com/earnings/reports/2024-12-19-paychex-inc-stock/"
"PAYX","2024-12-19","Bob Schrader","CFO at Paychex","Yeah, thanks, John, and good morning. I'll start with a summary of our second quarter financial results and then provide an update on our outlook for fiscal 2025. Total revenue for the quarter increased 5% to $1.3 billion. This includes the headwind from the expiration of the ERTC program of approximately 200 basis points, which is consistent with the expectation we shared with you last quarter. Excluding this headwind, as John mentioned, total revenue grew 7% in the quarter. Management Solutions revenue increased 3% to $963 million. This was primarily driven by growth in the number of clients served across our suite of HCM solutions, as well as client worksite employees for HR solutions and higher product penetration, partially offset by lower ERTC revenues. PEO and Insurance Solutions revenue increased 7% to $318 million, driven primarily by higher average worksite employees and an increase in PEO insurance revenues.","https://www.marketbeat.com/earnings/reports/2024-12-19-paychex-inc-stock/"
"PAYX","2024-12-19","Bob Schrader","CFO at Paychex","Interest on funds held for clients increased 15% to $36 million, primarily due to higher average interest rates and invested balances. Total expenses increased 4% to $779 million. This is due to higher PEO direct insurance costs related to growth in our average worksite employees and PEO insurance revenues, as well as continued investments in product innovation, data and AI, and our go-to-market initiatives. Operating income grew 6% to $538 million, with an operating margin of 40.9%, which was up year-over-year approximately 60 basis points. As a reminder, operating income is also impacted by the expiration of the ERTC program. Excluding that impact, operating margins would have expanded 180 basis points in the quarter compared to the prior year period. Diluted earnings per share and adjusted diluted earnings per share both increased 6% to $1.14 in the second quarter.","https://www.marketbeat.com/earnings/reports/2024-12-19-paychex-inc-stock/"
"PAYX","2024-12-19","Bob Schrader","CFO at Paychex","Now, let me quickly touch on the results for the first six months of the year. Total revenue grew 4% to $2.6 billion, which includes approximately 300 basis points of headwinds from ERTC, as well as having one fewer processing day in the first quarter. Excluding these headwinds, total revenue grew 7% in the first half of the fiscal year. Management Solutions revenue increased 2% to $1.9 billion. PEO and Insurance Solutions increased 7% to $637 million, and interest on funds held for clients increased 15% to $74 million. Total expense growth for the first six months of the year was 3% to $1.6 billion, and operating margins expanded approximately 20 basis points to 41.2%, and again, this is despite the ERTC headwind that we had in the first half of the year.","https://www.marketbeat.com/earnings/reports/2024-12-19-paychex-inc-stock/"
"PAYX","2024-12-19","Bob Schrader","CFO at Paychex","Diluted earnings per share increased 4% to $2.32, and adjusted diluted earnings per share increased 3% to $2.30 a share. Our financial position remained strong with cash, restricted cash, and total corporate investments of $1.3 billion and total borrowings of approximately $817 million as of November 30, 2024. Cash flow from operations was $841 million for the first half of the year, driven by net income and changes in working capital influenced by the timing of our quarter end. Through the first six months of the year, we returned a total of $810 million to our shareholders through cash dividends and share repurchases, and our 12-month rolling return on equity remains robust at 46%. I'll now turn to our guidance for the fiscal year. This outlook assumes the continuation of the current macro environment, and I assume most of you have seen the press release.","https://www.marketbeat.com/earnings/reports/2024-12-19-paychex-inc-stock/"
"PAYX","2024-12-19","Bob Schrader","CFO at Paychex","We are not making any changes to the guidance. I will, however, provide color on the guidance ranges for two of the line items. Total revenue is still expected to grow in the range of 4%-5.5%, and as a reminder, this includes approximately 200 basis points of headwind from the expiration of ERTC. Management Solutions is still expected to grow in the range of 3%-4%. PEO and Insurance Solutions is expected to grow in the range of 7%-9% due to some of the factors that John discussed earlier as it relates to our MPP enrollment in the state of Florida. We would now expect growth to be at the lower end of that range.","https://www.marketbeat.com/earnings/reports/2024-12-19-paychex-inc-stock/"
