"symbol","report_date","speaker","title","msg","source_url"
"PCAR","2025-01-28",NA,NA,"Good morning and welcome to PACCAR's fourth quarter 2024 earnings conference call. All lines will be in listen-only mode until the question-and-answer session. Today's call is being recorded, and if anyone has any objection, they should disconnect at this time. I'd now like to introduce Mr. Ken Hastings, PACCAR's Director of Investor Relations. Mr. Hastings, please go ahead.","https://www.marketbeat.com/earnings/reports/2025-1-28-paccar-inc-stock/"
"PCAR","2025-01-28","Ken Hastings","Director of Investor Relations at PACCAR","Good morning. We'd like to welcome those listening by phone and those on the webcast. My name is Ken Hastings, PACCAR's Director of Investor Relations, and joining me this morning are Preston Feight, Chief Executive Officer, Harrie Schippers, President and Chief Financial Officer, and Brice Poplawski, Vice President and Controller. As with prior conference calls, we ask that any members of the media on the line participate in listen-only mode. Certain information presented today will be forward-looking and involve risks and uncertainties that may affect expected results. For additional information, please see our SEC filings at the Investor Relations page of paccar.com. I would now like to introduce Preston Feight.","https://www.marketbeat.com/earnings/reports/2025-1-28-paccar-inc-stock/"
"PCAR","2025-01-28","Preston Feight","CEO at PACCAR","Hey, good morning, everyone. Harrie, Brice, Ken, and I will update you on our fourth quarter and full year 2024 results, as well as other business highlights. PACCAR's outstanding employees delivered strong results by providing our customers with the highest quality trucks and transportation solutions in the industry. In 2024, PACCAR achieved annual revenues of $33.7 billion, net income of $4.2 billion, and an after-tax return on revenues of 12.4%. This is the second highest profit in the company's history and was a great year for PACCAR. PACCAR's strong financial performance reflects the higher profitability of the latest generation of Kenworth, Peterbilt, and DAF trucks, record results in our parts division, and another good year for PACCAR Financial Services. PACCAR shareholders and customers benefited from the $8.6 billion invested over the past 10 years in new products, world-class facilities, and state-of-the-art technologies.","https://www.marketbeat.com/earnings/reports/2025-1-28-paccar-inc-stock/"
"PCAR","2025-01-28","Preston Feight","CEO at PACCAR","PACCAR has achieved 86 consecutive years of net income and has paid a dividend every year since 1941. In 2024, PACCAR declared $4.17 per share in dividends, including a year-end dividend of $3 per share. This is a 53% payout of net income and a dividend yield of 4%. PACCAR's fourth quarter revenues were $7.9 billion, and net income was $872 million. PACCAR Parts achieved excellent fourth quarter revenues of $1.6 billion and pre-tax profits of $428 million. Last year's U.S. and Canadian Class 8 truck retail sales were 268,000 units. Kenworth and Peterbilt's market share increased to a strong 30.7%, up from 29.5% in the prior year. In the medium-duty market, Kenworth and Peterbilt's excellent new medium-duty truck has created customer value and market share grew from 14.5% to 18% as they produced a record 21,500 medium-duty trucks.","https://www.marketbeat.com/earnings/reports/2025-1-28-paccar-inc-stock/"
"PCAR","2025-01-28","Preston Feight","CEO at PACCAR","In 2025, the U.S. economy is projected to expand by more than 2%. The vocational truck sector, where Peterbilt and Kenworth are the market leaders, is steady. The less-than-truckload market is performing well, while the truckload segment is beginning to show signs of improvement. The U.S. and Canadian Class 8 truck market is forecast to be in a range of 250,000-280,000 vehicles. We anticipate a strengthening market as we progress through the year. European above-16-ton truck registrations were 316,000 last year. Customers appreciate DAF's industry-leading fuel efficiency and driver comfort. DAF trucks have a competitive advantage in the European market due to an innovative aerodynamic design and feature the largest and most luxurious cab interior. In 2025, the European economy is forecast to grow modestly. We expect the above-16-ton truck market to be in the range of 270,000-300,000 registrations.","https://www.marketbeat.com/earnings/reports/2025-1-28-paccar-inc-stock/"
"PCAR","2025-01-28","Preston Feight","CEO at PACCAR","Last year, the South American above-16-ton market was 119,000 vehicles and is expected to be similar this year. DAF's market share in the important Brazilian market was right around 10% and reflects a 23% production increase to more than 10,000 trucks in 2024. In addition to its successful growing business in Brazil, DAF trucks are now sold in Mexico and in the Andean region of South America. PACCAR Parts and other gross margins were a solid 15.9% in the fourth quarter. These margins are considerably higher than in prior industry cycles, reflecting the increased value that the new Kenworth, Peterbilt, and DAF trucks provide to customers, as well as the continued growth of PACCAR Parts. In the fourth quarter, PACCAR delivered 43,900 trucks, and in the first quarter of 2025, deliveries are forecast to be around 40,000.","https://www.marketbeat.com/earnings/reports/2025-1-28-paccar-inc-stock/"
"PCAR","2025-01-28","Preston Feight","CEO at PACCAR","We estimate PACCAR's worldwide first quarter truck and parts gross margins to be similar to the fourth quarter and in a range of 15.5%-16%. In addition to the strong financial performance, other business highlights in 2024 included PACCAR's progress on Amplify Cell Technologies, our joint venture to manufacture commercial vehicle batteries in the United States. DAF was honored as the Fleet Truck of the Year in the U.K. PACCAR Parts celebrated the 30th anniversary of TRP. Peterbilt earned the Environment and Energy Leader Award for sustainability, and Kenworth celebrated the 50th anniversary of its world-class truck factory in Chillicothe, Ohio. We look forward to an excellent year in 2025 as we celebrate the 120th anniversary of PACCAR's founding in 1905. Harrie Schippers will now provide an update on PACCAR Parts, PACCAR Financial Services, and other business highlights. Harrie?","https://www.marketbeat.com/earnings/reports/2025-1-28-paccar-inc-stock/"
"PCAR","2025-01-28","Harrie Schippers","President and CFO at PACCAR","Thank you, Preston. In 2024, PACCAR Parts set new records for revenues and profits. Annual revenues increased by 4% to a record $6.7 billion, and pre-tax profit increased to a record $1.71 billion. Parts gross margins averaged 30.9%. In the current freight environment, we estimate parts sales to grow by 2%-4% this year. PACCAR Parts' excellent long-term growth reflects the benefits of investments that increase vehicle uptime and convenience for customers. PACCAR's aftermarket parts business provides strong profitability through all phases of the business cycle. PACCAR Parts has expanded to 20 parts distribution centers, or PDCs, worldwide, including a new PDC in Germany, which opened in November. This PDC enhances parts availability and delivery times to German dealers and customers and is part of a strategy to increase DAF's truck market share in the largest truck market in Europe.","https://www.marketbeat.com/earnings/reports/2025-1-28-paccar-inc-stock/"
"PCAR","2025-01-28","Harrie Schippers","President and CFO at PACCAR","PACCAR Financial Services achieved fourth quarter pre-tax income of $104 million. Annual pre-tax income was $436 million. PACCAR Financial is performing well with a portfolio that has excellent credit quality and low past dues. PACCAR Financial provides the highest quality service in the market and makes it easy for customers to do business with them through the efficient use of technology in the credit application and loan servicing processes. PACCAR Financial operates 13 used truck centers around the world to support the sale of premium Kenworth, Peterbilt, and DAF used trucks and is adding a new used truck center in Warsaw, Poland, this year. Last year, PACCAR invested $796 million in capital projects and $453 million in research and development. PACCAR delivered an excellent return on invested capital of 25.5%.","https://www.marketbeat.com/earnings/reports/2025-1-28-paccar-inc-stock/"
"PCAR","2025-01-28","Harrie Schippers","President and CFO at PACCAR","This year, we are planning capital investments in the range of $700 million-$800 million and R&D expenses in the range of $460 million-$500 million as we invest in key technology and innovation projects. These include new clean diesel and alternative fuel engines, the next generation of battery-electric powertrains, advanced driver assistance systems, and integrated connected vehicle services. PACCAR is expanding manufacturing capacity at our factories in Europe, North America, Brazil, and Australia. These investments will support PACCAR's future growth as well as our customers' success. PACCAR's independent Kenworth, Peterbilt, and DAF dealers consistently invest in their businesses, enhancing our industry-leading distribution network and making a significant contribution to PACCAR's long-term success. PACCAR looks forward to another excellent year in 2025. Thank you. We'd be pleased to answer your questions.","https://www.marketbeat.com/earnings/reports/2025-1-28-paccar-inc-stock/"
"PCAR","2025-01-28",NA,NA,"Thank you. If you'd like to ask a question, please press star followed by one on your telephone keypads. If you'd like to withdraw your question, please press star followed by two. When preparing to ask your question, please ensure you're unmuted locally. As a reminder, that's star followed by one on your telephone keypads now. Our first question comes from Tami Zakaria of JPMorgan. Tami, your line is open. Please go ahead.","https://www.marketbeat.com/earnings/reports/2025-1-28-paccar-inc-stock/"
"PCAR","2025-01-28","Tami Zakaria","Head of Machinery/Engineering/Construction Equity Research at JPMorgan","Hey, good morning. Thank you so much for taking my questions. So my first question is on the delivery guide. Can you help us understand how to think about deliveries by geography in the first quarter versus the fourth quarter, trying to bridge the gap and where that difference is coming from, which geography, if you could highlight?","https://www.marketbeat.com/earnings/reports/2025-1-28-paccar-inc-stock/"
"PCAR","2025-01-28","Preston Feight","CEO at PACCAR","Yeah, happy, Tami. Good to talk to you. What I would share with you is in the U.S., we expect Class 8 to be flat or up even a little bit in Q1. But what we've seen is the medium-duty market, which has just been very robust, is probably normalizing now. So we'll see a bit smaller medium-duty market. I'd also remind people that there was a Euro VI implementation in Mexico that was in the fourth quarter. So that kind of was a bit of a pre-buy in Mexico that won't be present in the first quarter. And also, if you're doing comparisons of Q4, Q1, we had good supplier performance in the fourth quarter that allowed our normal year-end inventory reduction to take place. So all those things kind of had an impact.","https://www.marketbeat.com/earnings/reports/2025-1-28-paccar-inc-stock/"
"PCAR","2025-01-28","Preston Feight","CEO at PACCAR","Maybe the only last one I'd add is we have fewer production days outside the U.S., specifically in South America, as an impact. All that goes into that delivery guidance. In essence, we're seeing flat Class 8, maybe slightly up Class 8 in the U.S. markets.","https://www.marketbeat.com/earnings/reports/2025-1-28-paccar-inc-stock/"
"PCAR","2025-01-28","Tami Zakaria","Head of Machinery/Engineering/Construction Equity Research at JPMorgan","Got it. That is very helpful, color. Thank you, and my second question is on the investments for Amplify, the JV you have with Cummins and Daimler. Do you think you could revisit that, or the whole idea could be rethought at this point, given the current administration's shift away from BEVs?","https://www.marketbeat.com/earnings/reports/2025-1-28-paccar-inc-stock/"
"PCAR","2025-01-28","Preston Feight","CEO at PACCAR","I'll share this with you. I am so happy with how that's going. I think if I could remake the decision now, knowing what I know, I'd make the same decision. It's a long-term strategic objective for our company to be able to offer our customers the full portfolio of powertrain choices. We see that there will be places where battery-electric vehicles make sense, or it could be hybrid vehicles. Our Amplify Cell Technologies joint venture will allow us to have the lowest cost, highest quality batteries so that we'll be the most competitive in the market, which will be in support of our customers.","https://www.marketbeat.com/earnings/reports/2025-1-28-paccar-inc-stock/"
"PCAR","2025-01-28","Tami Zakaria","Head of Machinery/Engineering/Construction Equity Research at JPMorgan","Okay, great. Thank you.","https://www.marketbeat.com/earnings/reports/2025-1-28-paccar-inc-stock/"
"PCAR","2025-01-28","Preston Feight","CEO at PACCAR","You bet.","https://www.marketbeat.com/earnings/reports/2025-1-28-paccar-inc-stock/"
"PCAR","2025-01-28",NA,NA,"Thank you. Our next question comes from Kyle Menges of Citi. Kyle, your line is open. Please go ahead.","https://www.marketbeat.com/earnings/reports/2025-1-28-paccar-inc-stock/"
