"symbol","report_date","speaker","title","msg","source_url"
"PEG","2024-11-04",NA,NA,"Ladies and gentlemen, thank you for standing by. My name is Rob, and I'm your event operator today. I would like to welcome everyone to today's conference, Public Service Enterprise Group's Third Quarter 2024 Earnings Conference Call and Webcast. At this time, all participants are in a listen-only mode. Later, we'll conduct a question and answer session for members of the financial community. At that time, if you have a question, you'll need to press star and the number one on your telephone keypad. To withdraw your question, please press star and the number two. If anyone should require operator assistance during the conference, please press star zero on your telephone keypad. As a reminder, this conference is being recorded today, November 4th, 2024, and will be available for replay as an audio webcast on PSEG's Investor Relations website at https://investor.pseg.com.","https://www.marketbeat.com/earnings/reports/2024-11-4-public-service-enterprise-group-incorporated-stock/"
"PEG","2024-11-04",NA,NA,"I would now like to turn the conference over to Carlotta Chan. Please go ahead.","https://www.marketbeat.com/earnings/reports/2024-11-4-public-service-enterprise-group-incorporated-stock/"
"PEG","2024-11-04","Carlotta Chan","Head of Investor Relations at Public Service Enterprise Group","Good morning and welcome to PSEG's Third Quarter 2024 Earnings Presentation. On today's call are Ralph LaRossa, Chair, President, and CEO, and Dan Cregg, Executive Vice President and CFO. The press release, attachments, and slides for today's discussion are posted on our IR website at investor.pseg.com, and our 10-Q will be filed later today. PSEG's earnings release and other matters discussed during today's call contain forward-looking statements and estimates that are subject to various risks and uncertainties. We will also discuss non-GAAP operating earnings, which differs from net income as reported in accordance with generally accepted accounting principles, or GAAP, in the United States. We include reconciliations of our non-GAAP financial measures and a disclaimer regarding forward-looking statements on our IR website and in today's material. Following the prepared remarks, we will conduct a 30-minute question and answer session. I will now turn the call over to Ralph LaRossa.","https://www.marketbeat.com/earnings/reports/2024-11-4-public-service-enterprise-group-incorporated-stock/"
"PEG","2024-11-04","Ralph LaRossa","President and CEO at Public Service Enterprise Group","Thank you, Carlotta. Good morning to everyone, and thanks for joining us on the call to review PSEG's third quarter results and update you on two important regulatory filings that we successfully resolved through the settlements that were approved by the New Jersey Board of Public Utilities last month. Let's start with our financial results. PSEG reported net income of $1.04 per share for the third quarter of 2024, bringing results for the first nine months to $2.97 per share. This compares to net income of $0.27 per share and $4.03 per share for the third quarter and first nine months of 2023, respectively, which was impacted by the pension lift-out that occurred in August of 2023. Our results for the quarter and year-to-date periods are summarized on slides seven and nine in the webcast slides.","https://www.marketbeat.com/earnings/reports/2024-11-4-public-service-enterprise-group-incorporated-stock/"
"PEG","2024-11-04","Ralph LaRossa","President and CEO at Public Service Enterprise Group","PSEG's non-GAAP operating earnings were $0.90 per share for the third quarter of 2024 and $2.84 per share for the first nine months of the year. This compares to non-GAAP operating earnings of $0.85 per share and $2.94 per share for the third quarter and first nine months of 2023, respectively. As a reminder, our non-GAAP results exclude the items shown in attachments 8 and 9, which are included in the earnings release. Dan will provide a detailed financial review later in the call, but I want to note that the solid operating and financial results we have posted for the third quarter and year-to-date period enable us to narrow our original full-year 2024 non-GAAP operating earnings guidance from $3.60-$3.70 per share to a range of $3.64-$3.68 per share.","https://www.marketbeat.com/earnings/reports/2024-11-4-public-service-enterprise-group-incorporated-stock/"
"PEG","2024-11-04","Ralph LaRossa","President and CEO at Public Service Enterprise Group","This updated and narrow range reflects the implementation of PSE&G's new base distribution rates that went into effect on October 15th, and PSEG Power's realization of a significant portion of its 2024 gross margin during the second half of this year. On the operating front, during the third quarter, summer weather in New Jersey returned to normal following a second quarter that was the warmest we've experienced in more than 55 years. We have seen the devastating impacts of hurricanes and storms in many parts of the country. Fortunately, the hurricane season in our service territory has been quiet thus far, and we have been pleased to send mutual aid to some of our southern peers. PSEG met its 2024 summer peak load of 10,152 megawatts on July 16th with temperatures of 98 degrees Fahrenheit, and our transmission and distribution network operated as expected with high reliability and minimal outages.","https://www.marketbeat.com/earnings/reports/2024-11-4-public-service-enterprise-group-incorporated-stock/"
"PEG","2024-11-04","Ralph LaRossa","President and CEO at Public Service Enterprise Group","At PSEG Power, our merchant nuclear fleet continues to perform well, supplying New Jersey and the PJM grid with reliable 24 by 7 carbon-free energy. We also continue to pursue long-term growth opportunities in nuclear, including incremental output and long-term contracts at potentially higher prices. The attributes of these nuclear facilities are helping to attract new technology-based businesses to the state, and the results of those long-term opportunities would be incremental to PSEG's stated 5%-7% long-term non-GAAP operating earnings growth rate. In October, PSEG Nuclear began the coast down of Salem Unit 2, which had just completed a 527-day breaker-to-breaker run to begin its scheduled refueling. The Salem station also recently received its third consecutive exemplary rating from the Institute of Nuclear Power Operations, the peer-to-peer operations and safety benchmarking group.","https://www.marketbeat.com/earnings/reports/2024-11-4-public-service-enterprise-group-incorporated-stock/"
"PEG","2024-11-04","Ralph LaRossa","President and CEO at Public Service Enterprise Group","Switching to regulatory activity, we are pleased to have successfully resolved two major regulatory filings last month: PSE&G's base rate case and the second phase of its Clean Energy Future energy efficiency programs. First, the BPU approved PSE&G's multi-party settlement of its first base electric and gas distribution rate case since 2018, with new rates effective October 15th. We appreciate the work done by all parties to achieve a balanced settlement that provides recovery of all of our prudent capital investments to reliably serve customers while also preserving affordability. The terms of the settlement provide for an additional $505 million in annual revenues, including recovery of previously deferred costs and an incremental flow back to customers of tax benefits due to accelerated deductions and prior federal tax rate changes.","https://www.marketbeat.com/earnings/reports/2024-11-4-public-service-enterprise-group-incorporated-stock/"
"PEG","2024-11-04","Ralph LaRossa","President and CEO at Public Service Enterprise Group","The updated revenue requirement is based upon a distribution rate base of $17.8 billion, a return on equity of 9.6%, and an equity ratio of 55% of total capitalization. PSE&G was also approved to implement new pension and storm deferral mechanisms going forward. This directly addresses one of our key objectives, which has been to increase the predictability of our financial results by reducing variability benefiting both the customer and our shareholders. You will recall back in 2022, we identified three paths to address the accounting impacts of pension costs. Combined with a regulatory accounting order we obtained in 2023, along with a lift-out of a portion of the non-regulated pension obligations, this new deferral mechanism will provide for the recovery of annual pension and OPEB expenses and should help to mitigate most of the remaining pension variability going forward.","https://www.marketbeat.com/earnings/reports/2024-11-4-public-service-enterprise-group-incorporated-stock/"
"PEG","2024-11-04","Ralph LaRossa","President and CEO at Public Service Enterprise Group","The BPU also approved the settlement of PSE&G's energy efficiency filing that covers a commitment period from January of 2025 to June of 2027. The approval authorizes an investment program of $1.9 billion net of administrative expenses and an additional $1 billion program for customer on-bill repayment for purchases of EE equipment. Both programs will be treated as rate-based and will be completed through 10 energy efficiency programs over approximately six years. The second phase of energy efficiency programs will continue New Jersey's efforts to help all customers save energy, reduce utility bills, lower carbon emissions, and continue our EE-related job training with a focus on lower and middle-income communities. Customer bill affordability remains a key focus alongside our energy efficiency and cost containment efforts. Following this past distribution-based rate increase, PSE&G retains its favorable bill comparison position versus regional peers on electric and gas customer bills.","https://www.marketbeat.com/earnings/reports/2024-11-4-public-service-enterprise-group-incorporated-stock/"
