"symbol","report_date","speaker","title","msg","source_url"
"PFG","2025-04-28",NA,NA,"Good morning and welcome to the Principal Financial Group First Quarter 2025 Financial Results Conference Call. There will be a question-and-answer period after the speakers have completed their prepared remarks. To ask a question during the session, you will need to press star 11 on your telephone. To withdraw your question, please press star 11 again. We would ask that you be respectful of others and limit your questions to one and a follow-up so we can get to everyone in the queue. I would now like to turn the conference over to Humphrey Lee, Vice President of Investor Relations.","https://www.marketbeat.com/earnings/reports/2025-4-28-principal-financial-group-inc-stock/"
"PFG","2025-04-28","Humphrey Lee","VP of Investor Relations at Principal Financial Group","Thank you and good morning. Welcome to Principal Financial Group's First Quarter 2025 Earnings Conference Call. As always, materials related to today's call are available on our website at investors.principal.com. Following a reading of the Safe Harbor provision, CEO Deanna Strable and Interim CFO Joel Pitz will deliver some prepared remarks. We will then open the call for questions. Members of senior management are also available for Q&A. Some of the comments made during this conference call may contain forward-looking statements within the meaning of the Private Securities Litigation Reform Act. The company does not revise or update them to reflect new information, subsequent events, or changes in strategy. Risks and uncertainties that could cause actual results to differ materially from those expressed or implied are discussed in the company's most recent annual report on Form 10-K filed by the company with the U.S. Securities and Exchange Commission.","https://www.marketbeat.com/earnings/reports/2025-4-28-principal-financial-group-inc-stock/"
"PFG","2025-04-28","Humphrey Lee","VP of Investor Relations at Principal Financial Group","Additionally, some of the comments made during this conference call may refer to non-GAAP financial measures. Reconciliations of the non-GAAP financial measures to the most directly comparable U.S. GAAP financial measures may be found in our earnings release, financial supplement, and slide presentation. Deanna?","https://www.marketbeat.com/earnings/reports/2025-4-28-principal-financial-group-inc-stock/"
"PFG","2025-04-28","Deanna Strable","CEO at Principal Financial Group","Thanks, Humphrey. Good morning to everyone on the call. Before I get into the highlights for the quarter, I'd like to make a few comments on the current environment. We are operating in a market that is incredibly dynamic. Policy shifts and uncertainty surrounding the market outlook have contributed to a more cautious investor tone and heightened focus on resilience. The magnitude of the volatility we have seen in April has been extreme and unprecedented and impacts our fee revenue in retirement and asset management. We expect market volatility to persist, making upcoming quarters more difficult to predict. While complex, we have successfully navigated market volatility before with a clear strategy, a resilient and diversified business model, and a strong commitment to supporting our customers when it matters most.","https://www.marketbeat.com/earnings/reports/2025-4-28-principal-financial-group-inc-stock/"
"PFG","2025-04-28","Deanna Strable","CEO at Principal Financial Group","From a financial perspective, we will continue to focus on what we can control with a disciplined approach to aligning expenses with revenue. Actions to support this are underway. In addition, the actions we have taken over the last few years to transform our business mix have uniquely positioned us to perform through market cycles. Our conviction and our strategy have never been stronger, with a laser focus on growth across the retirement ecosystem, SMBs, and global asset management. Each presents outsized market growth opportunities aligned with our strong, differentiated capabilities. Slide four of our materials highlights the progress we are making in advancing these growth drivers. Turning to the quarter, I am proud of our results, which reflect the strength and discipline of our strategy, as well as the benefits of our diversified business.","https://www.marketbeat.com/earnings/reports/2025-4-28-principal-financial-group-inc-stock/"
"PFG","2025-04-28","Deanna Strable","CEO at Principal Financial Group","First quarter adjusted non-GAAP earnings, excluding significant variances, was $439 million, or $1.92 per diluted share, a 10% increase in EPS over the first quarter of 2024. We returned $370 million of capital to shareholders in the first quarter, including $200 million of share repurchases and a continued increase in our common stock dividend. We have the capital flexibility to continue supporting our customers, investing in growth, and returning capital responsibly. Our capital strategy remains grounded in long-term financial discipline. Despite market volatility, total company-managed AUM increased to $718 billion at the end of the quarter, reflecting positive market performance and the beneficial impact of exchange rates. Net cash flow was -$4 billion in the quarter, driven by two low-fee institutional fixed income withdrawals in investment management. Overall, higher fee inflows relative to outflows are driving a positive impact to run rate revenue from institutional flows.","https://www.marketbeat.com/earnings/reports/2025-4-28-principal-financial-group-inc-stock/"
"PFG","2025-04-28","Deanna Strable","CEO at Principal Financial Group","We saw strong results in key asset classes, including private real estate, preferreds, and stable value. In addition, we saw strong local investment management flows of $700 million total in Mexico and Southeast Asia, reinforcing our local strategies and the benefits of our global business reach. We are also encouraged by signs of green shoots in high-yield preferreds, real estate, and international equities, some of which have already funded in April, pointing to additional growth in the quarters ahead. In retirement, we generated positive account value net cash flow of $400 million after adjusting for the low-fee contract laps discussed on our last call. We continue to see strong activity in our small and mid-sized market, delivering $1.3 billion of positive flows, up from $1 billion in the year ago quarter. Turning to sales, pension risk transfer volume grew year-over-year, reaching $800 million in the quarter.","https://www.marketbeat.com/earnings/reports/2025-4-28-principal-financial-group-inc-stock/"
"PFG","2025-04-28","Deanna Strable","CEO at Principal Financial Group","We remain a leader in the industry, ranking among the top four providers by sales premium and third by number of contracts based on the 2024 LIMRA results. Looking ahead, we see positive momentum in the pipeline across our retirement ecosystem. This momentum is being reinforced by recent industry recognition. Principal was top-rated across all categories in the PLANADVISOR survey and received 17 best-in-class awards from PLANSPONSOR. Moving to specialty benefits, underwriting results were strong, and overall growth is being impacted by the absence of new PFML markets and lower dental sales, a result of our disciplined pricing actions. In life, sales were up 6% compared to the year ago quarter, driven by bundled business market sales and strong growth in non-qualified sales, a key component of our total retirement solutions. Importantly, our well-established and long-tenured SMB block remains resilient.","https://www.marketbeat.com/earnings/reports/2025-4-28-principal-financial-group-inc-stock/"
"PFG","2025-04-28","Deanna Strable","CEO at Principal Financial Group","Findings from our recent SMB Pulse survey indicate our customers are focused on adapting to the current environment through pricing actions, shifting suppliers, and managing margin, with less emphasis on reducing benefits or staff. Across all of our businesses, the key fundamentals remain strong, including recurring deposits, deferrals, matches, and wage and employment growth. We remain focused on what matters most: delivering for our customers, operating with discipline, and executing on our long-term strategy. We have built this company to perform through many cycles: resilient, diversified, and purpose-led. Importantly, our approach continues to be recognized. For the 14th time, Principal was named one of the 2025 World's Most Ethical Companies by Ethisphere. This award reflects our ongoing commitment to doing what's right for our customers, employees, and shareholders, not just in times of strength, but especially in moments of uncertainty.","https://www.marketbeat.com/earnings/reports/2025-4-28-principal-financial-group-inc-stock/"
"PFG","2025-04-28","Deanna Strable","CEO at Principal Financial Group","We are also being recognized for how we use technology to work strategically. Our proprietary generative AI-powered assistant, PAIGE, was honored with a CIO 100 award for its impact on employee productivity. In just one year, it's helped cut task completion time in half, streamlined training, and made it easier for teams to create content and serve our customers more efficiently. Overall, I am proud of our results this quarter and confident in the strength and resiliency of our integrated and diversified portfolio. We will continue to invest in growth, operate with discipline, and stay close to the evolving needs of our customers. We will do so with the same clarity and commitment that have defined our success over the past 145 years. With that, I'll turn it over to Joel to walk through the results in more detail. Joel?","https://www.marketbeat.com/earnings/reports/2025-4-28-principal-financial-group-inc-stock/"
