"symbol","report_date","speaker","title","msg","source_url"
"PHM","2025-07-22",NA,NA,"Good morning, and thank you for standing by. My name is Jeannie, and I will be your conference operator today. At this time, I would like to welcome everyone to the PulteGroup Second Quarter 2025 Earnings Conference Call. All lines have been placed on mute to prevent any background noise.","https://www.marketbeat.com/earnings/reports/2025-7-22-pultegroup-inc-stock/"
"PHM","2025-07-22",NA,NA,"After the speaker's remarks, there will be a Q&A session. If you would like to ask a question during this time, simply press * followed by the number 1 on your telephone keypad. If you would like to withdraw your question, press *1 again. We do ask that you limit yourself to one question and one follow-up. Thank you. I would now like to turn the call over to Jim Zeumer. Please go ahead.","https://www.marketbeat.com/earnings/reports/2025-7-22-pultegroup-inc-stock/"
"PHM","2025-07-22","Jim Zeumer","Vice President and Head of Investor Relations at PulteGroup","Great. Thank you, Jeannie. Good morning, and thank you for joining today's call as we look forward to discussing PulteGroup's Second Quarter Operating and Financial Results. With me today are Ryan Marshall, President and CEO; Jim Ossowski, Executive Vice President and CFO; and David Carrier, Senior VP Finance. As always, a copy of our earnings release and this morning's presentation have been posted to our corporate website, pultegroup.com. We will also post an audio replay of this call later today.","https://www.marketbeat.com/earnings/reports/2025-7-22-pultegroup-inc-stock/"
"PHM","2025-07-22","Jim Zeumer","Vice President and Head of Investor Relations at PulteGroup","I would highlight that today's presentation includes forward-looking statements about the company's expected future performance. Actual results could differ materially from those suggested by our comments made today. The most significant risk factors that could affect future results are summarized as part of today's earnings release and within the accompanying presentation. These risk factors and other key information are detailed on our SEC filings, including our annual and quarterly reports. Now, let me turn the call over to Ryan Marshall. Ryan.","https://www.marketbeat.com/earnings/reports/2025-7-22-pultegroup-inc-stock/"
"PHM","2025-07-22","Ryan Marshall","President and CEO at PulteGroup","Good morning, and thank you for joining our call. As always, I appreciate the opportunity to update you on PulteGroup and our work in delivering outstanding business results. PulteGroup's earnings release details another quarter of positive financial performance as the company delivered strong closings, gross margins, and overhead leverage. Consistent with such results, we also continue to realize high returns as the company generated a return on equity of 23% for the trailing 12 months ended June 30.","https://www.marketbeat.com/earnings/reports/2025-7-22-pultegroup-inc-stock/"
"PHM","2025-07-22","Ryan Marshall","President and CEO at PulteGroup","In a few minutes, I'll turn the call over to Jim for a detailed review of the numbers. Our results demonstrate that in an operating environment that is growing more challenging, our diversified and balanced operating model offers strategic benefits to help sustain performance. In this competitive operating environment, we are reaping the advantages of being diversified across all buyer groups, particularly our industry-leading position in serving active adult buyers.","https://www.marketbeat.com/earnings/reports/2025-7-22-pultegroup-inc-stock/"
"PHM","2025-07-22","Ryan Marshall","President and CEO at PulteGroup","Specific to this group, I am pleased to report that we are experiencing a great response to our newest Del Webb and Del Webb Explorer communities as buyers embrace the active lifestyle at the core of both brands. As it relates to this part of our business, I would highlight that along with being among our higher-priced homes, these homes typically represent our highest-margin closings. Along with a broad customer base, we have geographic breadth and market diversity that are again proving their value.","https://www.marketbeat.com/earnings/reports/2025-7-22-pultegroup-inc-stock/"
"PHM","2025-07-22","Ryan Marshall","President and CEO at PulteGroup","Our business results continue to demonstrate the benefit of having large and stable operations in the Midwest, Southeast, and Northeast. These work to offset some of the more challenging market conditions the industry is facing out West and in Texas. I am pleased to highlight the relative strength of our Florida operations displayed in the quarter as net new orders increased 2% over last year.","https://www.marketbeat.com/earnings/reports/2025-7-22-pultegroup-inc-stock/"
"PHM","2025-07-22","Ryan Marshall","President and CEO at PulteGroup","Beyond Florida, remaining a beneficiary of long-established migration patterns in this country, we have exceptional land positions throughout the region. I would also highlight that our operating teams across Florida are second to none, and I truly believe we are seeing the importance of having such experienced leadership in place. Finally, our ability to serve both the buyer who needs the immediacy of an in-production spec home as well as the buyer seeking to build a more personalized home from scratch remains an important competitive advantage.","https://www.marketbeat.com/earnings/reports/2025-7-22-pultegroup-inc-stock/"
"PHM","2025-07-22","Ryan Marshall","President and CEO at PulteGroup","The former allows us to effectively serve the first-time buyer and use our national rate incentive, while the latter allows the buyer to select a lot and options that they value most, which in turn provides margin enhancement opportunities for us. Through the first half of 2025, we realized an average of $109,000 of options and lot premiums, which is an important driver of PulteGroup's superior gross margins. With half the year, including the important spring selling season now complete, I thought it would be useful to offer a few high-level comments on the demand dynamics we have been experiencing.","https://www.marketbeat.com/earnings/reports/2025-7-22-pultegroup-inc-stock/"
