"symbol","report_date","speaker","title","msg","source_url"
"PKG","2024-10-22",NA,NA,"Good morning, everyone. Thank you for joining Packaging Corporation of America's third quarter 2024 earnings results conference call. Your host will be Mark Kowlzan, Chairman and Chief Executive Officer of PCA. Upon conclusion of his narrative, there will be a question-and-answer session. I would now like to turn the conference call over to Mr. Kowlzan. Sir, please proceed when you are ready.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22","Mark Kowlzan","Chairman and CEO at Packaging Corporation of America","Thank you, Jamie. Good morning, everyone, and thank you for participating in Packaging Corporation of America's third quarter 2024 earnings release conference call. Again, I'm Mark Kowlzan, Chairman and CEO of PCA, and with me on the call today is Tom Hassfurther, Executive Vice President, who runs our packaging business, and Bob Mundy, our Chief Financial Officer. As usual, I'll begin the call with an overview of our third quarter results, and then I'll turn the call over to Tom and Bob, who'll provide further details. Then I'll wrap things up, and we'll be glad to take questions later. Yesterday, we reported third quarter net income of $238 million or $2.64 per share.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22","Mark Kowlzan","Chairman and CEO at Packaging Corporation of America","Excluding special items, third quarter 2024 net income was $239 million or $2.65 per share, compared to the third quarter of 2023 net income of $185 million or $2.05 per share. Third quarter net sales were $2.2 billion in 2024 and $1.9 billion in 2023. Total company EBITDA for the third quarter, excluding special items, was $461 million in 2024 and $388 million in 2023. Details of special items for both the third quarter of 2024 and 2023 were included in the schedules that accompanied our earnings press release.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22","Mark Kowlzan","Chairman and CEO at Packaging Corporation of America","Excluding special items, the $0.60 per share increase in third quarter 2024 earnings compared to the third quarter of 2023 was primarily driven by higher volume of $0.94 and prices and mix, $0.03, in the packaging segment, higher volume in the paper segment for $0.03, lower freight and logistics expenses of $0.09, lower scheduled outage expenses for $0.06, and lower interest expense for $0.05. These items were partially offset by lower prices and mix in the paper segment for $0.02, higher operating and converting costs, $0.51, and higher depreciation expense, $0.05, and other expenses, $0.02. The results were $0.20 above our third quarter guidance of $2.45 per share, primarily due to higher volume in our packaging and paper segments and higher prices and mix in the packaging segment.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22","Mark Kowlzan","Chairman and CEO at Packaging Corporation of America","Looking at our packaging business, EBITDA, excluding special items in the third quarter of 2024, of $446 million with sales of $2 billion, resulted in a margin of 22.2% versus last year's EBITDA of $374 million, with sales of $1.8 billion and a 21.3% margin. The operational benefits of our capital spending program and the continued great focus and execution by our sales, customer service, mill, and corrugated products plant employees continued to deliver impressive results. Setting new all-time quarterly records for containerboard production, total box shipments, and shipments per day, while meeting the service and quality needs of our customers, would not have been possible without a long-term, well-thought-out strategic capital spending plan and the hard work and dedication of our employees.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22","Mark Kowlzan","Chairman and CEO at Packaging Corporation of America","Even with record production, as a result of the strong demand, we were not able to meet our inventory target at the end of the quarter. With some adjustments we made to the DeRidder Mill's scheduled outage plans for this year, plus 2 less corrugated shipping days during the fourth quarter, and with a lighter than average schedule in the first half of 2025, we do hope to reach our target by the end of the year. I'll now turn it over to Tom, who will provide further details on containerboard sales and the corrugated business.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22","Tom Hassfurther","EVP at Packaging Corporation of America","Thanks, Mark. The corrugated products demand strengthened throughout the quarter and, as Mark mentioned, resulted in record-breaking performance for our plants. Shipments per day were up 11.1% over last year's third quarter, and total shipments with 1 additional shipping day were up 12.9%. Versus the second quarter of 2024, shipments per day were up 5.8%, and total shipments with 1 less shipping day were up 4.1%. Outside sales volume of containerboard was 45,000 tons above last year's third quarter and 7,000 tons above the second quarter of 2024. Prices and mix came in ahead of expectations as implementation of our previously announced price increases for containerboard and corrugated products was managed very well.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22","Tom Hassfurther","EVP at Packaging Corporation of America","Domestic containerboard and corrugated products prices and mix together were up $0.35 per share versus the second quarter of 2024 and flat compared to the third quarter of 2023. Export containerboard prices were up $0.03 per share compared to the second quarter of 2024 and the third quarter of 2023. I'd like to mention that in addition to ensuring our customers' quality and service needs were met during a record-breaking quarter, our employees did not get complacent. Their focus on continuous improvement regarding customer service as well as efficiency, quality, productivity, and optimization improvements across our packaging segment is relentless and drives our industry-leading results. They fully understand that there are always areas that can be improved upon, even with record-setting performance. Now I'll turn it back to Mark.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22","Mark Kowlzan","Chairman and CEO at Packaging Corporation of America","Thanks, Tom. Looking at our paper segment, EBITDA, excluding special items in the third quarter, was $43 million, with sales of $159 million, or a 27.0% margin compared to the third quarter of 2023, EBITDA of $35 million and sales of $158 million, or a 22.4% margin. Our previously announced price increases were implemented as planned, with average prices and mix up 2% versus second quarter 2024 levels, and down 2% versus the third quarter of 2023. Volume, which exceeded forecasting levels, had very good back-to-school shipments and strong printing and converting demand. Volume was up 4% versus the third quarter of 2023, and was 5% above the second quarter of 2024.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22","Mark Kowlzan","Chairman and CEO at Packaging Corporation of America","Mill operations were managed very well, with excellent machine efficiencies and material usage, especially with chemicals and energy. And now I'll turn it over to Bob for more financial details.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22","Bob Mundy","CFO at Packaging Corporation of America","Thanks, Mark. Cash provided by operations during the quarter totaled $327 million, with free cash flow of $180 million. The more significant cash payments during the quarter included capital expenditures of $147 million. Common stock dividends totaled $112 million, $77 million for federal and state income tax payments, and $26 million for pension and other post-employment benefit contributions. We ended the quarter with $841 million of cash, including marketable securities, and our liquidity on September thirtieth was approximately $1.2 billion. Lastly, our planned annual maintenance outage expense for this year has changed slightly due to the adjustments made to the DeRidder Mill outage that Mark referred to earlier. The third quarter outage impact was $0.17 per share or $0.03 unfavorable to our previous guidance.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22","Bob Mundy","CFO at Packaging Corporation of America","And the new estimate for the fourth quarter is $0.29 per share or $0.04 favorable to our guidance. The total estimate for the year is $0.87 per share. I'll now turn it back over to Mark.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22","Mark Kowlzan","Chairman and CEO at Packaging Corporation of America","Thanks, Bob. Looking ahead, as we move from the third and into the fourth quarter, we expect demand in our packaging segment to remain strong, with corrugated shipments per day continuing to strengthen and slightly higher containerboard volume. However, total shipments for the corrugated business will be impacted by 2 less shipping days and the recent hurricane damage to the strawberry crops in Florida. With current containerboard inventory below our target levels, we will also attempt to build some inventory prior to year-end. We expect continued realization from the previously announced price increases and higher export prices, although with a seasonally less rich mix compared to the third quarter. In our paper segment, shipments will be lower versus the seasonally stronger third quarter, while prices and mix should be fairly flat.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22","Mark Kowlzan","Chairman and CEO at Packaging Corporation of America","Operating and converting costs are expected to increase, driven by higher seasonal energy costs and chemical costs. Scheduled outage costs are estimated to be $0.12 per share higher than the third quarter, and depreciation expense should be slightly higher also. Considering these items, we expect fourth quarter earnings of $2.47 per share. With that, we'd be happy to entertain any questions, but I must remind you that some of the statements we've made on the call constituted forward-looking statements. The statements were based on current estimates, expectations, and projections of the company and do involve inherent risks and uncertainties, including the direction of the economy and those identified as risk factors in our annual report on Form 10-K and in subsequent quarterly reports on Form 10-Q, filed with the SEC. Actual results could differ materially from those expressed in the forward-looking statements.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22","Mark Kowlzan","Chairman and CEO at Packaging Corporation of America","With that, Jamie, I'd like to open up the call for questions, please.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22",NA,NA,"Ladies and gentlemen, at this time, we'll begin the question and answer session. To ask your question, press star and one. To withdraw your questions, you may press star and two. We'll pause momentarily to assemble the roster.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22","Tom Hassfurther","EVP at Packaging Corporation of America","First question, please.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22",NA,NA,"Our first question today comes from George Staphos from Bank of America. Please go ahead with your question.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22","Mike Roxland","Analyst at Truist","Hi, everyone. Good morning. Thanks for taking the question, and congratulations on the progress so far. Gentlemen, I guess the first question I had, you know, standard: Can you talk a bit about where bookings and billings are to start the fourth quarter with whatever adjustment you want to make, either per workday or actual? And if you could shade or provide some color in terms of, you know, what end markets or product lines are seeing the most or least traction. Second question I had for you, you know, and you talked about it last quarter, and certainly didn't, you know, you had favorable results versus your guidance.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22","Mike Roxland","Analyst at Truist","Can you talk about how whatever growth you're getting incrementally in the brown market, so to speak, is impacting your overall mix and, you know, sort of any implications for the outlook for earnings and EBITDA growth for the future?","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22","Tom Hassfurther","EVP at Packaging Corporation of America","Hey, George, this is Tom. I'll take that question.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22","Mike Roxland","Analyst at Truist","Good morning, Tom.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22","Tom Hassfurther","EVP at Packaging Corporation of America","First of all, on a per-day basis, our bookings and billings are up just a little over 8%.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22","Tom Hassfurther","EVP at Packaging Corporation of America","... versus 2023. So, you know, we continue to be in a very nice growth mode. The end markets involve a little bit about your question regarding growth and mix as well. So, let me talk about the growth first and where we're seeing some end markets that are growing more than perhaps others. And probably the biggest difference that we're seeing right now is that the e-com area across the board, and of course, I've mentioned many times that we have, you know, a lot of e-commerce customers and that a lot of our customers got into e-com a number of years ago.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22","Tom Hassfurther","EVP at Packaging Corporation of America","That segment continues to grow nicely, and you know, that's evidenced by anything you see out there data-wise regarding, you know, big box stores and some of this other stuff. So, you know, a lot of online shopping. And then, on the other hand, some of that graphics mix, you know, which is POP-related, point of purchase displays, and things like that, those are pretty flat. So we've got, you know, one area growing quite nicely and another area that's been pretty flat over the last few years. You know, it's the same thing as we talked about in the past, because of consumer spending and because of kind of where consumers are right now.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22","Tom Hassfurther","EVP at Packaging Corporation of America","The durables certainly haven't performed as well as the non-durables, at least from our segments of business that we have. So, hopefully, that gives you enough understanding of kind of where we are and what we're seeing.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22","Mike Roxland","Analyst at Truist","Tom, that's great. I, I guess my last one. I'll turn it over. Can you talk a little bit about what the crop damage might mean to you in terms of volume? And, you know, as you look out to next year, do you need to ramp any investment, whether it's working capital CapEx, to keep the growth that you'd like to have, you know, looking out to 2025, given how tough the comparisons are? Thanks, and good luck.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22","Tom Hassfurther","EVP at Packaging Corporation of America","Yeah, George, that's a great question. Number 1 is, it's a little unknown how severe the crop damage is going to be. It's spotty all over the state of Florida, and of course, that's a very big market for us. So, we anticipate that what would traditionally be a full crop that would come in during the fourth quarter is now going to come in at the end of the fourth quarter and bleeding into the first quarter of next year, because they're gonna have to do a lot of replanting. All those plants were quite young, so, you know, that's what caused a lot of the damage.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22","Tom Hassfurther","EVP at Packaging Corporation of America","Relative to CapEx and investments, as I've said many, many times, you know, we invest where the customers need us to invest, and we're continuing to do that. One of the commentary I said about our employees and what a great job all of our associates have done is because we've had a lot of capital projects going on while we've had this, you know, surge in demand, and you know, they've done just an unbelievably great job of making sure that we serviced our customers the way they need to be serviced with the quality of products that they demand.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22","Mark Kowlzan","Chairman and CEO at Packaging Corporation of America","You know, in keeping in line with that commentary, George, you know, as we said on the July call, you know, this year, we will worked on at least 60 major projects within our box plant system, with new corrugators, major corrugator rebuilds, new converting lines. You know, as we announced in July, we're you know, heavily engaged at this point in building out the new operations in Glendale, Arizona. That will start up early next year. And then, just going forward, we'll talk about this more in the January call, but we've got plans on the books to build out a couple of new big plants over the next 2.5-3 years also. But we will continue the pace of reinvestment in these plants.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22","Mark Kowlzan","Chairman and CEO at Packaging Corporation of America","This has been the, it's, it's driven the capability to be where we are today. We said this on the call, I believe in July. If you include this year's capital spending over the last 5 years, we would have spent $2 billion just on the box plant system, recapitalizing and building out some new plants. And in many cases, in almost all cases, we've either quadrupled or increased even, even over that, the capability of these, these box plants to produce quality packaging for the customers. And so, we're not going to let up on that momentum that we have. That's what gives us the ability to grow and take care of our customers.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22","Mike Roxland","Analyst at Truist","Understood. Thanks so much.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22","Tom Hassfurther","EVP at Packaging Corporation of America","Next question, please.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22",NA,NA,"Our next question comes from Mike Roxland from Truist. Please go ahead with your question.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22","Mike Roxland","Analyst at Truist","Thanks, Mark, Tom, Bob, for taking my questions, and congrats on a really good quarter.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22","Mark Kowlzan","Chairman and CEO at Packaging Corporation of America","Thanks, Mike.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22","Tom Hassfurther","EVP at Packaging Corporation of America","Thanks. Appreciate it, Mike.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22","Mike Roxland","Analyst at Truist","You know, your volumes continue to outpace the industry and your nearest peers. And how should we think about your volumes and when growth should normalize? Is that something that should occur, you know, early next year, second half of next year, or could this even play out longer given the ongoing self-help and restructurings that your larger peers are going through?","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
"PKG","2024-10-22","Tom Hassfurther","EVP at Packaging Corporation of America","Mike, you know, we plan to, you know, take advantage of every opportunity we get that, where we can profitably grow our revenue, and I think right now we're able to perform in a way that is very desirable for a lot of our customers. Certainly, most of our growth comes within our existing customers, and then, you know, we get opportunities outside of that as well, but you know, they happen to be looking for something we're able to deliver, and I think those opportunities will remain. Now, there's no question that starting next year, the comps are gonna get tougher. You know, we made a big jump this year.","https://www.marketbeat.com/earnings/reports/2024-10-22-packaging-co-of-america-stock/"
