"symbol","report_date","speaker","title","msg","source_url"
"PNC","2025-04-15",NA,NA,"Greetings and welcome to the PNC Financial Services Group First Quarter 2025 Earnings Conference Call. At this time, all participants are on a listen-only mode. A question-and-answer session will follow the formal presentation. If anyone should require operator assistance during the conference, please press star zero on your telephone keypad. As a reminder, this conference is being recorded. I would now like to turn the conference over to your host, Bryan Gill, Executive Vice President and Director of Investor Relations. Thank you. You may begin.","https://www.marketbeat.com/earnings/reports/2025-4-15-the-pnc-financial-services-group-inc-stock/"
"PNC","2025-04-15","Bryan Gill","EVP and Director of Investor Relations at PNC Financial Services Group","Good morning. Welcome to today's conference call for The PNC Financial Services Group. I am Bryan Gill, the Director of Investor Relations for PNC, and participating on this call are PNC's Chairman and CEO, Bill Demchak, and Rob Reilly, Executive Vice President and CFO. Today's presentation contains forward-looking information. Cautionary statements about this information, as well as reconciliations of non-GAAP measures, are included in today's earnings release materials, as well as our SEC filings and other investor materials. These are all available on our corporate website, pnc.com, under Investor Relations. These statements speak only as of April 15, 2025, and PNC undertakes no obligation to update them. Now, I'd like to turn the call over to Bill.","https://www.marketbeat.com/earnings/reports/2025-4-15-the-pnc-financial-services-group-inc-stock/"
"PNC","2025-04-15","William Demchak","Chairman and CEO at PNC Financial Services Group","Thank you, Bryan, and good morning, everyone. As you've seen, PNC had a strong first quarter of 2025. Before we go into the results, I want to spend a second just on the current environment. Obviously, there's been an increased level of volatility due to uncertainty regarding tariffs that has dominated the headlines over the past two weeks, roiling the markets and raising concerns of a potential recession. As you would expect, we continue to monitor and evaluate the situation, communicating with our clients to gauge their understanding of the potential impact on their businesses and daily lives. However, it's still very early, and the fluidity of the news coming out of Washington makes it difficult to narrow the range of potential outcomes for the broader economy at this point. Irrespective of that outcome, we have demonstrated time and again that we will perform well in periods of uncertainty.","https://www.marketbeat.com/earnings/reports/2025-4-15-the-pnc-financial-services-group-inc-stock/"
"PNC","2025-04-15","William Demchak","Chairman and CEO at PNC Financial Services Group","The foundation of our success has been built upon the strength of our balance sheet, client selection, our interest rate risk positioning, our diversified business mix, leading technology, and our people, and that has not changed. As always, we will continue to focus on the things we can control, with an emphasis on providing superior products and services to meet the needs of our customers while executing on the organic growth opportunities in front of us. We saw that play out this quarter as we grew customers and deepened relationships across our coast-to-coast franchise. We delivered another quarter of strong results, generating net income of $1.5 billion, or $3.51 per share. While loan growth remained challenging for the industry, we were pleased to see 3% growth on our spot C&I loans, as well as strong new commitments during the quarter.","https://www.marketbeat.com/earnings/reports/2025-4-15-the-pnc-financial-services-group-inc-stock/"
"PNC","2025-04-15","William Demchak","Chairman and CEO at PNC Financial Services Group","As expected, total revenue this quarter was primarily impacted by lower day count and seasonality, but expenses were well controlled, and our net interest margin expanded. Importantly, we remain on track to deliver positive operating leverage and achieve record NII for the year. Credit quality is strong, and we remain well reserved. Rob is going to cover that in some more detail in a few minutes. Finally, we continue to build our capital levels during the quarter while also providing significant shareholder returns through dividends and share repurchases. In summary, we delivered strong results in the quarter, and we remain well positioned to deliver on our strategic priorities. Before I turn it over to Rob for more detail on our financial results, I'd like to welcome Mark Weidman, who we appointed to the role of President last week. I'm thrilled Mark has joined us in this role.","https://www.marketbeat.com/earnings/reports/2025-4-15-the-pnc-financial-services-group-inc-stock/"
"PNC","2025-04-15","William Demchak","Chairman and CEO at PNC Financial Services Group","Mark brings deep experience in financial services that will complement the strength of our existing team. I have known Mark for 20 years, and we are fortunate that the timing was right for him to join our team. I would also like to thank our employees for everything they do for our company and our customers. With that, I will turn it over to Rob to take you through the quarter.","https://www.marketbeat.com/earnings/reports/2025-4-15-the-pnc-financial-services-group-inc-stock/"
"PNC","2025-04-15","Robert Reilly","EVP and CFO at PNC Financial Services Group","Thanks, Bill, and good morning, everyone. Our balance sheet is on slide three and is presented on an average basis. For the linked quarter, loans of $317 billion declined $2 billion, or 1%. Notably, on a spot basis, loans increased $2 billion, or 1%, compared to December 31. Investment securities of $142 billion decreased by $2 billion, and our cash balance at the Federal Reserve was $34 billion, a decrease of $3 billion, or 9%. Deposit balances declined $5 billion, or 1%, and averaged $421 billion. Borrowings of $65 billion were lower, primarily due to a reduction in FHLB advances. At quarter end, AOCI was negative $5.2 billion, an improvement of $1.3 billion, or 20%, compared with December 31. Our tangible book value increased to $100.40 per common share, which was a 5% increase linked quarter and a 17% increase compared to the same period a year ago.","https://www.marketbeat.com/earnings/reports/2025-4-15-the-pnc-financial-services-group-inc-stock/"
"PNC","2025-04-15","Robert Reilly","EVP and CFO at PNC Financial Services Group","We remain well capitalized with an estimated CET1 ratio of 10.6% as of March 31. We estimate our CET1 ratio, inclusive of AOCI, to be 9.4% at quarter end. During the first quarter, we returned approximately $800 million of capital to shareholders through both common dividends and share repurchases. Slide four shows our loans in more detail. Average loan balances of $317 billion declined $2 billion, or 1%, driven by lower commercial real estate and consumer loans. Importantly, on a period end basis, total loans grew more than $2 billion, or 1%. Strong growth in C&I loans was partially offset by continued runoff in the CRE office portfolio and lower consumer balances. C&I loans were $181 billion on March 31, an increase of $5 billion, or 3%, reflecting broad growth across loan categories.","https://www.marketbeat.com/earnings/reports/2025-4-15-the-pnc-financial-services-group-inc-stock/"
"PNC","2025-04-15","Robert Reilly","EVP and CFO at PNC Financial Services Group","This represented the largest increase in C&I balances since the fourth quarter of 2022 and was driven by higher utilization rates and new loan production. Regarding utilization, we saw positive trends in the first quarter with increases in each consecutive month and ending the quarter at 50.3%, or 80 basis points higher than year-end. Slide five details our investment securities and swap portfolios. Average investment securities decreased $2 billion to $142 billion as prepayments and maturities outpaced purchases. During the first quarter, our securities yield was stable at 3.17%. As of March 31, approximately 20% of the portfolio was floating rate, and our duration was estimated to be 3.4 years. Our active receipt fixed rate swaps totaled $39 billion on March 31, and the weighted average receipt rate increased 27 basis points linked quarter to 3.49% and up from 2.2% this time last year.","https://www.marketbeat.com/earnings/reports/2025-4-15-the-pnc-financial-services-group-inc-stock/"
"PNC","2025-04-15","Robert Reilly","EVP and CFO at PNC Financial Services Group","Our forward-starting swaps now total $20 billion, including $9 billion that were added during the first quarter, which will roll on through 2026. With the addition of these swaps, we've reduced our interest rate sensitivity and further locked in a portion of our fixed rate asset repricing. Slide six covers our deposit balances in more detail. Average deposits decreased $5 billion, or 1%, to $421 billion. Consumer and commercial deposits followed seasonal trends. Consumer deposits of $210 billion increased $4 billion, or 2%, and commercial deposits of $206 billion declined $5 billion, or 2%. Lastly, we have a small amount of brokered CDs totaling $5 billion, which declined $3 billion as part of our funding plan. Our rate paid on interest-bearing deposits declined 20 basis points during the first quarter to 2.23%, and our cumulative deposit beta through March was 51%.","https://www.marketbeat.com/earnings/reports/2025-4-15-the-pnc-financial-services-group-inc-stock/"
