"symbol","report_date","speaker","title","msg","source_url"
"PSA","2025-07-30",NA,NA,"Greetings and welcome to Public Storage Second Quarter 2025 earnings conference call. At this time, all participants are on a listen-only mode. A question-and-answer session will follow the formal presentation. To access the queue, please press Star 1 on your telephone keypad. If anyone should require operator assistance during the conference, please press Star 0 on your telephone keypad. As a reminder, this conference is being recorded. I would now like to turn the conference over to your host, Mr. Ryan Burke. Thank you. You may begin.","https://www.marketbeat.com/earnings/reports/2025-7-30-public-storage-stock/"
"PSA","2025-07-30","Ryan Burke","VP of Investor Relations and Strategic Partnership at Public Storage","Thank you, Rob. Hello, everyone. Thank you for joining us for our Second Quarter 2025 earnings call. I'm here with Joe Russell and Tom Boyle. Before we begin, we want to remind you that certain matters discussed during this call may constitute forward-looking statements within the meaning of the federal securities laws. These forward-looking statements are subject to certain economic risks and uncertainties. All forward-looking statements speak only as of today, July 31, 2025, and we assume no obligation to update, revise, or supplement statements that become untrue because of subsequent events. A reconciliation to GAAP of the non-GAAP financial measures we provide on this call is included in our earnings release. You can find our news release, supplement report, SEC reports, and an audio replay of this conference call on our website at publicstorage.com. We do ask that you initially limit yourself to two questions.","https://www.marketbeat.com/earnings/reports/2025-7-30-public-storage-stock/"
"PSA","2025-07-30","Ryan Burke","VP of Investor Relations and Strategic Partnership at Public Storage","After that, of course, feel free to jump back in queue. With that, I'll turn the call over to Joe.","https://www.marketbeat.com/earnings/reports/2025-7-30-public-storage-stock/"
"PSA","2025-07-30","Joe Russell","CEO at Public Storage","Thank you, Ryan, and thank you all for joining us today. Tom and I will walk you through our performance, industry views, and outlook. Then we'll open it up for Q&A. We are raising our outlook for 2025 based on stabilizing operations and accelerated acquisitions, which reached $785 million closed or under contract year to date. Public Storage's industry leadership is proven by, among other things, the highest revenue generation per square foot among peers, the most efficient operating platform, including customer and employee-centric technologies that are enhancing satisfaction while bolstering our revenue and margin advantages. The strongest ability to drive portfolio expansion through our best-in-class acquisition and development teams is backed by our growth-oriented balance sheet. As the operating environment stabilizes, new competitive supply deliveries decline further, and the transaction market becomes more active, we are holistically enhancing our advantages and positioning for growth.","https://www.marketbeat.com/earnings/reports/2025-7-30-public-storage-stock/"
"PSA","2025-07-30","Joe Russell","CEO at Public Storage","From a performance perspective, the West Coast in particular, along with other markets including Washington, D.C., and Chicago, are standouts, with same-store revenue growth in the 2% to 4% range. Our expectation for the impact of fire-related pricing restrictions in Los Angeles is unchanged. Similar to most of California, Los Angeles will return to being a higher-growth market when the restrictions end. Speaking more broadly, the trusted Public Storage brand and our geographically diversified portfolio are highly recognizable to consumers and businesses and a source of pride for our team. We have developed an optimized mix of digital and in-person service options that have modernized the customer experience while driving returns and revenues. With our broader operating model transformation, we have created a win-win-win for customers, team members, and our profitability through higher engagement, satisfaction, and efficiency. Our ancillary businesses, including tenant insurance, third-party management, and lending, are expanding.","https://www.marketbeat.com/earnings/reports/2025-7-30-public-storage-stock/"
"PSA","2025-07-30","Joe Russell","CEO at Public Storage","Our acquisition and development teams are executing on accretive portfolio growth with a 538-property non-same-store pool expected to generate approximately $470 million of high-growth NOI in 2025, with an additional $110 million coming through stabilization in 2026 and beyond. Public Storage is uniquely positioned to grow internationally, as demonstrated by our success with Shurgard in Europe and the potential new partnership in Australia and New Zealand. As announced, we are currently in due diligence and therefore in a quiet period. We are excited about the potential to partner with Abacus Storage King and Kye Corporation, their major shareholder, to enhance the company's customer experience, operating performance, and portfolio growth. Now I'll turn the call over to Tom.","https://www.marketbeat.com/earnings/reports/2025-7-30-public-storage-stock/"
"PSA","2025-07-30","Tom Boyle","CFO at Public Storage","Thanks, Joe. We are leaning into our powerful compounding returns platform comprised of three components. Joe spoke to our industry-leading operations. I'll now speak to capital allocation and capital access. On capital allocation, we have accelerated portfolio growth with more than $1.1 billion in acquisitions and development already announced for this year. The acquisition opportunities are relatively broad-based across size, geography, and seller type, which we are built to execute based on our relationships, data-driven underwriting, and capital structure. We will continue expanding the high-growth non-same-store pool through additional acquisitions and our $648 million development pipeline to be delivered over the next two years. We are utilizing our advantageous access and cost of capital to fund that growth. During the quarter, with ongoing support from bond investors, we issued new unsecured bonds for refinancing and to fund that growth at the tightest spread of REITs for the year.","https://www.marketbeat.com/earnings/reports/2025-7-30-public-storage-stock/"
"PSA","2025-07-30","Tom Boyle","CFO at Public Storage","With leverage at 4.1 times net debt and preferred to EBITDA and approximately $600 million in retained cash flow this year, our capital position is very strong and poised to fund growth into the future. Now shifting to financial performance for the quarter and our increased outlook. In the same-store pool, revenue growth came in as expected, increasing for a second consecutive quarter following three quarters of declines last year. Rental rates were up 0.6%, which more than offsets slightly lower occupancy. That occupancy gap versus last year continues to improve, down 40 basis points versus down 80 basis points to start the year. Expense control was strong, leading to a better NOI outcome than we anticipated. Strong non-same-store and ancillary NOI growth drove core FFO higher by 1.2% in the quarter. FFO growth accelerated 240 basis points from the level achieved during the second quarter of last year.","https://www.marketbeat.com/earnings/reports/2025-7-30-public-storage-stock/"
"PSA","2025-07-30","Tom Boyle","CFO at Public Storage","In light of that performance, we lifted the low end of our 2025 core FFO guidance range from $16.35 to $16.45 per share, driven by an improved outlook for self-storage and ancillary NOI. All in, Public Storage is very well positioned to drive performance from our compounding returns platform comprised of leading operations, strong capital allocation, and advantageous capital access. With that, Rob, let's open it up for questions.","https://www.marketbeat.com/earnings/reports/2025-7-30-public-storage-stock/"
"PSA","2025-07-30",NA,NA,"Thank you. At this time, we'll be conducting a question-and-answer session. If you'd like to ask a question, please press star one on your telephone keypad. A confirmation tone will indicate your line is in the question queue. You may press star two if you'd like to remove your question from the queue. As a reminder, we ask that you please limit to two questions and re-queue if necessary. For participants using speaker equipment, it may be necessary to pick up your handset before pressing the star keys. One moment, please, while we poll for questions. Our first question comes from Michael Griffin with Evercore. Please proceed with your question.","https://www.marketbeat.com/earnings/reports/2025-7-30-public-storage-stock/"
"PSA","2025-07-30","Michael Griffin","Director at Evercore","Great. Thanks. Maybe just first starting off on fundamentals, wondering if you can give us an update on July operating trends, maybe both from a rate and occupancy perspective. As it relates to the guide, it seems like you're trending above the revised midpoint, at least year to date. Should we kind of interpret the back half of the year as a deceleration in fundamentals? Has that changed your stance at all about potential recovery for storage fundamentals?","https://www.marketbeat.com/earnings/reports/2025-7-30-public-storage-stock/"
"PSA","2025-07-30","Tom Boyle","CFO at Public Storage","Sure. Thanks, Michael. Starting with the first part of your question, just in terms of how operating fundamentals have been through the peak season here into July, I'd say, generally speaking, seasonal trajectory very similar to last year, right in line with expectation. The stabilization that we've been speaking to continues to play forth. Joe spoke to some of the strength in many of our markets, the West Coast markets, San Francisco, Seattle, San Diego, Portland, all putting up good kind of 2% to 4% same-store revenue growth. We continue to have certain markets like Atlanta and Dallas, some of the Florida markets still working through the normalization process. We've been encouraged by some of the trends that we've been seeing through the leasing season in those markets.","https://www.marketbeat.com/earnings/reports/2025-7-30-public-storage-stock/"
