"symbol","report_date","speaker","title","msg","source_url"
"REG","2024-08-01",NA,NA,"Greetings, and welcome to Regency Centers Corporation's second quarter 2024 earnings conference call. At this time, all participants are on a listen-only mode. A question and answer session will follow the formal presentation. If anyone should require operator assistance during the conference, please press star zero on your telephone keypad. As a reminder, this conference is being recorded. I would now like to turn the conference over to your host, Christy McElroy. Thank you. You may begin.","https://www.marketbeat.com/earnings/reports/2024-8-1-regency-centers-co-stock/"
"REG","2024-08-01","Christy McElroy","Head of Investor Relations at Regency Centers Corporation","Good morning, and welcome to Regency Centers' second quarter 2024 earnings conference call. Joining me today are Lisa Palmer, President and Chief Executive Officer, Mike Mas, Chief Financial Officer, Alan Roth, East Region President and Chief Operating Officer, and Nick Wibbenmeyer, West Region President and Chief Investment Officer. As a reminder, today's discussion may contain forward-looking statements about the company's views of future business and financial performance, including forward earnings guidance and future market conditions. These are based on management's current beliefs and expectations and are subject to various risks and uncertainties. It's possible that actual results may differ materially from those suggested by these forward-looking statements we may make.","https://www.marketbeat.com/earnings/reports/2024-8-1-regency-centers-co-stock/"
"REG","2024-08-01","Christy McElroy","Head of Investor Relations at Regency Centers Corporation","Factors and risks that could cause actual results to differ materially from these statements may be included in our presentation today and are described in more detail in our filings with the SEC, specifically in our most recent Form 10-K and 10-Q filings. In our discussion today, we will also reference certain non-GAAP financial measures. Comparable GAAP financial measures are included in this quarter's earnings materials, which are posted on our investor relations website. Please note that we have also posted a presentation on our website with additional information, including disclosures related to forward earnings guidance. Our caution on forward-looking statements also applies to these presentation materials. Finally, given the number of participants we have on the call today, we kindly and respectfully ask that you limit your questions to one, and then rejoin the queue if you have any additional follow-up questions.","https://www.marketbeat.com/earnings/reports/2024-8-1-regency-centers-co-stock/"
"REG","2024-08-01","Christy McElroy","Head of Investor Relations at Regency Centers Corporation","This will allow everyone who'd like to ask a question an opportunity to do so. Lisa?","https://www.marketbeat.com/earnings/reports/2024-8-1-regency-centers-co-stock/"
"REG","2024-08-01","Lisa Palmer","President and CEO at Regency Centers Corporation","Thank you, Christy, and good morning, everyone. We had another great quarter, driven by continued strong operating fundamentals and active and prudent capital allocation. While we recognize that the macro environment remains uncertain, with mixed economic signals and inflationary pressures on consumers, our business continues to show strength. Consumers may be shopping with a new level of price awareness, but that can be a benefit to our high-quality centers and our high-quality tenants, given a focus on necessity, service, convenience, and value. Sales and traffic trends remain steady, and leasing demand continues to be strong. We are taking advantage of this solid and consistent tenant demand to drive rent growth and leasing activity with strong new and existing tenants. This is evidenced in our record shop lease rate and our sizable SNO pipeline. This will provide momentum and lease commencement into 2025.","https://www.marketbeat.com/earnings/reports/2024-8-1-regency-centers-co-stock/"
"REG","2024-08-01","Lisa Palmer","President and CEO at Regency Centers Corporation","Our continued leasing success is a testament to the strength of Regency's high-quality, grocery-anchored centers and strong suburban trade areas with limited new and available supply. Our value creation pipeline, also supported by the strong tenant demand and focus on high-quality assets in demographically compelling areas, is one of the most exciting aspects of our business today and one that truly sets Regency apart. Our team continues to make meaningful progress sourcing new projects with another $250 million of expected starts in 2024, as well as executing on and delivering our existing pipeline. The strength of Regency's platform and ability to self-fund our program with free cash flow has enabled our long track record of success. We also continue to acquire shopping centers, when able to, that are accretive to our quality, growth, and earnings.","https://www.marketbeat.com/earnings/reports/2024-8-1-regency-centers-co-stock/"
"REG","2024-08-01","Lisa Palmer","President and CEO at Regency Centers Corporation","As previously disclosed, we acquired Compo Shopping Center in Westport, Connecticut, in May, and we are currently under contract to purchase an additional asset in the Northeast. I can't stress enough the importance of our balance sheet strength and liquidity position in providing us with an ability to be opportunistic across the spectrum of capital allocation strategies, which is why, in addition to sourcing select high quality, high growth acquisition opportunities at upper single-digit IRRs, we were also able to take advantage of a meaningful disconnect in public and private market values this past quarter with the execution of a $200 million share repurchase. As many of you are well aware, along with our standards of quality and balance sheet strength, corporate responsibility is also a foundational strategy for Regency.","https://www.marketbeat.com/earnings/reports/2024-8-1-regency-centers-co-stock/"
"REG","2024-08-01","Lisa Palmer","President and CEO at Regency Centers Corporation","This past quarter, we published our annual corporate responsibility report, highlighting our 2023 achievements, as well as our future goals and strategy. Our best-in-class program is evident in the progress we've made toward our goals, but also in the recognition we receive from third parties, including ranking sixth overall and first in the real estate industry for Newsweek's Most Responsible Companies list, and our continued recognition by GRESB for sustainability and disclosure leadership in our sector. I appreciate the efforts of all Regency team members in helping us achieve these important accomplishments. In closing, now that we are more than halfway through the year, with the strength in leasing activity and results that we've seen thus far, we are raising our eye level and our full year guidance range.","https://www.marketbeat.com/earnings/reports/2024-8-1-regency-centers-co-stock/"
"REG","2024-08-01","Lisa Palmer","President and CEO at Regency Centers Corporation","Mike will go into more detail, but we've been able to move the needle on several fronts, including same-property NOI, development activity, and accretive capital allocation. I want to reiterate the importance of Regency's strategic competitive advantages, which position us favorably to continue to outperform over the long term, as we have historically. These advantages include our high-quality assets in strong trade areas with favorable demographics.... the strength of our operating platform and experience and talent of our people, a value creation pipeline that gives us more levers to drive growth, and the balance sheet strength that allows us to opportunistically allocate capital, which we did very strategically in the second quarter. Alan?","https://www.marketbeat.com/earnings/reports/2024-8-1-regency-centers-co-stock/"
"REG","2024-08-01","Alan Roth","East Region President and COO at Regency Centers Corporation","Thank you, Lisa, and good morning, everyone. We continue to have great leasing and operating success, reflecting the positive tenant demand environment for high-quality shopping centers in strong trade areas. We're seeing this robust demand from both new and existing tenants in a wide array of categories, including grocers, restaurants, health and wellness, off-price, and personal services. Our success is evident in the continued depth and momentum in our leasing pipeline, as well as in our ability to drive rents and occupancy higher and improve our expense recovery rate, all while still maintaining judicious capital spend. During the quarter, we held our same property percent leased at 95.8%, while increasing our same property percent commenced by 10 basis points to 92.3%. Our SNO pipeline sits at 350 basis points and represents approximately $49 million of incremental base rent.","https://www.marketbeat.com/earnings/reports/2024-8-1-regency-centers-co-stock/"
"REG","2024-08-01","Alan Roth","East Region President and COO at Regency Centers Corporation","As we've discussed previously, the timing and commencement of this pipeline will largely impact the fourth quarter of 2024 and into 2025. Notably, beyond our signed pipeline of exciting retailers, we have another 1.3 million sq ft of leases in negotiation. In the quarter, we were also able to drive strong blended cash rent spreads of more than 9%. GAAP and net effective rent spreads were in the upper teens, demonstrating our ability not only to drive strong mark-to-market increases, but also continued success, negotiated embedded contractual rent steps in nearly 100% of our leases. Our average rent steps on all leasing activity in the quarter was 2%, but importantly, we achieved a record high of 2.7% rent steps in new lease transactions.","https://www.marketbeat.com/earnings/reports/2024-8-1-regency-centers-co-stock/"
"REG","2024-08-01","Alan Roth","East Region President and COO at Regency Centers Corporation","Collectively, these efforts drove same-property NOI growth of 3.3% in the second quarter, excluding term fees and COVID period reserve collections, while our base rent growth contribution remained very healthy at 2.9%. Before turning the call over to Nick, I wanted to address the recent Kroger and Albertsons announcement regarding the 579 stores they intend to divest to C&S Wholesale Grocers, if a merger occurs. Regency has 11 owned locations on the C&S list, out of the 104 combined Kroger and Albertsons locations in our portfolio. Further detail will be provided as we learn more, but regardless of the outcome of the proposed merger, we are very comfortable with the underlying lease obligations, and we continue to feel great about the quality of our real estate for all of these locations.","https://www.marketbeat.com/earnings/reports/2024-8-1-regency-centers-co-stock/"
"REG","2024-08-01","Alan Roth","East Region President and COO at Regency Centers Corporation","In closing, as our portfolio occupancy approaches prior peak levels, combined with limited new high-quality supply in the strong trade areas in which we operate, our space is becoming more valuable. The strength in our leasing pipeline remains unabated, driven by continued appetite from retailers to expand. Our leasing and operating teams are firing on all cylinders, leveraging the current environment to deliver what we believe will be long-term, sustainable performance in the years ahead. Nick?","https://www.marketbeat.com/earnings/reports/2024-8-1-regency-centers-co-stock/"
"REG","2024-08-01","Nick Wibbenmeyer","West Region President and Chief Investment Officer at Regency Centers Corporation","Thank you, Alan. Good morning, everyone. We remain very active, growing and executing on our value creation pipeline, starting $40 million of new redevelopment projects in the second quarter at yields exceeding 10%. Additionally, subsequent to quarter end, we started an exciting new ground-up development project in Houston called Jordan Ranch. This 160,000 sq ft H-E-B anchored center will serve as the retail component within a thriving master planned community. We are developing the center in a joint venture with the master planned developer, with Regency's investment being approximately $23 million, bringing our year-to-date starts to more than $140 million. As we've discussed on prior calls, master planned developers continue to appreciate the value and benefits of bringing Regency, an experienced developer, owner, and operator of high-quality retail centers, into their project.","https://www.marketbeat.com/earnings/reports/2024-8-1-regency-centers-co-stock/"
"REG","2024-08-01","Nick Wibbenmeyer","West Region President and Chief Investment Officer at Regency Centers Corporation","At the same time, we and our tenants recognize the benefits of developing our grocery-anchored shopping centers directly adjacent to new, high-quality suburban residential communities. We also continue to make great progress executing on our in-process pipeline, which now totals nearly $580 million. Leasing activity remains robust, with projects currently more than 90% leased at blended returns exceeding 9%. Turning to transactions, we have seen a recent pickup in activity in the private markets, as well as deeper bidding pools. Our teams are actively underwriting opportunities that fit our investment strategy, as well as return, growth, and accretion requirements. In May, we closed on the purchase of Compo Shopping Center in Westport, Connecticut, which is adjacent to our Trader Joe's anchored Compo Acres center.","https://www.marketbeat.com/earnings/reports/2024-8-1-regency-centers-co-stock/"
"REG","2024-08-01","Nick Wibbenmeyer","West Region President and Chief Investment Officer at Regency Centers Corporation","We also currently have a grocery-anchored center in the Northeast region under contract, which you'll note we've included in our updated acquisition guidance, and on which we look forward to sharing more details post-closing. While cap rates have remained relatively low for high-quality centers and compelling opportunities with high single-digit IRRs are a limited opportunity set in today's market, we have been able to source these select assets where we believe we can drive accretion both to earnings as well as to our long-term growth rate. Looking ahead, our teams remain focused on continuing to source high-quality, incremental investment opportunities, including accretive acquisitions like these, as well as further building our value creation pipeline. It's true that it is difficult to find and execute new ground-up development opportunities at accretive returns, but this is where we believe our ability to create value is a meaningful differentiator for Regency.","https://www.marketbeat.com/earnings/reports/2024-8-1-regency-centers-co-stock/"
"REG","2024-08-01","Nick Wibbenmeyer","West Region President and Chief Investment Officer at Regency Centers Corporation","... Our national platform and deep relationships, combined with our low cost of capital, liquidity, and balance sheet strength, enable us to be one of the only developers right now who can fund projects and execute at scale. You've heard us talk about our objective of starting more than $1 billion of development and redevelopment projects over the next five years. With $250 million of projects started in 2023, and another $250 million planned to start in 2024, we are confident in our visibility to achieving this goal. Mike?","https://www.marketbeat.com/earnings/reports/2024-8-1-regency-centers-co-stock/"
"REG","2024-08-01","Mike Mas","CFO at Regency Centers Corporation","Thank you, Nick, and good morning, everyone. For the second quarter, we reported NAREIT FFO of $6 per share, core operating earnings of $2 per share, and same-property NOI growth, excluding term fees and COVID period reserve collections, of 3.3%. During the quarter, recognizing the meaningful disconnect between public and private market pricing, we executed on the opportunity to repurchase approximately 3.3 million shares for $200 million, representing an average price of just over $60 per share. We bought our shares at an implied cap rate of roughly 7%, compared to where we are seeing private market values today for high-quality, grocery-anchored centers in the 5.5%-6.5% range, sometimes even in the low fives.","https://www.marketbeat.com/earnings/reports/2024-8-1-regency-centers-co-stock/"
"REG","2024-08-01","Mike Mas","CFO at Regency Centers Corporation","This opportunistic investment was accretive to earnings and was afforded to us by our strong balance sheet and liquidity position. Importantly, we remain well within our strategic leverage range, with an expectation to end the year around the midpoint of our 5-5.5 times net debt and preferred to EBITDA target. We also maintain flexibility to continue sourcing new, accretive investment opportunities, including redevelopments, new ground-up developments, and acquisitions. Turning to our forward guidance, I'll refer you to the details on slides 5 through 6 in our earnings presentation and highlight some key changes. We increased our core operating earnings midpoint by $0.03 per share, which now implies close to 4% growth this year at the midpoint, excluding the COVID period reserve collections in 2023.","https://www.marketbeat.com/earnings/reports/2024-8-1-regency-centers-co-stock/"
"REG","2024-08-01","Mike Mas","CFO at Regency Centers Corporation","As we show on slide six in the presentation, this increase is driven in effectively equal parts by a 25 basis point increase in our same-property NOI growth range, now at 2.25%-2.75%, an increase in expectations of non-same-property NOI, largely related to accelerated contributions from ground-up developments, and the positive impact of capital allocation activity, net of financing, including the share repurchases I've discussed previously. We also increased our NAREIT FFO range by $0.05 per share at the midpoint, or an incremental $0.02 above our core operating earnings revision, matching the increase in our guidance for non-cash items.","https://www.marketbeat.com/earnings/reports/2024-8-1-regency-centers-co-stock/"
"REG","2024-08-01","Mike Mas","CFO at Regency Centers Corporation","As a reminder for modeling purposes, as you think about the mechanics of our interest expense and interest income for the balance of the year, recall that much of the proceeds from our January bond offering were parked in similar-yielding deposit accounts as we awaited the $250 million June maturity date. Therefore, the impact of refinancing this debt at a higher rate will come through earnings in the second half of this year. Looking beyond year-end, we continue to point to the embedded growth elements we see over the next 18-24 months, coming from our leasing and redevelopment progress. As Alan mentioned, our SNO pipeline sits at 350 basis points, representing approximately $49 million of annual base rent, of which about 65% is scheduled to commence by the end of this year.","https://www.marketbeat.com/earnings/reports/2024-8-1-regency-centers-co-stock/"
"REG","2024-08-01","Mike Mas","CFO at Regency Centers Corporation","As these lease commencements are weighted to the fourth quarter, the resulting NOI growth will largely occur next year. Part of this commencement is within our redevelopment pipeline, where we continue to expect an outsized benefit to same-property NOI growth in 2025 from delivering completed projects, with the positive contribution likely to exceed 100 basis points, which is double what we would have experienced in past normal years. Finally, we continue to be very proud of our sector-leading balance sheet and liquidity position, which provides Regency with a cost of capital advantage and the ability to invest opportunistically. Our debt is nearly all fixed rate. Our weighted average maturity is close to seven years.","https://www.marketbeat.com/earnings/reports/2024-8-1-regency-centers-co-stock/"
"REG","2024-08-01","Mike Mas","CFO at Regency Centers Corporation","We remain within our targeted leverage range of 5-5.5 times net debt and preferred to EBITDA, and we expect to continue generating free cash flow of more than $160 million annually. Supported by our financial position, we often reference the available options within our capital allocation toolbox that we utilize for various reasons and at different times. And in the second quarter, we had a unique opportunity to purposefully employ nearly all of these tools successfully and accretively. From leasing to operations, to investments, to capital allocation and balance sheet management, wrapped together with an increased outlook on current year earnings, Regency's unequaled strategic advantages were on full display. With that, we look forward to taking your questions.","https://www.marketbeat.com/earnings/reports/2024-8-1-regency-centers-co-stock/"
"REG","2024-08-01",NA,NA,"Thank you. At this time, we'll be conducting a question-and-answer session. If you'd like to ask a question, please press star one on your telephone keypad. As a reminder, we ask that you please limit to one question and re-queue if necessary. A confirmation tone will indicate your line is in the question queue. You may press star two if you'd like to remove your question from the queue. For participants using speaker equipment, it may be necessary to pick up your handset before pressing the star keys. One moment, please, while we poll for questions. Our first question comes from Michael Goldsmith with UBS. Please proceed with your question.","https://www.marketbeat.com/earnings/reports/2024-8-1-regency-centers-co-stock/"
"REG","2024-08-01","Michael Goldsmith","Real Estate Investment Trusts Analyst at UBS","Good morning, thanks all for taking my question. From a capital allocation perspective, you kind of did it all in the past quarter. You, you bought, you sold, you repurchased stock, and you started ground-up developments. And can you talk a little bit about your capital allocation priorities and maybe just touch about-","https://www.marketbeat.com/earnings/reports/2024-8-1-regency-centers-co-stock/"
"REG","2024-08-01","Michael Goldsmith","Real Estate Investment Trusts Analyst at UBS","... what the cap rates are, are in the acquisition market for Regency-type centers, versus kind of how you were looking at, you know, the implied cap rate of where your stock was trading and caused you to buy back shares? Thanks.","https://www.marketbeat.com/earnings/reports/2024-8-1-regency-centers-co-stock/"
"REG","2024-08-01","Lisa Palmer","President and CEO at Regency Centers Corporation","Great. Thanks, Michael. Appreciate the question. And I appreciate the recognition that we basically used really every kind of tool, if you will, in the toolbox for capital allocation. Our goal, our objective, is to create value for our shareholders. And we remain very consistent in our belief that the best use of our capital is to our development and redevelopment program. And we absolutely believe that. We are in the position, very intentionally, that we had the capacity, the balance sheet strength, the liquidity to do it all this quarter. And we've been talking about that for quite some time now, how we've been on the offensive, and we were able to execute that.","https://www.marketbeat.com/earnings/reports/2024-8-1-regency-centers-co-stock/"
"REG","2024-08-01","Lisa Palmer","President and CEO at Regency Centers Corporation","As we mentioned in our prepared remarks, so, in my history with the sector, with the company, all the stars need to align to successfully execute on a share repurchase program, and they did for us. So we bought back our shares at an implied cap rate of 7%, and this disconnect between public and private market pricing has been much more permanent than we ever imagined. So we were able to lean into our balance sheet strength, because while we are very active in the acquisition market as well, and I can have Nick just touch on that a little bit as to the cap rates we're seeing. You can see that we've been active as well.","https://www.marketbeat.com/earnings/reports/2024-8-1-regency-centers-co-stock/"
