"symbol","report_date","speaker","title","msg","source_url"
"RSG","2024-07-24",NA,NA,"Good afternoon, and welcome to the Republic Services second quarter 2024 investor conference call. Republic Services is traded on the New York Stock Exchange under the symbol RSG. All participants in today's call will be in a listen-only mode. Should you need assistance, please signal a conference specialist by pressing the Star key, followed by zero. After today's presentation, there will be an opportunity to ask questions. To ask a question, you may press Star, then one on your touchtone phone. To withdraw your question, please press Star, then two. Please note, this event is being recorded. I would now like to turn the conference over to Aaron Evans, Vice President of Investor Relations.","https://www.marketbeat.com/earnings/reports/2024-7-24-republic-services-inc-stock/"
"RSG","2024-07-24","Aaron Evans","VP of Investor Relations at Republic Services","I would like to welcome everyone to Republic Services second quarter 2024 conference call. Jon Vander Ark, our CEO, and Brian DelGhiaccio, our CFO, are on the call today to discuss our performance. I would like to take a moment to remind everyone that some of the information we discuss on today's call contains forward-looking statements, which involve risks and uncertainties and may be materially different from actual results. Our SEC filings discuss factors that could cause actual results to differ materially from expectations. The material that we discuss today is time sensitive. If, in the future, you listen to a rebroadcast or recording of this conference call, you should be sensitive to the date of the original call, which is July 24, 2024. Please note that this call is the property of Republic Services, Inc.","https://www.marketbeat.com/earnings/reports/2024-7-24-republic-services-inc-stock/"
"RSG","2024-07-24","Aaron Evans","VP of Investor Relations at Republic Services","Any redistribution, retransmission, or rebroadcast of this call in any form without the express written consent of Republic Services is strictly prohibited. I want to point out that our SEC filings, our earnings press release, which includes GAAP reconciliation tables and a discussion of business activities, along with the recording of this call, are available on Republic's website at republicservices.com. I want to remind you that Republic's management team routinely participates in investor conferences. When events are scheduled, the dates, times, and presentations are posted on our website. With that, I'd like to turn the call over to Jon.","https://www.marketbeat.com/earnings/reports/2024-7-24-republic-services-inc-stock/"
"RSG","2024-07-24","Jon Vander Ark","CEO at Republic Services","Thanks, Aaron. Good afternoon, everyone, and thank you for joining us. Our strong second quarter results reflect the continued positive momentum in our business and are a direct outcome of executing our strategic priorities. We continue to successfully grow our business while enhancing profitability by providing world-class service and solutions to our customers. During the quarter, we achieved revenue growth of 9%, generated Adjusted EBITDA growth of 13%, expanded Adjusted EBITDA margin by 110 basis points, reported adjusted earnings per share of $1.61, and produced $1.15 billion of adjusted free cash flow on a year-to-date basis. The results we are delivering are made possible by executing our strategy, supported by our differentiated capabilities, Customer Zeal, digital, and sustainability.","https://www.marketbeat.com/earnings/reports/2024-7-24-republic-services-inc-stock/"
"RSG","2024-07-24","Jon Vander Ark","CEO at Republic Services","Regarding Customer Zeal, our commitment to delivering world-class essential services and sustainability offerings continues to drive customer loyalty and organic growth in the business. Our customer retention rate remained high at more than 94%, and Net Promoter Scores continue to improve. Customers value our comprehensive service offerings and the quality of our service delivery. Organic revenue growth during the second quarter was driven by strong pricing across the business. Average yield on total revenue was 5.5%, and average yield on related revenue was 6.6%. This level of pricing exceeded our cost inflation and drove 110 basis points of EBITDA margin expansion. Organic volume on total revenue declined 80 basis points or 1% on related revenue. Volume losses were heavily concentrated to the cyclical portions of our business, including construction activity.","https://www.marketbeat.com/earnings/reports/2024-7-24-republic-services-inc-stock/"
"RSG","2024-07-24","Jon Vander Ark","CEO at Republic Services","Turning to our expanding digital capabilities, the team continues to advance the implementation of digital tools that improves the experience for both customers and our employees. Our RISE Digital Operations platform is driving improved route optimization and safety performance and providing more predictable service delivery to our customers. MPower, our new fleet and equipment management system, was introduced to pilot locations earlier this month. MPower is expected to increase maintenance, technician productivity, and enhance warranty recovery. We expect to continue deploying the new system to all locations under a phased approach through the end of 2025. We estimate MPower will drive $20 million of annual cost savings once fully implemented. We continue to benefit from innovative technology on recycling and waste collection routes. Our platform utilizes cameras to identify overfilled containers and contamination in recycling containers.","https://www.marketbeat.com/earnings/reports/2024-7-24-republic-services-inc-stock/"
"RSG","2024-07-24","Jon Vander Ark","CEO at Republic Services","This technology reduces contamination at our recycling centers and is expected to generate approximately $60 million in incremental annual revenue. To date, we have already achieved $45 million of benefit. Moving on to sustainability. We believe that creating a more sustainable world is both our responsibility and a platform for growth. Earlier today, we released our latest sustainability report, highlighting the progress we are making toward our 2030 goals and the positive impact we're delivering to our customers and the communities we serve. Our 2030 goals are supported by investments we are making in polymer centers, the Blue Polymers joint venture, renewable natural gas projects, and fleet electrification. Development of our polymer centers and Blue Polymers joint venture facilities continues to move forward. Major customers have certified the plastic flake produced at our Las Vegas Polymer Center.","https://www.marketbeat.com/earnings/reports/2024-7-24-republic-services-inc-stock/"
"RSG","2024-07-24","Jon Vander Ark","CEO at Republic Services","Production volumes continue to ramp, and we expect to achieve our run rate output targets in the fourth quarter of this year. Construction is progressing on our Indianapolis Polymer Center, with equipment installation underway. The operation will be co-located with a Blue Polymers production facility. We expect construction on this facility to be complete by the end of the year, with earnings contributions beginning in mid-2025. The renewable natural gas projects we're developing with our partners continue to advance. One project came online during the second quarter. Additionally, we completed construction at our RNG project in Fort Wayne, Indiana. This will be the first project to come online in our joint venture with BP. We expect five additional projects to be completed in the second half of this year. We continue to bring decarbonization solutions to the market, including our industry-leading commitment to fleet electrification.","https://www.marketbeat.com/earnings/reports/2024-7-24-republic-services-inc-stock/"
"RSG","2024-07-24","Jon Vander Ark","CEO at Republic Services","We currently have 16 electric collection vehicles in operation. We expect to have more than 50 EVs in our collection fleet by the end of the year. We now have 9 facilities with commercial-scale EV charging infrastructure, and we expect 5 additional new sites to be completed in 2024. Customers are looking for solutions to support their sustainability goals. We recently announced an agreement with the City of Louisville, Colorado, making it the first municipality to adopt a fully electric residential collection service. As part of our approach to sustainability, we continually strive to be the employer of choice in the markets we serve. Employee turnover continues to improve, with second quarter turnover rate improving 70 basis points compared to the prior year. With respect to capital allocation, year to date, we have invested $68 million in acquisitions.","https://www.marketbeat.com/earnings/reports/2024-7-24-republic-services-inc-stock/"
"RSG","2024-07-24","Jon Vander Ark","CEO at Republic Services","Our acquisition pipeline remains supportive of continued activity in both recycling and waste and Environmental Solutions businesses. We currently have more than $300 million of transactions in advanced stages of diligence and are expected to close by the end of the year. Year to date, we returned $504 million to shareholders through dividends and share repurchases. Additionally, we recently announced an increase to the dividend for the 21st consecutive year. Strong results we produced through the first half of the year support a full year earnings outlook that exceeds our original expectations. We now expect revenue in the range of $16.075 billion-$16.125 billion. Adjusted EBITDA in the range of $4.9 billion-$4.925 billion.","https://www.marketbeat.com/earnings/reports/2024-7-24-republic-services-inc-stock/"
"RSG","2024-07-24","Jon Vander Ark","CEO at Republic Services","Adjusted Earnings Per Share in a range of $6.15-$6.20, and Adjusted Free Cash Flow in a range of $2.15 billion-$2.17 billion. Our updated financial guidance includes the contributions from acquisitions closed through June thirtieth. I will now turn the call over to Brian, who will provide more details on the quarter.","https://www.marketbeat.com/earnings/reports/2024-7-24-republic-services-inc-stock/"
"RSG","2024-07-24","Brian DelGhiaccio","CFO at Republic Services","Thanks, Jon. Core price on total revenue was 6.8%. Core price on related revenue was 8.1%, which included open market pricing of 9.8% and restricted pricing of 5.4%. The components of core price on related revenue included: small container of 11.8%, large container of 7.4%, and residential of 7.8%. Average yield on total revenue was 5.5%, and average yield on related revenue was 6.6%. Second quarter volume on total revenue decreased 80 basis points, and volume on related revenue decreased 1%.","https://www.marketbeat.com/earnings/reports/2024-7-24-republic-services-inc-stock/"
"RSG","2024-07-24","Brian DelGhiaccio","CFO at Republic Services","Our volume results included a decrease in large container of 3.3%, primarily due to continued softness in construction-related activity, and a decrease in residential of 2.5%, primarily due to municipal contracts lost in 2023 that anniversary in the fourth quarter of this year. During the quarter, small container volume decreased 60 basis points, while landfill MSW increased 1.1%. Small container volume loss is a direct result of intentionally shedding broker-related business obtained through M&A transactions. We continue to adhere to our long-standing strategy of prioritizing direct relationships with our customers. Moving on to recycling. Commodity prices were $173 per ton during the second quarter. This compared to $119 per ton in the prior year. Recycling, processing, and commodity sales increased revenue by 50 basis points during the quarter.","https://www.marketbeat.com/earnings/reports/2024-7-24-republic-services-inc-stock/"
"RSG","2024-07-24","Brian DelGhiaccio","CFO at Republic Services","Our updated full-year guidance assumes commodity prices remain at approximately $170 per ton for the remainder of the year. Now, turning to our Environmental Solutions business. Second quarter Environmental Solutions revenue increased $74 million compared to the prior year, fueled by price-led organic growth and contribution from acquisitions. On a same-store basis, Environmental Solutions contributed 40 basis points to total company internal growth during the quarter. Adjusted EBITDA margin in the Environmental Solutions business expanded 130 basis points to 23.8% in the second quarter. Environmental Solutions EBITDA margin was 22.5% in the prior year. Total company Adjusted EBITDA margin expanded 110 basis points to 31.1%.","https://www.marketbeat.com/earnings/reports/2024-7-24-republic-services-inc-stock/"
"RSG","2024-07-24","Brian DelGhiaccio","CFO at Republic Services","Margin performance during the quarter included margin expansion in the underlying business of 130 basis points and a 20 basis point increase from recycled commodity prices.","https://www.marketbeat.com/earnings/reports/2024-7-24-republic-services-inc-stock/"
"RSG","2024-07-24","Brian DelGhiaccio","CFO at Republic Services","...This was partially offset by a 40 basis point decrease from acquisitions. Year-to-date adjusted free cash flow was $1.15 billion. The decrease from the prior year is primarily due to the timing of capital expenditures. Year-to-date net capital expenditures of $767 million represents an increase of $234 million, or 44% compared to the prior year. Capital spending is more ratable in 2024, whereas 2023 was heavily weighted to the second half of the year. Prior year capital expenditures were impacted by vendor-related delays in truck and equipment deliveries. Total debt was $13.1 billion, and total liquidity was $3.5 billion. Our leverage ratio at the end of the quarter was approximately 2.8 times.","https://www.marketbeat.com/earnings/reports/2024-7-24-republic-services-inc-stock/"
"RSG","2024-07-24","Brian DelGhiaccio","CFO at Republic Services","With respect to taxes, our combined tax rate and impact from equity investments in renewable energy resulted in an equivalent tax impact of 25.5% during the quarter. We expect a full year equivalent tax impact of approximately 25.5%. With that, operator, I'd like to open the call to questions.","https://www.marketbeat.com/earnings/reports/2024-7-24-republic-services-inc-stock/"
"RSG","2024-07-24",NA,NA,"We will now begin the question-and-answer session. To ask a question, you may press star, then one on your touchtone phone. In the interest of time, we ask that you limit yourself to one question and one follow-up question today. If your question has been answered and you would like to withdraw your request, you may do so by pressing star then two. If you are using a speakerphone, please pick up your handset before pressing the keys. We will now pause momentarily to assemble our roster. The first question comes from Toni Kaplan of Morgan Stanley. Please go ahead.","https://www.marketbeat.com/earnings/reports/2024-7-24-republic-services-inc-stock/"
"RSG","2024-07-24","Toni Kaplan","Analyst at Morgan Stanley","Thanks so much. I was hoping to ask about sustainability projects in the wake of the Chevron decision. It sounds like you're still going strong with your projects. Just wondering if you think there'll be any impacts affecting the market, for example, supply and demand for RINs and as a result of the decision, and then maybe separately, in light of the U.S. election coming up, would that impact timing of any projects, M&A, or anything else, not related to sustainability, just, just anything in general that, that you'd call out? Thanks.","https://www.marketbeat.com/earnings/reports/2024-7-24-republic-services-inc-stock/"
"RSG","2024-07-24","Jon Vander Ark","CEO at Republic Services","Sure. Yeah, listen, we feel good about the projects and our approach, specifically on landfill gas-to-energy. As you know, we're in a joint venture model, and there's a, these are a series of independent decisions around projects. And so to the extent that, you know, the RINs market changes, and that takes some of those projects kind of below our return threshold, those are projects that we won't do on that front. But keep in mind also that we had a very conservative set of assumptions on $2 RINs, that we built out the initial set of assumptions and what we talked to you about financial impact. So we still feel, you know, really confident, which ties into the second point. There'll be puts and takes, right?","https://www.marketbeat.com/earnings/reports/2024-7-24-republic-services-inc-stock/"
"RSG","2024-07-24","Jon Vander Ark","CEO at Republic Services","Whether there's an administration change, and there'll certainly be a new, new president, whether that's a party change or not. I think in general, the conventional wisdom is the Republican administration is gonna be more business-friendly and Democratic one may be less business-friendly. I think if you look at the last three years, our business has performed really well in the context of a Democratic administration. So, I think in any environment, we feel confident there'll be some puts or takes on the margin for sure, but we'll, our team will navigate that.","https://www.marketbeat.com/earnings/reports/2024-7-24-republic-services-inc-stock/"
"RSG","2024-07-24","Toni Kaplan","Analyst at Morgan Stanley","Terrific. And then as a follow-up, just wanna ask about volume. Bit of a light quarter. Again, I think you called out the large container and then also some of the resi contracts from 2023 on the muni side. Are you still thinking that this year will be flat to modestly positive on volume? And just anything to flesh out the sort of slightly lower top-line guide. Thanks.","https://www.marketbeat.com/earnings/reports/2024-7-24-republic-services-inc-stock/"
"RSG","2024-07-24","Jon Vander Ark","CEO at Republic Services","Sure. Yeah, I think from a volume standpoint, we'll be slightly below our original expectations, and that's a function of, listen, the construction market's still pretty challenged. With high interest rates, commercial construction activity and residential construction activity have been, you know, very muted, and you see that in our volume numbers in temp large container. The great news is that, you know, pricing is holding up, and there, I think the industry is behaving very responsibly in that context. And I also am relatively optimistic that that is, you know, somewhat of a short-term phenomenon. We need more housing stock in the United States, and I think you're starting to see rays of hope here on interest rate cuts, which I think will be the catalyst for that to happen, whether that happens three months from now or six or nine months from now.","https://www.marketbeat.com/earnings/reports/2024-7-24-republic-services-inc-stock/"
"RSG","2024-07-24","Jon Vander Ark","CEO at Republic Services","I do think that's, again, more transitory versus permanent on that front. And then there's also been, again, we talked about theâ€”you talked about the residential contracts. We've accelerated some of the broker exits that we acquired in our M&A deals. So let's talk about we acquire somebody we never value the work on brokers because we know it's gonna migrate out of the system. We've accelerated that, so that drove a little bit of outsized volume decline in the quarter. And then for the overall revenue guide, yeah, part of that is the volume outlook, which I just gave you. Part of that is the sustainability projects, landfill gas energy. We're gonna hit our number. The timing of the starts of those is gonna be a little bit later in the year.","https://www.marketbeat.com/earnings/reports/2024-7-24-republic-services-inc-stock/"
"RSG","2024-07-24","Jon Vander Ark","CEO at Republic Services","I think ourselves and the industry have faced a little bit of delays in terms of permitting, getting the equipment in place, et cetera, so that's not a big surpRISE. And then our Polymer Center, well, it's, we're teams executing phenomenally in terms of the product we're producing. We got to a little bit of a later start than we expected through all kinds of things ancillary to the system, like permitting for the facility and other things. So that caused a little delay in the timing on that front. Again, that's transitory and we'll be at full run rate, as I discussed in my prepared remarks.","https://www.marketbeat.com/earnings/reports/2024-7-24-republic-services-inc-stock/"
"RSG","2024-07-24","Toni Kaplan","Analyst at Morgan Stanley","Super. Thank you.","https://www.marketbeat.com/earnings/reports/2024-7-24-republic-services-inc-stock/"
