"symbol","report_date","speaker","title","msg","source_url"
"SBAC","2025-11-03",NA,NA,"Welcome, and thank you all for joining today's call, SBA Third Quarter 2025 results. Please note that today's call is being recorded, and all attendees are currently in a listen-only mode. There will be opportunity for Q&A at the end of today's call, and we will make sure to give you instructions on how to enter the question queue at that time. With that, I'd now like to formally begin today's call and introduce Mark DeRussy, Vice President of Finance.","https://www.marketbeat.com/earnings/reports/2025-11-3-sba-communications-co-stock/"
"SBAC","2025-11-03","Mark DeRussy","Vice President of Finance at SBA","Good evening, and thank you for joining us for SBA's third quarter 2025 earnings conference call. Here with me today are Brendan Cavanagh, our President and Chief Executive Officer, as well as Marc Montagner, our Chief Financial Officer. Some of the information we will discuss on this call is forward-looking, including but not limited to any guidance for 2025 and beyond. In today's press release and in our SEC filings, we detail material risks that may cause our future results to differ from our expectations. Our statements are as of today, November 3, and we have no obligation to update any forward-looking statement we may make. In addition, our comments will include non-GAAP financial measures and other key operating metrics. The reconciliation of and other information regarding these items can be found in our Supplemental Financial Data Package, which is located on the landing page of our Investor Relations website.","https://www.marketbeat.com/earnings/reports/2025-11-3-sba-communications-co-stock/"
"SBAC","2025-11-03","Mark DeRussy","Vice President of Finance at SBA","With that, I'll now turn it over to Brendan.","https://www.marketbeat.com/earnings/reports/2025-11-3-sba-communications-co-stock/"
"SBAC","2025-11-03","Brendan Cavanagh","President and CEO at SBA","Thank you, Marc. Good afternoon. We are pleased to share another quarter of positive financial and operational results, including industry-leading AFFO per share. We continue to see strong leasing demand in both the U.S. and international markets, and as a result, we are modestly increasing our full-year outlook for both new leasing activity and escalations. The bulk of the activity continues to come from new colocations as carriers both densify and expand their network footprints. The backlog remains healthy as well, and it is steady compared to last quarter. Our services business also continues to perform extremely well, increasing revenue by 81% in Q3 compared to the prior year period, primarily from construction-related projects focused on network expansion. As a result of this activity, we are increasing the full-year site development revenue outlook by $20 million.","https://www.marketbeat.com/earnings/reports/2025-11-3-sba-communications-co-stock/"
"SBAC","2025-11-03","Brendan Cavanagh","President and CEO at SBA","In addition to our strong operating performance, we have also had a number of other significant accomplishments since our last earnings report. We have recently completed the final closing of all remaining Central American assets under our purchase agreement with Millicom. The closings were slightly delayed from our prior assumptions due primarily to timing of regulatory approvals, but we are nonetheless very pleased with how this transaction went, and I'd like to thank our teams that worked tirelessly to get it done. We are excited about the future opportunities for SBA across the region. Also, subsequent to quarter-end, we closed on the previously announced sale of our Canadian tower business earlier than anticipated.","https://www.marketbeat.com/earnings/reports/2025-11-3-sba-communications-co-stock/"
"SBAC","2025-11-03","Brendan Cavanagh","President and CEO at SBA","While the adjusted timing of both the Millicom acquisition and the Canada sale negatively impact our current site leasing revenue outlook, we are extremely pleased to continue to show progress related to our ongoing portfolio review that was originally announced back in February of last year. We continue to focus on being a leading tower company in each market where we operate and aligning ourselves more directly with the leading wireless operators in those markets. Pro forma for the Millicom and Canada closings, SBA owns a total of over 46,000 tower sites worldwide, representing an increase of 40% since 2020. Another recent significant accomplishment since our second quarter earnings report is today's announcement that Verizon and SBA have entered into a new long-term agreement that supports Verizon's continued network modernization plans.","https://www.marketbeat.com/earnings/reports/2025-11-3-sba-communications-co-stock/"
"SBAC","2025-11-03","Brendan Cavanagh","President and CEO at SBA","This new agreement builds on the long-standing partnership between our two companies and highlights the critical nature of our tower portfolio and our ongoing efforts to help our carrier customers achieve their network goals. As part of this agreement, Verizon has committed to a certain level of growth through new deployments across SBA's best-in-class tower portfolio. The agreement enhances operational efficiencies for both companies, and the length of the agreement provides both companies with stability and more certainty for the future. I'm very excited about this enhanced partnership, and I want to thank all who worked to get this done. If that was not enough, since our last earnings report, we took advantage of what we believe to be market dislocations, directing capital toward share repurchases. We spent $153 million at an average cost of $196.99 per share to repurchase and retire 776,000 shares.","https://www.marketbeat.com/earnings/reports/2025-11-3-sba-communications-co-stock/"
"SBAC","2025-11-03","Brendan Cavanagh","President and CEO at SBA","So far in 2025, in total, we have spent $325 million to repurchase 1.6 million shares. As of today, we have $1.3 billion remaining on our authorization, and we continue to believe share repurchases play a significant role in creating shareholder value over time. We have been able to grow our portfolio and repurchase shares while still maintaining leverage below the low end of our previously stated range. As stated in today's press release, however, we are officially changing our financial policy and reducing our target leverage range to six to seven turns of net debt to adjusted EBITDA. Marc will discuss these changes in more detail in a moment. As you can see, there are a lot of positive things going on here at SBA, and the macro environment for mobile broadband growth is supportive of a bright future.","https://www.marketbeat.com/earnings/reports/2025-11-3-sba-communications-co-stock/"
"SBAC","2025-11-03","Brendan Cavanagh","President and CEO at SBA","Today, we are seeing a greater proliferation of 5G use cases, including fixed wireless access, which is nearing 15 million subscribers today, with aspirations of over 20 million by 2028. Paired with increasing mobile data traffic, that is a heavy burden on today's networks. This will require ongoing network investment via overlays and densifications, including cell splitting, reforming of existing spectrum bands, and newly acquired spectrum to meet those network needs. Looking farther out, the recently passed federal spending and tax bill earmarks 800 MHz of spectrum to help boost network capacity and support the next generation of wireless technologies, including 6G. The initial wave of upper C-band spectrum will be auctioned off by July 2027. While there is still work to be done to identify which additional bands will ultimately be auctioned, upper mid-band frequencies such as 4.4-4.9 GHz and 7.25-7.4 GHz are currently being studied.","https://www.marketbeat.com/earnings/reports/2025-11-3-sba-communications-co-stock/"
"SBAC","2025-11-03","Brendan Cavanagh","President and CEO at SBA","These higher bands will not propagate as far and will require denser networks and new equipment at our cell towers. There is a lot to look forward to. Before I turn the call over to Marc, I would just like to take a moment to acknowledge Mark DeRussy. After 16 years with SBA and many more in the industry, Mark has decided to retire at the end of the year. This will be his last earnings call. Mark has done a great job representing the company to many of you over the years, and I appreciate his many contributions. Louis Friend, who is an SBA veteran and well-known to many of you, will be taking over Mark's IR responsibilities after year-end. With that, I will now turn the call over to Marc Montagner.","https://www.marketbeat.com/earnings/reports/2025-11-3-sba-communications-co-stock/"
"SBAC","2025-11-03","Marc Montagner","CFO at SBA","Thank you, Brendan. The slight delay in closing of Millicom, compared to our prior assumption around timing, impacted the third quarter by $4 million and $3 million site leasing revenue and tower cash flow, respectively. Adjusting for the timing of Millicom, our third-quarter results were in line with our expectations. Third-quarter domestic organic leasing revenue growth over the third quarter of last year was 5.3% on the gross basis and 1.6% on the net basis, including 3.7% of churn. $11 million of the third-quarter churn was related to Sprint consolidation, which we anticipate to be $51 million for the full year 2025. Our previously provided estimate of aggregate Sprint-related churn over the next several years remains unchanged. Non-Sprint-related domestic annual churn continues to be between 1% and 1.5% of our domestic site leasing revenue. Turning to DISH, we currently have approximately $55 million of annualized revenue.","https://www.marketbeat.com/earnings/reports/2025-11-3-sba-communications-co-stock/"
"SBAC","2025-11-03","Marc Montagner","CFO at SBA","Based on lease agreements, we expect approximately $25 million of churn in each of 2027 and 2028, with some small amount before and after these years. During the third quarter, 80% of consolidated cash site leasing revenue and 85% of adjusted EBITDA was denominated in U.S. dollars. International organic leasing revenue growth for the third quarter, which is calculated on a constant currency basis, was 8.5% on the gross basis. Total international churn remained elevated in the third quarter, mainly due to ongoing carrier consolidation. During the third quarter of 2025, we acquired 447 sites for total cash consideration of approximately $143 million. Mostly related to the acquisition of sites from Millicom. Subsequent to quarter-end, we closed on the remaining approximately 2,000 sites related to the Millicom transaction.","https://www.marketbeat.com/earnings/reports/2025-11-3-sba-communications-co-stock/"
"SBAC","2025-11-03","Marc Montagner","CFO at SBA","Switching to the balance sheet, we have ample liquidity from both available cash and our $2 billion revolver, which, as of today, has a balance of $385 million outstanding, drawn mostly to fund the purchase of towers from Millicom and for share buyback. At the end of the third quarter, our weighted average interest rate was 3.8% across our total outstanding debt, and our weighted average maturity was approximately three years. Including the impact of our current interest rate hedge, the interest rate on approximately 96% of our current outstanding debt is fixed. As you may have seen our press release, I'm pleased to share with you our new updated financial policy and what it means for SBA going forward.","https://www.marketbeat.com/earnings/reports/2025-11-3-sba-communications-co-stock/"
"SBAC","2025-11-03","Marc Montagner","CFO at SBA","Given the rising rate environment over the past few years and the lack of actionable M&A opportunities at attractive valuation, we have been operating below our stated target leverage of 7-7.5 times net debt to last quarter annualized EBITDA. In the past few years, we intentionally opted to allocate excess capital to pay down debt and delever our balance sheet to minimize interest expenses and grow AFFO per share. Having operated with leverage in the six for several years now, we have concluded that six to seven times is the right leverage range for SBA for several reasons. First. It will have no meaningful impact to our future capital allocation strategy. Given our predictable strong cash flow, remaining leverage capacity, and revolving credit facility, we'll still have plenty of flexibility to continue our share buyback program and to pursue attractive M&A opportunities.","https://www.marketbeat.com/earnings/reports/2025-11-3-sba-communications-co-stock/"
"SBAC","2025-11-03","Marc Montagner","CFO at SBA","While operating in a target leverage range for the past three years, we have successfully pursued both options, including $625 million of share repurchase and $1.2 billion of M&A, all while staying below seven turns of leverage. In short, our capital allocation strategy will remain virtually unchanged, with a long-term goal of deploying capital to create high-quality AFFO per share. Second, our revised financial policy will create a path for SBA to move towards issuing investment-grade debt. As you may have seen this evening, Fitch just issued their corporate rating on SBA at BBB minus at both the corporate level and the issuer level. This is now a second investment-grade rating. Pairing Fitch's new investment-grade rating with S&P, SBA has a clear path toward raising debt capital in this new deeper credit market.","https://www.marketbeat.com/earnings/reports/2025-11-3-sba-communications-co-stock/"
