"symbol","report_date","speaker","title","msg","source_url"
"SNA","2026-04-23",NA,NA,"Good day, and welcome to the Snap-on Incorporated 2026 first quarter results conference call. All participants will be in a listen-only mode. Should you need assistance, please signal a conference specialist by pressing the star key followed by zero. After today's presentation, there will be an opportunity to ask questions. To ask a question, you may press star, then one on a touch-tone phone. To withdraw your question, please press star then two. Please note, this event is being recorded. I would now like to turn the conference over to Sara Verbsky, Vice President, Investor Relations. Please go ahead.","https://www.marketbeat.com/earnings/reports/2026-4-23-snap-on-incorporated-stock/"
"SNA","2026-04-23","Sara Verbsky","VP of Investor Relations at Snap-on Incorporated","Thank you, Betsy, and good morning, everyone. We appreciate you joining us today as we review Snap-on's first quarter results, which are detailed in our press release issued earlier this morning. We have on the call Nick Pinchuk, Snap-on's Chief Executive Officer, and Aldo Pagliari, Snap-on's Chief Financial Officer. Nick will kick off our call this morning with his perspective on our performance. Aldo will then provide a more detailed review of our financial results. After Nick provides some closing thoughts, we'll take your questions. As usual, we've provided slides to supplement our discussion. These slides can be accessed under the Downloads tab in the webcast viewer, as well as on our website, snapon.com, under the Investors section. The slides will be archived on our website along with a transcript of today's call.","https://www.marketbeat.com/earnings/reports/2026-4-23-snap-on-incorporated-stock/"
"SNA","2026-04-23","Sara Verbsky","VP of Investor Relations at Snap-on Incorporated","Any statements made during this call relative to management's expectations, estimates or beliefs or that otherwise discuss management's or the company's outlook, plans, or projections are forward-looking statements that may differ materially from those made in such statements. Additional information and the factors that could cause our results to differ materially from those in our forward-looking statements are contained in our SEC filings. Finally, this presentation includes non-GAAP measures of financial performance, which are not meant to be considered in isolation or as a substitute for their GAAP counterparts. Additional information regarding these measures is included in our earnings release issued today, which can be found on our website. With that said, I'd now like to turn the call over to Nick Pinchuk. Nick?","https://www.marketbeat.com/earnings/reports/2026-4-23-snap-on-incorporated-stock/"
"SNA","2026-04-23","Nick Pinchuk","CEO at Snap-on Incorporated","Thanks, Sara. Good morning, everybody. Wow, this was some quarter. There are a number of different storylines threaded through our last few months, but I believe if you step back and you look at the whole, you can see several important facts. First is that this has been a period of considerable uncertainty but the resilience of our markets and the strength of our operations have restarted a momentum, registering strong sales. It's also quite clear that our team continued to invest in expanding and preserving our strengths and our line of new products and our continuing brand position and new technologies for more powerfully wielding our proprietary databases. We believe, and many people believe, that the combination of technology and proprietary databases are among the great powers in business today.","https://www.marketbeat.com/earnings/reports/2026-4-23-snap-on-incorporated-stock/"
"SNA","2026-04-23","Nick Pinchuk","CEO at Snap-on Incorporated","Through the blizzard, with uncertainty and tariffs, opposing currencies, rising material costs, all the elements of storm, our gross margins have resisted the impacts, and overall profits have remained at a strong level. Today, I'll review with you the highlights of our quarter. I'll give you my perspective on our results, on the markets, and on our progress. After that, as usual, Aldo will give you a more detailed review of the financials. For us, when we look at the quarter and what it means, we proceed with confidence. Confidence in our markets, in our products, in our brands, and of course, confidence in the knowledge and energy of our experienced and capable team. As such, we're encouraged by our first quarter results. We believe they reaffirm that this confidence is well-placed, even in the most difficult of times.","https://www.marketbeat.com/earnings/reports/2026-4-23-snap-on-incorporated-stock/"
"SNA","2026-04-23","Nick Pinchuk","CEO at Snap-on Incorporated","You can see it in the numbers. Overall sales in the quarter were $1.207 billion, up 5.8% from last year as reported, including a 3.4% organic increase, a new first quarter record, and our second highest quarterly sales ever. OpCo operating income or OI for the quarter of $250.8 million was up compared to the $243.1 million recorded in 2025.","https://www.marketbeat.com/earnings/reports/2026-4-23-snap-on-incorporated-stock/"
"SNA","2026-04-23","Nick Pinchuk","CEO at Snap-on Incorporated","The OpCo operating margin was 20.8%, 50 basis points below last year, but still strong despite the 40 basis points of unfavorable foreign currency and the impacts of higher investment. For financial services revenues, earnings of $68 million in the quarter were lower by $2.3 million or 3.3%, and that all leads to a consolidated margin, including both OpCo and financial services at 24.4%. That compared to 25.3% last year. Our overall EPS was $4.69. This was up $0.18 from 2025, and the results show broad gains, overcoming the uncertainty and demonstrating our resilience. Now let's turn to the market. We continue to believe that the vehicle repair environment remains robust, extremely favorable, requiring continued stream of new tools and information systems for confronting the rising complexities of the modern vehicle.","https://www.marketbeat.com/earnings/reports/2026-4-23-snap-on-incorporated-stock/"
"SNA","2026-04-23","Nick Pinchuk","CEO at Snap-on Incorporated","It's clearly an unmistakable trend. The repair shops, dealerships and independents, they see it every day. They'll tell you repairs are tougher and more complicated, and we love it. The ongoing strength of the market is confirmed by its key metrics. Car park continues to age. The average age now at 12.8 years, and naturally that requires more extensive maintenance and overhauls. That's seen clearly if you look at the household spending on vehicle repairs, it's up high single digits in a quarter. It's more than vehicles. It's also seen in the world of the shops and the techs. The hours worked are up, and the tech wages are rising. Garages are buzzing, and the need for more skills continues to increase. We believe all these data points say that vehicle repair is stronger than ever.","https://www.marketbeat.com/earnings/reports/2026-4-23-snap-on-incorporated-stock/"
"SNA","2026-04-23","Nick Pinchuk","CEO at Snap-on Incorporated","The prospects, they just keep getting better. With that said, the uncertainty is still high across the American grassroots. Tech confidence remains tepid, reticence toward long-term purchases. They are bullish on shorter payback solutions that make work easier, faster, safer, and helps them beat the clock and move on to their next vehicle. Now, Snap-on speaks with its franchisees and techs all the time. My recent conversations with individuals in our van network, coast to coast, say that green shoots are popping up. Even with our tool storage rooms, they were up this quarter. I'll say that again. Tool storage was up. As I spoke to them, I had extended conversations. The franchisees were excited about where they're positioned, and they're enthusiastic about their future. I said, they see green shoots.","https://www.marketbeat.com/earnings/reports/2026-4-23-snap-on-incorporated-stock/"
"SNA","2026-04-23","Nick Pinchuk","CEO at Snap-on Incorporated","It still seems that with each day, having said that, there's more bad news for breakfast. I mean, the hits just keep on coming, risking another rise in uncertainty. Having said that, though, we like where we're standing, rooted in the resilient vehicle repair market, continuously connected with the techs, observing the work, launching great new products, and having the capacity to manufacture them right here in America. In this environment, we're seeing what we think might be an early thaw. Now let's shift to the other half of the automotive segment. This is where Repair Systems & Information, or RS&I, resides for service and shop owners and managers. The activity in this sector remains consistent, although it does at times reflect variations based on new product timing or OEM campaigns. Now shop owners and manufacturers see the trends.","https://www.marketbeat.com/earnings/reports/2026-4-23-snap-on-incorporated-stock/"
