"symbol","report_date","speaker","title","msg","source_url"
"SOLV","2025-05-08",NA,NA,"Good afternoon. My name is Amy, and I will be your conference call operator for today. I would like to welcome everyone to the Solventum First Quarter 2025 earnings call. As a reminder, this call is being recorded, and all lines have been placed on mute to prevent any background noise. After the speaker's remarks, there will be a question-and-answer session. If you would like to ask a question during this time, please press star followed by the number one on your telephone keypad.","https://www.marketbeat.com/earnings/reports/2025-5-8--stock-14/"
"SOLV","2025-05-08",NA,NA,"If you would like to withdraw your question, again, press star and the number one. Thank you. I would now like to turn the program over to your host for today's conference, Amy Wakeham, Senior Vice President of Investor Relations and Finance Communications. Please proceed.","https://www.marketbeat.com/earnings/reports/2025-5-8--stock-14/"
"SOLV","2025-05-08","Amy Wakeham","Senior VP of Investor Relations at Solventum","Thank you. Good afternoon and welcome to Solventum's First Quarter Fiscal Year 2025 earnings call. Joining me on today's call are Chief Executive Officer Bryan Hanson and Chief Financial Officer Wayde McMillan. A replay of today's earnings call will be available later today on the Investor Relations section of our corporate website. The earnings press release and presentation are both available there now.","https://www.marketbeat.com/earnings/reports/2025-5-8--stock-14/"
"SOLV","2025-05-08","Amy Wakeham","Senior VP of Investor Relations at Solventum","During today's call, our discussion and any comments we make will be made on a non-GAAP basis unless we have specifically called them out as GAAP. The non-GAAP information we discuss is not intended to be considered in isolation or as a substitute for the reported GAAP financial information. You're encouraged to review the supporting schedules in today's earnings press release to reconcile the non-GAAP measures with the GAAP reported numbers.","https://www.marketbeat.com/earnings/reports/2025-5-8--stock-14/"
"SOLV","2025-05-08","Amy Wakeham","Senior VP of Investor Relations at Solventum","Additionally, our discussion on today's call will include forward-looking statements, including but not limited to expectations about our future financial and operating performance. We make these statements based on reasonable assumptions. However, our actual results could differ. Please review our SEC filings for a complete discussion of the risk factors that could cause our actual results to differ materially from any forward-looking statements made today.","https://www.marketbeat.com/earnings/reports/2025-5-8--stock-14/"
"SOLV","2025-05-08","Amy Wakeham","Senior VP of Investor Relations at Solventum","Following our prepared remarks, we'll hold a Q&A session. For the Q&A portion of today's call, please limit yourself to one question and one related follow-up. If you have additional questions, you're more than welcome to rejoin the queue. And with that, I'd like to now hand the call over to Bryan.","https://www.marketbeat.com/earnings/reports/2025-5-8--stock-14/"
"SOLV","2025-05-08","Bryan Hanson","CEO and Director at Solventum","All right. Thank you, Amy, and to all of our shareholders and everyone interested in our company story, just thanks for joining us today for our first quarter results. And I'm just going to get straight to the point. We are off to a strong start for 2025. And as a result of this positive momentum, favorable effects, and decisive steps we've taken to mitigate the impact of known tariffs, we are raising our organic revenue guidance and confirming EPS for the year. All right.","https://www.marketbeat.com/earnings/reports/2025-5-8--stock-14/"
"SOLV","2025-05-08","Bryan Hanson","CEO and Director at Solventum","Before we jump into the strong start for the year, let me just quickly address tariffs specifically, and Wayde will provide more details in a minute. But to be clear, tariffs will be a headwind for us this year. And without them, we would be raising our EPS guidance commensurate with the underlying momentum we're seeing in the business.","https://www.marketbeat.com/earnings/reports/2025-5-8--stock-14/"
"SOLV","2025-05-08","Bryan Hanson","CEO and Director at Solventum","Now, that said, we've begun executing short-term mitigation measures based on what we know today, and are actively developing, analyzing, and of course, implementing additional strategies, and as a result, as I just mentioned, we expect to be able to manage the current year headwind within our existing full-year EPS guidance, and obviously, given just the fluid nature of the situation, we will continue to closely monitor the evolving policy changes and assess what they mean for our organization.","https://www.marketbeat.com/earnings/reports/2025-5-8--stock-14/"
"SOLV","2025-05-08","Bryan Hanson","CEO and Director at Solventum","Relative to our continued momentum, progress here is further evidenced by our first quarter results, marking another positive quarter of volume growth. This makes it now four consecutive quarters of positive growth and sequential improvement as we delivered 4.3% organic sales growth and adjusted earnings per share of $1.34, again, continuing to perform ahead of expectations. I think this is particularly impressive, though, given the company's historical performance.","https://www.marketbeat.com/earnings/reports/2025-5-8--stock-14/"
"SOLV","2025-05-08","Bryan Hanson","CEO and Director at Solventum","As I shared at our recent investor day, this business experienced six years of a declining volume trend and seven quarters. That's nearly two years of negative volume growth before our spin. Now, stopping that decline and reversing the trend are direct results of the foundational enhancements we've made across three primary areas. The first being our mission and culture. The second, our talent and capabilities.","https://www.marketbeat.com/earnings/reports/2025-5-8--stock-14/"
"SOLV","2025-05-08","Bryan Hanson","CEO and Director at Solventum","And third, our efforts to stabilize a business across commercial productivity, our innovation process, and our strategic focus and alignment. And as I've referenced before, I am very impressed with the team's ability to execute all of these changes as quickly as they have, particularly given the distractions of the separation process.","https://www.marketbeat.com/earnings/reports/2025-5-8--stock-14/"
