"symbol","report_date","speaker","title","msg","source_url"
"SRE","2026-02-26",NA,NA,"Okay, welcome to Sempra's fourth quarter earnings call. Today's conference is being recorded. At this time, I'd like to turn the conference over to Louise Bick. Please go ahead.","https://www.marketbeat.com/earnings/reports/2026-2-26-sempra-energy-stock/"
"SRE","2026-02-26","Louise Bick","VP of Investor Relations at Sempra","Good morning and welcome to Sempra's fourth quarter 2025 earnings call. A live webcast of this teleconference and slide presentation are available on our website under the Events and Presentations section. We have several members of our management team with us today, including Jeff Martin, Chairman and Chief Executive Officer, Karen Sedgwick, Executive Vice President and Chief Financial Officer, Justin Bird, Executive Vice President of Sempra and Chief Executive Officer of Sempra Infrastructure, Caroline Winn, Executive Vice President of Sempra, Allen Nye, Chief Executive Officer of Oncor, and other members of our senior management team. Before starting, I'd like to remind everyone that we'll be discussing forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995. Actual results may differ materially from those projected in any forward-looking statement we make today.","https://www.marketbeat.com/earnings/reports/2026-2-26-sempra-energy-stock/"
"SRE","2026-02-26","Louise Bick","VP of Investor Relations at Sempra","The factors that could cause our actual results to differ materially are discussed in the company's most recent 10-K filed with the SEC. Earnings per common share amounts in the presentation are shown on a diluted basis, and we'll be discussing certain non-GAAP financial measures. Please refer to the presentation slides that accompany this call for reconciliation to GAAP measures. We also encourage you to review our 10-K for the year ended December 31st, 2025. I'd also like to mention that forward-looking statements contained in this presentation speak only as of today, February 26th, 2026, and it's important to note that the company does not assume any obligation to update or revise any of these forward-looking statements in the future. With that, please turn to slide five and let me hand the call over to Jeff.","https://www.marketbeat.com/earnings/reports/2026-2-26-sempra-energy-stock/"
"SRE","2026-02-26","Jeff Martin","Chairman and CEO at Sempra","Thank you all for joining us today. Our success in 2025 reflects how well we performed against our priorities. In that regard, we introduced five value creation initiatives last year designed to simplify Sempra's business model, mitigate risk, and improve financial strength. The first value creation initiative was to prioritize utility investments with improved returns. During the year, we deployed $13 billion in CapEx, Sempra California increased CPUC-based operating margin, and Oncor improved capital efficiency through the implementation of the Unified Tracker Mechanism. Together, these factors contributed to Sempra achieving record adjusted EPS of $4.69 at the high end of our 2025 adjusted EPS guidance range while establishing a strong foundation for continued growth through 2030. We continue to see compelling investment opportunities in Oncor's service territory, with historic levels of transmission expansion continuing to advance.","https://www.marketbeat.com/earnings/reports/2026-2-26-sempra-energy-stock/"
"SRE","2026-02-26","Jeff Martin","Chairman and CEO at Sempra","In order to support this buildout, we're excited to introduce a new record capital plan of $65 billion for 2026-2030, representing a 17% increase to last year's plan. Karen will speak to this later in the call, including details about $9 billion of upside opportunities that we're tracking within the plan period. The second initiative was to highlight value in our LNG franchise. In September, we announced the sale of a 45% stake in SI Partners for $10 billion, implying over a $22 billion equity value. We're pleased to recognize the significant value created on behalf of our shareholders at an attractive multiple, and we continue to expect to close that transaction in the second or third quarter of 2026, subject to closing conditions.","https://www.marketbeat.com/earnings/reports/2026-2-26-sempra-energy-stock/"
"SRE","2026-02-26","Jeff Martin","Chairman and CEO at Sempra","Sempra Infrastructure also made progress during the year on several LNG projects by declaring FID on Port Arthur LNG phase II and reaching mechanical completion at ECA LNG phase I. Port Arthur LNG phase II construction continues to proceed on schedule, and we're excited by the prospect of all these projects driving the growth profile of that business well into the next decade. Our third priority was to simplify the business and reduce portfolio risk, including the sale of non-core assets in Mexico. In December, SI Partners entered into an agreement to sell Ecogas for the equivalent of approximately $500 million in U.S. dollars. We believe the implied 12.7 EBITDA multiple provides further support for the overall value of Sempra Infrastructure's portfolio, and we look forward to completing that sale in the second or third quarter of 2026, subject to closing conditions.","https://www.marketbeat.com/earnings/reports/2026-2-26-sempra-energy-stock/"
"SRE","2026-02-26","Jeff Martin","Chairman and CEO at Sempra","Our fourth initiative was to execute Fit for 2025, which focused on reducing our cost structure to meet our future business needs and included modernizing our workforce to improve organizational efficiency. We have more work to do in this area. It will continue to be a focus in 2026. Lastly, we wanted to elevate community safety and operational excellence across the enterprise, which culminated in California Legislature passing SB-254, which strengthened the long-term stability of the state's wildfire fund and called for further reductions to wildfire risk exposures through the Natural Catastrophe Resiliency Study to be published in April 2026. SDG&E need to be recognized as best in the West in electric customer reliability for the 20th consecutive year. Now, please turn to the next slide, where Karen will walk through our financial results.","https://www.marketbeat.com/earnings/reports/2026-2-26-sempra-energy-stock/"
"SRE","2026-02-26","Karen Sedgwick","EVP and CFO at Sempra","Thank you, Jeff. Earlier today, Sempra reported fourth quarter 2025 GAAP earnings of $352 million or $0.54 per share. This compares to fourth quarter 2024 GAAP earnings of $665 million or $1.04 per share. The full year 2025 GAAP earnings were $1,796 million or $2.75 per share. This compares to 2024 GAAP earnings of $2,817 million or $4.42 per share. On an adjusted basis, fourth quarter 2025 earnings were $841 million or $1.28 per share. This compares to our fourth quarter 2024 earnings of $960 million or $1.50 per share. Full year 2025 adjusted earnings were $3,066 million or $4.69 per share. This compares favorably to our previous full year 2024 adjusted earnings of $2,969 million or $4.65 per share. We're pleased with our execution as adjusted EPS for the year came in at the high end of our previously announced 2025 adjusted EPS guidance range.","https://www.marketbeat.com/earnings/reports/2026-2-26-sempra-energy-stock/"
"SRE","2026-02-26","Karen Sedgwick","EVP and CFO at Sempra","Please turn to the next slide. Variances in the full year 2025 adjusted earnings compared to the same period last year can be summarized as follows. At Sempra Texas, we had $80 million of higher equity earnings from the UTM, higher invested capital and customer growth, partially offset by higher interest expense, depreciation, and O&M. Turning to Sempra California, we had $213 million primarily from lower income tax benefits and higher net interest expense. As a reminder, fourth quarter 2024 and full year 2024 results were impacted by the recognition of two years' worth of income tax benefits from last year's GRC final decision. Sempra California also had $148 million of higher CPUC-based operating margin, net of operating expenses, regulatory disallowances, and a lower cost of capital.","https://www.marketbeat.com/earnings/reports/2026-2-26-sempra-energy-stock/"
"SRE","2026-02-26","Karen Sedgwick","EVP and CFO at Sempra","At Sempra Infrastructure, we had $123 million primarily from higher asset and supply optimization, higher transportation results, and lower depreciation on assets held for sale, which were partially offset by lower income tax benefits. At Sempra Parent, the $41 million of higher losses is from higher net interest expense, partially offset by higher income tax benefit, higher investment gains, and other. Please turn to slide nine. To start, I'd like to extend our appreciation to our current shareholders for supporting our mission, and as we look to build upon the momentum established in 2025, Jeff has laid out a series of priorities for 2026, and I'm pleased to note that we're already hit several important milestones. Oncor has successfully reached a comprehensive settlement in its base rate review. The settlement contemplates improvements to the authorized equity layer, ROE, and cost of debt.","https://www.marketbeat.com/earnings/reports/2026-2-26-sempra-energy-stock/"
"SRE","2026-02-26","Karen Sedgwick","EVP and CFO at Sempra","If approved by the PUCT, this outcome will better align Oncor's cost structure to the current environment and is also expected to improve Oncor's financial strength and credit metrics during this period of exceptionally high growth. A final order is expected in the first half of this year, and importantly, Oncor expects to earn very close to its authorized ROE over the 2026 to 2030 time frame. At Sempra Infrastructure, Port Arthur LNG phase I remains on schedule for achieving COD at or near the end of 2027. Finally, in California, I'd like to note we continue to be engaged in efforts to improve public policy to support SB-254 follow-on legislative efforts. We look forward to updating you on these priorities on our next earnings call. With that, please turn to the next slide.","https://www.marketbeat.com/earnings/reports/2026-2-26-sempra-energy-stock/"
"SRE","2026-02-26","Karen Sedgwick","EVP and CFO at Sempra","We're excited to announce our 2026 to 2030 capital plan totaling $65 billion, an increase of $9 billion over last year's plan. In support of our mission, 95% of Sempra's overall capital program is targeted for utility investments. The capital plan is primarily driven by strong growth at Sempra Texas, most notably from the acceleration of the Permian Basin Reliability Plan. As the remaining 765kV Strategic Transmission Expansion Plan continues to advance, we've taken a conservative approach in developing Oncor's base plan by only adding major transmission projects with existing regulatory approvals and those that are part of the Permian Plan. As a reminder, Oncor is expected to build more than half of the total of ERCOT's estimated $32 billion-$35 billion in required transmission investment. Consequently, nearly 70% of Oncor's planned CapEx is dedicated toward transmission.","https://www.marketbeat.com/earnings/reports/2026-2-26-sempra-energy-stock/"
"SRE","2026-02-26","Karen Sedgwick","EVP and CFO at Sempra","Within the plan period, we're tracking significant incremental capital opportunities at Oncor, currently estimated at $10 billion or $8 billion based on Sempra's proportionate ownership share. This upside opportunity primarily includes the non-Permian Plan portion of the 765kV STEP, additional transmission upgrades currently pending ERCOT approval, and potential System Resiliency Plan updates. Oncor accounted for certain LC&I interconnections in the incremental CapEx category. These projects may not have currently met all development milestones to be included in their base capital plan, there's a high likelihood these projects come into the plan in the future. Keep in mind, too, that Oncor's service territory has some of the highest concentration of AI-related and data center growth, which represents additional potential investment opportunities. Please turn to the next slide.","https://www.marketbeat.com/earnings/reports/2026-2-26-sempra-energy-stock/"
"SRE","2026-02-26","Karen Sedgwick","EVP and CFO at Sempra","Driven by our expanded capital program, we project overall rate base to increase from $57 billion in 2025 to $97 billion in 2030, an impressive 11% five-year CAGR. Our disciplined capital allocation strategy is designed to produce attractive returns with improving cash flows and distributions to help efficiently fund the exceptional growth we're seeing in Texas. Sempra Texas rate base is projected to grow at a remarkable 18% CAGR over the plan period, while California rate base is projected to grow more modestly as we continue to prudently invest in improvements to safety and reliability. In combination, these investments will help grow our overall regulated footprint as we expect Sempra Texas to surpass Sempra California as the majority of our rate base by 2030. Please turn to the next slide.","https://www.marketbeat.com/earnings/reports/2026-2-26-sempra-energy-stock/"
"SRE","2026-02-26","Karen Sedgwick","EVP and CFO at Sempra","With over $50 billion provided by operational cash flows and expected transaction proceeds, we've eliminated the need for new common equity issuances to fund the base capital plan. Due largely to our accomplishments in 2025, operating cash flows have increased by about $5 billion from last year's plan and are expected to be the predominant funding source for our capital campaign. As always, we'll continue to seek the most efficient and lowest-cost financing available to fund the capital plan and other future growth, and we're well-positioned in that regard. For example, we anticipate an additional $2.2 billion of cash generated from the Sempra Infrastructure Partners transaction beyond the 2030 planning period. We'll also retain a 25% residual stake in Sempra Infrastructure Partners with an implied equity value of approximately $5.5 billion, which provides further flexibility.","https://www.marketbeat.com/earnings/reports/2026-2-26-sempra-energy-stock/"
"SRE","2026-02-26","Karen Sedgwick","EVP and CFO at Sempra","Across the plan period, we remain dedicated to providing investors with an attractive total return complemented by a growing dividend while retaining funding flexibility over the longer term to support our strong expected earnings growth. Please turn to the next slide. We're committed to maintaining a strong balance sheet and investment-grade credit ratings. The pending SI Partners transaction remains a key driver in helping us meet our goals in this area. After closing, we expect regulated earnings to comprise approximately 95% of our business in 2027 and beyond as we transition to a more pure-play utility holding company. We also have the opportunity to deconsolidate SI Partners debt and have held constructive discussions with the rating agencies about the potential to lower downgrade thresholds once we complete our capital recycling program.","https://www.marketbeat.com/earnings/reports/2026-2-26-sempra-energy-stock/"
"SRE","2026-02-26","Karen Sedgwick","EVP and CFO at Sempra","After we close the transaction, we're targeting at least 50-150 basis points of cushion on average above our FFO-to-debt thresholds over the plan period. Please turn to the next slide. Simplifying our portfolio and concentrating our focus on utility investments continues to strengthen our visibility into future financial performance. The growth we see through 2030 and beyond really stems from the work and accomplishments from this past year. As Jeff highlighted earlier, those efforts are driving meaningful improvements across the businesses, including improving financial returns, growing earnings and cash flows. Recycling capital to fund our record capital plan while also strengthening the balance sheet. In combination, these improvements have positioned us to launch a record capital plan without the need for common equity issuances and give us the increasing confidence to be able to provide a robust 2030 earnings per share outlook.","https://www.marketbeat.com/earnings/reports/2026-2-26-sempra-energy-stock/"
"SRE","2026-02-26","Karen Sedgwick","EVP and CFO at Sempra","Today, Sempra is affirming our full year 2026 adjusted EPS guidance range of $4.80-$5.30, introducing our full year 2027 EPS guidance range of $5.10-$5.70, and issuing a 2030 EPS outlook of $6.70-$7.50. With today's update, we believe we have one of the highest projected growth rates in the sector, and our 2030 outlook shows that our strong long-term growth expectations continue through the end of the decade. For additional context on our guidance, please refer to slide 17. Now I'm going to hand it back to Jeff to wrap up on our next slide.","https://www.marketbeat.com/earnings/reports/2026-2-26-sempra-energy-stock/"
"SRE","2026-02-26","Jeff Martin","Chairman and CEO at Sempra","Thank you, Karen. Allow me to conclude our prepared remarks today by outlining Sempra's value proposition and key investment highlights. First, we're launching a record $65 billion capital plan that projects 11% annualized growth in rate base across the plan period with visibility into another $9 billion of potential upside opportunities. Second, we're aiming to provide investors improved returns at lower risk in markets with constructive regulation, targeting long-term 95% regulated utilities earnings. Third, our capital allocation is increasingly directed toward Texas, where we expect to derive nearly 60% of our rate base by the end of the decade. Fourth, we've been successful in creating a clear path to fortressing our balance sheet and improving our credit metrics. With efficient sourcing of capital, we now have no need for common equity issuances to fund the base capital plan.","https://www.marketbeat.com/earnings/reports/2026-2-26-sempra-energy-stock/"
"SRE","2026-02-26","Jeff Martin","Chairman and CEO at Sempra","Finally, we're committed to returning capital to shareholders and are targeting annual dividend growth of 2%-4% over the plan period. To summarize, we believe Sempra offers investors an attractive combination of current yield, durable earnings growth, and long-term capital appreciation. We're pleased with our 2025 performance and view it as a foundational year that sets us up for long-term success. Now, I'd like to open the line for your questions.","https://www.marketbeat.com/earnings/reports/2026-2-26-sempra-energy-stock/"
"SRE","2026-02-26",NA,NA,"Thank you. This concludes the prepared remarks. We will now open the line to take your questions. Please limit your questions to one question and one follow-up. If you would like to ask a question, please signal by pressing star 11 on your telephone keypad. Please make sure your mute function is turned off. We will pause for just a moment to allow everyone to signal for questions. Our first question will come from Shar Pourreza from Wells Fargo. Your line is open.","https://www.marketbeat.com/earnings/reports/2026-2-26-sempra-energy-stock/"
"SRE","2026-02-26","Shar Pourreza","Managing Director and Head of North American Power, Infrastructure  and Utilities at Wells Fargo","Hey, guys. Good morning.","https://www.marketbeat.com/earnings/reports/2026-2-26-sempra-energy-stock/"
"SRE","2026-02-26","Jeff Martin","Chairman and CEO at Sempra","Hey, good morning, Shar.","https://www.marketbeat.com/earnings/reports/2026-2-26-sempra-energy-stock/"
"SRE","2026-02-26","Shar Pourreza","Managing Director and Head of North American Power, Infrastructure  and Utilities at Wells Fargo","Morning, Jeff. Maybe just starting off on the 2023 guide that you introduced today, the range obviously seems to indicate about that 7%-9% CAGR you reiterated today from the 2026 base. Can you just help maybe elaborate what moves you into the top half of that 2030 range? Does that variability include any of the $9 billion upside opportunities that you continue to highlight, or could that be accretive to, let's just say, the $7.50 you've got out there? Thanks.","https://www.marketbeat.com/earnings/reports/2026-2-26-sempra-energy-stock/"
"SRE","2026-02-26","Jeff Martin","Chairman and CEO at Sempra","Sure. I appreciate the question, Shar. You recall that we set an expectation for our future growth last year of having a long-term growth rate of about 7%-9%. I think a couple of the key takeaways from the call today is that with all the accomplishments I noted in my prepared remarks back in 2025, we're now seeing the quality and the certainty of our future earnings and cash flows improve. In large measure, that's what's given us increased confidence to be more transparent about our expectations for 2030. That's why we were confident today to go ahead and issue the outlook that you're referencing. The larger items that can impact the long-term outlook are regulatory matters.","https://www.marketbeat.com/earnings/reports/2026-2-26-sempra-energy-stock/"
"SRE","2026-02-26","Jeff Martin","Chairman and CEO at Sempra","I think we've talked about this before. Our 2028 GRC in California, this is something we've been working on in terms of regulatory strategy over the last six months. Caroline and her team should be in a great position to make that filing in May of this year. Second, we'll be working hard to do exactly what you just referenced, which is in the roll forward capital plan, make sure that we're really addressing that $9 billion of future upside. I think there's been some calls or questions earlier today about whether that $9 billion is in the plan or outside the plan. Be very clear, it's certainly outside the plan.","https://www.marketbeat.com/earnings/reports/2026-2-26-sempra-energy-stock/"
"SRE","2026-02-26","Jeff Martin","Chairman and CEO at Sempra","One thing that I think that would be helpful guidance for you, Shar, is recall at this time last year, we had about a $12 billion upside opportunity that we noted, and we were able to move roughly $9 billion or $10 billion of that into the current plan. I think we've got a track record of identifying stuff that's doable. We feel very good about that $9 billion, that's the type of capital that can move us well into the upper end of that 2030 guidance. In terms of key takeaways from my perspective about the outlook, quality and certainty of future earnings and cash flows have improved. How are we going to evaluate our expected growth? It's trending in line or above our long-term guidance of 7%-9%.","https://www.marketbeat.com/earnings/reports/2026-2-26-sempra-energy-stock/"
