"symbol","report_date","speaker","title","msg","source_url"
"STE","2024-08-06",NA,NA,"Good morning, and welcome to the STERIS First Quarter of 2025 Earnings Call. All participants will be in a listen-only mode for the duration of the call, and should you need any assistance, please signal a conference specialist by pressing the star key followed by zero. After today's presentation, there will be an opportunity to ask questions. To ask a question, you may press star, then one on your telephone keypad, and to withdraw a question, you may press star, then two. Also, please be aware that today's call is being recorded. I would like to now turn the call over to Julie Winter of Investor Relations. Please go ahead.","https://www.marketbeat.com/earnings/reports/2024-8-6-steris-plc-stock/"
"STE","2024-08-06","Julie Winter","Head of Investor Relations at STERIS","Thank you, Joe, and good morning, everyone. As usual, speaking on today's call will be Mike Tokich, our Senior Vice President and Chief Financial Officer, and Dan Carestio, our President and Chief Executive Officer. I do have a few words of caution before we open for comments. This webcast contains sensitive information that is accurate only as of today. Any redistribution, retransmission, or rebroadcast of this call without the express written consent of STERIS is strictly prohibited. Some of the statements made during this review are or may be considered forward-looking statements. Many important factors could cause actual results to differ materially from those in the forward-looking statements, including, without limitation, those risk factors described in STERIS's SEC filing.","https://www.marketbeat.com/earnings/reports/2024-8-6-steris-plc-stock/"
"STE","2024-08-06","Julie Winter","Head of Investor Relations at STERIS","The company does not undertake to update or revise any forward-looking statements as a result of new information or future events or developments. STERIS's SEC filings are available through the company and on our website.In addition, on today's call, non-GAAP financial measures, including adjusted earnings per diluted share, adjusted operating income, constant currency, organic revenue growth, and free cash flow, will be used. Additional information regarding these measures, including definitions, is available in our press release, as well as reconciliations between GAAP and non-GAAP financial measures. Non-GAAP financial measures are presented during this call with the intent of providing greater transparency to supplemental financial information used by management and the board of directors in their financial analysis and operational decision-making. With those cautions, I will hand the call over to Mike.","https://www.marketbeat.com/earnings/reports/2024-8-6-steris-plc-stock/"
"STE","2024-08-06","Mike Tokich","SVP and CFO at STERIS","Thank you, Julie, and good morning, everyone. It is once again my pleasure to be with you this morning to review the highlights of our first quarter performance. Our discussions today will be focused on results from continuing operations. As you saw in the press release, we started the year strong, with total revenue growth of 8% in the quarter, constant currency organic revenue growth of 6%, driven by volume, as well as 270 basis points of price. Gross margin for the quarter increased 30 basis points compared with the prior year to 45.1%. Positive price and favorable material costs were somewhat offset by inflation. EBIT margin decreased 20 basis points to 22.3% of revenue compared with the first quarter last year. Increased compensation and higher insurance costs are impacting EBIT margins.","https://www.marketbeat.com/earnings/reports/2024-8-6-steris-plc-stock/"
"STE","2024-08-06","Mike Tokich","SVP and CFO at STERIS","The adjusted effective tax rate in the quarter was 21.3%, lower than the prior year, due to favorable discrete item adjustments. Net income in the quarter was $201.7 million, and adjusted earnings per share was $2.03, a 10% increase over last year. Capital expenditures for the first quarter of fiscal 2025 totaled $108 million, and depreciation and amortization totaled $112.7 million. Capital expenditures were higher year-over-year, mainly due to timing. With the closing of the dental divestiture on May 31st, we were able to pay down debt, reducing total debt to $2.3 billion. Total debt to EBITDA at quarter end was approximately 1.6x gross leverage.","https://www.marketbeat.com/earnings/reports/2024-8-6-steris-plc-stock/"
"STE","2024-08-06","Mike Tokich","SVP and CFO at STERIS","Free cash flow for the first quarter was $195.7 million. Free cash flow was impacted by the timing of capital spending. Last week, we announced our 19th consecutive year of dividend increases. Our quarterly dividend increased $0.05 per share from $0.52 to $0.57. With that, I will turn the call over to Dan.","https://www.marketbeat.com/earnings/reports/2024-8-6-steris-plc-stock/"
"STE","2024-08-06","Dan Carestio","President and CEO at STERIS","Thanks, Mike, and good morning, everyone. Thank you for joining us to hear more about our first quarter performance and our outlook for the rest of the fiscal year. As you heard from Mike, we had a strong start to our new fiscal year. Looking at our segments, Healthcare constant currency organic revenue grew 5% in the quarter. Our outperformance in consumables and services continues to be driven by procedure volumes in the U.S., as well as price and market share gains. It is our expectation that recurring revenue will continue to grow above procedure volumes and relatively independent of our capital equipment shipments. Over half of our consumables and service revenue is not related to our capital equipment. As anticipated, our Healthcare capital equipment revenue declined in the quarter against challenging comparisons.","https://www.marketbeat.com/earnings/reports/2024-8-6-steris-plc-stock/"
"STE","2024-08-06","Dan Carestio","President and CEO at STERIS","However, we still anticipate low single-digit revenue growth for Healthcare capital equipment for the full fiscal year. We remain confident in our expectations of a strong year for our Healthcare segment. Turning to AST, constant currency organic revenue grew 8%, the best performance we have seen in over a year. Supporting that growth, Europe MedTech grew nicely in the quarter, and Bioprocessing was about flat year-over-year globally. We are pleased to see these two factors playing out as planned and continue to anticipate a return to growth in Bioprocessing revenue in the second half of our fiscal year. Constant currency organic revenue growth for Life Sciences was 4% in the quarter, driven by strong growth in consumables.","https://www.marketbeat.com/earnings/reports/2024-8-6-steris-plc-stock/"
"STE","2024-08-06","Dan Carestio","President and CEO at STERIS","As expected, the divestiture of the CECS business on April 1st impacted our as-reported revenue. For the full year, we are reiterating our outlook, including 6%-7% constant currency organic revenue growth and adjusted earnings per diluted share of $9.05-$9.25. Our expectations for free cash flow also unchanged at about $700 million, with approximately $360 million in capital spending. All in, we are pleased with the start of the fiscal year. Trends continue to head in a positive direction for all of our segments, and we are confident in our ability to deliver on our full-year guidance. That concludes the prepared remarks for the call. Julie, would you please give the instructions so that we can begin the Q&A?","https://www.marketbeat.com/earnings/reports/2024-8-6-steris-plc-stock/"
"STE","2024-08-06","Julie Winter","Head of Investor Relations at STERIS","Thank you, Mike and Dan, for your comments. Joe, can you please give the instructions for Q&A, and we can get started?","https://www.marketbeat.com/earnings/reports/2024-8-6-steris-plc-stock/"
