"symbol","report_date","speaker","title","msg","source_url"
"STLD","2024-10-16",NA,NA,"Good day, and welcome to the Steel Dynamics Third Quarter 2024 Earnings Conference Call. At this time, all participants are in a listen-only mode. After management's prepared remarks, we will conduct a question-and-answer session, and instructions will follow at that time. Please be advised that this call is being recorded today, October seventeenth, 2024, and your participation implies consent to a recording of this call. If you do not agree to these terms, please disconnect. At this time, I would like to turn the conference over to David Lipschitz, Director, Investor Relations. Please go ahead.","https://www.marketbeat.com/earnings/reports/2024-10-16-steel-dynamics-inc-stock/"
"STLD","2024-10-16","David Lipschitz","Director of Investor Relations at Steel Dynamics","Thank you, Kelly. Good morning, and welcome to Steel Dynamics Third Quarter 2024 Earnings Conference Call. As a reminder, today's call is being recorded and will be available on our website for replay later today. Leading today's call are Mark Millett, Chairman and Chief Executive Officer of Steel Dynamics, Theresa Wagler, Executive Vice President and Chief Financial Officer, and Barry Schneider, President and Chief Operating Officer. The other members of our senior leadership team are joining us on the call individually. Some of today's statements, which speak only as of this date, may be forward-looking and predictive, typically preceded by believe, expect, anticipate, or words of similar meaning. They are intended to be protected by the Private Securities Litigation Reform Act of 1995, should actual results turn out differently.","https://www.marketbeat.com/earnings/reports/2024-10-16-steel-dynamics-inc-stock/"
"STLD","2024-10-16","David Lipschitz","Director of Investor Relations at Steel Dynamics","Such statements involve risks and uncertainties related to integrating or starting up new assets, the aluminum industry, the use of estimates and assumptions in connection with our anticipated project returns, and our steel, metals, recycling, and fabrication businesses, as well as to general business and economic conditions. Examples of these are described in the related press release, as well as in our annually filed SEC Form 10-K under the headings Forward-Looking Statements and Risk Factors, found on the Internet at www.sec.gov, and, if applicable, in any later SEC Form 10-Q. You'll also find any reference non-GAAP financial measures reconciled to the most directly compared GAAP measures in the press release issued yesterday, entitled Steel Dynamics Reports Third Quarter 2024 Results. And now I'm pleased to turn the call over to Mark.","https://www.marketbeat.com/earnings/reports/2024-10-16-steel-dynamics-inc-stock/"
"STLD","2024-10-16","Mark Millett","Executive Chairman at Steel Dynamics","Thank you, David. Good morning, everyone. Thank you for joining our third quarter 2024 earnings call. As you have read, and seemingly many have concluded, our teams executed well through the quarter, achieving another solid financial and operational performance. Most gratifying, to us, to me in particular, was achieving another great quarter for safety. The ramp-ups of our four new value-add flat-roll steel coating lines have been an unqualified success, with the expectation of full earnings benefit in 2025. These lines represent an additional 1.1 million tons of higher-margin product diversification for us. In Texas, despite a couple of challenges early in the quarter, the Sinton team gained considerable momentum, running at a 72% utilization rate of scheduled runtime in September.","https://www.marketbeat.com/earnings/reports/2024-10-16-steel-dynamics-inc-stock/"
"STLD","2024-10-16","Mark Millett","Executive Chairman at Steel Dynamics","We had extended periods in excess of 90%, and were achieved during that quarter, and I think it proves the mill's ultimate capability. Steel shipments were 3.2 million tons, third-quarter revenues $4.3 billion. Adjusted EBITDA was $557 million, and cash flow from operations $760 million. As I stated, we had a great quarter in terms of safety. Historically, the summer months can be a challenging period, but the teams reversed that trend this year with an excellent performance. Not only was that trend reversed, but both our total recordable incident rate and lost time rates were the lowest in our history. Our employee dedication to our Take Control of Safety program is extraordinary.","https://www.marketbeat.com/earnings/reports/2024-10-16-steel-dynamics-inc-stock/"
"STLD","2024-10-16","Mark Millett","Executive Chairman at Steel Dynamics","Our core safety teams visited thirty facilities in the third quarter alone, which is, I think, a clear testament to their commitment to keep each other safe. We continue to build a world-class safety culture, and the positive results have been clearly demonstrated. 84% of our locations in the third quarter did not have a recordable injury. That's 104 locations out of our 124, and 94% of them did not have a lost time incident. I'm continually inspired by the commitment of our team members have for one another. They really, truly consider themselves family and challenge the status quo every day to do better in every way. That's why we are so focused on providing the very best for their health, their safety, and their welfare.","https://www.marketbeat.com/earnings/reports/2024-10-16-steel-dynamics-inc-stock/"
"STLD","2024-10-16","Mark Millett","Executive Chairman at Steel Dynamics","That said, there's still a lot of work to do as we strive toward a zero-incident environment. But with that, I will pause for Theresa first, and then Barry, to add color for the quarter.","https://www.marketbeat.com/earnings/reports/2024-10-16-steel-dynamics-inc-stock/"
"STLD","2024-10-16","Theresa Wagler","EVP and CFO at Steel Dynamics","Thank you, Mark. Good morning, everyone. We really do appreciate you taking the time to be on the call with us this morning, and I want to add my thanks to our teams for a really solid performance this quarter. As Mark suggested, our third quarter 2024 net income was $318 million, or $2.05 per diluted share, with adjusted EBITDA of $557 million. Third quarter 2024 revenue of $4.3 billion was below sequential second quarter results due to lower realized flat-rolled steel pricing tied to lagging contractual volume.","https://www.marketbeat.com/earnings/reports/2024-10-16-steel-dynamics-inc-stock/"
"STLD","2024-10-16","Theresa Wagler","EVP and CFO at Steel Dynamics","Our third quarter operating income of $395 million was 29% lower than sequential second quarter results, driven by steel metal spread contraction, as average realized pricing declined more than scrap raw material costs in the quarter. Our steel operations generated operating income of $305 million in the third quarter, lower than sequential results due to average realized pricing declining $79-$1,059 per ton, while total shipments were steady as increased flat-rolled volume offset lower structural and SBQ volume. For those of you that track our individual flat-rolled shipments quarter by quarter, in the third quarter, hot-rolled shipments were 942,000 tons. Cold-rolled shipments were 118,000 tons, and coated shipments were 1,335,000 tons.","https://www.marketbeat.com/earnings/reports/2024-10-16-steel-dynamics-inc-stock/"
"STLD","2024-10-16","Theresa Wagler","EVP and CFO at Steel Dynamics","For metals recycling, operating income was $12 million, lower than sequential second quarter results due to lower realized pricing and volume. In addition, we had an unrealized non-cash copper hedging loss of $10 million in September. We're the largest North American metals recycler, processing and consuming ferrous scrap and non-ferrous aluminum, copper, and other metals, and we're growing in support of our increased steel and planned aluminum production investments through new and expanded relationships and through the use of innovative new separation technologies. I'm really proud of the team. They're also reducing operating costs very effectively. Our steel fabrication team achieved strong operating income of $166 million in the third quarter, lower than second quarter results, as a 5% decrease in realized pricing offset steady shipments.","https://www.marketbeat.com/earnings/reports/2024-10-16-steel-dynamics-inc-stock/"
"STLD","2024-10-16","Theresa Wagler","EVP and CFO at Steel Dynamics","Order activity in the third quarter was the strongest we've seen this year, supporting our joist and deck backlog extending through the first quarter of 2025. As interest rates decline and public funding begins to be distributed post-election and into 2025, we expect to see increased fixed asset investment and corresponding demand drivers for steel and steel fabrication products next year. Regarding our aluminum investments, as a reminder, as we construct the aluminum facilities, non-capitalizable expenses are required to flow through SG&A until startup. As a result, our SG&A will be higher until we start operations in 2025. You have visibility to this amount provided in our supplemental data schedule. For the third quarter, it was $24 million.","https://www.marketbeat.com/earnings/reports/2024-10-16-steel-dynamics-inc-stock/"
"STLD","2024-10-16","Theresa Wagler","EVP and CFO at Steel Dynamics","We have expectations for aluminum investments to be EBITDA positive in the second half of 2025, and plan to operate the rolling mill at approximately 75% of its capacity in 2026. Mark's going to provide more details related to our ramp and product mix expectations later on the call, as well as define our differentiated cost expectations. The construction of the rolling mill and the San Luis PotosÃ­ Recycled Slab Center is going extremely well. Approximately $1.9 billion has already been invested through September of 2024, with expectations of funding between $350 million and $400 million in the fourth quarter and the remainder then to be spent in the first half of 2025. Our cash generation continues to be strong based on our differentiated circular business model and highly variable cost structure.","https://www.marketbeat.com/earnings/reports/2024-10-16-steel-dynamics-inc-stock/"
"STLD","2024-10-16","Theresa Wagler","EVP and CFO at Steel Dynamics","During the third quarter of 2024, we generated cash from operations of $760 million. We ended the quarter with strong liquidity of $3.1 billion, comprised of cash and short-term investments of $1.9 billion, and our fully available unsecured revolver of $1.2 billion. For the fourth quarter of 2024, we believe capital investments will be in the range of $500 million-$550 million. Preliminarily, we believe 2025 capital investments will be in the range of $700 million-$800 million. We repurchased $917 million of our common stock year to date, 2024, representing 4.5% of our outstanding shares, and as of September 13, we have $486 million remaining available for share repurchases.","https://www.marketbeat.com/earnings/reports/2024-10-16-steel-dynamics-inc-stock/"
"STLD","2024-10-16","Theresa Wagler","EVP and CFO at Steel Dynamics","Our capital allocation strategy prioritizes high return strategic growth, with shareholder distributions comprised of a base positive dividend profile that's complemented with a variable share repurchase program, while we remain dedicated to preserving our investment-grade credit designation. Our track record is proven, achieving five-year after-tax return on invested capital of 24% during a period of transformational growth and strong shareholder returns. Our free cash flow profile has fundamentally changed over the last five years, from an annual average of $540 million to $2.9 billion, excluding our large strategic Sinton and aluminum investments. In July, we successfully issued $600 million of investment-grade notes with a ten-year tenure, in anticipation of repaying $400 million of our notes that are due this December. Before I conclude, I want to thank the decarbonization and biocarbon teams.","https://www.marketbeat.com/earnings/reports/2024-10-16-steel-dynamics-inc-stock/"
"STLD","2024-10-16","Theresa Wagler","EVP and CFO at Steel Dynamics","I'm proud of them and excited about their recent announcement concerning our new certified science-based greenhouse gas emissions intensity targets for our steel mills, which are aligned with the 1.5-degree Celsius scenario set forth in the Paris Agreement. In fact, our steel mills are already well ahead of that curve. We recently set both a 2050 emissions intensity target, which is aligned with the International Energy Agency's net zero by 2050 industry targets, and an interim 2030 target, which represents a 15% reduction in our greenhouse gas intensity. These targets were established using the Global Steel Climate Council's Steel Climate Standard, of which we are a founding member. The Biocarbon project is also doing incredibly well, with expectations for a first quarter 2025 start.","https://www.marketbeat.com/earnings/reports/2024-10-16-steel-dynamics-inc-stock/"
"STLD","2024-10-16","Theresa Wagler","EVP and CFO at Steel Dynamics","Sustainability is a significant part of our long-term value creation strategy, and we're dedicated to our people, our communities, and our environment. We're committed to operating our business with the highest integrity. We uniquely have an actionable path toward carbon neutrality that is more manageable and we believe considerably less expensive than may lay ahead for many of our industry peers. Our sustainability and carbon reduction strategy is an ongoing journey, and we're moving forward with the intention to make a positive difference. Thank you. Barry?","https://www.marketbeat.com/earnings/reports/2024-10-16-steel-dynamics-inc-stock/"
"STLD","2024-10-16","Barry Schneider","President and CEO at Steel Dynamics","Sorry, microphone. Thank you, Theresa. Our steel fabrication operations performed well in the third quarter, achieving historically strong earnings and steady volume in the quarter. Our steel fabrication order backlog remains at a healthy level, extending through the first quarter of 2025. We remain optimistic as it relates to demand for the steel joists and deck markets over the next number of years, based on a moderating interest rate environment, continued manufacturing onshoring, and public funding for infrastructure and other fixed asset investment programs. The uplift from this macro environment could be considerable for this platform, as well as our steel operations. Our steel fabrication platform also provides meaningful volume support for our steel operations, which allows us to constantly operate at a higher through-cycle utilization rate. It also mitigates the financial risk of lower steel prices.","https://www.marketbeat.com/earnings/reports/2024-10-16-steel-dynamics-inc-stock/"
"STLD","2024-10-16","Barry Schneider","President and CEO at Steel Dynamics","The metals recycling team did a good job navigating a challenging market environment in the third quarter. There were a number of domestic steel outages, which decreased ferrous scrap demand, coupled with pricing volatility. Ferrous scrap prices have stabilized, and we believe should remain relatively stable through the rest of the year, subject to seasonal moves. The North American geographic footprint of our metals recycling platform provides a strategic competitive advantage for our steel mills and for our scrap-generating customers. Our Mexican recycling locations competitively advantage our Columbus and Sinton raw material positions. They also strategically support increased procurement of aluminum scrap for our future flat rolled aluminum operations. Our metals recycling team is partnering even more closely with both steel and aluminum teams to expand scrap separation capabilities through process and technology solutions. This helps mitigate potential prime ferrous scrap supply issues in the future.","https://www.marketbeat.com/earnings/reports/2024-10-16-steel-dynamics-inc-stock/"
"STLD","2024-10-16","Barry Schneider","President and CEO at Steel Dynamics","It also provides us with a significant advantage to increase the recycled content in our aluminum flat roll products and increase our earnings opportunities. The steel team also had a solid quarter, achieving steady shipments of 3.2 million tons. During the third quarter of 2024, the domestic steel industry operated at an estimated production utilization rate of 78%, while our steel mills operated at a rate of 86%, excluding our Sinton operation. We consistently operate at higher utilization rates due to our value-added steel product diversification, our differentiated customer supply chain solutions, and the support of our internal manufacturing business. The higher through-cycle utilization of our steel mills is one of our key competitive advantages, supporting our strong and growing cash generation capability and best-in-class financial metrics.","https://www.marketbeat.com/earnings/reports/2024-10-16-steel-dynamics-inc-stock/"
"STLD","2024-10-16","Barry Schneider","President and CEO at Steel Dynamics","Our realized average flat-rolled steel price declined in the quarter due to contract lags, but price, prices stabilized and improved in the quarter. Positively, value-added flat-rolled steel pricing spreads remained resilient, supporting our earnings, as we are the largest producer of these products in North America, and growing. Our activity is solid heading into the fourth quarter with normal seasonal trends expected. In general, our flat-rolled steel mills lead times are actually at levels higher than we've seen over the last six months. Underlying steel demand remains steady, but a surge in steel imports put pressure on the supply dynamics in certain product areas, specifically for coated flat-rolled steel products. In response, we levied a trade case, and we expect to get a preliminary ruling from the ITC in a few weeks.","https://www.marketbeat.com/earnings/reports/2024-10-16-steel-dynamics-inc-stock/"
"STLD","2024-10-16","Barry Schneider","President and CEO at Steel Dynamics","Our Sinton, Texas, flat roll steel mill team successfully completed needed changes early in the quarter to access 100% of the mill's melt capacity. The team experienced some difficulty ramping back up after the outage. However, the reliability of the mill improved dramatically in September, and the company believes Sinton's product utilization rate will increase to around 75% for the full quarter for the fourth quarter of 2024. Also, the additional two new value-added coating lines were successfully commissioned and have commenced operations, improving the mill's value-add product mix and through-cycle earning capability. Regarding the steel mill market environment, North American automotive production estimates for 2024 were recently revised to stable production over the next several years. Automotive dealer inventories also continue to remain below historical norms. Non-residential construction remains stable, with slowdowns across some industries.","https://www.marketbeat.com/earnings/reports/2024-10-16-steel-dynamics-inc-stock/"
