"symbol","report_date","speaker","title","msg","source_url"
"SWK","2025-07-29",NA,NA,"Welcome to the second quarter 2025 Stanley Black & Decker earnings conference call. My name is Shannon, and I will be your operator for today's call. At this time, all participants are in a listen-only mode. Later, we will open up the question-and-answer session. Please note that this conference is being recorded. I will now turn the call over to the Vice President of Investor Relations, Dennis Lange. Mr. Lange, you may begin.","https://www.marketbeat.com/earnings/reports/2025-7-29-stanley-black-decker-inc-stock/"
"SWK","2025-07-29","Dennis Lange","Head of Investor Relations at StanleyBlack&Decker","Thank you, Shannon. Good morning, everyone, and thanks for joining us for Stanley Black & Decker's 2025 second quarter webcast. Here today, in addition to myself, is Don Allan, President and CEO, Chris Nelson, COO, EVP and President, Tools & Outdoor, and Pat Hallinan, EVP and CFO. Our earnings release, which was issued earlier this morning, and a supplemental presentation, which we'll refer to, are available on the IR section of our website. A replay of this morning's webcast will also be available beginning at 11:00 A.M. today. This morning, Don, Chris, and Pat will review our 2025 second quarter results and various other matters, followed by a Q&A session. Consistent with prior webcasts, we are going to be sticking with just one question per caller. As we normally do, we will be making some forward-looking statements during the call based on our current views.","https://www.marketbeat.com/earnings/reports/2025-7-29-stanley-black-decker-inc-stock/"
"SWK","2025-07-29","Dennis Lange","Head of Investor Relations at StanleyBlack&Decker","Such statements are based on assumptions of future events that may not prove to be accurate, and as such, they involve risk and uncertainty. It is therefore possible that the actual results may materially differ from any forward-looking statements that we might make today. We direct you to the cautionary statements in the 8-K that we filed with our press release and in our most recent 34 Act filing. Additionally, we may also reference non-GAAP financial measures during the call. For applicable reconciliations to the related GAAP financial measures and additional information, please refer to the appendix of the supplemental presentation and the corresponding press release, which are available on our website under the IR section. I'll now turn the call over to our President and CEO, Don Allan.","https://www.marketbeat.com/earnings/reports/2025-7-29-stanley-black-decker-inc-stock/"
"SWK","2025-07-29","Don Allan","President and CEO at StanleyBlack&Decker","Thank you, Dennis, and good morning, everyone. As all of you are aware, this will be my last earnings call for Stanley Black & Decker, given our recent announcement that Chris Nelson will become the CEO effective October 1st. I want to begin by sincerely thanking our shareholders, employees, and customers for your continued trust and support throughout my tenure. Your commitment has been foundational to our progress and success, especially over the last three years. I believe now is the right moment to initiate this leadership transition, as I'm excited about how the team will build upon the significant company-wide transformation progress we have made since the summer of 2022. In full alignment and with the support of our Board of Directors, I will move into the executive chair role, where I'll remain fully committed to supporting Chris and the company.","https://www.marketbeat.com/earnings/reports/2025-7-29-stanley-black-decker-inc-stock/"
"SWK","2025-07-29","Don Allan","President and CEO at StanleyBlack&Decker","I couldn't be more confident that Stanley Black & Decker is on a firm foundation for future growth and in excellent hands under Chris's leadership. As we move through the final year of our multi-year supply chain transformation, and I reflect on the progress over the past three years, we have significantly advanced the vision we set forth during the spring of 2022. We stabilized, simplified, and focused the organization. As a result, we have and are continuing to improve our cost position, capitalize on our core strengths, and prioritize investments designed to accelerate organic growth. We have assembled a strong management team with the right people in the right roles across the organization, blending experience in our business and the industry with an infusion of new perspectives from experienced, dynamic talent. We streamlined our portfolio of iconic brands and businesses by divesting $2.6 billion of revenue.","https://www.marketbeat.com/earnings/reports/2025-7-29-stanley-black-decker-inc-stock/"
"SWK","2025-07-29","Don Allan","President and CEO at StanleyBlack&Decker","We have honed our focus on the core strengths of our portfolio of tools and outdoor and engineered fastening, which are both well-positioned in very attractive industries that are forecast to grow over the long term. Finally, we have significantly improved our cost structure and strengthened our balance sheet through solid execution against our operational priorities set in mid-2022. Our simplified and more nimble supply chain is enabling us to deliver improved profitability, better service for our customers and end users, and sustainable market share gains with iconic brands such as DeWALT. Today, the capabilities we built through our supply chain transformation are supporting the company as we navigate tariffs with agility and speed. As we continue to return our company to sustainable organic growth, we are deeply committed to fostering a growth-oriented culture within the organization.","https://www.marketbeat.com/earnings/reports/2025-7-29-stanley-black-decker-inc-stock/"
"SWK","2025-07-29","Don Allan","President and CEO at StanleyBlack&Decker","By enhancing our strong foundation of operational excellence and building a sustainable productivity engine, we are enabling resource allocation to fund future growth. Our investments are designed to continue driving innovation within our categories, accelerate organic growth through targeted local market initiatives, and deliver new value-added solutions to our customers. Stanley Black & Decker has long been an innovator and a growth-oriented company. We have the team to take this company forward. I am thrilled to have the opportunity to continue supporting the company and to see this next chapter of growth unfold in the quarters ahead. While we close out the final phase of the supply chain transformation in 2025, continue to drive towards our margin goal of 35+% and achieve our deleveraging goal in 2026 via additional modest streamlining of the existing business's portfolio. Now turning to our second quarter 2025 performance.","https://www.marketbeat.com/earnings/reports/2025-7-29-stanley-black-decker-inc-stock/"
"SWK","2025-07-29","Don Allan","President and CEO at StanleyBlack&Decker","Revenue was $3.9 billion, down 2% versus the previous year, and down 3% organically. The quarter was impacted by a slow outdoor buying season and non-typical shipment disruptions related to our customers' reactions to tariffs, which contributed to a dynamic operating environment. Against that backdrop, we delivered solid second quarter revenue with continued growth of our DeWALT brand supported by relatively resilient professional demand. Encouragingly, US Tool end user demand was resilient and stayed relatively consistent on a total dollar basis following our price increases. First half organic revenue was down 1%, and we believe it will remain relatively flat in the second half as well. The second quarter adjusted gross margin rate was 27.5%, down versus last year due to a three-point gross margin impact from tariffs and lower volume.","https://www.marketbeat.com/earnings/reports/2025-7-29-stanley-black-decker-inc-stock/"
"SWK","2025-07-29","Don Allan","President and CEO at StanleyBlack&Decker","This was partially offset by supply chain transformation efficiencies and the partial impact on our initial round of price actions, which became effective within the second quarter. Despite market volatility, adjusted gross margin for the first half was 28.9%. Just 20 basis points behind the prior year. As you will hear from the team today, the organization is remaining focused on executing our robust plan designed to mitigate tariffs. We plan to leverage supply chain moves and targeted pricing actions to improve our gross margin in the coming quarters. We believe Q2 to be the low point for gross margins, barring any new large changes to government policies. We view these initiatives in conjunction with capturing the remaining supply chain transformation savings as the primary drivers to return our adjusted gross margin trajectory toward our goal of 35%+.","https://www.marketbeat.com/earnings/reports/2025-7-29-stanley-black-decker-inc-stock/"
"SWK","2025-07-29","Don Allan","President and CEO at StanleyBlack&Decker","Second quarter adjusted EBITDA margin was 8.1%, down 260 basis points versus the prior year, reflecting the gross margin change and our growth investments, which were partially offset by targeted cost control measures. Adjusted earnings per share was $1.8, inclusive of a discrete tax benefit. Second quarter free cash flow was $135 million. A strong result considering the operational impact of new trade policies. Overall, a very solid quarter in a turbulent environment with significant credit to the global Stanley Black & Decker team, as together we all continue to make meaningful progress on what is within our control. Thank you for your support. I will now pass it to Chris, who will review the business segment performance and provide more context on how we successfully execute our strategy in a volatile trade environment.","https://www.marketbeat.com/earnings/reports/2025-7-29-stanley-black-decker-inc-stock/"
"SWK","2025-07-29","Chris Nelson","COO, EVP and President of Tools & Outdoor at StanleyBlack&Decker","Thank you, Don, and good morning, everyone. On behalf of the entire Stanley Black & Decker team, I would like to begin by expressing our appreciation to Don for his leadership and dedication to the company over the past 26 years. His deep connection with our customers and brands, coupled with his unwavering commitment to our global team, has been instrumental in positioning the company for lasting success. I'd also like to personally thank him for his partnership over the past two years and his help preparing me for this moment. Looking ahead to October 1st, I am honored and excited to become CEO of Stanley Black & Decker, an iconic American company with a proud heritage and a bright future.","https://www.marketbeat.com/earnings/reports/2025-7-29-stanley-black-decker-inc-stock/"
"SWK","2025-07-29","Chris Nelson","COO, EVP and President of Tools & Outdoor at StanleyBlack&Decker","The opportunity to work with our teams around the world to unlock the tremendous potential of our brands and drive share gain in the marketplace is energizing, and I look forward to doing so in collaboration with our valued channel partners. Now, turning to our second quarter operating performance, our top priority continues to be serving our customers and accelerating initiatives to mitigate tariff-related headwinds, all while keeping our long-term financial objectives in sight. Beginning with Tools & Outdoor, revenue for the quarter was approximately $3.5 billion, representing a 2% decline as compared to the second quarter of 2024. Organic revenue decreased by 3%. Price realization of 2% represents a partial quarter benefit from our late April U.S. price actions. Volume was down 5% due to a slow outdoor buying season and tariff-related shipment disruptions.","https://www.marketbeat.com/earnings/reports/2025-7-29-stanley-black-decker-inc-stock/"
"SWK","2025-07-29","Chris Nelson","COO, EVP and President of Tools & Outdoor at StanleyBlack&Decker","We were encouraged to see continued top-line expansion of DeWALT professional products as pro-demand remained relatively resilient. This marks over two years of consistent growth from our powerhouse DeWALT brand, which year to date has grown in every product line and region. We clearly see the benefits from our prioritized innovation, marketing, and activation investments. Our growth and share gain strategy is underpinned by accelerating DeWALT success while we work to restore consistent share gain in STANLEY and CRAFTSMAN. Adjusted segment margin was 8%, a 240 basis point decline as compared to the second quarter of last year. The change was attributable to the impact from tariffs, lower volume, and investments in growth initiatives, partially offset by the supply chain transformation efficiencies, price, and cost control.","https://www.marketbeat.com/earnings/reports/2025-7-29-stanley-black-decker-inc-stock/"
"SWK","2025-07-29","Chris Nelson","COO, EVP and President of Tools & Outdoor at StanleyBlack&Decker","Shifting to performance by product line, power tools' organic revenue growth of 1% was driven by price, resilient pro-demand, and solid performance in our key investment markets. Hand tools' organic revenue decline of 5% was primarily attributable to tariff-related shipment disruptions in North America. Outdoor organic revenue declined 7% related to a slow buying season. Demand has picked up in July, but our expectation is that 2025 will carry a modest decline near our -1% year-to-date performance. Now, evaluating the Tools & Outdoor regions. In North America, organic revenue declined by 4%, driven by factors consistent with the segment's overall performance. Channel inventory remained in line with historical levels. POS dollar trends in tools remained stable, while outdoor POS was slow to start and improved throughout the quarter. Notably, following the recent price increases, we did not observe a shift in buying trends, which signals relatively healthy end demand.","https://www.marketbeat.com/earnings/reports/2025-7-29-stanley-black-decker-inc-stock/"
"SWK","2025-07-29","Chris Nelson","COO, EVP and President of Tools & Outdoor at StanleyBlack&Decker","In Europe, organic revenue declined by 1%. Growth in the U.K. and key investment markets such as Central and Eastern Europe helped offset softer market demand in Germany and Italy. The rest of the world delivered 1% organic growth driven by Latin America, Australia, New Zealand, and the Middle East, led by strong performance from our professional brands. Now, let's transition to engineered fastening. On a reported basis, second quarter revenue was down 2% versus prior year, and 1% on an organic basis. 1% of price realization and 2% of currency favorability was more than offset by 2% of volume declines and a 3% impact related to the previously disclosed product line transfer to the Tools & Outdoor segment. The automotive business experienced a mid-single digit organic decline, primarily due to reduced production schedules and restrained capital expenditures by OEM. General industrial fasteners' organic revenue declined high single digits.","https://www.marketbeat.com/earnings/reports/2025-7-29-stanley-black-decker-inc-stock/"
"SWK","2025-07-29","Chris Nelson","COO, EVP and President of Tools & Outdoor at StanleyBlack&Decker","The aerospace business had another strong quarter with over 20% organic growth driven by strong performance in fasteners and fittings products. This business has achieved a new high of $400 million annualized run rate revenue with a solid multi-year backlog and growth outlook. The engineered fastening adjusted segment margin rate was 10.8% for the quarter. This is a decline from the previous year, largely due to softness in the higher margin automotive fasteners. In summary, with focused execution, our teams accelerated cost control measures and adjustments to our supply chain to neutralize the impacts from tariffs as quickly as possible within the period. Implementation of our robust and flexible plans to mitigate tariffs is ongoing as we navigate this dynamic operating environment. We have entered the final innings of our multi-year supply chain transformation.","https://www.marketbeat.com/earnings/reports/2025-7-29-stanley-black-decker-inc-stock/"
"SWK","2025-07-29","Chris Nelson","COO, EVP and President of Tools & Outdoor at StanleyBlack&Decker","Successfully completing the transformation this year remains a top priority and is fundamental to optimizing our cost structure, advancing customer-focused innovation, and driving our growth initiatives. These efforts are all aimed towards delivering profitable organic growth and sustainable market share gains. With respect to cost management, we are continuing to execute a comprehensive series of initiatives expected to deliver approximately $2 billion in pre-tax run-rate cost savings, with $1.5 billion attributable to improvements within our supply chain. We have clearly identified the principal sources of incremental savings and are making steady progress towards our full year 2025 target of $500 million in cost reductions. In the second quarter, we achieved approximately $150 million in pre-tax run-rate cost savings, bringing our total savings to approximately $1.8 billion since the program's inception. We remain committed to strengthening our culture of operational excellence and building our sustainable productivity engine.","https://www.marketbeat.com/earnings/reports/2025-7-29-stanley-black-decker-inc-stock/"
