"symbol","report_date","speaker","title","msg","source_url"
"SW","2026-04-30",NA,NA,"Good day and thank you for standing by. Welcome to the Smurfit Westrock 2026 Q1 results webcast and conference call. At this time, all participants are in a listen-only mode. After the speaker's presentation, there will be a question-and-answer session. To ask a question during the session, you will need to press star one one on your telephone. You will then hear an automated message advising your hand is raised. Please be advised that today's conference is being recorded. I would now like to hand the conference over to CiarÃ¡n Potts, Smurfit Westrock Group VP Investor Relations. Please go ahead.","https://www.marketbeat.com/earnings/reports/2026-4-30-smurfit-westrock-ltd-stock/"
"SW","2026-04-30","CiarÃ¡n Potts","Group VP of Investor Relations at Smurfit Westrock","Thanks, Evan. As a reminder, statements in today's press release and presentation and the comments made by management during this call may be considered forward-looking statements. These statements are subject to risks and uncertainties that could cause our actual results to differ materially from our expectations and projections. These risks and uncertainties include but are not limited to the factors identified in the earnings release and in our SEC filings, as well as those discussed in our investor update presentation. The company undertakes no obligation to revise any forward-looking statements. Today's remarks will also refer to certain non-GAAP financial measures. Where applicable, reconciliations to the most comparable GAAP measures are included in today's earnings release and in the appendix to the accompanying presentation, which are available at investors.smurfitwestrock.com. In addition, today's remarks include statements about Smurfit Westrock's medium-term financial goals and capital allocation priorities.","https://www.marketbeat.com/earnings/reports/2026-4-30-smurfit-westrock-ltd-stock/"
"SW","2026-04-30","CiarÃ¡n Potts","Group VP of Investor Relations at Smurfit Westrock","These goals are aspirational and actual performance may differ, possibly materially, and no guarantees are made that these goals will be met. To ensure that we have time to hear from as many of you as possible, given time constraints, we'd appreciate it if each analyst could limit themselves to two questions. I'll now hand you over to Tony Smurfit, CEO of Smurfit Westrock.","https://www.marketbeat.com/earnings/reports/2026-4-30-smurfit-westrock-ltd-stock/"
"SW","2026-04-30","Anthony Smurfit","President  and CEO at Smurfit Westrock","Thank you, CiarÃ¡n, and thank you to all participants for joining us today. I'm joined on the call as usual by my colleague Ken Bowles, our Executive Vice President and Group CFO. Set against a challenging environment, we delivered a solid first quarter performance essentially in line with plan with adjusted EBITDA of $1,076 million and an adjusted EBITDA margin of 14%. Our adjusted EBITDA outcome for the period was impacted by weather events that started in January and continued into February, costing approximately $65 million across the group. We continue to make progress both internally with our people, our operating model, and our capital plans, and externally, where we continue to provide customers with the broadest offering and the widest set of tools and applications.","https://www.marketbeat.com/earnings/reports/2026-4-30-smurfit-westrock-ltd-stock/"
"SW","2026-04-30","Anthony Smurfit","President  and CEO at Smurfit Westrock","Our recent innovation event in the Netherlands was a clear example of where Smurfit Westrock is truly differentiated from the competition. I'm particularly happy with how the integration and culture of Smurfit Westrock is progressing with excellent networking and people development, which was on display last week in Amsterdam at the aforementioned innovation event. Back in February, we were happy to launch our medium-term plan. That plan demonstrates an accelerated path to growth to 2030 and beyond. The goal of the plan is to deliver significant adjusted EBITDA growth with a CAGR of 7% and margin expansion of over 300 basis points. Consistent delivery against this plan, which is our collective focus will, we believe, realize Smurfit Westrock's true potential. Our scale is a core competitive advantage for Smurfit Westrock, and a key reason customer are more and more choosing to partner with us.","https://www.marketbeat.com/earnings/reports/2026-4-30-smurfit-westrock-ltd-stock/"
"SW","2026-04-30","Anthony Smurfit","President  and CEO at Smurfit Westrock","We think global but act local. Operating across regions allows us to support customers consistently while combining global capability with strong local execution. Our footprint enables us to serve our customers seamlessly across geographies, sharing best practice, providing security of supply, delivering consistent service levels while remaining close to local markets. Equally, our footprint gives us better visibility across markets, enables optimization of assets and capital deployments. In summary, our presence underpins how we compete and how we win, whether that be in corrugated, consumer, bag and box or any of our other niche businesses. It allows us to support customers across regions, scale innovation quickly and build deeper, more durable partnerships, supporting our statement that we are the go-to packaging partner of choice locally, regionally or globally.","https://www.marketbeat.com/earnings/reports/2026-4-30-smurfit-westrock-ltd-stock/"
"SW","2026-04-30","Anthony Smurfit","President  and CEO at Smurfit Westrock","Of course, having so many talented people across the world means better and better innovation, which in the interest of time, we will expand upon at the second quarter results. Turning to our region, starting with North America. The quarter delivered adjusted EBITDA of $597 million and an adjusted EBITDA margin of 13.3%. This result was heavily impacted by weather issues of approximately $55 million, which primarily occurred in February, and downtime costing $74 million, of which approximately half was unplanned. The quarter was also characterized by generally tepid demand as consumer confidence remained muted, as well as experienced some logistical difficulties in Mexico as a result of local domestic security-related issues. We begin the second quarter, we are seeing much improved demand with strengthening order books across all grades of both paper and converting products.","https://www.marketbeat.com/earnings/reports/2026-4-30-smurfit-westrock-ltd-stock/"
"SW","2026-04-30","Anthony Smurfit","President  and CEO at Smurfit Westrock","Price increases have been announced for all containerboard grades and some specific consumer grades. We continue our progress to our owner-operator model, and we are seeing the success and benefits of our approach both in terms of recruitment of talent and motivation within the company. During the quarter, we entered into contracts with over 600 new corrugated customers across a wide range of sectors and segments. This has continued at a stronger pace in April. These customer wins offset, in part, less economic business, and we expect to see growth during the latter part of the year as we onboard our new partners. Bringing together our global knowledge in packaging is having a material benefit as customers see the suite of our capabilities through our experience centers, which are currently being rolled out in the U.S. In our consumer business, we have seen great success.","https://www.marketbeat.com/earnings/reports/2026-4-30-smurfit-westrock-ltd-stock/"
"SW","2026-04-30","Anthony Smurfit","President  and CEO at Smurfit Westrock","We've seen great success in our grade agnostic approach with over 250 million converted or in the process of being converted to our SBS and CUK offering. Finally, we continue to invest in our system for growth and cost takeout, with a number of new and exciting projects being implemented across the region, as well as continually optimizing the system through considered capacity rationalization decisions. Turning now to our EMEA and APAC business, which delivered a very solid quarter with an adjusted EBITDA of $421 million and an adjusted EBITDA margin of 15.2%. We are significantly outperforming our peers as our innovation platform delivers great value to our customers, whether they're looking to grow, reduce costs, or be more sustainable.","https://www.marketbeat.com/earnings/reports/2026-4-30-smurfit-westrock-ltd-stock/"
"SW","2026-04-30","Anthony Smurfit","President  and CEO at Smurfit Westrock","With our network of 34 innovation centers across the globe, that innovation offering and sharing of best practices is something our entire global customer base is now benefiting from. We've just recently hosted over 200 customers at a sustainability and innovation event in Amsterdam, where we demonstrated our industry-leading suite of tools, which help customers win in their marketplace and ease the burden of compliance with regulatory issues. Our optimal improvements continue in all businesses as we invest for cost takeout and selectively in growth regions. We also continue to optimize our system with the regrettable but necessary recent announcements of the consultations of closure of four smaller converting operations in the U.K. and the Netherlands, and one paper mill operation in the U.K., which has a capacity of approximately 200,000 tons per year.","https://www.marketbeat.com/earnings/reports/2026-4-30-smurfit-westrock-ltd-stock/"
