"symbol","report_date","speaker","title","msg","source_url"
"SYY","2024-10-29",NA,NA,"Welcome to Sysco's first quarter fiscal year 2025 conference call. As a reminder, today's call is being recorded. We will begin with opening remarks and introductions. I would now like to turn the call over to Kevin Kim, Vice President of Investor Relations. Please go ahead.","https://www.marketbeat.com/earnings/reports/2024-10-29-sysco-co-stock/"
"SYY","2024-10-29","Kevin Kim","VP of Investor Relations at Sysco Corporation","Good morning, everyone, and welcome to Sysco's first quarter fiscal year 2025 earnings call. On today's call, we have Kevin Hourican, our Chair of the Board and Chief Executive Officer, and Kenny Cheung, our Chief Financial Officer. Before we begin, please note that statements made during this presentation that state the company's or management's intentions, beliefs, expectations, or predictions of the future are forward-looking statements within the meaning of the Private Securities Litigation Reform Act, and actual results could differ in a material manner. Additional information about factors that cause results to differ from those in the forward-looking statements is contained in the company's SEC filings. This includes, but is not limited to, risk factors contained in our annual report on Form 10-K for the year ended June 29, 2024, subsequent SEC filings, and in the news release issued earlier this morning.","https://www.marketbeat.com/earnings/reports/2024-10-29-sysco-co-stock/"
"SYY","2024-10-29","Kevin Kim","VP of Investor Relations at Sysco Corporation","A copy of these materials can be found in the investor section at Sysco.com. Non-GAAP financial measures are included in our comments today and in our presentation slides. The reconciliation of these non-GAAP measures to the corresponding GAAP measures is included at the end of the presentation slides and can be found in the investor section of our website. During the discussion today, unless otherwise stated, all results are compared to the same quarter in the prior year. To ensure we have sufficient time to answer all questions, we'd like to ask each participant to limit their time today to one question. If you have a follow-up question, we ask that you re-enter the queue. At this time, we'd like to turn the call over to Kevin Hourican.","https://www.marketbeat.com/earnings/reports/2024-10-29-sysco-co-stock/"
"SYY","2024-10-29","Kevin Hourican","Chair of the Board and CEO at Sysco Corporation","Good morning, everyone, and thank you for joining us today. During our call this morning, I'll provide an update on general marketplace conditions, highlight Sysco's specific performance results, provide some color on select priority initiatives, and reconfirm Sysco's previously issued full-year guidance. Let's get started with a brief update on the overall food away-from-home marketplace. Foot traffic to restaurants was down 3.6% for the first quarter, a roughly 100 basis point erosion from the fourth quarter. With that said, traffic trends improved throughout the quarter, with July down 5%, August down 4%, and September down 3%. The traffic data just referenced includes the impact from significant hurricanes that occurred in the beginning and ending of the quarter.","https://www.marketbeat.com/earnings/reports/2024-10-29-sysco-co-stock/"
"SYY","2024-10-29","Kevin Hourican","Chair of the Board and CEO at Sysco Corporation","We are cautiously optimistic that recent actions by the Federal Reserve, lower general gas prices, and getting past the election will positively impact food away-from-home traffic in the second half of our fiscal year. Notably, the improvement in Q1 foot traffic data was evident across all restaurant types. To help matters, we see restaurant owners taking actions on menu pricing to improve their value proposition. This is a positive for the industry overall. Sysco can help restaurant operators achieve lower menu prices through our Sysco Brand assortment and through value-added products that help save restaurants time and money. An example of this is our FreshPoint business that provides pre-cut products that help remove prep work from the kitchen. Turning to the non-restaurant sectors, we are seeing strong performance across the board, with particular strength coming from the business and industry sector as more companies are encouraging work from the office.","https://www.marketbeat.com/earnings/reports/2024-10-29-sysco-co-stock/"
"SYY","2024-10-29","Kevin Hourican","Chair of the Board and CEO at Sysco Corporation","As Kenny has said many times, these non-commercial sectors tend to be more resilient to overall economic conditions, and we are seeing that in our current results. Turning from macro-industry trends to Sysco's specific performance, we delivered the following results within our first quarter: total revenue of $20.5 billion, a growth of 4.4%. The revenue growth was fueled by U.S. Foodservice volume growth of 2.7%, plus moderate inflation. Our volume growth was generated by 5.5% national volume growth and 0.2% local volume growth. Adjusted operating income grew 2.2% for the period, supported by disciplined expense control. We delivered an adjusted earnings per share of $1.09, a growth of 1.9% to prior year. Most importantly, our first quarter results have Sysco on track for our full-year guidance, and we are reconfirming our full-year guidance on today's call.","https://www.marketbeat.com/earnings/reports/2024-10-29-sysco-co-stock/"
"SYY","2024-10-29","Kevin Hourican","Chair of the Board and CEO at Sysco Corporation","While we are pleased with many aspects of the quarter, we see opportunities for improvement within our performance. I'll start first with the strength points of the quarter. I am particularly pleased with our international business segment. We grew our international top line 3% for the quarter and grew adjusted operating income an impressive 12%. Our strong profit growth is being generated by expanding Sysco Brand presence, operational improvements in the business, and the introduction of higher margin categories into select international geographies. Adding to the success is strong strategic sourcing programs that are now running globally and the expansion of our Sysco Your Way Global Sales Program. In addition to the success in international, our national sales business is performing at a very high level. We continue to onboard high-quality net new national business with strong margin profiles across restaurants and the non-commercial sectors.","https://www.marketbeat.com/earnings/reports/2024-10-29-sysco-co-stock/"
"SYY","2024-10-29","Kevin Hourican","Chair of the Board and CEO at Sysco Corporation","These new customer wins will continue our strong track record of performance in the national business sector. As we have said many times, national sales customers help us leverage our fixed costs, increase our purchasing scale with suppliers, and improve our delivery route density as these deliveries are interspersed with our local deliveries. Our SYGMA segment had an extremely strong quarter, growing sales 7.3% and operating income 38.5%. It is great to see our SYGMA business return to sales and volume growth after resetting our customer base to a more appropriate business mix. We are confident that SYGMA will continue to deliver strong results over the remainder of the year. Our specialty platform continues to win in the marketplace, with our Total Team Selling program picking up pace and momentum.","https://www.marketbeat.com/earnings/reports/2024-10-29-sysco-co-stock/"
"SYY","2024-10-29","Kevin Hourican","Chair of the Board and CEO at Sysco Corporation","We are introducing our produce and protein specialty businesses to more Sysco broadline customers, increasing our ability to serve customer needs, retain their business, and grow our profit contribution. We expect Total Team Selling to accelerate and help move Sysco towards our longer-term goal of a $20 billion specialty portfolio. As we discussed at our investor day in May, the growth comes from a simple equation. When a Sysco broadline customer buys from one Sysco specialty business, their total purchases are three times higher than if they buy from just broadline. Today, we have thousands of Sysco customers that only buy from our broadline business. We intend to change that over time and have made this work a top priority for our sales organization. We will be adding our Edward Don business to the Total Team Selling mix as we advance integration efforts.","https://www.marketbeat.com/earnings/reports/2024-10-29-sysco-co-stock/"
"SYY","2024-10-29","Kevin Hourican","Chair of the Board and CEO at Sysco Corporation","To that end, we are very pleased with the status of our Edward Don business. We have a compelling opportunity to introduce our equipment and supplies offering to Sysco customers, large and small. Over time, we believe we have international opportunities with this platform as well. With those business wins in context, there are elements of our business that need to strengthen. I'd like to start with local case growth. As I stated in my introduction, our local business was up 0.2% for the quarter. We are growing our local business despite negative 3.6% foot traffic. However, we know we can take share and drive higher volume profitably. To reiterate what I mentioned in our last quarterly call, we have a focused plan to drive increased local case growth. I'd like to provide a brief update on our status of those efforts.","https://www.marketbeat.com/earnings/reports/2024-10-29-sysco-co-stock/"
"SYY","2024-10-29","Kevin Hourican","Chair of the Board and CEO at Sysco Corporation","Most importantly, in the last quarter, we introduced a new sales consultant compensation model. This was a needed change that went live on the 1st of July. We remixed our sales consultant compensation, reducing base pay by approximately $1.00 and adding $1.50 to earnings incentives. Net net, every single Sysco sales colleague has the opportunity to make more money in this new program, but their pay will have a higher correlation to their performance. Notably, our top performing colleagues are excited by this change and are indeed making more money as they continue to grow their book of business profitably. We are very confident that the new model is the right structure and possesses the right constructs to motivate all Sysco colleagues to actively engage our customers in selling and support activities.","https://www.marketbeat.com/earnings/reports/2024-10-29-sysco-co-stock/"
"SYY","2024-10-29","Kevin Hourican","Chair of the Board and CEO at Sysco Corporation","During our Q1, we experienced some short-term transitional issues as we worked through the change management of the new program. We expect the positive impact of the comp change will be felt as we transition into the second half of this fiscal year. Topic two regarding local sales is the status of our incremental sales headcount. We're very focused on upskilling our 2024 cohort of new colleagues to enable their success. Our 2024 hiring cohort continues to receive product training and selling skills training to help them advance their book of business. Our 2025 hiring cohorts will be metered across the year to balance the hiring with the pace and the health of the P&L. We will not go too fast or too slow.","https://www.marketbeat.com/earnings/reports/2024-10-29-sysco-co-stock/"
"SYY","2024-10-29","Kevin Hourican","Chair of the Board and CEO at Sysco Corporation","We will be firmly at the wheel of the hiring pace throughout the year, and we continue to have strong success in filling our job requisitions with high-quality candidates from competition and from the industry overall. We're seeing initial progress with our U.S. broadline local business results as our exit velocity for the quarter was stronger than our entry point. We have modeled our improvement trajectory for the remainder of the year and have confidence that our improvement will support our ability to deliver our full-year P&L. To that end, we have proof points with select geographies already hitting our growth expectations. These regions are ahead of the curve in regards to implementing change and are succeeding in running our go-to-market selling program. They give us the proof points and the confidence that the total company can and will achieve the outcomes that we expect.","https://www.marketbeat.com/earnings/reports/2024-10-29-sysco-co-stock/"
