"symbol","report_date","speaker","title","msg","source_url"
"TAP","2026-05-01",NA,NA,"Good morning, welcome to the Molson Coors Beverage Company First Quarter Fiscal Year 2026 earnings conference call. With that, I'll hand it over to Greg Tierney, Vice President, Commercial Finance, FP&A, and Investor Relations.","https://www.marketbeat.com/earnings/reports/2026-5-1-molson-coors-beverage-stock/"
"TAP","2026-05-01","Greg Tierney","VP, Commercial Finance, FP&A, and Investor Relations at Molson Coors Beverage Company","Thank you, operator. Following prepared remarks today, we look forward to taking your questions. In an effort to address as many questions as possible, we ask that you limit yourself to one question. If you have technical questions on the quarter, please reach out to our IR team. Also, I encourage you to review our earnings release and earnings slides, which are posted to the IR section of our website and provide detailed financial and operational metrics. Today's discussion includes forward-looking statements within the meaning of federal securities laws. Actual results or trends could differ materially from our forecasts. For more information, please refer to the risk factors discussed in our most recent filings with the SEC. We assume no obligation to update forward-looking statements except as required by applicable law. The definitions of or reconciliations for any non-U.S. GAAP measures are included in our earnings release.","https://www.marketbeat.com/earnings/reports/2026-5-1-molson-coors-beverage-stock/"
"TAP","2026-05-01","Greg Tierney","VP, Commercial Finance, FP&A, and Investor Relations at Molson Coors Beverage Company","Unless otherwise indicated, all financial results we discuss are versus the comparable prior year period and are in U.S. dollars. With the exception of earnings per share, all financial metrics are in constant currency when referencing percentage changes from the prior year period. Also, share data references are sourced from Circana in the U.S. and from Beer Canada in Canada, unless otherwise indicated. Further, in our remarks today, we will reference underlying pre-tax income, which equates to underlying income before income taxes and underlying earnings per share, which equates to underlying diluted earnings per share as defined in our earnings release. With that, over to you, Rahul.","https://www.marketbeat.com/earnings/reports/2026-5-1-molson-coors-beverage-stock/"
"TAP","2026-05-01","Rahul Goyal","President and CEO at Molson Coors Beverage Company","Thank you, Greg. Before I begin, I want to recognize our team for the focus and commitment they've demonstrated this year. We're operating in dynamic times, and the work happening across our markets gives me confidence in our people and our direction. In the first quarter, we announced Horizon 2030, a strategy designed to strengthen our business and drive long-term value creation. We took action right away. For example, we said we'd leverage M&A to fill portfolio gaps, and we did just that by establishing a position in RTDs. We also said we'd extend our share buyback program, and we executed on that as well because we believe our shares are a compelling investment. While it's early in the year, we navigated a complex external environment and continued to make progress against our strategy. At the same time, the U.S. beer category started the year on better footing.","https://www.marketbeat.com/earnings/reports/2026-5-1-molson-coors-beverage-stock/"
"TAP","2026-05-01","Rahul Goyal","President and CEO at Molson Coors Beverage Company","However, macro uncertainty continued to put pressure on input costs and consumer behavior, especially lower-income consumers. For beer, the number of trips and buyers improved while consumer sentiment declined. In the EMEA and APAC, macro pressures increased over the quarter, driven by geopolitical events, including the conflict in Iran, impacting fuel costs and consumer sentiment. That said, we believe Molson Coors is positioned to navigate this moment and strengthen our business, supported by our strong balance sheet, free cash flow generation, and our portfolio that spans price points, geographies, and consumer locations. Based on what we are seeing today, we are reaffirming our full-year guidance and remain confident in our ability to execute against our priorities. As we move through 2026, we're acting with speed and intent, balancing near-term execution with our goal of long-term growth.","https://www.marketbeat.com/earnings/reports/2026-5-1-molson-coors-beverage-stock/"
"TAP","2026-05-01","Rahul Goyal","President and CEO at Molson Coors Beverage Company","In Q1, we continued to sharpen our portfolio focus, strengthen our commercial model, and move accountability closer to our customers and consumers. While these efforts will take time to show up in our results, we're encouraged by the early progress. Our strategy begins with building strong and scalable brands that matter across beer and beyond beer. Our momentum in bars and restaurants and venues is a great example. Across the on-premise, our top 6 brands all delivered share growth in the quarter based on Nielsen CGA. This includes Miller Lite, Miller High Life, Coors Light, Banquet, Blue Moon, and Peroni, demonstrating our strength in the channel across a range of price points. In Q1, we were among the top BevAl advertisers during March Madness and the exclusive sponsor of ESPN's Bracket Challenge, reflecting our commitment to high-impact occasions.","https://www.marketbeat.com/earnings/reports/2026-5-1-molson-coors-beverage-stock/"
"TAP","2026-05-01","Rahul Goyal","President and CEO at Molson Coors Beverage Company","Looking ahead to the summer, we are also making a single largest media investment in many years, tied to the World Cup, which will include multiple brands across our portfolio. This investment includes in-match media buys, extensive local activation in key markets, podcasts, and influencer partnerships. Let's get into how our core brands performed in Q1. While U.S. brand volume trends improved, our share wasn't where we wanted it to be. We are executing against the actions we outlined in February, including new creative for all the three of our U.S. core brands. Coors Banquet continues to build momentum, and in Q1, it returned to national sports advertising for the first time in five years, an important milestone for a brand with enduring consumer relevance. Miller Lite faced challenges in the quarter, mostly driven by heightened competition in a couple of U.S. regions.","https://www.marketbeat.com/earnings/reports/2026-5-1-molson-coors-beverage-stock/"
"TAP","2026-05-01","Rahul Goyal","President and CEO at Molson Coors Beverage Company","We are working quickly and taking targeted actions, including new ads in English and Spanish for the World Cup and a custom visual identity and activation platform for America's 250th anniversary. Outside the U.S., we're also taking steps to protect and strengthen our core brands. In Canada, Coors Light remains the number one premium light beer and is holding industry share. In the U.K., we reintroduced a fan favorite in Carling Black Label. In Central and Eastern Europe, several of our key brands, including OÅ¾ujsko and Jelen, remain number one or number two brands in their home markets despite challenging economic conditions. Moving to the value segment. We've acted quickly while recognizing this is a long-term journey. While Miller High Life's share has been fairly stable and is doing particularly well on-premise, Keystone Light needs some attention, and we're taking action.","https://www.marketbeat.com/earnings/reports/2026-5-1-molson-coors-beverage-stock/"
"TAP","2026-05-01","Rahul Goyal","President and CEO at Molson Coors Beverage Company","Distributor orders for Keystone Apple are pacing ahead of expectations. Even more recently, our decision to reintroduce Keystone Ice was extremely well-received by our network. We're encouraged by the early signals as well as the continued expansion of Miller High Life Light, which is now available in 22 states and performing well. Turning to above-premium beer. We held U.S. industry share in Q1, supported by our priority brands. Peroni continues to gain momentum and saw increased media investment during the Winter Olympics. Blue Moon Non-Alc also continues to perform well, and we recently launched new creative for the Blue Moon franchise. We're encouraged by the sustained on-premise trend improvements for Belgian White while recognizing that a full turnaround will depend on continued focus and consistent execution. In the U.K., we saw some softness in MadrÃ­ driven by aggressive competitor pricing.","https://www.marketbeat.com/earnings/reports/2026-5-1-molson-coors-beverage-stock/"
"TAP","2026-05-01","Rahul Goyal","President and CEO at Molson Coors Beverage Company","Importantly, we do not believe this is a brand health issue. We're responding with intention, adjusting our commercial actions to remain competitive while protecting MadrÃ­'s long-term strength. Our media investment for MadrÃ­ is just now turning on for the year. We continue to build the franchise with innovation like MadrÃ­ LimÃ³n. Moving to Beyond Beer, we're scaling up here. We're making great progress. This is the fastest-growing part of our portfolio, supported by brands like Fever-Tree, Topo Chico Hard, and as of this month, Monaco Cocktails in the U.S. Fever-Tree delivered strong execution and contributed meaningfully to our top-line performance in this quarter. The brand continues to resonate with distributors, retailers, and consumers, reinforcing our confidence in its long-term potential.","https://www.marketbeat.com/earnings/reports/2026-5-1-molson-coors-beverage-stock/"
