"symbol","report_date","speaker","title","msg","source_url"
"TDG","2025-05-06",NA,NA,"Good day and thank you for standing by. Welcome to Q2 2025 TransDigm Group Earnings Conference Call. At this time, all participants are in a listen only mode. After the speaker's presentation, there will be a question answer session. To ask a question during the session, you will need to press star one one on your telephone. You will then hear an automated message advising your hand is raised. To withdraw your question, please press star one one again. Please be advised that today's conference is being recorded. I would now like to hand the conference over to your speaker today, Jaimie Stemen, Director of Investor Relations. Please go ahead.","https://www.marketbeat.com/earnings/reports/2025-5-6-transdigm-group-incorporated-stock/"
"TDG","2025-05-06","Jaimie Stemen","Director of Investor Relations at TransDigm Group","Thank you and welcome to TransDigm's Fiscal 2025 Second Quarter Earnings Conference Call. Presenting on the call this morning are TransDigm's President and Chief Executive Officer Kevin Stein, Co-Chief Operating Officer Mike Lisman, and Chief Financial Officer Sarah Wynne. Also present for the call today is our Co-Chief Operating Officer Joel Reiss. Please visit our website at transdigm.com to obtain a supplemental slide deck and call replay information. Before we begin, the company would like to remind you that statements made during this call which are not historical in fact are forward-looking statements.","https://www.marketbeat.com/earnings/reports/2025-5-6-transdigm-group-incorporated-stock/"
"TDG","2025-05-06","Jaimie Stemen","Director of Investor Relations at TransDigm Group","For further information about important factors that could cause actual results to differ materially from those expressed or implied in the forward looking statements, please refer to the Company's latest filings with the SEC available through the Investors section of our website or at sec.gov. The company would also like to advise you that during the course of the call we will be referring to EBITDA, specifically EBITDA as defined, adjusted net income, and adjusted earnings per share, all of which are non-GAAP financial measures. Please see the tables and related footnotes in the earnings release for a presentation of the most directly comparable GAAP measures and applicable reconciliation. I will now turn the call over to Kevin.","https://www.marketbeat.com/earnings/reports/2025-5-6-transdigm-group-incorporated-stock/"
"TDG","2025-05-06","Kevin Stein","President and CEO at TransDigm Group","Good morning. Thanks for calling in today. First, I'll start off with a brief overview of our recent organizational announcement. Next, the usual quick overview of our strategy, a few comments about the quarter, and discuss our fiscal 2025 outlook. Mike and Sarah will give additional color on the quarter. As you may have seen, we announced this morning that I will retire at the end of TransDigm's 2025 fiscal year. Beyond that, I will continue to serve as an advisor to the company through March 31, 2026 to help facilitate the leadership transition. Additionally, I will continue to serve as a member of TransDigm's board of directors. It has been a privilege to lead TransDigm as CEO these past seven years. TransDigm is an exceptional company and I immensely enjoyed the opportunity to see it grow and generate value for its shareholders.","https://www.marketbeat.com/earnings/reports/2025-5-6-transdigm-group-incorporated-stock/"
"TDG","2025-05-06","Kevin Stein","President and CEO at TransDigm Group","I look forward to finishing out my last few months as CEO and continuing my involvement with TransDigm as a board member. I will be leaving TransDigm in very good hands as Mike Lisman has been elected by the Board of Directors to be our new CEO effective October 1, 2025. At that time, Mike will become responsible for all operational and financial matters. All our operating executives as well as the CFO will report to Mike. This succession planning has been in the works for some time and we were very excited to promote an internally developed, long tenured employee into the position of CEO. Mike has served as TransDigm's COO since May of 2023. Prior to that he held several positions across the company including that of CFO and Executive Vice President with direct operational oversight for a number of our operating units.","https://www.marketbeat.com/earnings/reports/2025-5-6-transdigm-group-incorporated-stock/"
"TDG","2025-05-06","Kevin Stein","President and CEO at TransDigm Group","Mike also previously held roles as the.Lead of TransDigm's M&A team.","https://www.marketbeat.com/earnings/reports/2025-5-6-transdigm-group-incorporated-stock/"
"TDG","2025-05-06","Kevin Stein","President and CEO at TransDigm Group","As a Business Unit Manager at our Aerofluid Products operating unit, Mike understands our unique culture and process and embraces our long term value generating strategy. He has contributed substantially to the value that TransDigm has created over his tenure. Mike is an excellent choice to lead TransDigm. I am confident he will do an outstanding job and continue to create the kind of value that has been the long term hallmark of TransDigm. Now moving on to the business of today. To reiterate, we believe we are unique in the industry in both the consistency of our strategy in both good times and bad, as well as our steady focus on intrinsic shareholder value creation through all phases of the aerospace cycle. To summarize, here are some of the reasons why we believe this: about 90% of our net sales are generated by unique proprietary products.","https://www.marketbeat.com/earnings/reports/2025-5-6-transdigm-group-incorporated-stock/"
"TDG","2025-05-06","Kevin Stein","President and CEO at TransDigm Group","Most of our EBITDA comes from aftermarket revenues which generally have significantly higher margins and over any extended period have typically provided relative stability in the downturns. We follow a consistent long term strategy. Specifically, first, we own and operate proprietary aerospace businesses with significant aftermarket content. Second, we utilize a simple, well proven value based operating methodology. Third, we have a decentralized organizational structure and unique compensation system closely aligned with shareholders. Fourth, we acquire businesses that fit the strategy and where we see a clear path to PE like returns and lastly, our capital structure and allocation are a key part of our value creation methodology. Our long term goal is to give our shareholders private equity like returns with the liquidity of a public market. To do this, we stay focused on both the details of value creation as well as careful allocation of our capital.","https://www.marketbeat.com/earnings/reports/2025-5-6-transdigm-group-incorporated-stock/"
"TDG","2025-05-06","Kevin Stein","President and CEO at TransDigm Group","As you saw from our earnings release, we had a strong Q2 during the quarter. We saw healthy growth in the revenues for both our commercial aftermarket and defense market channels. Commercial OEM revenues this quarter were about flat with the prior year. Sequentially, both revenues and bookings improved in all three of our major market channels. Commercial aerospace market trends remain favorable. It's currently a very dynamic macroeconomic environment, but to this point airline schedules continue to be fairly stable. In the commercial OEM market, there is still much progress to be made for OEM rates and our results continue to be adversely affected by OEM performance. Airline demand for new aircraft remains high and the OEM backlog remains considerable. OEMs are working to increase aircraft production to meet this demand.","https://www.marketbeat.com/earnings/reports/2025-5-6-transdigm-group-incorporated-stock/"
"TDG","2025-05-06","Kevin Stein","President and CEO at TransDigm Group","Boeing aircraft production rates are still well below pre-pandemic levels, though the nearly two-month-long machinist strike last fall further delayed the recovery. However, there has been steady progress in Boeing's production rates, which is a positive sign. Our EBITDA as defined margin was 54% in the quarter. Contributing to this strong Q2 margin is the continued strength in our commercial aftermarket along with diligent focus on our operating strategy, which is allowing margin performance to expand across all segments. Additionally, we ended the quarter with a strong cash balance of over $2.4 billion. We expect to steadily generate significant additional cash throughout the remainder of 2025. Next, an update on our capital allocation activities and priorities. During Q2, we opportunistically deployed just over $50 million of capital via open market repurchases of our common stock.","https://www.marketbeat.com/earnings/reports/2025-5-6-transdigm-group-incorporated-stock/"
