"symbol","report_date","speaker","title","msg","source_url"
"TDY","2025-07-23",NA,NA,"Welcome to Teledyne's second quarter earnings call. Thank you, and welcome to Teledyne's second quarter earnings call. Here's our first speaker, Mr. Jason VanWees. Please go ahead.","https://www.marketbeat.com/earnings/reports/2025-7-23-teledyne-technologies-incorporated-stock/"
"TDY","2025-07-23","Jason VanWees","Vice Chairman at Teledyne Technologies Incorporated","Thank you, and good morning, everyone. This is Jason VanWees, Vice Chairman. I'd like to welcome everyone to Teledyne's second quarter 2025 earnings release conference call. We released our earnings earlier this morning before the market opened. Joining me today are Teledyne's Executive Chairman, Robert Mehrabian, President and CEO, George Bobb, EVP and CFO, Stephen Blackwood, and Melanie Cibik, EVP General Counsel, Chief Compliance Officer, and Secretary. After remarks by Robert, George, and Stephen, we will ask your questions. Of course, before we get started, our attorneys have reminded me to tell you that all forward-looking statements this morning are subject to various assumptions, risks, and caveats as noted in the earnings release and our periodic SEC filings, and, of course, actual results may differ materially.","https://www.marketbeat.com/earnings/reports/2025-7-23-teledyne-technologies-incorporated-stock/"
"TDY","2025-07-23","Jason VanWees","Vice Chairman at Teledyne Technologies Incorporated","In order to avoid potential selective disclosures, this call is simultaneously being webcast and replayed, both via webcast and dial-in, and will be available for approximately one month. Here is Robert.","https://www.marketbeat.com/earnings/reports/2025-7-23-teledyne-technologies-incorporated-stock/"
"TDY","2025-07-23","Robert Mehrabian","Executive Chairman at Teledyne Technologies Incorporated","Thank you, Jason, and good morning, everyone, and thank you for joining our call. Today, we reported record quarterly sales. We've achieved greatest total for an organic sales growth in almost three years. Second quarter sales increased 10.2%. Half organic, half acquisitions, and accelerated for three quarters in a row. Sales also increased organically in every segment. Non-GAAP earnings per share increased 13.5% from last year and were also at record for any second quarter. Finally, orders exceeded sales for the second, seventh consecutive quarter. Our energy and defense businesses continue to perform very well due to market strength, but also our specific portfolio of technologies serving growing sectors such as unmanned air and subsea systems, space-based sensors, NATO defense spending, and offshore energy productions.","https://www.marketbeat.com/earnings/reports/2025-7-23-teledyne-technologies-incorporated-stock/"
"TDY","2025-07-23","Robert Mehrabian","Executive Chairman at Teledyne Technologies Incorporated","Sales from our shorter cycle environmental and test and measurement instrumentation businesses also increased single digits, mid-single digits, and this is about the greatest level in a few years. Organic sales growth in digital imaging was also the most in three years, primarily resulting from healthy growth in our Teledyne FLIR's defense and industrial businesses. Nevertheless, we're being a little cautious, worrying about whether second quarter strength in our short cycle businesses resulted from accelerated demand in advance of planned U.S. trade policy announcements in the third quarter. Consequently, we're currently forecasting that total sales in the third quarter will remain essentially flat with the second quarter. Despite spending $770 million year-to-date on acquisitions, our current debt-to-leverage ratio, debt-to-EBITDA, is 1.6, with only fixed-rate debt and approximately $1.17 billion out of $1.2 billion available in our credit facility.","https://www.marketbeat.com/earnings/reports/2025-7-23-teledyne-technologies-incorporated-stock/"
"TDY","2025-07-23","Robert Mehrabian","Executive Chairman at Teledyne Technologies Incorporated","While we're pursuing a number of acquisitions, mostly smaller ones at this time, we will consider stock repurchases when we feel larger acquisitions are too pricey, as we found in the second quarter, and where Teledyne offers the best value. Therefore, our board of directors increased our stock repurchase authorization from $896 million to $2 billion. We will use that, as I said before, if appropriate. George will now briefly comment on the performance of our four segments.","https://www.marketbeat.com/earnings/reports/2025-7-23-teledyne-technologies-incorporated-stock/"
"TDY","2025-07-23","George Bobb","President and CEO at Teledyne Technologies Incorporated","Thank you, Robert. In the Digital Imaging segment, second quarter sales increased 4.3%, which was the greatest year-over-year growth in three years. The performance largely reflected record growth at Teledyne FLIR, where the defense and industrial businesses increased nicely, largely driven by international defense sales, as well as complete unmanned air systems and commercial infrared components and subsystems for the overall unmanned market. We had another quarter of strong orders, with a total Digital Imaging book-to-bill of 1.1 times, but it was especially nice to see bookings of 1.2 times in our industrial and scientific vision systems businesses collectively. Non-GAAP operating margin decreased marginally due in part to greater severance costs, which we did not exclude from non-GAAP margins. In the Instrumentation segment, which consists of our marine, environmental, and test and measurement businesses, second quarter total sales increased 10.2% versus last year.","https://www.marketbeat.com/earnings/reports/2025-7-23-teledyne-technologies-incorporated-stock/"
"TDY","2025-07-23","George Bobb","President and CEO at Teledyne Technologies Incorporated","Overall sales of marine instruments increased 16% due to both strong offshore energy production and subsea defense sales. Sales of environmental instruments increased 5.6%, primarily due to higher sales of process gas safety and emissions monitoring instrumentation. Sales of electronic test and measurement systems, which include oscilloscopes, protocol analyzers, and Ethernet traffic generators, increased 5.5% year-over-year. Instrumentation operating margin in the second quarter increased 149 basis points to 27.6%, and 134 basis points on a non-GAAP basis to 28.5%. In the Aerospace and Defense Electronics segment, second quarter sales increased 36.2%, primarily driven by acquisitions and organic growth of defense electronics products. While commercial aerospace aftermarket sales increased, this was offset by a decline in OEM sales due in part to on-again, off-again export restrictions.","https://www.marketbeat.com/earnings/reports/2025-7-23-teledyne-technologies-incorporated-stock/"
"TDY","2025-07-23","George Bobb","President and CEO at Teledyne Technologies Incorporated","Overall segment operating profit increased year-over-year, but GAAP and non-GAAP segment margin decreased year-over-year but increased sequentially, primarily due to comparatively lower current margins at our recently acquired businesses. For the Engineered Systems segment, second quarter revenue increased 3.3%, and segment operating profit increased 395 basis points due in part to a relatively easy comparison with last year, but also strong execution on a number of government programs. I will now pass the call back to Robert.","https://www.marketbeat.com/earnings/reports/2025-7-23-teledyne-technologies-incorporated-stock/"
"TDY","2025-07-23","Robert Mehrabian","Executive Chairman at Teledyne Technologies Incorporated","Thank you, George. In conclusion, I want to thank everyone at Teledyne for delivering double-digit top and bottom-line growth. Also, we're very optimistic about our long-term outlook. Our growth in our long-cycle business portfolio remains very stable. Most of our short-cycle businesses have returned to reasonable sales and orders growth. As I mentioned earlier, we're a bit cautious because of the near-term pullings, perhaps as a consequence of various tariff scenarios. Having said that, we remain very optimistic about the future given our portfolio and where the markets in our domain are moving. With that, I want to turn the call to Steve.","https://www.marketbeat.com/earnings/reports/2025-7-23-teledyne-technologies-incorporated-stock/"
