"symbol","report_date","speaker","title","msg","source_url"
"TRV","2025-10-16",NA,NA,"Good morning, ladies and gentlemen. Welcome to the third quarter results teleconference for Travelers Companies. We ask that you hold all questions until the completion of formal remarks, at which time you will be given instructions for the question and answer session. As a reminder, this conference is being recorded on October 16, 2025. At this time, I would like to turn the conference over to Ms. Abbe Goldstein, Senior Vice President of Investor Relations. Ms. Goldstein, you may begin.","https://www.marketbeat.com/earnings/reports/2025-10-16-the-travelers-companies-inc-stock/"
"TRV","2025-10-16","Abbe Goldstein","SVP of Investor Relations at Travelers","Thank you. Good morning and welcome to Travelers' discussion of our third quarter 2025 results. We released our press release, financial supplement, and webcast presentation earlier this morning. All of these materials can be found on our website at travelers.com under the Investors section. Speaking today will be Alan Schnitzer, Chairman and CEO, Dan Frey, CFO, and our three segment presidents: Greg Toczydlowski of Business Insurance, Jeff Klenk of Bond & Specialty Insurance, and Michael Klein of Personal Insurance. They will discuss the financial results of our business and the current market environment. They will refer to the webcast presentation as they go through prepared remarks, and then we will take questions. Before I turn the call over to Alan, I'd like to draw your attention to the explanatory note included at the end of the webcast presentation. Our presentation today includes forward-looking statements.","https://www.marketbeat.com/earnings/reports/2025-10-16-the-travelers-companies-inc-stock/"
"TRV","2025-10-16","Abbe Goldstein","SVP of Investor Relations at Travelers","The company cautions investors that any forward-looking statement involves risks and uncertainties and is not a guarantee of future performance. Actual results may differ materially from those expressed or implied in the forward-looking statements due to a variety of factors. These factors are described under forward-looking statements in our earnings press release and in our most recent 10-Q and 10-K filed with the SEC. We do not undertake any obligation to update forward-looking statements. Also, in our remarks or responses to questions, we may mention some non-GAAP financial measures. Reconciliations are included in our recent earnings press release, financial supplement, and other materials available in the Investor section on our website. I'd like to turn the call over to Alan Schnitzer.","https://www.marketbeat.com/earnings/reports/2025-10-16-the-travelers-companies-inc-stock/"
"TRV","2025-10-16","Alan Schnitzer","Chairman and CEO at Travelers","Thank you, Abbe. Good morning, everyone, and thank you for joining us today. We are pleased to report excellent third quarter results. We earned a core income of $1.9 billion or $8.14 per diluted share. The core return on equity for the quarter was 22.6%, bringing our core return on equity for the trailing 12 months to 18.7%. Very strong underwriting results and higher investment income drove the bottom line. Underwriting income of $1.4 billion pre-tax more than doubled compared to the prior year quarter, benefiting from both the lower level of catastrophe losses and higher underlying underwriting income. The underlying result was driven by higher net earned premiums and an underlying combined ratio that improved 1.7 points to an exceptional 83.9%. Underwriting income was higher in all three segments.","https://www.marketbeat.com/earnings/reports/2025-10-16-the-travelers-companies-inc-stock/"
"TRV","2025-10-16","Alan Schnitzer","Chairman and CEO at Travelers","Our high-quality investment portfolio also continued to perform well, generating after-tax net investment income of $850 million for the quarter, up 15%, driven by strong and reliable returns from our growing fixed income portfolio. Our underwriting and investment results, together with our strong balance sheet, enabled us to return almost $900 million of capital to shareholders during the quarter, including $628 million of share repurchases. At the same time, we continue to make strategic investments in our business. Even after this deployment of capital, adjusted book value per share was up 15% compared to a year ago. With strong results over the past year and a particularly light CAT quarter, we have a higher than usual level of excess capital and liquidity. Consequently, we anticipate a higher level of share repurchases over the next couple of quarters. Dan will have more to say about that in a minute.","https://www.marketbeat.com/earnings/reports/2025-10-16-the-travelers-companies-inc-stock/"
"TRV","2025-10-16","Alan Schnitzer","Chairman and CEO at Travelers","Turning to the top line, we grew net written premiums to $11.5 billion in the quarter. In Business Insurance, we grew net written premiums by 3% to $5.7 billion, led by 4% growth in our domestic business. Excluding the property line, we grew domestic net written premiums in the segment by more than 6%. The declining premium volume in property continues to be a large account dynamic. In fact, we grew property in both middle market and small commercial. We've seen this dynamic in the large property market before, and we won't compromise our underwriting discipline. Over time, particularly as catastrophic events inevitably unfold, the value of that discipline and the cost to those who abandon it will become unmistakable. Renewal premium and change in Business Insurance was 7.1%, driven by continued historically high RPC in our Middle Market and Select businesses.","https://www.marketbeat.com/earnings/reports/2025-10-16-the-travelers-companies-inc-stock/"
"TRV","2025-10-16","Alan Schnitzer","Chairman and CEO at Travelers","Excluding the property line, renewal premium change in the segment was a very strong 9%, and renewal rate change was a very strong 6.7%. Greg will share additional detail by line. Retention in the segment was 85%. Given the high quality of the book, we were very pleased with that result. In Bond & Specialty Insurance, we grew net written premiums to $1.1 billion, with higher renewal premium change and continued strong retention of 87% in our high-quality management liability business. Net written premiums in our market-leading surety business remained strong. In Personal Insurance, net written premiums were $4.7 billion, with strong renewal premium change in our homeowners business. You'll hear more shortly from Greg, Jeff, and Michael about our segment results. As we head toward the end of the year, our planning for 2026 is well underway. As always, that process involves assessing the environment ahead.","https://www.marketbeat.com/earnings/reports/2025-10-16-the-travelers-companies-inc-stock/"
"TRV","2025-10-16","Alan Schnitzer","Chairman and CEO at Travelers","There are uncertainties out there: economic, political, geopolitical, not to mention the loss environment. We are very confident that we're built and very well positioned for whatever lies ahead. We're operating from a position of considerable strength. Profitability is strong, reflecting our leading underwriting expertise and the operating leverage we've built through a sustained focus on productivity and efficiency. Our competitive advantages have never been stronger or more relevant. Strong underwriting is the flywheel that sets everything in motion. Our premium growth at attractive margins has generated strong cash flow, which enables us to make strategic investments in our business, return excess capital to shareholders, and grow our investment portfolio. Since 2016, we have successfully invested $13 billion in technology, returned more than $20 billion of excess capital to our shareholders, and grown our investment portfolio by nearly 50% to more than $100 billion. Scale matters, increasingly so.","https://www.marketbeat.com/earnings/reports/2025-10-16-the-travelers-companies-inc-stock/"
"TRV","2025-10-16","Alan Schnitzer","Chairman and CEO at Travelers","We have the scale to win in an environment where technology and AI will continue to segment the marketplace. We have a track record of identifying the right strategic priorities and driving value from them. You can see that in the 300 basis point reduction we've achieved in our expense ratio since 2016, even while we were significantly increasing our overall technology spend. Importantly, our size gives us the data to power AI, creating a virtuous cycle: better insights, better decisions, better outcomes, more resources to invest. For example, our long-time focus on organizing and curating data has given us access to more than 65 billion claim data points from decades of history across multiple business lines. We leverage that to sharpen our underwriting and shape our claim strategies.","https://www.marketbeat.com/earnings/reports/2025-10-16-the-travelers-companies-inc-stock/"
"TRV","2025-10-16","Alan Schnitzer","Chairman and CEO at Travelers","With the vast majority of our business in North America, we hold a leading position in the largest and most stable insurance market in the world, an advantage that insulates us from much of the risk arising from the economic instability and geopolitical uncertainty around the globe. Our fortress balance sheet and exceptional cash flow provide us with the financial strength to invest consistently in the business, regardless of the external conditions. Our financial strength also enables us to manage comfortably through large loss events like the January California wildfires. When it comes to the loss environment, from weather volatility to the impact of social inflation on casualty lines, no one is better positioned. Diversification provides powerful protection. In fact, our business mix produces a consolidated loss ratio that's actually less volatile than the loss ratio of our least volatile segment. That's the power of a balanced and diversified portfolio.","https://www.marketbeat.com/earnings/reports/2025-10-16-the-travelers-companies-inc-stock/"
