"symbol","report_date","speaker","title","msg","source_url"
"UDR","2025-07-30",NA,NA,"Greetings and welcome to UDR's Second Quarter 2025 Earnings Call. If anyone should require operator assistance during the conference, please press star zero from your telephone keypad. As a reminder, this call is being recorded. It is now my pleasure to introduce your host, Vice President of Investor Relations, Trent Trujillo. Thank you, Mr. Trujillo. You may now begin.","https://www.marketbeat.com/earnings/reports/2025-7-30-udr-inc-stock/"
"UDR","2025-07-30","Trent Trujillo","VP of Investor Relations at UDR","Thank you and welcome to UDR's quarterly financial results conference call. Our press release and supplemental disclosure package were distributed yesterday afternoon and posted to the Investor Relations section of our website, ir.udr.com. In the supplement, we have reconciled all non-GAAP financial measures to the most directly comparable GAAP measure in accordance with Reg G requirements. Statements made during this call, which are not historical, may constitute forward-looking statements. Although we believe the expectations reflected in any forward-looking statements are based on reasonable assumptions, we can give no assurance that our expectations will be met. A discussion of risks and risk factors are detailed in our press release and included in our filings with the SEC. We do not undertake a duty to update any forward-looking statements.","https://www.marketbeat.com/earnings/reports/2025-7-30-udr-inc-stock/"
"UDR","2025-07-30","Trent Trujillo","VP of Investor Relations at UDR","When we get to the question and answer period, we ask that you be respectful of everyone's time and limit your questions to one plus a follow-up. Management will be available after the call for your questions that did not get answered during the Q&A session today. I will now turn the call over to UDR's Chairman and CEO, Tom Toomey.","https://www.marketbeat.com/earnings/reports/2025-7-30-udr-inc-stock/"
"UDR","2025-07-30","Tom Toomey","Chairman and CEO at UDR","Thank you, Trent, and welcome to UDR's second quarter 2025 conference call. Presenting on the call with me today are President and Chief Investment Officer Joe Fisher and Chief Operating Officer Mike Lacy. Chief Financial Officer Dave Bragg and Senior Officers Andrew Cantor and Chris Van Ens will also be available during the Q&A portion of the call. The wind has been at our back in 2025, with employment and income growth exceeding consensus expectations, relative affordability squarely in the favor of apartments, and new supply pressures waning. This led to a healthy demand for apartments and record-high absorption through the first six months of the year. This fundamental backdrop and our core operating strategies drove accelerating pricing power: higher resident retention, lower concessions, and strong expense control.","https://www.marketbeat.com/earnings/reports/2025-7-30-udr-inc-stock/"
"UDR","2025-07-30","Tom Toomey","Chairman and CEO at UDR","As a result, our second quarter and first half same-store revenue, expense, and NOI growth all exceeded our initial guidance provided back in February. The factors that are in our control have been working in our favor, and these positive trends led us to raise our full-year FFOA per share guidance while also increasing our same-store growth expectations in yesterday's release. Mike will provide additional details in his remarks. Moving on, we feel good about year-to-date results and the opportunities ahead of us in the second half of the year. Our strategy and operating tactics will continue to be influenced by our customers and items that are in our control as we drive total revenue growth. This includes, first, creating value from our customer experience project. Listening and responding to our associates and residents shapes our long-term strategy, capital allocation decisions, and enhances the UDR living experience.","https://www.marketbeat.com/earnings/reports/2025-7-30-udr-inc-stock/"
"UDR","2025-07-30","Tom Toomey","Chairman and CEO at UDR","We continue to uncover actionable insight through the millions of daily touchpoints with existing and prospective residents, which we utilize to improve retention, expand operating margin, and drive cash flow. Second, executing on our innovation. The initiatives that we've implemented continue to drive high single-digit growth from rentable items, which increases our same-store revenue and NOI results. With a robust pipeline of current and future initiatives, we expect to produce attractive growth for many years to come. Third, we continue to deploy capital to drive earnings accretion, including development, redevelopment, and debt and preferred equity investments. This activity is supported by our investment-grade balance sheet with substantial liquidity to fully fund our capital needs. This strength affords us the ability to pivot capital to the most attractive investment option among our wide range of value creation capabilities.","https://www.marketbeat.com/earnings/reports/2025-7-30-udr-inc-stock/"
"UDR","2025-07-30","Tom Toomey","Chairman and CEO at UDR","Continuing on, I'm happy to report that UDR has recently been named top workplace winner in the real estate industry for the second consecutive year. This achievement reflects the culture we have built, solidifies our stature as an employer of choice, and deepens our rich history as a leader of corporate stewardship. Finally, I'm excited to welcome Dave Bragg to UDR as our new Chief Financial Officer. Dave started with us last week and brings a wealth of industry experience and executive leadership to the team. We look forward to his ability to advance our strategic initiatives as well as grow the company. For a moment, stepping back and thinking about the big picture, housing is a needs-based business with favorable supply and demand dynamics that are tilted even more in our favor.","https://www.marketbeat.com/earnings/reports/2025-7-30-udr-inc-stock/"
"UDR","2025-07-30","Tom Toomey","Chairman and CEO at UDR","I remain optimistic about the long-term prospects for the apartment industry and UDR's unique competitive advantages that should enhance our growth. We will continue to leverage factors in our control to improve the UDR living experience and the value proposition we offer to our associates and residents. This, in turn, will drive cash flow growth today, tomorrow, and in the future to the benefit of our investors. With that, I'll turn the call over to Mike.","https://www.marketbeat.com/earnings/reports/2025-7-30-udr-inc-stock/"
"UDR","2025-07-30","Mike Lacy","COO at UDR","Thanks, Tom. Today, I'll cover the following topics: our second-quarter same-store results, our improved full-year 2025 same-store growth guidance, including underlying assumptions, and expectations for operating trends across our regions. To begin, second-quarter year-over-year same-store revenue and NOI growth of 2.5% and 2.9%, respectively, were better than expected and were driven by, first, 2.8% blended lease rate growth, which was a result of renewal rate growth of 5% and new lease rate growth of positive 30 basis points. Our blends accelerated 190 basis points compared to the first quarter, which is 70 basis points higher than our historical sequential acceleration between the first quarter and second quarter. As a result, our first-half blended lease rate growth of 2% was 20 basis points above the high end of our guidance range.","https://www.marketbeat.com/earnings/reports/2025-7-30-udr-inc-stock/"
"UDR","2025-07-30","Mike Lacy","COO at UDR","Second, annualized resident turnover was 420 basis points below the prior year period and more than 1,100 basis points better than our second-quarter average over the last 10 years. This enabled us to accelerate renewal rate growth, which led to more favorable blended lease rate growth. Third, occupancy averaged 96.9%, which was 30 basis points higher than our historical second-quarter average. Our strategic decision to build occupancy during the seasonally slower leasing period of the fourth quarter of 2024 and the first quarter of 2025 put us in a position of strength to drive revenue and NOI outperformance to start the year. Fourth, income growth from rentable items was 10%, driven by continued innovation along with the delivery of value-added services to our residents. Shifting to expenses, year-over-year same-store expense growth of only 1.7% in the second quarter came in much better than expectations.","https://www.marketbeat.com/earnings/reports/2025-7-30-udr-inc-stock/"
"UDR","2025-07-30","Mike Lacy","COO at UDR","These positive results were primarily driven by favorable real estate taxes and insurance savings, which collectively account for nearly 45% of total expenses. Based on our year-to-date results, we raised our full-year 2025 same-store growth guidance in conjunction with yesterday's release. Starting with same-store revenue growth, we raised our midpoint by 25 basis points, resulting in a new range of 1.75%-3.25%. The primary building blocks to achieve the 2.5% midpoint include the following. First, our 2025 earn-in of 60 basis points. Second, a 90 basis point contribution from blended lease rate growth, which is unchanged versus our prior guidance. Our expectations for blended lease rate growth in the second half of the year have come down versus prior guidance, but outperformance in the first half of the year enables us to maintain the contribution to 2025 same-store revenue growth.","https://www.marketbeat.com/earnings/reports/2025-7-30-udr-inc-stock/"
"UDR","2025-07-30","Mike Lacy","COO at UDR","For the full year, we now forecast blended lease rate growth to be approximately 2%. This implies blends in the second half of the year are comparable to the first half, and we assume typical seasonality with third-quarter blends that are higher than the fourth quarter. Our outperformance in the first half of the year mitigates potential variability in blends through the end of the year. To illustrate this, every 50 basis point deviation to our second-half blended lease rate growth equates to approximately 10 basis points of same-store revenue growth. Third, a 20 basis point contribution from the combination of occupancy and bad debt, which is an increase of 10 basis points versus our prior guidance. Fourth, an 80 basis point contribution from other operating initiatives and rentable items, which is an increase of 15 basis points versus our prior guidance.","https://www.marketbeat.com/earnings/reports/2025-7-30-udr-inc-stock/"
"UDR","2025-07-30","Mike Lacy","COO at UDR","Moving on to same-store expense growth, we lowered our midpoint by 50 basis points to 3%. The improvement was primarily driven by the year-to-date outperformance across insurance and real estate taxes. Our expectations for expense growth in the second half of 2025 are slightly lower versus our prior guidance. Turning to regional results, our coastal markets have exceeded our expectations, while our Sunbelt markets have performed largely in line. More specifically, the East Coast, which comprises approximately 40% of our NOI, continued to exhibit strength with second-quarter weighted average occupancy of 97.2% and blended lease rate growth of 4%. Year-to-date same-store revenue growth of approximately 4.1% is slightly above the high end of our initial full-year expectations for the region. Healthy demand and relatively low approximate new supply completions support a favorable operating environment going forward.","https://www.marketbeat.com/earnings/reports/2025-7-30-udr-inc-stock/"
"UDR","2025-07-30","Mike Lacy","COO at UDR","The West Coast, which comprises approximately 35% of our NOI, has demonstrated the strongest positive momentum and performed better than expected year-to-date. Second-quarter weighted average occupancy for the West Coast was 96.9%, and blended lease rate growth led all regions at 4.2%. Year-to-date same-store revenue growth of 3% is close to the high end of our initial full-year expectation for the region. We continue to see particularly strong momentum in the San Francisco Bay Area and Seattle, which are now two of our top-performing markets in terms of year-to-date NOI growth. Annual new supply completions are low at 1% to 1.5% of existing stock on average across our West Coast markets, which we expect will lead to a supply-demand dynamic remaining favorable in the coming quarters.","https://www.marketbeat.com/earnings/reports/2025-7-30-udr-inc-stock/"
"UDR","2025-07-30","Mike Lacy","COO at UDR","Lastly, our Sunbelt markets, which comprise roughly 25% of our NOI, still lag our coastal markets on an absolute basis due to the lingering effects of elevated levels of new supply. Positively, this supply continues to be met with demand and strong absorption. With supply pressures expected to decrease and forecasts for job growth remaining higher than our other regions, it is only a matter of time until pricing power returns. Second-quarter weighted average occupancy for our Sunbelt markets was 96.7%. Blended lease rate growth improved by approximately 200 basis points sequentially versus the first quarter. Year-to-date same-store revenue growth is slightly negative, which approximates the low end of our initial full-year expectations for the region. Among our Sunbelt markets, Tampa continues to perform the best. To conclude, we delivered strong second-quarter and first-half 2025 results.","https://www.marketbeat.com/earnings/reports/2025-7-30-udr-inc-stock/"
"UDR","2025-07-30","Mike Lacy","COO at UDR","Same-store revenue, expense, and NOI growth were all better than expectations and near the high end of the respective full-year guidance ranges. We are encouraged by the resiliency of various demand indicators, such as year-to-date job and wage growth, which have outpaced consensus estimates at the onset of the year. In turn, this has supported strong demand and record-high absorption of newly delivered apartment communities. Demand for apartments is outpacing supply across many markets, and the elevated cost of homeownership, coupled with a material undersupply of housing in the U.S., should bode well for occupancy and pricing going forward. To close, our diversified portfolio and continued innovation enable us to tactically adjust our operating strategy for each market to maximize revenue and NOI growth, thereby leveraging the positive fundamentals we see across our industry.","https://www.marketbeat.com/earnings/reports/2025-7-30-udr-inc-stock/"
"UDR","2025-07-30","Mike Lacy","COO at UDR","My thanks go out to our teams across the country for your dedication to operating excellence and ability to drive strong results. I'll now turn over the call to Joe.","https://www.marketbeat.com/earnings/reports/2025-7-30-udr-inc-stock/"
"UDR","2025-07-30","Joe Fisher","President and CIO at UDR","Thank you, Mike. The topics I will cover today include our second-quarter results and our updated full-year guidance, a summary of recent transactions and capital markets activity, and a balance sheet and liquidity update. Our second-quarter FFOA per share is $0.64, exceeding the high end of our previously provided guidance. The three-penny, or 5% sequential FFOA per share increase was driven by a two-penny increase from same-store NOI, with contributions from both higher-than-expected revenue growth and lower-than-expected expense growth, and a one-penny contribution from the collection of previously unaccrued interest related to one of our former debt and preferred equity investments. Year-to-date results have exceeded our initial expectations, which led us to raise our FFOA per share guidance range. Our new full-year 2025 FFOA per share guidance range is $2.49 to $2.55. The $2.52 midpoint represents a two-penny per share, or approximately 1% improvement compared to our prior guidance.","https://www.marketbeat.com/earnings/reports/2025-7-30-udr-inc-stock/"
"UDR","2025-07-30","Joe Fisher","President and CIO at UDR","Looking ahead, our third-quarter FFOA per share guidance range is $0.62-$0.64. The $0.63 midpoint reflects our expectation of stable sequential core results, with the one-penny sequential decrease attributable to a difficult comparison from outsized debt and preferred equity income recognized during the second quarter. Next, a transactions and capital markets update. First, during the quarter, we acquired the developer's equity interest and consolidated the apartment community in Philadelphia, formerly known as 1300 Fairmount. Our investment in the community, now known as Broadridge, was previously reflected as a $183 million loan in our debt and preferred equity portfolio, which was on non-accrual status. Upon acquisition, the developer paid a portion of previously unaccrued interest, which resulted in UDR recognizing approximately $4 million of income above and beyond the NOI generated from the apartment community during the quarter.","https://www.marketbeat.com/earnings/reports/2025-7-30-udr-inc-stock/"
