"symbol","report_date","speaker","title","msg","source_url"
"ULTA","2025-05-29",NA,NA,"Good afternoon, everyone. My name is Leila, and I will be your conference operator today. At this time, I would like to welcome you to Ulta Beauty's first quarter 2025 earnings call. This conference is being recorded, and all lines have been placed on mute to prevent any background noise. After the speakers prepare remarks, there will be a question-and-answer session. At this time, I would like to turn the call over to Ms. Kiley Rawlins, Senior Vice President of Investor Relations. Ms. Rawlins, please proceed.","https://www.marketbeat.com/earnings/reports/2025-5-29-ulta-beauty-inc-stock/"
"ULTA","2025-05-29","Kiley Rawlins","SVP of Investor Relations at Ulta Beauty","Thank you, Leila. Good afternoon, everyone, and thank you for joining us for a discussion of Ulta Beauty's results for the first quarter of fiscal 2025. Hosting our call today are Kecia Steelman, President and Chief Executive Officer, and Paula Oyibo, Chief Financial Officer. Before we begin, I'd like to remind you of the company's safe harbor language. Many of our remarks today will contain forward-looking statements, which speak only as of today, May 29, 2025. We refer you to our earnings release and SEC filings, where you will find a number of factors which could cause actual results to differ materially from these forward-looking statements. We caution you not to place undue reliance on these forward-looking statements, which speak only as of today, May 29, 2025.","https://www.marketbeat.com/earnings/reports/2025-5-29-ulta-beauty-inc-stock/"
"ULTA","2025-05-29","Kiley Rawlins","SVP of Investor Relations at Ulta Beauty","We have no obligation to update or revise our forward-looking statements except as required by law, and you should not expect us to do so. Following our prepared remarks, we'll open the call for questions. To allow us to accommodate as many questions as possible during the hours scheduled for this call, we respectfully ask that you limit your time to one question. If you have additional questions, please re-queue. As always, the IR team will be available for any follow-up questions after the call. Now I'll turn the call over to Kecia. Kecia.","https://www.marketbeat.com/earnings/reports/2025-5-29-ulta-beauty-inc-stock/"
"ULTA","2025-05-29","Kecia Steelman","President and CEO at Ulta Beauty","Thank you, Kiley, and good afternoon, everyone. Today, I'll highlight overall performance, update you on the progress we made across our strategic priorities, and talk to you about our outlook for the future. Fiscal 2025 is off to an encouraging start, with the Ulta Beauty team delivering better-than-planned financial performance. For the first quarter, net sales increased 4.5% to $2.8 billion. Operating profit was 14.1% of sales, and diluted earnings per share was $6.70. During the quarter, amidst considerable macro noise and uncertainty, guests responded positively to key actions that we took to drive our business, including improved execution, exciting new and exclusive brand launches, evolved promotional plans, and relevant marketing. As a result, we drove improvement across several key performance indicators, including member growth, brand engagement, and earned media value, as well as in-store conversion and app engagement. Importantly, these efforts resulted in market share gains during the quarter.","https://www.marketbeat.com/earnings/reports/2025-5-29-ulta-beauty-inc-stock/"
"ULTA","2025-05-29","Kecia Steelman","President and CEO at Ulta Beauty","Consumer engagement with beauty remains healthy, and our insights indicate beauty and wellness remain a top priority for beauty enthusiasts, who tell us that they're more willing to make trade-offs in other discretionary areas to maintain their beauty regimens. At the same time, they are cautious, and value is an increasingly important priority as they navigate ongoing wallet pressures. Many consumers indicate that they're leaning into beauty as a comfort and escape from the stress of macro uncertainty, and we expect this emotional connection will support the category's resilience going forward. Our teams are working through all these dynamics to ensure that we are well-positioned to deliver on our guest-evolving needs and are working in close partnership with our brands to mitigate potential impacts of higher tariffs.","https://www.marketbeat.com/earnings/reports/2025-5-29-ulta-beauty-inc-stock/"
"ULTA","2025-05-29","Kecia Steelman","President and CEO at Ulta Beauty","In March, I shared our Ulta Beauty Unleashed plan, which is designed to accelerate our performance and enable us to achieve our long-term goals and reassert our leadership position. Today, I'll share progress we've made and highlight the key components of our strategy that drove our first quarter performance. Let me begin with all of our efforts to drive our core business growth, where we're focused on driving excellence in all areas of our operations and strengthening our go-to-market approach. Our teams have sharpened their focus on delighting our guests with every interaction and ensuring our stores are fully stocked, staffed, clean, and inviting. Our teams executed well, particularly for key events and holidays, delivering a very successful 21 Days of Beauty campaign along with strong Valentine's Day and Easter performance and drove comp growth across many of our major categories.","https://www.marketbeat.com/earnings/reports/2025-5-29-ulta-beauty-inc-stock/"
"ULTA","2025-05-29","Kecia Steelman","President and CEO at Ulta Beauty","I am incredibly proud of our store and field teams, whose collective efforts drove improved in-store conversion and guest satisfaction and positive comp sales growth in stores for the first time in more than a year. From a category perspective, fragrance was our strongest-performing category, delivering double-digit growth, primarily driven by newness in women's and gender-neutral fragrance brands, spring and Valentine's Day sets, and continued strength in men's fragrance. New and exclusive brands, XO Khlo̩ by Khlo̩ Kardashian and NYX, as well as newness from Valentino and Billie Eilish, contributed to strong category performance. Sales in the skincare and wellness category increased in the high single-digit range, driven by robust growth in body care, sun care, and wellness. Prestige skincare was flat for the quarter, while mass skincare decreased modestly.","https://www.marketbeat.com/earnings/reports/2025-5-29-ulta-beauty-inc-stock/"
"ULTA","2025-05-29","Kecia Steelman","President and CEO at Ulta Beauty","New brands, including Tatcha, Naturium, and Anua, as well as trend-relevant brands Maylis and exclusive K-Beauty brand Peach and Lily, resonated with guests, while expansions of Sol de Janeiro and Touchland also contributed to category growth. The hair care category was roughly flat for the quarter, with growth in hair color and accessories offset by decreases in hair care tools and mass hair care. Professional hair care was flat, with growth from Nunes, offset by a timing shift of a key promotional event. Nunes was fueled by the much-anticipated debut of Beyonc̩'s C̩cred Haircare line in early April, which included a unique services activation. Comp sales in the makeup category decreased slightly, driven by mass makeup, as strong Nunes from exclusive brand Morphe and Ulta Beauty Collection did not fully offset headwinds from certain brands, which lapped strong Nunes and social engagement in the period last year.","https://www.marketbeat.com/earnings/reports/2025-5-29-ulta-beauty-inc-stock/"
"ULTA","2025-05-29","Kecia Steelman","President and CEO at Ulta Beauty","Prestige makeup was flat for the quarter. Guest engagement with newer brands, Ilia, Milk Makeup, and Dibs, as well as exclusive launches from MAC, Est̩e Lauder, and Lanc̫me, offset headwinds from brands which have experienced increased distribution. Additionally, our spring 21 Days of Beauty event delivered strong growth for participating brands. Finally, services delivered low single-digit comp, driven by salon and specialty services, including ear piercing and makeup services. We also brought beauty to life in our stores through our always-on eventing strategy, which was amplified in our online channels with new tools that aim to drive greater awareness and sales. We hosted more than 20,000 in-store events during the quarter, many in partnership with our brands. Moving to marketing, we are evolving and reimagining our go-to-market strategy to spark excitement and awareness, deepen engagement, and attract and retain loyalty members.","https://www.marketbeat.com/earnings/reports/2025-5-29-ulta-beauty-inc-stock/"
"ULTA","2025-05-29","Kecia Steelman","President and CEO at Ulta Beauty","This quarter, our integrated marketing delivered bold, relevant campaigns that elevated brand visibility and drove traffic across all channels. We activated key moments with precision. Our Super Bowl campaign, which celebrated women in sports, delivered record-level social impressions and engagement, amplifying reach and cultural relevance on the biggest stage in pop culture. 21 Days of Beauty in Spring Hall generated strong traffic and conversion, powered by creator-led content that built anticipation and drove significant increases in member penetration. Following the successful launch of Beyonc̩'s C̩cred, we announced Ulta Beauty as the official beauty retail partner of our Cowboy Carter tour, a powerful collaboration featuring curated beauty looks, exclusive product assortments, and immersive brand experiences across tour markets.","https://www.marketbeat.com/earnings/reports/2025-5-29-ulta-beauty-inc-stock/"
"ULTA","2025-05-29","Kecia Steelman","President and CEO at Ulta Beauty","Finally, in April, we hosted our inaugural Ulta Beauty World, an experiential beauty event giving about 1,400 Ulta Beauty fans and influencers the opportunity to explore the best of beauty through live demos with our brands, brand founder meet-and-greets, and interactive experiences across makeup, skincare, hair, fragrance, and wellness. We are bringing the Ulta Beauty brand to life in new and exciting ways, and our guests are responding. We expanded our active loyalty member base to a record 45 million, up 3% year-over-year, while also driving higher engagement, record social impressions, and meaningful earned media value. Turning to brand building, during the quarter, we launched 19 new brands, many of which are exclusive to Ulta Beauty. Newly launched brands like Tatcha, Milk Makeup, Ilia, Salter all performed well and drove strong guest engagement.","https://www.marketbeat.com/earnings/reports/2025-5-29-ulta-beauty-inc-stock/"
"ULTA","2025-05-29","Kecia Steelman","President and CEO at Ulta Beauty","At the same time, exclusive brands are driving growth, including Dibs Beauty, an influencer-led makeup brand, along with Anua, a viral K-Beauty brand, and Sniff, a clean, vegan, cruelty-free fragrance brand with accessible price points. We're pleased to see that our brand-building efforts are resonating with guests, and we're optimistic about new brand launches and activations planned for Q2 and the rest of the year. Turning to digital and personalization, we're accelerating our capabilities to deepen guest connection and drive performance. We've expanded automation and real-time content delivery across key digital channels, allowing us to respond faster, personalize at scale, and enhance the overall guest experience. We also rolled out new features, including split cart capabilities and new Shop My Store app functionality that provides guests real-time visibility to store assortment and inventory. These efforts are translating into stronger engagement, increased relevance, and measurable business impact.","https://www.marketbeat.com/earnings/reports/2025-5-29-ulta-beauty-inc-stock/"
"ULTA","2025-05-29","Kecia Steelman","President and CEO at Ulta Beauty","We look forward to building on our momentum and adding new digital enhancements in the coming quarters. Moving to our second strategic priority to scale new and accretive businesses to capitalize on key growth opportunities and ensure that we remain resilient in a rapidly changing world. As we look to the near-term actions we've taken to scale our new businesses, during the first quarter, we supported our wellness efforts with the launch of nine new wellness brands online, including several nutrition-focused supplement and ingestible brands like Garden of Life, women's care brand HATCH Mama, and sleep-related fan favorite nodpod. We also continue to enhance and expand our retail media network, Yubi Media. We capitalized on key opportunities for co-branded ads to support 21 Days of Beauty, which drove engagement and incremental ad revenue.","https://www.marketbeat.com/earnings/reports/2025-5-29-ulta-beauty-inc-stock/"
"ULTA","2025-05-29","Kecia Steelman","President and CEO at Ulta Beauty","In addition, we began piloting new ad products like connected television and streaming audio and brand support capabilities like our new self-service tool to provide faster, more transparent performance insights. At the same time, we're making investments to drive our long-term expansion. Our international efforts are progressing through our partnerships. We are targeting our first store openings in Mexico City, Kuwait City, and Dubai later this year. Our online marketplace initiative announcement in March has driven meaningful brand interest, and we remain on track for launch in the second half of this year. Finally, moving to our third strategic priority to realign our foundation for the future by streamlining our cost structure, optimizing our ways of working, and re-energizing our culture. Our teams are adapting well to our new ways of working, and we are steadily advancing our optimization efforts.","https://www.marketbeat.com/earnings/reports/2025-5-29-ulta-beauty-inc-stock/"
"ULTA","2025-05-29","Kecia Steelman","President and CEO at Ulta Beauty","During the quarter, we leveraged new AI and machine learning capabilities to drive supply chain efficiencies and launch scheduling and enhanced payroll management tools to optimize our efforts and support our cost-saving goals. We also announced that Lauren Brindley will join Ulta Beauty next week on June 3rd as Chief Merchandising and Digital Officer. Lauren will have responsibility for our merchandising, e-commerce, wellness, and marketplace strategies and will play an important role in leading our brand-building efforts. With more than two decades of global beauty and retail expertise, having most recently served as CEO of Revolution Beauty, Lauren is a proven strategic leader with deep industry expertise, a global perspective, and a passion for beauty, and we are thrilled to have her join the team.","https://www.marketbeat.com/earnings/reports/2025-5-29-ulta-beauty-inc-stock/"
"ULTA","2025-05-29","Kecia Steelman","President and CEO at Ulta Beauty","My sincere thanks to Monica Arnaudo, who will retire next month, for shaping Ulta Beauty's world-class assortment and category innovation and her support during this transition. We wish Monica all the best in her retirement. On our last quarterly earnings call, I talked about our focus on re-energizing our culture. I truly believe that we have the best talent and culture in retail, and reigniting this critical competitive advantage has been a key priority. In April, we brought together our field leaders, including more than 1,400 general managers, along with corporate and DC leaders and brand partners at our annual field leadership conference to celebrate our recent wins, educate on how we can better serve our guests, and align on our plans for the future.","https://www.marketbeat.com/earnings/reports/2025-5-29-ulta-beauty-inc-stock/"
