"symbol","report_date","speaker","title","msg","source_url"
"VLO","2025-07-24",NA,NA,"Greetings and welcome to Valero Energy Corp second quarter 2025 earnings conference call. At this time, all participants are on a listen only mode. A question and answer session will follow the formal presentation. If anyone requires operator assistance during the conference, please press Star 0 on your telephone keypad. As a reminder, this conference is being recorded. It is now my pleasure to introduce your host, Homer Bhullar, Vice President, Investor Relations and Finance. Thank you. Please go ahead.","https://www.marketbeat.com/earnings/reports/2025-7-24-valero-energy-co-stock/"
"VLO","2025-07-24","Homer Bhullar","VP of Investor Relations and Finance at Valero Energy Corporation","Good morning everyone and welcome to Valero Energy Corporation's second quarter 2025 earnings conference call. With me today are Lane Riggs, our Chairman, CEO and President, Jason Fraser, our Executive Vice President and CFO, Gary Simmons, our Executive Vice President and COO, Rich Walsh, our Executive Vice President and General Counsel, and several other members of Valero's senior management team. If you have not received the earnings release and would like a copy, you can find one on our website at investorvalero.com. Also attached to the earnings release are tables that provide additional financial information on our business segments and reconciliations and disclosures for adjusted financial metrics mentioned on this call. If you have any questions after reviewing these tables, please feel free to contact our investor relations team after the call. I would now like to direct your attention to the forward-looking statement disclaimer contained in the press release.","https://www.marketbeat.com/earnings/reports/2025-7-24-valero-energy-co-stock/"
"VLO","2025-07-24","Homer Bhullar","VP of Investor Relations and Finance at Valero Energy Corporation","In summary, it says that statements in the press release and on this conference call that state the company's or management's expectations or predictions of the future are forward-looking statements intended to be covered by the safe harbor provisions under federal securities laws. There are many factors that could cause actual results to differ from our expectations, including those we have described in our earnings release and filings with the SEC. Now I will turn the call over to Lane for opening remarks.","https://www.marketbeat.com/earnings/reports/2025-7-24-valero-energy-co-stock/"
"VLO","2025-07-24","Lane Riggs","Chairman, CEO, and President at Valero Energy Corporation","Thank you, Homer, and good morning, everyone. We are pleased to report solid financial results for the second quarter driven by our strong operational and commercial execution. In fact, we set a record for refining throughput rate in our U.S. Gulf Coast region in the second quarter, demonstrating the benefits of our investments in growth and optimization projects. Refining margins were supported by strong product demand against the backdrop of low product and inventories globally. In particular, early July, U.S. diesel inventories and days of supply are at the lowest level for the month in almost 30 years. We continue to see strong demand with our quarterly diesel sales volumes up approximately 10% over the same period last year and gasoline sales about the same as last year.","https://www.marketbeat.com/earnings/reports/2025-7-24-valero-energy-co-stock/"
"VLO","2025-07-24","Lane Riggs","Chairman, CEO, and President at Valero Energy Corporation","On the financial side, we continue to honor our commitment to shareholder returns with a payout ratio of 52% in the second quarter, and last week, we announced a quarterly cash dividend on our common stock of $1.13 per share. On the strategic front, we continue to progress the FCC unit optimization project at St. Charles that will enable the refinery to increase the yield of high valued products, including high octane alkylates. The project is expected to cost $230 million to start up in 2026. Looking ahead, we remain optimistic on refining fundamentals with several planned refinery closures this year and a limited announced capacity addition to beyond 2025. Additionally, we expect our sour crude oil differentials to widen as OPEC and Canada continue to increase production during the third and fourth quarters.","https://www.marketbeat.com/earnings/reports/2025-7-24-valero-energy-co-stock/"
"VLO","2025-07-24","Lane Riggs","Chairman, CEO, and President at Valero Energy Corporation","In closing, we remain committed to maintain our track record of commercial and operational excellence, which has been the hallmark of our strategy for over a decade. Our commitment remains underpinned by a strong balance sheet that also provides us plenty of financial flexibility. With that, Homer, I'll hand the call back to you.","https://www.marketbeat.com/earnings/reports/2025-7-24-valero-energy-co-stock/"
"VLO","2025-07-24","Homer Bhullar","VP of Investor Relations and Finance at Valero Energy Corporation","Thanks, Lane. For the second quarter of 2025, net income attributable to Valero stockholders was $714 million, or $2.28 per share, compared to $880 million, or $2.71 per share for the second quarter of 2024. The Refining segment reported $1.3 billion of operating income for the second quarter of 2025 compared to $1.2 billion for 2024. Refining throughput volumes in the second quarter of 2025 averaged 2.9 million barrels per day, or 92% throughput capacity utilization. Refining cash operating expenses were $4.91 per barrel in the second quarter of 2025. The Renewable Diesel segment reported an operating loss of $79 million for the second quarter of 2025, compared to operating income of $112 million for the second quarter of 2024. Renewable Diesel sales volumes averaged 2.7 million gallons per day in the second quarter of 2025.","https://www.marketbeat.com/earnings/reports/2025-7-24-valero-energy-co-stock/"
"VLO","2025-07-24","Homer Bhullar","VP of Investor Relations and Finance at Valero Energy Corporation","The Ethanol segment reported $54 million of operating income for the second quarter of 2025 compared to $105 million for the second quarter of 2024. Ethanol production volumes averaged 4.6 million gallons per day in the second quarter of 2025. For the second quarter of 2025, G&A expenses were $220 million, net interest expense was $141 million and income tax expense was $279 million. Depreciation and amortization expense was $814 million, which includes approximately $100 million of incremental depreciation expense related to our plan to cease refining operations at our Benicia refinery by the end of April 2026. Net cash provided by operating activities was $936 million in the second quarter of 2025. Included in this amount was a $325 million unfavorable impact from working capital and $86 million of adjusted net cash used in operating activities associated with the other joint venture member share of Diamond Green Diesel.","https://www.marketbeat.com/earnings/reports/2025-7-24-valero-energy-co-stock/"
"VLO","2025-07-24","Homer Bhullar","VP of Investor Relations and Finance at Valero Energy Corporation","Excluding these items, adjusted net cash provided by operating activities was $1.3 billion. Regarding investing activities, we made $407 million of capital investments in the second quarter of 2025, of which $371 million was for sustaining the business, including costs for turnarounds, catalysts, and regulatory compliance, and the balance was for growing the business, excluding capital investments attributable to the other joint venture member share of Diamond Green Diesel and other variable interest entities. Capital investments attributable to Valero were $399 million in the second quarter of 2025. Moving to financing activities, we returned $695 million to our stockholders in the second quarter of 2025, of which $354 million was paid as dividends and $341 million was for the purchase of approximately 2.6 million shares of common stock, resulting in a payout ratio of 52% for the quarter.","https://www.marketbeat.com/earnings/reports/2025-7-24-valero-energy-co-stock/"
"VLO","2025-07-24","Homer Bhullar","VP of Investor Relations and Finance at Valero Energy Corporation","Year to date, we have returned over $1.3 billion through dividends and stock buybacks for a payout ratio of 60%. As Lane mentioned, on July 17th we announced a quarterly cash dividend on common stock of $1.13 per share. With respect to our balance sheet, we repaid the outstanding principal balance of $251 million of 2.85% senior notes that matured in April. We ended the quarter with $8.4 billion of total debt, $2.3 billion of total finance lease obligations, and $4.5 billion of cash and cash equivalents. The debt to capitalization ratio net of cash and cash equivalents was 19% as of June 30, 2025, and we ended the quarter well capitalized with $5.3 billion of available liquidity.","https://www.marketbeat.com/earnings/reports/2025-7-24-valero-energy-co-stock/"
"VLO","2025-07-24","Homer Bhullar","VP of Investor Relations and Finance at Valero Energy Corporation","Exc.","https://www.marketbeat.com/earnings/reports/2025-7-24-valero-energy-co-stock/"
"VLO","2025-07-24","Homer Bhullar","VP of Investor Relations and Finance at Valero Energy Corporation","Turning to guidance, we still expect capital investments attributable to Valero for 2025 to be approximately $2 billion, which includes expenditures for turnarounds, catalysts, regulatory compliance, and joint venture investments. About $1.6 billion of that is allocated to sustaining the business and the balance to growth. For modeling our third quarter operations, we expect refining throughput volumes to fall within the following ranges: Gulf Coast at 1.76-1.81 million barrels per day, Mid Continent at 430,000-450,000 barrels per day, West Coast at 240,000-260,000 barrels per day, and North Atlantic at 465,000-485,000 barrels per day. We expect refining cash operating expenses in the third quarter to be approximately $4.8 per barrel. With respect to the renewable diesel segment, we still expect sales volumes to be approximately 1.1 billion gallons in 2025, reflecting lower production volumes due to economics.","https://www.marketbeat.com/earnings/reports/2025-7-24-valero-energy-co-stock/"
"VLO","2025-07-24","Homer Bhullar","VP of Investor Relations and Finance at Valero Energy Corporation","Operating expenses in 2025 should be $0.53 per gallon, which includes $0.24 per gallon for non-cash costs such as depreciation and amortization. Our ethanol segment is expected to produce 4.6 million gallons per day in the third quarter. Operating expenses should average $0.40 per gallon, which includes $0.05 per gallon for non-cash costs such as depreciation and amortization. For the third quarter, net interest expense should be about $135 million. Total depreciation and amortization expense in the third quarter should be approximately $810 million, which includes approximately $100 million of incremental depreciation expense related to our plan to cease refining operations at our Benicia refinery by the end of April 2026. We expect this incremental depreciation related to the Benicia refinery to be included in depreciation and amortization for the next three quarters, resulting in a quarterly earnings impact of approximately $0.25 per share based on current shares outstanding.","https://www.marketbeat.com/earnings/reports/2025-7-24-valero-energy-co-stock/"
"VLO","2025-07-24","Homer Bhullar","VP of Investor Relations and Finance at Valero Energy Corporation","For 2025, we still expect G&A expenses to be approximately $985 million. That concludes our opening remarks. Before we open the call to questions, please limit each turn in the Q&A to two questions. If you have more than two questions, please rejoin the queue as time permits to ensure other callers have time to ask their question.","https://www.marketbeat.com/earnings/reports/2025-7-24-valero-energy-co-stock/"
"VLO","2025-07-24",NA,NA,"Thank you. The floor is now open for questions. If you would like to ask a question, please press Star one on your telephone keypad at this time. A confirmation tone will indicate that your line is in the question queue. You may press Star two if you would like to remove your question from the queue. For participants using speaker equipment, it may be necessary to pick up the handset before pressing the star keys again. That's Star one. To register a question at this time, our first question is coming from Theresa Chen of Barclays. Please go ahead.","https://www.marketbeat.com/earnings/reports/2025-7-24-valero-energy-co-stock/"
"VLO","2025-07-24","Theresa Chen","Senior Analyst Midstream and Refining Equity Research at Barclays","Good morning. Now that we are halfway through the summer driving season, how is refined product demand trending across your footprint? Maybe just unpack some of Lane's opening remarks about sales across your system. Are there any noticeable patterns or shifts? Additionally, what kind of signals are you observing in the export market?","https://www.marketbeat.com/earnings/reports/2025-7-24-valero-energy-co-stock/"
"VLO","2025-07-24","Gary Simmons","EVP and COO at Valero Energy Corporation","Hey, good morning, Theresa, it's Gary. Overall, I'd tell you the fundamentals around refining continue to look very supportive. Total light product inventory remains below the five-year average range, below where we were last year at this time. And demand for transportation fuels remains robust not only here in the U.S. but also into our typical export markets. Our view is gasoline demand relatively flat to last year. It looks like vehicle miles traveled are up slightly year over year, but probably only up enough to offset efficiency gains in the automotive fleet. Not up enough to really create incremental demand. If you look at our wholesale volumes, they would also indicate flat year over year gasoline demand. In addition to relatively strong gasoline demand domestically, we've also seen good export demand to Latin America.","https://www.marketbeat.com/earnings/reports/2025-7-24-valero-energy-co-stock/"
"VLO","2025-07-24","Gary Simmons","EVP and COO at Valero Energy Corporation","And then on the supply side, you know, the transatlantic arb to ship gasoline from Europe to the United States has been closed for much of the year. When you combine relatively good demand with less supply coming from Europe, you would kind of expect inventory to be a little lower than last year. That's what we saw in the second quarter. Those factors ultimately resulted in a little stronger gasoline margin environment this year compared to last. Going forward, the transatlantic arb is marginally open, so supply seems adequate to meet demand. We're kind of getting to the end of driving season. We'll start RVP transition in some regions soon, so it's hard to see a lot of support for gasoline cracks moving forward.","https://www.marketbeat.com/earnings/reports/2025-7-24-valero-energy-co-stock/"
"VLO","2025-07-24","Gary Simmons","EVP and COO at Valero Energy Corporation","Absent some type of supply disruption, we kind of expect gasoline cracks to follow typical seasonal patterns, remain around mid-cycle levels through the end of the year. Distillate. The story is much different though. You know where gasoline demand is expected to fall off some. We expect distillate demand to pick up first. We'll start to get into harvest season, see agricultural demand pick up, and then we'll transition to heating oil season. Overall diesel demand has continued to trend above last year's level. Really strong demand in the first quarter due to colder weather and then increased demand for refinery-produced diesel. With less imports of bio and renewable diesel in our system, diesel sales are currently trending about 3% above last year's level again. While domestic demand has been good, we see a strong pull of U.S. Gulf Coast distillate into the export markets.","https://www.marketbeat.com/earnings/reports/2025-7-24-valero-energy-co-stock/"
"VLO","2025-07-24","Gary Simmons","EVP and COO at Valero Energy Corporation","The exports really have kept inventory down near historic lows during a time where restocking typically occurs. We have seen diesel inventory gain in the last couple of weeks, but really that's just a result of an incredibly strong export market. In early June, as exports got really strong, freight rates spiked and it closed some of those export arbs. Freight rates have come back off. The arbs are open to export both to Latin America and Europe. With those arbs open, it's difficult to see how we get the normal build in diesel inventory that occurs in the third quarter. Diesel cracks have been strong with low inventory. We expect diesel cracks to remain strong heading into hurricane season. If we have some type of supply disruption, I think you'll see a pretty significant market reaction with inventories as low as they are.","https://www.marketbeat.com/earnings/reports/2025-7-24-valero-energy-co-stock/"
