"symbol","report_date","speaker","title","msg","source_url"
"VMC","2025-02-18",NA,NA,"Good morning. Welcome, everyone, to the Vulcan Materials Company's Fourth Quarter 2024 Earnings Call. My name is Shana, and I will be your conference call coordinator today. Please be reminded that today's call is being recorded and will be available for replay later today at the company's website.","https://www.marketbeat.com/earnings/reports/2025-2-18-vulcan-materials-stock/"
"VMC","2025-02-18",NA,NA,"All lines have been placed in a listen-only mode. After the company's prepared remarks, there will be a question-and-answer session. Now, I will turn the call over to your host, Mr. Mark Warren, Vice President of Investor Relations for Vulcan Materials. Mr. Warren, you may begin.","https://www.marketbeat.com/earnings/reports/2025-2-18-vulcan-materials-stock/"
"VMC","2025-02-18","Mark Warren","VP of Investor Relations at Vulcan Materials","Thank you, Operator, and good morning, everyone. With me today are Tom Hill, Chairman and CEO, and Mary Andrews Carlisle, Senior Vice President and Chief Financial Officer. Today's call is accompanied by a press release and a supplemental presentation posted to our website, vulcanmaterials.com. Please be reminded that today's discussion may include forward-looking statements which are subject to risks and uncertainties.","https://www.marketbeat.com/earnings/reports/2025-2-18-vulcan-materials-stock/"
"VMC","2025-02-18","Mark Warren","VP of Investor Relations at Vulcan Materials","These risks, along with other legal disclaimers, are described in detail in the company's earnings release and in other filings with the Securities and Exchange Commission. Reconciliations of non-GAAP financial measures are defined and reconciled in our earnings release, supplemental presentation, and other SEC filings. During the Q&A, we ask that you limit your participation to one question. This will allow us to accommodate as many as possible during our time we have available. And with that, I'll turn the call over to Tom.","https://www.marketbeat.com/earnings/reports/2025-2-18-vulcan-materials-stock/"
"VMC","2025-02-18","Tom Hill","Chairman and CEO at Vulcan Materials","Thank you, Mark, and thank all of you for your interest in Vulcan Materials today. 2024 was another year of successful execution. Our two-pronged growth strategy of enhancing our core and expanding our reach is working. We improved our industry-leading aggregates cash gross profit per ton by 12% and deployed over $2 billion towards value-creating aggregates-led acquisitions.","https://www.marketbeat.com/earnings/reports/2025-2-18-vulcan-materials-stock/"
"VMC","2025-02-18","Tom Hill","Chairman and CEO at Vulcan Materials","These acquisitions expanded our presence into new attractive growth areas and strengthened our existing franchise in three of our top 10 revenue states. We finished the year strong. We plan to capitalize on our solid momentum and deliver attractive earnings growth again in 2025. Before discussing our outlook in more detail, I want to provide you some key highlights from our fourth quarter performance. Our teams delivered $550 million of Adjusted EBITDA in the fourth quarter, a 16% improvement over the prior year.","https://www.marketbeat.com/earnings/reports/2025-2-18-vulcan-materials-stock/"
"VMC","2025-02-18","Tom Hill","Chairman and CEO at Vulcan Materials","Importantly, Adjusted EBITDA margin improved on a year-over-year basis for an eighth consecutive quarter. In the aggregate segment, cash gross profit per ton expanded 16% to $11.50 in the quarter through a combination of continued pricing momentum and moderating year-over-year unit cash cost of sales. Aggregate freight adjusted price improved 11% in the quarter, consistent with full-year results. Price improvement remained geographically widespread.","https://www.marketbeat.com/earnings/reports/2025-2-18-vulcan-materials-stock/"
"VMC","2025-02-18","Tom Hill","Chairman and CEO at Vulcan Materials","Aggregate shipments were more mixed in the quarter across geographies and in uses. Shipments were 3% lower than the prior year. Growing public shipments and strong demand in the storm-impacted areas of Western North Carolina and East Tennessee helped to particularly offset headwinds in private construction activity.","https://www.marketbeat.com/earnings/reports/2025-2-18-vulcan-materials-stock/"
"VMC","2025-02-18","Tom Hill","Chairman and CEO at Vulcan Materials","With less disruption from weather and our consistent focus on maximizing efficiencies through our VulcanWave operating efforts, freight adjusted unit cash cost of sales increased 5% compared to the prior year.This was a meaningful improvement compared to previous quarters and a testament to the execution of our operating teams. This continued execution will be a focus for us in 2025. The pricing environment remains healthy, and we expect freight adjusted aggregates price to grow between 5% and 7% in 2025.","https://www.marketbeat.com/earnings/reports/2025-2-18-vulcan-materials-stock/"
"VMC","2025-02-18","Tom Hill","Chairman and CEO at Vulcan Materials","Now, this includes an over 100 basis point negative mix impact from recent acquisitions. Inflationary cost pressures continue to moderate, and we are making progress on our VulcanWave operating process intelligence adoption. We expect freight adjusted aggregates unit cash cost to increase low to mid-single digits in 2025, leading to another year of double-digit year-over-year expansion in our aggregates unit profitability. We expect 2025 aggregate shipments to increase between 3% and 5% compared to last year.","https://www.marketbeat.com/earnings/reports/2025-2-18-vulcan-materials-stock/"
"VMC","2025-02-18","Tom Hill","Chairman and CEO at Vulcan Materials","This growth outlook is driven by recent acquisitions coupled with expectation of stable demand for our legacy business.I expect that continued growth in public construction activity will offset ongoing more modest contraction in private activity. Over the last year, trailing 12 months, highway starts have increased by another $7 billion to $122 billion. Slowing highway input cost inflation and continued IIJA-related spending support ongoing growth in highway shipments in 2025 and beyond.","https://www.marketbeat.com/earnings/reports/2025-2-18-vulcan-materials-stock/"
