"symbol","report_date","speaker","title","msg","source_url"
"VTR","2024-08-01",NA,NA,"My name is Bailey, and I will be your conference operator today. At this time, I would like to welcome everyone to the Ventas 2nd Quarter 2024 earnings call. All lines have been placed on mute to prevent background noise. After the speaker's remarks, there will be a question-and-answer session. If you would like to ask a question during this time, simply press star followed by the number one on your telephone keypad. If you would like to withdraw your question, again, press star and one. I would now like to turn the call over to BJ Grant, Senior Vice President of Investor Relations. You may begin.","https://www.marketbeat.com/earnings/reports/2024-8-1-ventas-inc-stock/"
"VTR","2024-08-01","BJ Grant","SVP of Investor Relations at Ventas","Thank you, Bailey. Good morning, everyone, and welcome to the Ventas second quarter 2024 results conference call. Yesterday, we issued our second quarter 2024 results release, presentation materials, and supplemental investor package, which are all available on the Ventas website at ir.ventasreit.com. As a reminder, remarks today may include forward-looking statements and other matters. Forward-looking statements are subject to risks and uncertainties, and a variety of topics may cause actual results to differ materially from those contemplated in such statements. For a more detailed discussion of those factors, please refer to our earnings release for this quarter and to our most recent SEC filings, all of which are available on the Ventas website. Certain non-GAAP financial measures will also be discussed on this call.","https://www.marketbeat.com/earnings/reports/2024-8-1-ventas-inc-stock/"
"VTR","2024-08-01","BJ Grant","SVP of Investor Relations at Ventas","For a reconciliation of these measures to the most closely comparable GAAP measures, please refer to our supplemental investor package posted on the Investor Relations website. With that, I'll turn the call over to Debra A. Cafaro, Chairman and CEO of Ventas.","https://www.marketbeat.com/earnings/reports/2024-8-1-ventas-inc-stock/"
"VTR","2024-08-01","Debra A. Cafaro","Chairman and CEO at Ventas","Thank you, BJ. On behalf of all my colleagues, I want to welcome our shareholders and other participants to the Ventas second quarter 2024 earnings call. It's an exciting time for our business. We are driving performance in the early stages of an unprecedented multi-year NOI growth opportunity, fueled by powerful demographic demand and the most favorable fundamentals ever in the senior housing industry. Ventas plays an essential role in the longevity economy, serving a large and growing aging population with over half our business in senior housing. This creates a compelling near and long-term growth and value creation opportunity. Today, I'll discuss Ventas's strong results and our latest increase in our 2024 expectations as we generate outperformance in our senior housing operating portfolio, increase SHOP investment activity, optimize net operating income throughout our portfolio, and improve our financial strength. Let's start with results.","https://www.marketbeat.com/earnings/reports/2024-8-1-ventas-inc-stock/"
"VTR","2024-08-01","Debra A. Cafaro","Chairman and CEO at Ventas","We began 2024 with momentum, which continued in the second quarter. Our enterprise delivered $0.80 of normalized FFO per share, reflecting 7% year-over-year growth. SHOP led the way with same-store cash NOI growth of over 15%. Total company same-store cash NOI grew nearly 8%, and our balance sheet is trending positively with 50 basis points of leverage improvement already year to date. We are pleased to once again raise our 2024 normalized FFO per share guidance and our total company same-store NOI expectations on the strength of this performance. Our growth expectations and value creation opportunity put us in the top cohort of companies across the REIT landscape. We're executing on our focused strategy designed to deliver growth and value to our stakeholders.","https://www.marketbeat.com/earnings/reports/2024-8-1-ventas-inc-stock/"
"VTR","2024-08-01","Debra A. Cafaro","Chairman and CEO at Ventas","As a reminder, there are three prongs to the Ventas strategy: deliver profitable organic growth in our senior housing portfolio, capture value through investments focused on senior housing, and drive cash flow throughout our portfolio. Here are some key updates in each of those areas. In SHOP, we have now delivered 8 consecutive quarters of double-digit year-over-year same-store organic cash NOI growth. More importantly, we see a durable multi-year NOI growth opportunity ahead of us, powered by occupancy gains and revenue growth. Senior living provides invaluable benefits to residents and their families. In the quarter, occupancy grew 320 basis points year-over-year, significantly outperforming industry benchmarks, and revenue expanded 8%. Our data-driven decisions and able execution by talented operators enabled our communities to attract more than our fair share of the strong demographic demand for senior living. Remember that our prior senior housing occupancy peak was 92%.","https://www.marketbeat.com/earnings/reports/2024-8-1-ventas-inc-stock/"
"VTR","2024-08-01","Debra A. Cafaro","Chairman and CEO at Ventas","Currently, our portfolio has trended to 84% occupancy and 27% margin. There is an additional $140 million incremental NOI opportunity simply by getting to 88% occupancy and 30% margins in the portfolio, when SHOP NOI would approximate $1 billion a year. From there, we expect our portfolio, operators, and communities to shoot for and potentially beyond that 92% prior occupancy peak because surging demand and suppressed senior housing construction are creating such favorable conditions, particularly in our markets. The SHOP resident base we serve, primarily the over-80 population, should grow by over 24% in the next five years. This population is increasing rapidly each year from about 500,000 people annually now to over 800,000 individuals starting in 2027, as the leading edge of the gigantic baby boomer cohort turns 80.","https://www.marketbeat.com/earnings/reports/2024-8-1-ventas-inc-stock/"
"VTR","2024-08-01","Debra A. Cafaro","Chairman and CEO at Ventas","Yet, there were only about 1,300 units of senior housing started in the second quarter, and construction as a percent of inventory is only 1%, both the lowest on record. Equally important, the duration of new construction continues to elongate, and we expect deliveries to be constrained for years to come. This favorable supply-demand backdrop provides powerful tailwinds and a long and unprecedented runway for growth. Justin will explain how our actions, platform, data, and insights, together with our operators, deliver value to seniors and their families and position Ventas to outperform a strong market. We are also increasing our investment activity focused on senior housing as we execute on the second prong of our strategy. We're on track to close about $750 million of investments this year.","https://www.marketbeat.com/earnings/reports/2024-8-1-ventas-inc-stock/"
"VTR","2024-08-01","Debra A. Cafaro","Chairman and CEO at Ventas","Given the favorable market conditions and the strength of our pipeline for quality acquisitions, we are committed to ramping up our investment activity. Ventas is one of the country's largest owners of senior housing, and we are excited about the external growth opportunities we see in the market. Rarely in my career have investment conditions been as constructive. We can invest in senior housing assets with high single-digit going-in yields and substantial near-term NOI growth prospects. Replacement cost, net absorption projections, and affordability remain key criteria in our investment approach. These senior housing investments expand our SHOP footprint, increase our enterprise growth rate, and reinforce our consistent commitment to financial strength. Third, we're also focused on driving cash flow and value creation throughout our portfolio.","https://www.marketbeat.com/earnings/reports/2024-8-1-ventas-inc-stock/"
"VTR","2024-08-01","Debra A. Cafaro","Chairman and CEO at Ventas","Our outpatient medical and research portfolio once again contributed complementary compounding growth for Ventas, powered by our competitively advantaged Lillibridge operating platform that excels in tenant satisfaction and retention. We also want to provide you with greater clarity on the 23 LTACs operated by Kindred with a lease maturity of April 30, 2025. These long-term acute care hospitals represent about 5% of our NOI, or $110 million annually. We've made a lot of progress since we last updated you. Currently, we are in advanced discussions with Kindred regarding a lease resolution for these properties. While a deal is not done and terms could change, we and Kindred are close to a transaction that would result in a 25%-30% full-year rent reduction on these 23 LTACs starting May 1, 2025. About two-thirds of that amount would be reflected in calendar year 2025.","https://www.marketbeat.com/earnings/reports/2024-8-1-ventas-inc-stock/"
