"symbol","report_date","speaker","title","msg","source_url"
"WBD","2026-02-26",NA,NA,"Ladies and gentlemen, welcome to the Warner Bros. Discovery Fourth Quarter and Full Year 2025 Earnings Conference Call. At this time, all participant lines are in a listen-only mode. After the speaker's presentation, there will be a question-and-answer session. Additionally, please be advised that today's conference call is being recorded. I would now like to hand the conference over to Mr. Peter Lee, Senior Vice President, Investor Relations. You may now begin.","https://www.marketbeat.com/earnings/reports/2026-2-26-warner-bros-discovery-inc--stock/"
"WBD","2026-02-26","Peter Lee","Senior VP of Investor Relations at Warner Bros Discovery","Good morning, thank you for joining us for our Q4 and full year 2025 Earnings Call. Joining me today from Warner Bros. Discovery's management is David Zaslav, President and Chief Executive Officer, Gunnar Wiedenfels, our Chief Financial Officer, and JB Perrette, CEO and President, Global Streaming and Games. This morning, we issued our earnings release, shareholder letter, and trending schedule, and these materials can be found on our website at ir.wbd.com. Today's presentation will include forward-looking statements that we make pursuant to the Safe Harbor Provisions of the Private Securities Litigation Reform Act of 1995.","https://www.marketbeat.com/earnings/reports/2026-2-26-warner-bros-discovery-inc--stock/"
"WBD","2026-02-26","Peter Lee","Senior VP of Investor Relations at Warner Bros Discovery","Forward-looking statements may include statements about the benefits of the planned separation or the proposed transaction with Netflix, future financial and operating results, future company plans, objectives, expectations, and intentions before and after the separation, and other statements that are not historical facts. Such statements are based upon the current beliefs and expectations from Warner Bros. Discovery's management and are subject to significant risks and uncertainties outside of our control that could cause actual results to differ materially from our current expectations.","https://www.marketbeat.com/earnings/reports/2026-2-26-warner-bros-discovery-inc--stock/"
"WBD","2026-02-26","Peter Lee","Senior VP of Investor Relations at Warner Bros Discovery","For additional information on factors that could affect these expectations, please see the company's filings with the U.S. Securities and Exchange Commission, including but not limited to, the company's most recent annual report on Form 10-K and its reports on Form 10-Q and Form 8-K. I will turn the call over to David for some brief remarks, after which we will take your questions. Before doing so, I would kindly request that you limit your questions to topics related to our Q4 results and related business and financial topics. As noted in our shareholder letter, management will not be taking questions regarding the Netflix transaction and our discussions with Paramount, Skydance. With that, I'll turn it over to David.","https://www.marketbeat.com/earnings/reports/2026-2-26-warner-bros-discovery-inc--stock/"
"WBD","2026-02-26","David Zaslav","President and CEO at Warner Bros Discovery","Good morning, everyone, and thank you for joining us. From the beginning, we set our goal for Warner Bros. Discovery has been to make this great company the most innovative and exciting place to tell stories in the world. Looking at 2025, it's clear we fulfilled our ambition. Warner Bros. Motion Picture Group delivered a historic run of success, with nine films debuting number one at the box office in 2025, seven consecutive films opening with more than $40 million in box office sales, a first for any studio, our films spent 16 total weeks atop the global box office. We accomplished this through brilliant original films like One Battle After Another, Sinners, Weapons, and global tentpole titles like A Minecraft Movie and Superman. We revived IP like The Conjuring: Last Rites and Final Destination: Bloodlines. Fans responded, and critics did too.","https://www.marketbeat.com/earnings/reports/2026-2-26-warner-bros-discovery-inc--stock/"
"WBD","2026-02-26","David Zaslav","President and CEO at Warner Bros Discovery","Our film slate won nine Golden Globe Awards, including Best Picture, Musical or Comedy for One Battle After Another, and Cinematic and Box Office Achievement for Sinners. Next month, we're up for an industry-leading 30 Academy Awards, we're optimistic the incredible original films we produced and talent we've worked with will deservedly be recognized. We are seeing momentum continue in 2026. Wuthering Heights, our ninth consecutive theatrical release to open number one, has generated over $160 million at the global box office in two weeks, including an $83 million opening weekend, further reinforcing our commitment to exceptional original storytelling and our position as a premier destination for the world's leading creative talent.","https://www.marketbeat.com/earnings/reports/2026-2-26-warner-bros-discovery-inc--stock/"
"WBD","2026-02-26","David Zaslav","President and CEO at Warner Bros Discovery","Building on the momentum, our 2027 film slate is set to deliver a truly monumental year for Warner Bros., with tentpole and franchise powerhouses on the horizon, from Godzilla vs. Kong 3, Superman: Man of Tomorrow from James Gunn, Minecraft 2, Conjuring: First Communion, Batman Part 2 from Matt Reeves, Gremlins, and The Lord of the Rings: The Hunt for Gollum. We also brought innovative and exciting storytelling to television, both in streaming and through our linear networks. Many of the series that shaped global culture in 2025 were delivered to audiences around the world by HBO and HBO Max. Building on shows like The Pitt, The White Lotus, and The Last of Us, HBO continued to deliver hits in the fourth quarter with several breakout sensations.","https://www.marketbeat.com/earnings/reports/2026-2-26-warner-bros-discovery-inc--stock/"
"WBD","2026-02-26","David Zaslav","President and CEO at Warner Bros Discovery","It, Welcome to Derry, delivered the fourth strongest debut season in HBO history, averaging 27 million viewers per episode, and Heated Rivalry, which averaged 13 million viewers an episode and drove meaningful social media engagement. That momentum is ongoing. Both The Pitt and Industry have become cultural sensations with their new seasons, which debuted in the first quarter of 2026, seeing 30% and 50% respective audience growth versus their prior season. A Knight of the Seven Kingdoms, the third installment of the Game of Thrones franchise, has also debuted strongly, averaging over 24 million viewers per episode and growing.","https://www.marketbeat.com/earnings/reports/2026-2-26-warner-bros-discovery-inc--stock/"
"WBD","2026-02-26","David Zaslav","President and CEO at Warner Bros Discovery","With House of the Dragon, Euphoria, The Gilded Age, Dune: Prophecy, and Hacks returning this year, as well as the premiere of Lanterns and Stuart Fails to Save the Universe, this is just the beginning of what promises to be a banner 2026 for HBO. Our streaming segment also delivered terrific growth. Scaling HBO Max globally has been one of our core priorities for four years. We've executed our plan with focus and discipline, now exceeding the 130 million subscriber target we set out in August 2022.","https://www.marketbeat.com/earnings/reports/2026-2-26-warner-bros-discovery-inc--stock/"
"WBD","2026-02-26","David Zaslav","President and CEO at Warner Bros Discovery","Following the successful launches of HBO Max in Germany and Italy, and the upcoming launches in the U.K. and Ireland, we are on track to reach more than 140 million total streaming subscribers by the end of the first quarter, and we're well on our way to exceed 150 million subscribers by the end of the year. Our global linear networks also continue to create and tell stories that inspire and entertain fans. With 17 of last year's top 25 new cable TV series and improved general entertainment viewership trends in recent months, our global linear networks teams clearly remain highly attuned to today's audiences. While secular headwinds persist, our portfolio of networks attracted 30% of all prime-time cable viewing in the U.S., and we advanced critical initiatives like the launch of CNN All Access.","https://www.marketbeat.com/earnings/reports/2026-2-26-warner-bros-discovery-inc--stock/"
