"symbol","report_date","speaker","title","msg","source_url"
"WELL","2024-07-29",NA,NA,"Thank you for standing by. My name is Kayla, and I will be your conference operator today. At this time, I would like to welcome everyone to the Welltower second quarter 2024 earnings. All lines have been placed on mute to prevent any background noise. After the speaker's remarks, there will be a question-and-answer session. If you would like to ask a question during this time, simply press star followed by the number one on your telephone keypad. If you would like to withdraw your question, again, press the star and one. I would now like to turn the call over to Matt McQueen, General Counsel. You may begin.","https://www.marketbeat.com/earnings/reports/2024-7-29-welltower-inc-stock/"
"WELL","2024-07-29","Matt McQueen","CLO and General Counsel at Welltower","Thank you and good morning. As a reminder, certain statements made during this call may be deemed forward-looking statements in the meaning of the Private Securities Litigation Reform Act. Although Welltower believes any forward-looking statements are based on reasonable assumptions, the company can give no assurance that its projected results will be attained. Factors that could cause actual results to differ materially from those in the forward-looking statements are detailed in the company's filings with the SEC. With that, I'll hand the call over to Shankh Mitra for his remarks.","https://www.marketbeat.com/earnings/reports/2024-7-29-welltower-inc-stock/"
"WELL","2024-07-29","Shankh Mitra","CEO at Welltower","Thank you, Matt, and good morning, everyone. I'll review second quarter business trends and our capital allocation priorities. John will provide an update on operational performance for our senior housing and medical office portfolios. Nikhil will give you an update on investment landscape, and Tim will walk you through our triple-net businesses, balance sheet highlights, and guidance update. We're very pleased to report another quarter of significant bottom-line growth with normalized FFO per share up 17% year-over-year, or over 19% adjusted for prior year subsidies. Quarter was once again led by our senior housing portfolio, but with notable contributions from all other areas of the business, including investments. Last night, we announced another $1 billion of acquisitions under contract since our last update at NAREIT conference in June, bringing our acquisition activity to approximately $5 billion year-to-date.","https://www.marketbeat.com/earnings/reports/2024-7-29-welltower-inc-stock/"
"WELL","2024-07-29","Shankh Mitra","CEO at Welltower","There continues to be no doubt of capital deployment opportunities in front of us at extraordinarily attractive economics, which I'll get into shortly. Ultimately, we're pleased to once again be able to raise our full-year FFO per share guidance as we continue to capitalize on the unprecedented internal and external growth opportunity in senior housing. Before John goes into details, I wanted to first provide some high-level thoughts on the senior housing business and why we remain as optimistic as ever about its future prospects. This quarter marks the seventh consecutive quarter in which our SHO portfolio has posted same-store NOI growth in excess of 20%. A truly remarkable feat. This noteworthy bottom-line growth was once again fueled through the combination of strong revenue growth and moderating expense.","https://www.marketbeat.com/earnings/reports/2024-7-29-welltower-inc-stock/"
"WELL","2024-07-29","Shankh Mitra","CEO at Welltower","RevPOR, or unit revenue growth, came in at 5.3%, while ExpPOR, or unit expense growth, was up just 1%, a near record low for the company. What matters to us, though, is the delta between the two, which is ultimately what drives the bottom line. As we have elaborated in the past, our focus is not on the absolute level of RevPOR or ExpPOR growth. The difference is what we are focused on, and it remains historically high levels, as shown on slide 18 of our business update presentation, resulted in another quarter of substantial margin expansion of 290 basis points year-over-year to 27.3%.","https://www.marketbeat.com/earnings/reports/2024-7-29-welltower-inc-stock/"
"WELL","2024-07-29","Shankh Mitra","CEO at Welltower","While margin remains well below pre-COVID levels, I would note that we have made significant progress since hitting the trough levels of profitability in 2021, with further upside remaining through the scaling benefits achieved through our occupancy, a.k.a. operating leverage, and as the operating platform begins to bear fruit. Overall, while we're pleased with the results we achieved this quarter, what we are much more excited about is the fundamental backdrop is forced to dramatically improve as we look forward to 2025 and beyond. It starts with end-market demand.","https://www.marketbeat.com/earnings/reports/2024-7-29-welltower-inc-stock/"
"WELL","2024-07-29","Shankh Mitra","CEO at Welltower","Baby boomers are just entering their 80s and pickup in demand, which we have recently witnessed, will only intensify going forward. Not only is the 80+ population growing at a fastest clip in decades, but what's even more compelling is the growth of this group of seniors will accelerate to 5%-7% per annum as we close out the decade, driving demand even higher. There is plummeting new supply. The second quarter construction stocks were once again negligible, falling well below trough levels seen even during GFC.","https://www.marketbeat.com/earnings/reports/2024-7-29-welltower-inc-stock/"
"WELL","2024-07-29","Shankh Mitra","CEO at Welltower","It remains extraordinarily challenging to secure construction financing as regional banks that served as the most prolific lender to the sector in previous cycles have effectively shut down all activity. Despite the attractive growth prospect of our industry, most developers have thrown in the towel due to a lack of development economics. We think this will continue as returns, or should I say lack thereof, were made on other people's money no longer available as investors leak their wounds from the last cycle. While the beta of the senior housing business remains extraordinarily attractive, what truly sets us apart are our efforts to generate outsized alpha for our existing owners. This is reflected by the difficult but important steps that we continue to take to further amplify our long-term growth trajectory.","https://www.marketbeat.com/earnings/reports/2024-7-29-welltower-inc-stock/"
"WELL","2024-07-29","Shankh Mitra","CEO at Welltower","This not only includes the build-out of our operating platform, which John will get into in a minute, but also involves numerous capital light transactions such as operator transitions, conversions, and conversion of triple-net to RIDEA structures. We are confident that several operating platform initiatives will start to impact occupancy and NOI next year. Expanding on the theme of enhancing long-term growth through capital light transactions, we announced the transition of 89 Holiday by Atria assets to six Welltower's strongest operating partners with deep expertise and local scale in their regions. We have experienced tremendous success with hundreds of transitions we have effectuated in recent years, and we expect similar outcomes from this most recent set of assets. More importantly, we hope to achieve over $70 million of additional NOI upside when new operators stabilize these properties.","https://www.marketbeat.com/earnings/reports/2024-7-29-welltower-inc-stock/"
"WELL","2024-07-29","Shankh Mitra","CEO at Welltower","And separately, we converted or agreed to convert 47 triple-net lease properties to RIDEA structure in Q2, allowing us to directly participate in substantial growth of these properties that are poised to deliver in coming years. This was achieved in four different transactions, primarily with existing RIDEA operators that are growing with, including StoryPoint and New Perspective. These actions come with some short-term dilution, but we are confident that it will substantially enhance our growth in the back of 2025 and 2026. Assuming we only get to 92% occupancy, we should achieve approximately $40 million of NOI post-stabilization from today's level. To illustrate that in new investment terms, you need $2 billion of new acquisitions to achieve that level of NOI accretion, assuming 2% long-term accretion of our investment model. That's how impactful the math is for our near-to-medium-term growth.","https://www.marketbeat.com/earnings/reports/2024-7-29-welltower-inc-stock/"
