"symbol","report_date","speaker","title","msg","source_url"
"WMB","2025-05-05",NA,NA,"Good day everyone and welcome to the Williams first quarter 2025 earnings conference call. Today's conference is being recorded. At this time for opening remarks and introductions, I would like to turn the call over to Mr. Danilo Juvane, Vice President of Investor Relations, ESG and Investment Analysis. Please go ahead.","https://www.marketbeat.com/earnings/reports/2025-5-5-the-williams-companies-inc-stock/"
"WMB","2025-05-05","Danilo Juvane","VP of Investor Relations, ESG and Investment Analysis at Williams Companies","Thanks, Ari. Good morning everyone. Thank you for joining us and for your interest in The Williams Companies. Yesterday afternoon we released our earnings press release and the presentation that our President and CEO Alan Armstrong and our Chief Financial Officer John Porter will speak to this morning. Also joining us on the call today are Larry Larsen, our Chief Operating Officer, Lane Wilson, our General Counsel, and Chad Zamarin, our Executive Vice President of Corporate Strategic Development. In our presentation material you'll find a disclaimer related to forward looking statements. This disclaimer is important and integral to our remarks and you should review it. Also included in our presentation materials are non-GAAP measures that we reconciled to Generally Accepted Accounting Principles. These reconciliation schedules appear at the back of today's presentation materials. With that, I'll turn it over to Alan Armstrong.","https://www.marketbeat.com/earnings/reports/2025-5-5-the-williams-companies-inc-stock/"
"WMB","2025-05-05","Alan Armstrong","President and CEO at Williams Companies","Okay. Thanks, Danilo, and thank you all for joining us today. We do have a very positive story to share with you on our first quarter performance, which was really driven by the exceptional results within our base business in this quarter.","https://www.marketbeat.com/earnings/reports/2025-5-5-the-williams-companies-inc-stock/"
"WMB","2025-05-05","Alan Armstrong","President and CEO at Williams Companies","So before I dive into my remarks, I do want to welcome Larry Larson, our new Chief Operating Officer, to the call. This is technically day two for Larry, but he's been a valuable member of the Williams team for more than 25 years. I know you're going to come to value his perspective and knowledge of our operations, just as you have enjoyed that for Micheal Dunn, who did retire this past Friday. Larry has served as an important member of Micheal's leadership team over the past several years. This will be a seamless transition with Larry carrying forward the commitment to excellence that Michael has established in all aspects of our operations. Obviously some other leadership changes to hit on, but I'll save my remarks on that matter before the end of the call. Beginning here on slide two.","https://www.marketbeat.com/earnings/reports/2025-5-5-the-williams-companies-inc-stock/"
"WMB","2025-05-05","Alan Armstrong","President and CEO at Williams Companies","You know, it really is staggering when you step back and consider all the facets of our businesses that are providing high return growth opportunities. The positive results in the near term, like the 9% growth this year coupled with an improved credit rating, already continue to speak for themselves. The continued string of very high return projects suggest that we are in the early innings of this long horizon of growth. Let me just share a few of the drivers for my optimism in this level of growth. Continuing. First, we will be a big beneficiary of the fast rising data center power load and we are very encouraged by the uptake we are seeing on the new model we have brought to market and the indirect business we are seeing on our gas transmission systems that is showing up as very high return large scale expansions.","https://www.marketbeat.com/earnings/reports/2025-5-5-the-williams-companies-inc-stock/"
"WMB","2025-05-05","Alan Armstrong","President and CEO at Williams Companies","Socrates is our first example on the direct service front and we talked first about this project during our earnings call in February and since then we have fully contracted this project that will deliver speed to market solutions for the growing data center demand in Ohio. Williams will invest approximately $1.6 billion to provide committed power generation and associated gas pipeline infrastructure for our customer in this area and the project is backed by a 10-year fixed price power purchase agreement with an opportunity to extend the contract for another five years and beyond. Importantly, we expect the project to generate earnings consistent with a 5 times EBITDA build multiple, an impressive return.","https://www.marketbeat.com/earnings/reports/2025-5-5-the-williams-companies-inc-stock/"
"WMB","2025-05-05","Alan Armstrong","President and CEO at Williams Companies","Given the low risk nature of the power purchase agreement and the fact that this project does not leverage Williams' existing asset footprint to a meaningful degree, we are full steam ahead on this project and anticipate completing the build out in the second half of 2026. We also have two other projects that are utilizing the same model in flight now and have ordered equipment that has the same backstopping agreements that we used in the original Socrates project. Much more to come on this, but it is clear that we have a model that works for this customer base and the opportunities are developing fast in the space. Next, on the indirect side, we are pleased to announce Transco's Power Express pipeline, a 950 MMcf/d expansion to markets north of Station 165 helping to serve the power-hungry Virginia area.","https://www.marketbeat.com/earnings/reports/2025-5-5-the-williams-companies-inc-stock/"
"WMB","2025-05-05","Alan Armstrong","President and CEO at Williams Companies","The project is backed by a significant commitment from an anchor shipper and will utilize existing right of ways and infrastructure to dramatically reduce permitting risk and provide scalability. This project will provide the same kind of return as our SESE project and the demand for this capacity has been robust. Finally, we acquired a 10% interest in Cogentrix Energy closing on this deal in early March. This investment enhances our Sequent market intelligence and gives Williams insight into how to better serve the emerging power markets with natural gas supply. Importantly, we are excited to be working with the Quantum team on this business and to ensure that the gas supply is optimized for these gas fired power plants.","https://www.marketbeat.com/earnings/reports/2025-5-5-the-williams-companies-inc-stock/"
"WMB","2025-05-05","Alan Armstrong","President and CEO at Williams Companies","Next, turning to our operational execution, our team continues to flawlessly deliver on a string of high return projects that will accelerate earnings growth throughout the balance of the year. This quarter we successfully placed two projects into service, the Southeast Energy Connector in Alabama and the Texas to Louisiana Energy Pathway along the Gulf Coast. These fully contracted Transco expansions were designed to reduce land use and minimize community and environmental impacts while also delivering clean and affordable natural gas volumes to the region. These projects demonstrate both LNG export growth and coal to gas conversion opportunities. Our project execution team continues to deliver on projects throughout this year, starting construction on another expansion in the southeast on Transco, the LEG project in Haynesville and out west on our Overthrust Westbound Expansion. These projects represent nearly 2 Bcf a day coming online for the balance of this year.","https://www.marketbeat.com/earnings/reports/2025-5-5-the-williams-companies-inc-stock/"
"WMB","2025-05-05","Alan Armstrong","President and CEO at Williams Companies","Also in the Deepwater, the Deepwater really is coming on strong this year and shows no sign of slowing down. We recently completed two expansions that add significant earnings growth. The Whale expansion went into service in the first quarter and has been ramping up through the first quarter and Chevron's Ballymore started up two weeks ago. Both of these projects, both of these prospects are large scale and will be significant contributors for the balance of the year. Additionally, in the Deepwater, both the Shenandoah and Salamanca floaters are now being commissioned and these will drive significant cash flows across our Discovery assets which is now wholly owned. These projects are expected to make meaningful contributions in the third quarter.","https://www.marketbeat.com/earnings/reports/2025-5-5-the-williams-companies-inc-stock/"
