"symbol","report_date","speaker","title","msg","source_url"
"XEL","2025-04-24",NA,NA,"Hello, and welcome to Xcel Energy's first quarter 2025 earnings conference call. My name is Melissa, and I will be your coordinator for today's event. Please note this conference is being recorded, and for the duration of the call, your lines will be on listen only. However, you will have the opportunity to ask questions at the end of the presentation. This can be done by pressing star followed by one on your keypad to register your question at any time. Questions will only be taken from institutional investors. Reporters can contact Media Relations with inquiries, and individual investors and others can reach out to Investor Relations. If you require assistance at any point, please press star zero to be connected to an operator. I'll now turn the call over to Roopesh Aggarwal, Vice President, Investor Relations. Please go ahead.","https://www.marketbeat.com/earnings/reports/2025-4-24-xcel-energy-inc-stock/"
"XEL","2025-04-24","Roopesh Aggarwal","VP of Investor Relations at Xcel Energy","Good morning, and welcome to Xcel Energy's 2025 first quarter earnings call. Joining me today are Bob Frenzel, Chairman, President, and Chief Executive Officer, and Brian Van Abel, Executive Vice President and Chief Financial Officer. In addition, we have other members of the management team in the room to answer your questions if needed. This morning, we will review our 2025 first quarter results and highlights, provide updated 2025 assumptions, and share recent business and regulatory updates. Slides that accompany today's call are available on our website. Some comments during today's call may contain forward-looking information. Significant factors that could cause results to differ from those anticipated are described in our earnings release and SEC filings. Today, we will discuss certain metrics that are non-GAAP measures. Information on the comparable GAAP measures and reconciliations are included in our earnings release. I will now turn the call over to Bob.","https://www.marketbeat.com/earnings/reports/2025-4-24-xcel-energy-inc-stock/"
"XEL","2025-04-24","Bob Frenzel","Chairman, President, and CEO at Xcel Energy","Thanks, Roopesh. Good morning, everybody. At Xcel Energy, we know that economic growth and prosperity of our communities and country depend on our ability to deliver energy to our customers when and where they need it, while keeping their bills as low as possible. This commitment to our communities and customers is demonstrated in our results this morning. In the first quarter of 2025, Xcel Energy delivered earnings of $0.84 per share, invested $2.3 billion in resilient and reliable energy infrastructure for our customers, and accelerated our wildfire risk reduction efforts to enable safer and more resilient communities. Brian will provide more details in a minute, but based on our results for the first quarter, we remain confident in our ability to deliver on our earnings guidance for the 21st year in a row, one of the best track records in the industry.","https://www.marketbeat.com/earnings/reports/2025-4-24-xcel-energy-inc-stock/"
"XEL","2025-04-24","Bob Frenzel","Chairman, President, and CEO at Xcel Energy","As you can imagine, over the past several months, we've been engaging at the federal level with legislators and administration officials as executive orders, trade and tariff actions, and pending legislation will likely have impacts on future energy infrastructure. Not surprising to anyone on this call, we're in an unprecedented period of electric demand growth and believe that we need a broad scope of energy resources to meet those needs. We see increased electric demand from the oil and gas sector. We see demand from residential customer growth, EV adoption, and beneficial electrification across our service territories. We see demand from data centers in Texas, Colorado, Wisconsin, and Minnesota. In the medium term, we expect to see continued trends towards electrification as well as re-onshoring as a potential outcome of federal actions. The infrastructure to serve this demand growth needs to be thoughtfully planned as well.","https://www.marketbeat.com/earnings/reports/2025-4-24-xcel-energy-inc-stock/"
"XEL","2025-04-24","Bob Frenzel","Chairman, President, and CEO at Xcel Energy","We and many in our industry have been advocating in D.C. for policies that allow for cost-effective and rapid adoption of new energy resources. That includes preservation of tech-neutral tax credits, wind, solar storage, and nuclear. There are associated transferability provisions and various loan and grant programs. That includes advocating for siting, permitting, and other federal actions that would allow for more rapid construction of the assets needed to serve this growing demand. That includes advocating for federal actions that can mitigate the potential for wildfires and their associated financial impacts. Additionally, we're paying close attention to ongoing tariffs and other recent federal actions. As you are all aware, this remains a highly fluid situation, potentially positively changing as recently as yesterday. On the tariff front, we believe that our base capital plan remains intact and that the impacts are both modest and manageable.","https://www.marketbeat.com/earnings/reports/2025-4-24-xcel-energy-inc-stock/"
"XEL","2025-04-24","Bob Frenzel","Chairman, President, and CEO at Xcel Energy","While we're still evaluating, we estimate that roughly 40%-45% of our capital expenditures are material-based, with the balance being labor, permitting, and other items. Of this percentage, a majority is domestically sourced. There are some notable exceptions, though. In particular, our industry has exposure to Chinese tariffs related to battery storage. In our base capital plan, we only have one significant battery project, which we continue to work to mitigate any risks. In our longer-term plans, we see a need for more battery and other related energy storage assets. Based on these recent tariff actions, we expect a relatively rapid evolution of the battery supply chain, similar to what we've experienced in solar panels over the last three to four years. We estimate that our total tariff exposure on our $45 billion base capital plan for 2025 to 2029 is approximately 2%-3%.","https://www.marketbeat.com/earnings/reports/2025-4-24-xcel-energy-inc-stock/"
"XEL","2025-04-24","Bob Frenzel","Chairman, President, and CEO at Xcel Energy","That is before we work through any incremental vendor mitigation actions. We remain confident in our ability to navigate this evolving environment and keep delivering for our customers and investors. We see incredible energy and demand needs across the country. In total, Xcel Energy anticipates that we will need to deliver between 15,000 MW 29,000 MW of new generation by year-end 2031 to serve our customers and communities. During the first quarter, we continue to make progress with our various commissions on these needs, which also helps give line of sight to our $10 billion+ incremental investment pipeline. In February, the Minnesota PUC approved our Integrated Resource Plan settlement for nearly 5,000 MW of generation. Included are 720 MW of company-owned natural gas generation and battery storage and approximately 2,800 MW of wind generation, which will reuse the transmission interconnect from our Sherco facility.","https://www.marketbeat.com/earnings/reports/2025-4-24-xcel-energy-inc-stock/"
"XEL","2025-04-24","Bob Frenzel","Chairman, President, and CEO at Xcel Energy","RFPs for resources that make up the balance of the IRP will work their way through regulatory processes in 2025 and 2026, details of which are included in our disclosures and in the attached presentation. In Texas and New Mexico, our teams continue to evaluate proposals for generation to meet growing demand. As a reminder, we're seeking 5,000 MW-10,000 MW through a competitive RFP process, including projects being proposed by the company. We're encouraged by the early results and plan to make a recommended filing in Q2. In Colorado, we continue to make progress with our Energy Resource Plan filing that we made in October of last year. We're recommending the addition of 5,000 MW-14,000 MW of new generation to meet projected sales growth of 3%-7% per year. The commission decision is expected in the fall of this year.","https://www.marketbeat.com/earnings/reports/2025-4-24-xcel-energy-inc-stock/"
"XEL","2025-04-24","Bob Frenzel","Chairman, President, and CEO at Xcel Energy","As part of these resource planning processes, I've been asked to comment on the impacts of recent executive orders on coal plants. Our generation retirement strategy is the product of a long-term planning process with state commissions and other stakeholders that seeks to balance energy demand with long-term assets that we need for our customers. With access to some of the country's best wind and solar resources, as well as incremental natural gas generation, we've demonstrated that we can retire these inefficient and aging coal plants while ensuring reliability and keeping customer bills low. We continue to evaluate the executive orders and work with federal and state agencies, as well as our communities and customers, on any next steps.","https://www.marketbeat.com/earnings/reports/2025-4-24-xcel-energy-inc-stock/"
"XEL","2025-04-24","Bob Frenzel","Chairman, President, and CEO at Xcel Energy","Alongside our access to some of the country's lowest-cost renewable resources, our thoughtful investments and focus on continuous improvement have helped keep our residential electric bill growth below the rate of inflation for the past decade and among the lowest in the country. As we continue to grow, the tech-neutral and nuclear PTCs have also proven a critical tool for customer affordability. Since 2018, Xcel Energy customers have saved over $5 billion in avoided fuel costs and PTCs from wind generation. This year, our Upper Midwest customers will see an additional benefit of nearly $250 million on their bills from nuclear production tax credits. We continue to actively engage with elected officials in the U.S. House and Senate and key agencies such as DOE to reinforce the critical importance that these incentives play in keeping bills low for our residential and business customers.","https://www.marketbeat.com/earnings/reports/2025-4-24-xcel-energy-inc-stock/"
