"symbol","report_date","speaker","title","msg","source_url"
"YUM","2025-11-04",NA,NA,"Hello everyone, and thank you for joining us today for the Yum!! Brands 2025 third quarter earnings call. My name is Sammy, and I'll be coordinating your call today. During the presentation, you can register a question by pressing star followed by one on your telephone keypad. If you change your mind, please press star followed by two on your telephone keypad to remove yourself from the question queue. We ask that you limit yourself to one question per person, and if you have any follow-ups, please do re-enter the question queue. I would now like to hand over to your host, Matt Morris, Head of Investor Relations, to begin. Please go ahead, Matt.","https://www.marketbeat.com/earnings/reports/2025-11-4-yum-brands-inc-stock/"
"YUM","2025-11-04","Matt Morris","Head of Investor Relations at Yum! Brands","Good morning, everyone, and thank you for joining us today. On our call are Chris Turner, our CEO, Ranjith Roy, our CFO, and Dave Russell, our Senior Vice President and Corporate Controller. Following remarks from Chris and Roy, we'll open the call to questions. Please note that this call includes forward-looking statements that are subject to future events and uncertainties that could cause our actual results to differ materially from these statements. All forward-looking statements are made only as of the date of this call and should be considered in conjunction with the cautionary statements in our earnings release and the risk factors discussed in our SEC filings. Please refer to today's release and filings with the SEC to find disclosures, definitions, and reconciliations of non-GAAP financial measures. Please note that during today's call, system sales and operating profit growth will exclude the impact of foreign currency.","https://www.marketbeat.com/earnings/reports/2025-11-4-yum-brands-inc-stock/"
"YUM","2025-11-04","Matt Morris","Head of Investor Relations at Yum! Brands","For more information on our reporting calendar for each market, please visit the financial reports section of the IRA website. We are broadcasting this conference call via our website. This call is also being recorded and will be available for playback. We would like to make you aware that our fourth quarter earnings will be released on February 4th with the conference call on the same day. Finally, I want to express my appreciation to those investors who have willingly shared their perspectives on our strategy and communication. Your thoughts are important to us, so I will make myself available to listen to your views, as well as share those with our management teams. Now, I'll turn the call over to our CEO, Chris Turner.","https://www.marketbeat.com/earnings/reports/2025-11-4-yum-brands-inc-stock/"
"YUM","2025-11-04","Chris Turner","CEO at Yum! Brands","Thank you, Matt, and good morning, everyone. With this being our first call since David's retirement, I want to recognize his exceptional leadership over the past five years as CEO and his many strategic contributions throughout his remarkable 36-year career at Yum!. David will continue to serve as a trusted advisor through next year. On behalf of our team members, employees, and franchise partners, I want to sincerely thank David for the lasting impact and strong foundation he's built as we carry Yum! into the future. As I take on the role of CEO, I've spent the last few months meeting many of Yum!'s stakeholders, including many of our leaders, board members, and largest franchise partners, to better understand where Yum! is leading the industry and where Yum! has even greater potential. I've spent time in our restaurants, serving our consumers, and listening to team members and general managers.","https://www.marketbeat.com/earnings/reports/2025-11-4-yum-brands-inc-stock/"
"YUM","2025-11-04","Chris Turner","CEO at Yum! Brands","Finally, I've met with many of our top shareholders to hear how Yum! can unlock even more value. Speaking with our incredible team has reinforced how important a strong culture and performance mindset are to driving robust results. Yum! invests meaningfully in our talent and gives employees opportunities to work across functions and brands, providing Yum! with the most experienced and tested leaders in the industry. Combining the best leaders with the world's most loved, trusted, and connected restaurant brands is a winning formula. It's no surprise that few companies are executing at our level, with Taco Bell delivering industry-leading 7% same-store sales growth and KFC on track to add nearly 3,000 new restaurants on a gross basis around the world, which would set a new record for annual gross development for the brand.","https://www.marketbeat.com/earnings/reports/2025-11-4-yum-brands-inc-stock/"
"YUM","2025-11-04","Chris Turner","CEO at Yum! Brands","It is also clear there is a consistent theme that success in our industry depends on anticipating and adapting to changing consumer needs. That's a tremendous opportunity for a company like Yum! that already benefits from scale, talent, and the ability to innovate. With this in mind, I see three areas where I'll focus additional energy to raise the bar on our growth. First, we're a consumer-first business, and we must stay as relevant to the next generation of consumers as we are to our core. Second, franchisees are the lifeblood of our system, and we can do more to leverage our global scale to strengthen their store-level economics. Third, Yum! has pursued a differentiated technology strategy that gives us unmatched operational agility and control. I want to extend those advantages across more restaurants to benefit consumers, franchise partners, and team members alike.","https://www.marketbeat.com/earnings/reports/2025-11-4-yum-brands-inc-stock/"
"YUM","2025-11-04","Chris Turner","CEO at Yum! Brands","To this end, I recently announced a series of leadership changes. These included expanding the role of Taco Bell CEO, Sean Tresvant, to include that of Yum! Chief Consumer Officer, with responsibilities that will include oversight of Collider, Yum!'s in-house consumer insights agency. Jim Dausch, Global Chief Digital and Technology Officer of Pizza Hut, was promoted to Yum! Brands Chief Digital and Technology Officer and President of Bite by Yum!. Ranjith Roy, who goes by Roy, Yum!'s Chief Strategy Officer and Treasurer, was promoted to Chief Financial Officer. Roy had previously spent more than 15 years with Goldman Sachs leading investment banking relationships for restaurants, food, and tech businesses. We also intend to add a Chief Scale Officer to Yum!'s leadership team, who will focus on leveraging Yum!'s scale to maximize franchise returns and drive stronger restaurant profitability.","https://www.marketbeat.com/earnings/reports/2025-11-4-yum-brands-inc-stock/"
"YUM","2025-11-04","Chris Turner","CEO at Yum! Brands","We also announced this morning that we have commenced the process to explore strategic options for the Pizza Hut brand. Our objective is to maximize value for Yum! and position Pizza Hut and its franchise partners for greater success. Pizza Hut holds key structural advantages: strong brand equity, experienced franchise partners, and meaningful scale, which give it a unique opportunity to reclaim the leading position in the highly fragmented pizza market. We believe a different approach, including but not limited to a sale of the business, would allow Pizza Hut to realize its full potential. More broadly, I'm encouraging the brand teams to play more offense through bold actions, particularly when we see opportunities to accelerate development. In that spirit, we announced our plans to complete the acquisition of 128 Taco Bell restaurants located across the Southeast U.S. in the fourth quarter.","https://www.marketbeat.com/earnings/reports/2025-11-4-yum-brands-inc-stock/"
"YUM","2025-11-04","Chris Turner","CEO at Yum! Brands","Buyout opportunities of this scale are unusual to come by in the Taco Bell system. This acquisition provides our team with an opportunity to improve and accelerate Taco Bell profitability, expand strategic leadership within the Taco Bell system, and unlock significant unit development in the region. Of course, this acquisition provides immediate and significant EBITDA growth at an attractive multiple in the context of the Taco Bell system. I want to reiterate that there is no change in strategy regarding our asset-light model. Now, let me turn to our third quarter results. Yum! delivered another strong quarter, with system sales up 5% and core operating profit up 7%. Between KFC and Taco Bell, we've delivered 5% unit growth, 7% system sales growth, and 11% segment operating income growth.","https://www.marketbeat.com/earnings/reports/2025-11-4-yum-brands-inc-stock/"
"YUM","2025-11-04","Chris Turner","CEO at Yum! Brands","At KFC, which represents 53% of our divisional operating profit, we delivered 14% core operating profit growth driven by 6% unit growth and 3% same-store sales growth. Several KFC international markets are delivering exceptional results, including the U.K. market, with same-store sales up 9% on 6% transaction growth, and South Africa delivering 7% same-store sales growth on record youth engagement. Several markets, like South Korea and Brazil, posted double-digit transaction growth within the quarter. Turning to the U.S., which represents 12% of our KFC global system sales, we have taken bold steps over the last 18 months to re-engineer our strategy, bolster our talent, and pilot new approaches. The new President of KFC U.S., Catherine Tan-Gillespie, has been driving KFC's comeback plan with new marketing tactics and products focused on increasing consumer relevance, which have led to a 2% growth in same-store sales this quarter.","https://www.marketbeat.com/earnings/reports/2025-11-4-yum-brands-inc-stock/"
