"symbol","report_date","speaker","title","msg","source_url"
"ZTS","2025-08-05",NA,NA,"Welcome to the second quarter 2025 financial results conference call and webcast for Zoetis. Hosting the call today is Steve Frank, Vice President of Investor Relations for Zoetis. The presentation materials and additional financial tables are currently posted on the Investor Relations section of zoetis.com. The presentation slides can be managed by you, the viewer, and will not be forwarded automatically. In addition, a replay of this call will be available approximately two hours after the conclusion via dial-in or on the Investor Relations section of zoetis.com. At this time, participants have been placed in a listen-only mode and the floor will be open for your questions following the presentation. If you would like to ask a question at that time, please press Star and 1 on your telephone keypad.","https://www.marketbeat.com/earnings/reports/2025-8-5-zoetis-inc-stock/"
"ZTS","2025-08-05",NA,NA,"If at any point your question has been answered, you can remove yourself from the queue by pressing Star and 2. In the interest of time, we ask that you limit yourself to one question and then queue up again if you have any follow-ups. Your line will be muted when you complete your question and when posing your question, please pick up your handset to allow for optimal sound quality. It is now my pleasure to turn the call over to your host, Steve Frank, Vice President of Investor Relations for Zoetis.","https://www.marketbeat.com/earnings/reports/2025-8-5-zoetis-inc-stock/"
"ZTS","2025-08-05",NA,NA,"Thank you, operator. Good morning, everyone, and welcome to the Zoetis second quarter 2025 earnings call. I am joined today by Kristin Peck, our Chief Executive Officer, and Wetteny Joseph, our Chief Financial Officer. Before we begin, I'll remind you that the slides presented on this call are available on the Investor Relations section of our website and that our remarks today will include forward-looking statements and that actual results could differ materially from those projections. For a list and description of certain factors that could cause results to differ, I refer you to the forward-looking statements in today's press release and our SEC filings, including but not limited to our annual report on Form 10-K and our reports on Form 10-Q. Our remarks today will also include references to certain financial measures which were not prepared in accordance with Generally Accepted Accounting Principles or U.S. GAAP.","https://www.marketbeat.com/earnings/reports/2025-8-5-zoetis-inc-stock/"
"ZTS","2025-08-05",NA,NA,"A reconciliation of these non-GAAP financial measures to the most directly comparable U.S. GAAP measures is included in the financial tables that accompany our earnings press release and the Company 8-K filing dated today, Tuesday, August 5, 2025. We also cite operational results which exclude the impact of foreign exchange. With that, I will turn the call over to Kristin.","https://www.marketbeat.com/earnings/reports/2025-8-5-zoetis-inc-stock/"
"ZTS","2025-08-05",NA,NA,"Thank you, Steve, and good morning, everyone. Welcome to our second quarter 2025 earnings call. Thanks to the dedication of our colleagues around the world, we delivered strong, broad-based 8% organic operational revenue growth, a reflection of the strength of our innovation engine and the excellence of our customer-focused execution. We also grew adjusted net income 10% on an organic operational basis, underscoring our focus on operational efficiency. Our international segment grew organic operational revenue 9%, demonstrating our ability to capitalize on key trends that are expanding regional markets. The U.S. grew 7% excluding the impact of the MFA divestiture campaign, and animal grew 8% operationally while livestock delivered 6%. Organic operational growth was driven by sustained demand for our trusted, market-leading solutions.","https://www.marketbeat.com/earnings/reports/2025-8-5-zoetis-inc-stock/"
"ZTS","2025-08-05",NA,NA,"This quarter's performance highlights the strength of our diversified portfolio with growth across markets, species, franchises, and channels, and balanced contributions from price and volume, a testament to our strategy. With organic operational revenue up 9% in the first half, we are delivering in line with our plan and are well positioned to carry that progress into the second half. Our consistent performance across economic and competitive cycles reinforces the strength of our business and animal health as one of the most compelling long-term growth sectors. Key franchises collectively delivered another quarter of double-digit performance, underscoring not only their continued momentum, but also the power of our innovation and the disciplined execution that drives value across the business. As you look closer at our companion animal growth drivers, it's clear that innovation is not only our core competency, it's the most powerful way we live our purpose.","https://www.marketbeat.com/earnings/reports/2025-8-5-zoetis-inc-stock/"
"ZTS","2025-08-05",NA,NA,"What's equally clear, our key franchises have significant runway for continued durable growth. Our Simparica franchise, for example, grew 17% operationally. Even after nearly two years of competition, demand continues to rise for comprehensive triple combination protection. The fastest growing segment in the parasiticides market, our Simparica Trio, is setting the standard of care, delivering 20% operational revenue growth with new entrants. The overall category continues to expand, fueled in part by increased promotional activity that is raising awareness of the benefits of triple combination protection. Thanks to our first mover advantage, strong commercial relationships, and preferred position with key veterinary partners, these efforts are often reinforcing. Our leadership trio remains the trusted first choice for veterinarians and pet owners alike in this franchise.","https://www.marketbeat.com/earnings/reports/2025-8-5-zoetis-inc-stock/"
"ZTS","2025-08-05",NA,NA,"Our alternative channel strategy, especially in the U.S., the largest market for parasiticides, remains a key source of diversification and differentiation, helping us meet customers where they are and driving stronger compliance by ensuring pet owners have convenient ongoing access to trusted products. We expect these dynamics to continue for the foreseeable future. More than 10 years since launch and with over 12 million dogs treated, our key dermatology franchise continues to deliver, growing 11% operationally, a testament to how durable true innovation can be. This quarter's performance was fueled by particularly strong results internationally, where we are seeing increased uptake among new patients and higher compliance. What continues to set this franchise apart is its depth and versatility. We didn't just create the derm category, we've continued to expand it with complementary treatment options that address a range of needs.","https://www.marketbeat.com/earnings/reports/2025-8-5-zoetis-inc-stock/"
"ZTS","2025-08-05",NA,NA,"Apoquel Chewable provides added flexibility for pet owners, while Cytopoint is a convenient, injectable solution for longer lasting relief. Together, these modalities help vets personalize care, improve compliance, and deliver high satisfaction, reducing the likelihood of switching and supporting durable franchise performance. Even after a decade, we see meaningful runway ahead driven by two powerful dynamics: the continued importance of compliance in chronic disease management and the opportunity to reach more than 20 million dogs who remain under or untreated today. Our confidence is grounded in what sets us apart. We lead through science, designing solutions that address the most persistent needs in animal health and establishing a standard of care that's not easily surpassed. As we shared earlier this year, we're confident not only in our market-leading differentiated portfolio of today, but in the portfolio of the future already taking shape in osteoarthritis, or OA pain.","https://www.marketbeat.com/earnings/reports/2025-8-5-zoetis-inc-stock/"
"ZTS","2025-08-05",NA,NA,"Librela declined 7% operationally this quarter. We are actively advancing efforts to accelerate adoption, grounded in both the scale of the opportunity and the positive patient impact we continue to see. In the U.S. alone, 27 million dogs suffer from OA, yet only 9 million are currently treated. Today we are reaching just 1 million of them. As with any breakthrough innovation that establishes a new standard of care, adoption rarely follows a straight line. That is why we are taking deliberate steps to develop the market, educating veterinarians and pet owners to ensure a clear understanding of the product's benefit-risk profile and to build lasting confidence. In fact, more than 75% of U.S. patients' parents report being extremely or very satisfied with Librela's results. Shaping a new market takes time, but we remain confident in our ability to deliver over the long term.","https://www.marketbeat.com/earnings/reports/2025-8-5-zoetis-inc-stock/"
